ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
825736948010482830,t1m2EYFHyO,67,1,2014-10-07 04:18:56,Tuesday,It's almost  time!  Tonight  @bjthechicagokid brings Soul Music to OHM.  #SoulMusic #R&amp;B; #OHMNightclub,False,N/A,,SoulMusic R OHMNightclub ,time! Tonight @bjthechicagokid ,true
1264682456453512979,BGNDf5alH8T,109,1,2016-06-03 19:25:18,Friday,Say what?! If you spend $150 inside #OhmNightclub you can also get to experience the #HollywoodBowl thanks to the #HollywoodHighlandCenter 🎉 *YOU MUST keep your receipt and bring it to the visitor center same day* #OhmHollywood #HollywoodSign #WalkOfFame,False,N/A,,OhmNightclub HollywoodBowl HollywoodHighlandCenter OhmHollywood HollywoodSign WalkOfFame ,,true
1441542919940172311,BQBY6Xng2oX,112,6,2017-02-02 19:55:29,Thursday,New BRANDED night!! #WeOHMFridays @ohmnightclubla starting February with Official Birthday celebrant @thefinestmodeltalent and 2017 swimsuit calendar release party for @michellethatonegirl sounds by #DJs @kooncetopher @dresinatra  FREE before 1030pm guestlist at www.Ohmnightclubla.com  Table inquiries 213-219-1300  #Party #VIP #nightlife #bottleservice #Hollywood #BirthdayParty #BirthdayBash #OHMFridays #Clubbing  #champagneshowers #model #Ohmgirls #Ohmies #WeOHMTheNight #WeOHM  WCW #baewatch #Ohm #tgif #vip #nightlife #bottleservice #fridays #celebratewithus,True,1431,,WeOHMFridays DJs Party VIP nightlife bottleservice Hollywood BirthdayParty BirthdayBash OHMFridays Clubbing champagneshowers model Ohmgirls Ohmies WeOHMTheNight WeOHM baewatch Ohm tgif vip nightlife bottleservice fridays celebratewithus ,ohmnightclubla thefinestmodeltalent michellethatonegirl kooncetopher dresinatra FREE Table WCW ,true
1801032934465941728,Bj-jelfnzDg,61,1,2018-06-13 19:57:58,Wednesday,Its the second week of June &amp; it’s been gettin HOT inside @ohmnightclubla! Make sure to snag your FREE before 11 PM Guest List spot! Sign up using LINK IN BIO!,False,N/A,,,ohmnightclubla! ,true
1040017750272277959,5u4qI1FH3H,105,5,2015-07-29 19:56:38,Wednesday,Our #OhmGirl 💁 is this week's #WCW. #Proof she gets the night started😂!!!! #BottleService #21stCentury #MakeItRain #ChampagneDiet #OhmNightclub #OhmTheNight #Emoji  What's your favorite emoji ?!?!?!? 👇👇👇,False,N/A,,OhmGirl WCW Proof BottleService 21stCentury MakeItRain ChampagneDiet OhmNightclub OhmTheNight Emoji ,What's ,true
1051851315553271394,6Y7TLUFH5i,133,3,2015-08-15 03:47:49,Saturday,Tonight at #OhmNightclub! @rjmrla doing a special performance. Early arrival suggested. VIP/Guest List 213.219.1300. #10summers #Hollywood #OhmFridays,True,0,,OhmNightclub 10summers Hollywood OhmFridays ,rjmrla ,true
1006333795866279751,33N0FsFH9H,86,0,2015-06-13 08:32:38,Saturday,Who's having a great time at #OhmNightclub?! #OhmHollywood,False,N/A,,OhmNightclub OhmHollywood ,,false
1796120326042496980,BjtGeuXny_U,74,1,2018-06-07 01:18:17,Thursday,Let me see the BIG BOOTY TWERK! 💸💸💸 Pop Bottles &amp; Pop ya @ss this Friday inside #ohmnightclub for #TheaterFridays hosted by @blacyoungsta! GET TICKETS NOW!! Link in bio!,True,1215,,ohmnightclub TheaterFridays ,ss blacyoungsta! ,true
737998448138419309,o95a2yFHxt,45,6,2014-06-08 02:58:12,Sunday,Hope you guys are ready to throw down this Thursday at #Hollywood #Beach Thursdays!!! We need you to dress up in your swankiest beach attire  cause this beach party is gonna be crackin with some of the hottest DJs and Gogo dancers in this city 😉😁 Oh and did we mention - NO COVER CHARGE!!! We got you. But if you need some bottle service or a VIP table  just call us at 323.337.1315 or email info@ohmnightclubla.com  It's that time baby - LETS PARTY!!!!! #ohmnightclub  #Repost from @djserafin --- It's almost that time. June 12 @ohmnightclubla performance by @kayajones @vanessalynnae9 @etrainmusic + more fashion show by @mthemovement @javieralvar @rytoast @djjoejacob,False,N/A,,Hollywood Beach ohmnightclub Repost ,cause just It's djserafin ohmnightclubla kayajones vanessalynnae9 etrainmusic mthemovement javieralvar rytoast djjoejacob ,true
686329491564560036,mGVQlHlH6k,23,2,2014-03-28 20:01:12,Friday,#Repost from @brittneymalger --- Friday nights at @ohmnightclubla no cover charge!! Only place to be to shake shake that thang! 👯🎶 @cupcakeKass,False,N/A,,Repost ,brittneymalger ohmnightclubla cupcakeKass ,true
