SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
324NQKonVt,17849906380026205,boulevard3la,2015-06-13 05:24:13,Repost from @esposito702,,esposito702 
BTNMhpKBagS,17867188825099816,thefrenchkeys,2017-04-25 12:03:51,😊,,
BRmBYGrjeje,17863799071108107,boulevard3la,2017-03-13 21:54:46,#Ucla #USC #caltech #lmu #Pepperdine #ucirvine #ucirvine #uci #csun #california,Ucla USC caltech lmu Pepperdine ucirvine ucirvine uci csun california ,
BRmBYGrjeje,17874844123058465,rmader88,2017-03-13 22:37:41,Sweet!,,
BRmBYGrjeje,17853399400142497,geniecanvas,2017-03-14 01:36:44,Very cool :),,
BRmBYGrjeje,17863924069105235,miss_famous_bee,2017-03-14 20:11:14,@alphabetboy_ls,,alphabetboy_ls 
BRmBYGrjeje,17851359127181745,kalynelionheart,2017-03-16 14:15:16,💥 💥 💥,,
rVTO1sonbW,17846532835026205,dirtybird94,2014-08-06 05:46:09,@linaparadox,,linaparadox 
rVTO1sonbW,17846543644026205,_alllllliiiiiiii_,2014-08-15 16:38:53,@xoditzydox,,xoditzydox 
BTKlV6_BYxB,17867088988106495,illuminated_apparel,2017-04-22 19:40:00,Nice!,,
BTKlV6_BYxB,17866922893105674,khrizbreezy,2017-04-23 08:09:30,Tien him swlf i  hidaidsy,,hidaidsy 
29iNYOonUw,17847848710026205,boulevard3la,2015-05-21 22:56:44,#blvd3 #boulevard3la #hollywood #sunsetblvd #nightclub #hollywood #free #champagne #vip #lanightlife #sexybartenders #usc #ucla #pepperdine #loyolamarymount #caltech #ucirvine #ucsb #csun,blvd3 boulevard3la hollywood sunsetblvd nightclub hollywood free champagne vip lanightlife sexybartenders usc ucla pepperdine loyolamarymount caltech ucirvine ucsb csun ,
29iNYOonUw,17847848794026205,leonfarmer,2015-05-21 23:58:44,@boulevard3la is one of the illest spots on #hwood,hwood ,boulevard3la 
29iNYOonUw,17847848908026205,kim__cortez,2015-05-22 02:21:50,What's the benefit of getting on the reservation list? 😊,,
