ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
991338073369661465,3B8LmzhNAZ,36,3,2015-05-23 15:58:49,Saturday,#FF About last Crazy Night! ✨✨✨ @o.h.s.u.s.a.n.n.a.h 👍🏻 #sttropez #clubbing #thisissttropez #night #friends #amazingplace #mythical #djjacke #dj #palace #byblos #france,False,N/A,cu_488 mlambs vania_sanchezd juliaduhamel kimkfh mariecano3 charlotte_lemonrock imjordanjoseph ,FF sttropez clubbing thisissttropez night friends amazingplace mythical djjacke dj palace byblos france ,o.h.s.u.s.a.n.n.a.h ,true
999478583875653766,3e3HoAhNCG,31,5,2015-06-03 21:32:33,Wednesday,#FF ✨ About that Crazy last Night ✨ See you next week-end! #Repost @feeeibe 🙌🏻 ・・・ #iminlovewiththecoco #cavesduroy #sttrop #sttropez #france #cotedazur #clubbing #alittelpartyneverkillednobody #byblos #crazynight #mythical #love,True,0,marcelo_martins_oliveira jayclothing jack_tribeca bodvarrose pierluigificarra teod stef_710 annemonwenpin petiteg_bags julienalbertini ,FF Repost iminlovewiththecoco cavesduroy sttrop sttropez france cotedazur clubbing alittelpartyneverkillednobody byblos crazynight mythical love ,feeeibe ,true
999483774578512156,3e4TKOhNEc,49,3,2015-06-03 21:42:52,Wednesday,Amazing people makes amazing place!#amazingpic #cavesduroy #sainttropez #night #party #clubbing #love #byblos #mythical #bestplace #amazing  #Repost ✨ @duttysow 👌🏻,False,N/A,annemonwenpin charliethecookie fracarlomagno elisa_palieri mathioutrt marieeuher cu_488 nastadls ,cavesduroy sainttropez night party clubbing love byblos mythical bestplace amazing Repost ,duttysow ,true
1005793007699808484,31S2ldhNDk,51,1,2015-06-12 14:38:11,Friday,One more special night!✨ #party #sttropez #lescavesduroy #instamood #friends #summer #picoftheday #athinaonassishorseshow #clubbing #byblos #palace#Repost 👏🏻 @lesliecabanes 👏🏻,False,N/A,juliaduhamel ludimins annemonwenpin serenity_the1 allandelplanque83 lesmanoirstourgeville vanoanna 78_alex camilla.bcn regeil68 ,party sttropez lescavesduroy instamood friends summer picoftheday athinaonassishorseshow clubbing byblos palace ,lesliecabanes ,true
1019748541100511442,4m3-UwhNDS,74,10,2015-07-01 20:45:20,Wednesday,Welcome to Saint-Tropez! Every day during summer!! Meooooooooow !!!!! #southoffrance #sainttropez #instagood #instachatte #cavesduroy #paladium #converse #clubbing #lescavesduroy #summer #mythical #byblos #bestplace #partytime #repost from ✨@loulouberloue✨ 👈🏻👍🏻,True,0,kellame alexis_forgeas garance.wery pierluigificarra feeeibe fernandaparodi djkeza thisissttropez ,southoffrance sainttropez instagood instachatte cavesduroy paladium converse clubbing lescavesduroy summer mythical byblos bestplace partytime repost ,,true
1025397709999493217,468cjSBNBh,31,1,2015-07-09 15:49:14,Thursday,Last week-end  JoeyStarr came to visit us!  #joeystarr #clubbing #night #lescavesduroy #bestplace #amazing #byblos #sttrop #sttropez #yolo #djjacke #allnightlong,True,0,alexis_forgeas charlotte_lemonrock frenchotels cavesduroy kimkfh alexlonz marcelo_martins_oliveira annemonwenpin lesmanoirstourgeville ,joeystarr clubbing night lescavesduroy bestplace amazing byblos sttrop sttropez yolo djjacke allnightlong ,JoeyStarr ,true
1030972951950053606,5OwG_-BNDm,64,5,2015-07-17 08:26:14,Friday,About last Night! ...amazing Night!  #djjacke #georgebenson #theavener #aftershow #mythical #amazing #sttropez #lescavesduroy #love #clubbing #byblos #palace #love,True,0,florianauv ingridbistacoa clubadventures choutey sir_henri_13 deco.neuse tokerlevent annemonwenpin lesmanoirstourgeville ___clemclem___ ,djjacke georgebenson theavener aftershow mythical amazing sttropez lescavesduroy love clubbing byblos palace love ,,true
1034157731654980384,5aEPpNBNMg,101,2,2015-07-21 17:53:50,Tuesday,About Yesterday night... Mythical Summer 2015!  #надоподкачаться 😂 #Repost @timatiofficial #lescavesduroy #stallone #night #clubbing #summer #sttropez #byblos #amazingplace #bestplace #djjacke #thisissttropez,False,N/A,_marcld_ ivan_sharpilov alicja_h bendr_app lucasmrt1 saint_tropez83 bottlebooking sir_henri_13 julienalbertini ,надоподкачаться Repost lescavesduroy stallone night clubbing summer sttropez byblos amazingplace bestplace djjacke thisissttropez ,timatiofficial ,true
1043711163927679297,58AcYWBNFB,48,2,2015-08-03 22:14:48,Monday,✨Welcome back to St-Tropez!✨ #lescavesduroy #djjacke #sttropez #welcometosttropez #love #clubbing #mythical #bestplace #summer #amazingplace,False,N/A,farah_peter clara.hg annignacaprez thisissttropez ninolam82 kmjal99 timotheedebeaumont joao_freitas vicmern elisa_palieri ,lescavesduroy djjacke sttropez welcometosttropez love clubbing mythical bestplace summer amazingplace ,,true
1044343154876404449,5-QJDyBNLh,87,8,2015-08-04 19:10:27,Tuesday,✨100!✨ amazing night! 💯 #cristalroederer #champagne #amazingnight #sttropez #clubbing #bestplace #byblos #palace #summer #summer2015,True,0,annemonwenpin anastasia_chst ttamayojr sacart15 florianauv alexpomeroy nicolodega marcelo_martins_oliveira ,cristalroederer champagne amazingnight sttropez clubbing bestplace byblos palace summer summer2015 ,,true
