SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
BbIMpcvBnrq,17908093486011787,ssjennss,2017-11-05 21:58:06,😂😂😂,,
BbIMpcvBnrq,17892247663124588,lilysirenguyen,2017-11-05 22:31:40,This is too good lol @ssjennss @sf_shopaholic,,ssjennss sf_shopaholic 
BbIMpcvBnrq,17848236352214857,_djchango_,2017-11-10 23:05:57,gonna be LIT🔥🔥🔥,,
BSpT_JYg41D,17853780778158337,baggiofficial,2017-04-09 01:07:10,🤛,,
BZhYXoSBTZm,17899891585011082,djshadowred,2017-09-26 23:46:05,Cool!,,
BZhYXoSBTZm,17884825960081817,femaleartgaze,2017-09-30 05:02:43,Amazing! :),,
BRysY3Xgu25,17920991890174518,i_m_s87,2018-06-22 17:25:49,🔥,,
BUhmGmPgkKq,17895864910016519,aquarelasamba,2017-08-26 16:57:22,@thegrandnightclub Thank you !!,,thegrandnightclub 
9UqEY-GbVr,17845097251018645,muffinseir,2015-10-27 12:22:09,😄,,
BW_ca_VAm0P,17879182684107140,brideside,2017-07-26 02:03:15,💗,,
Bdyq4TbBrSp,17889461725162425,carlinagamez,2018-01-11 16:53:24,@thegrandnightclub what kind of music do y’all play on Saturday nights?,,thegrandnightclub 
Bdyq4TbBrSp,17918199538042481,carlinagamez,2018-01-11 16:54:48,@thegrandnightclub is Latin music only on Friday’s?,,thegrandnightclub 
Bdyq4TbBrSp,17892115495145167,thegrandnightclub,2018-01-11 19:21:50,@carlinagamez depends on the night. We play mainly top 40 &amp; hip hop. Fridays is reserved for our Latino Fridays,,carlinagamez 
BVYdInCgS_a,17884433845005378,derty__,2017-06-16 01:43:45,@f8ful87,,f8ful87 
BVYdInCgS_a,17871134095122286,generacionazul,2017-06-16 04:34:07,That was a blast that night yeee!!@thegrandnightclub,,
BVYdInCgS_a,17859575968181432,_mrwes,2017-06-16 05:05:26,@theerikacruz you're famous!,,theerikacruz 
BGKwAcTGbTN,17857624471055367,myvanslooklikevans,2016-06-02 22:07:36,Whats the secret to your awesome posts @mfthemadvillain would like to know,,mfthemadvillain 
BGKwAcTGbTN,17857652986055367,djr_wan,2016-06-03 20:08:43,Brilliant,,
BGKwAcTGbTN,17857697905055367,untzsf,2016-06-05 07:30:55,💛💗💚,,
BYGvquZAYNO,17870030878153296,indiepushpromo,2017-08-22 22:40:41,nice,,
BBdl4pCGbev,17844253159116542,_tinamarie_,2016-02-07 02:08:45,Aww I love them!,,
BewG7ddB1Fo,17896311937178066,mama.sami,2018-02-03 22:45:28,Yay! I’ll be there 🧡,,
BewG7ddB1Fo,17922801937011753,babyguurloriana,2018-02-03 23:12:07,@mama.sami I knew I recognized the one in the middle! Lol it’s Oriana😁,,mama.sami 
BewG7ddB1Fo,17923415707007857,mama.sami,2018-02-03 23:13:13,@babyguurloriana lol! Small world. Come out soon babe 😘,,babyguurloriana 
BewG7ddB1Fo,17896772287189716,babyguurloriana,2018-02-03 23:20:06,@mama.sami I started following Grand recently lol okay I will!,,mama.sami 
BGXk7iaGbZU,17857493635030615,hosttravel,2016-06-08 08:00:12,Nice!,,
BGXk7iaGbZU,17857566322030615,dylansesco,2016-06-10 14:23:38,🔥,,
BayJEpnBjd5,17878403941165740,its_dominic_miller,2017-11-01 00:43:51,@monaalvarez0,,monaalvarez0 
BayJEpnBjd5,17880512374187754,monaalvarez0,2017-11-01 01:07:56,Yessss @its_dominic_miller,,its_dominic_miller 
BVStv0kAVe-,17860234663148235,l0baby,2017-06-13 22:16:31,Pretty girls 😊 @wheres_wendayy @mama.sami @sierraaaeva @oraredd,,wheres_wendayy mama.sami sierraaaeva oraredd 
