ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
1641617689086950122,BbIMpcvBnrq,56,3,2017-11-05 21:08:45,Sunday,🎉Come party with us for Latino Friday's 🔥🔥FOR VIP BOTTLE SERVICE call/text (415)636-0029🇲🇽🇭🇳🇸🇻🇬🇹🇳🇮🇵🇦🇨🇷🇨🇴🇧🇷🇧🇴🇦🇷🇪🇨🇵🇷 #GrandSF #theGrandNightClub #latinnights #nightclubs #SanFrancisco #top40 #sfvenue #confetti #LatinoFridays #Latinos #latinosbelike #rakas #bayarea #salsa #timba #bachata #merengue #reggaeton #cumbia #hiphop #perreo #punta www.grandnightclub.com,True,536,jaychen007 djmindmotion _rebecarangel omarezekiel puebloespanol angelicarosalia lezlerina maurypogonza sf_shopaholic brandonbeachsound ,GrandSF theGrandNightClub latinnights nightclubs SanFrancisco top40 sfvenue confetti LatinoFridays Latinos latinosbelike rakas bayarea salsa timba bachata merengue reggaeton cumbia hiphop perreo punta ,,true
1488809054108355907,BSpT_JYg41D,77,1,2017-04-09 01:04:51,Sunday,Tonight is filling up fast! Sign up on the Guestlist for 🆓Admission before 11pm at www.grandnightclub.com 🍾For Bottle Service/ Birthday Packages/ Bachelorette Packages call/text (415)636-0029 #grandsf #grandgirls #nightclub #nightlife #bottleservice #bacheloretteparty #birthday,False,N/A,venyou_shakeit nyepdx dvphotovideo qdwrites luck_ten baggiofficial a_doshy8 rav_emusic southfloridanightl liani_does ,grandsf grandgirls nightclub nightlife bottleservice bacheloretteparty birthday ,,true
1612677318491584102,BZhYXoSBTZm,52,2,2017-09-26 22:48:59,Tuesday,🎉Come party with us FRIDAY 🔥FREE BEFORE 11PM! Sign up at www.grandnightclub.com 🔥FOR VIP BOTTLE SERVICE call/text (415)636-0029🇲🇽🇭🇳🇸🇻🇬🇹🇳🇮🇵🇦🇨🇷🇨🇴🇧🇷🇧🇴🇦🇷🇪🇨🇵🇷 #GrandSF #theGrandNightClub #latinnights #nightclubs #SanFrancisco #top40 #sfvenue #confetti #LatinoFridays #Latinos #latinosbelike #rakas #bayarea #salsa #timba #bachata #merengue #reggaeton #cumbia #hiphop #perreo #punta www.grandnightclub.com,True,274,kumbianenaok itsdjacme serr.charles kendrickkim nocturnalsvn luxvee_ realmenhavecats87 therealarien inq94 dj_johndee ,GrandSF theGrandNightClub latinnights nightclubs SanFrancisco top40 sfvenue confetti LatinoFridays Latinos latinosbelike rakas bayarea salsa timba bachata merengue reggaeton cumbia hiphop perreo punta ,,true
1473435250867760569,BRysY3Xgu25,33,1,2017-03-18 19:59:51,Saturday,Come party at the Grand Nightclub TONIGHT🥂🍾 BOTTLE SERVICE call or text (415)636-0029 #nightclub #sanfrancisco #top40 #birthday #nightlife #grandsf #grandnightclub #grandgirlslive #grandnightclubsf,False,N/A,patrickcotugno ayjayloz djtaf ifyouseek_amy deiondsmith fairydancer_jeanette antigonearianna djmindmotion btrends a_doshy8 ,nightclub sanfrancisco top40 birthday nightlife grandsf grandnightclub grandgirlslive grandnightclubsf ,,true
1522665728174604970,BUhmGmPgkKq,51,1,2017-05-25 18:12:01,Thursday,🎉Come party with us this Friday **CARNAVAL EDITION**🔥FREE BEFORE 11PM! Sign up at www.grandnightclub.com 🔥FOR VIP BOTTLE SERVICE call/text (415)636-0029🇲🇽🇭🇳🇸🇻🇬🇹🇳🇮🇵🇦🇨🇷🇨🇴🇧🇷🇧🇴🇦🇷🇪🇨🇵🇷 #GrandSF #theGrandNightClub #latinnights #nightclubs #SanFrancisco #top40 #sfvenue #confetti #LatinoFridays #Latinos #latinosbelike #rakas #bayarea #salsa #timba #bachata #merengue #reggaeton #cumbia #hiphop #perreo #punta #carnaval www.grandnightclub.com,False,N/A,earnest_producer kendrickkim edithhdz26 redhummingbird_melbourne lilysirenguyen lifting_e carolinecerceau souleros southwinchesterbbq escudodepalabra ,GrandSF theGrandNightClub latinnights nightclubs SanFrancisco top40 sfvenue confetti LatinoFridays Latinos latinosbelike rakas bayarea salsa timba bachata merengue reggaeton cumbia hiphop perreo punta carnaval ,,true
1104692828255663467,9UqEY-GbVr,39,1,2015-10-27 01:34:28,Tuesday,This Hallows' Eve  Friday night  we're completely SOLD OUT! Get your tickets now for #Halloween Saturday night! www.grandnightclub.com (link in bio) Questions? Call/text us! 415.636.0029 #thegrandnightclubsf #thegrandsf #halloweensf2015 #vip #soldout #vipclubscene #sf #sfnightlife #soma,False,N/A,turntabletykoonz customvideos vinpix kokobeeverywhere rodneydeth _oliveoyl marcdevasconcelos duckster415 theholycow yngstroreo ,Halloween thegrandnightclubsf thegrandsf halloweensf2015 vip soldout vipclubscene sf sfnightlife soma ,Friday we're ,true
1567096195355143439,BW_ca_VAm0P,47,1,2017-07-26 01:27:25,Wednesday,Celebrating a bachelorette party? 👰🏻💐💍 call/text 415-636-0029 for our bachelorette packages 💋 #grandgirls #grandnightclub #grandnightclub #GrandSF #nightlife #nightclub #bridalparty #bridesmaids #bridetobe #bacheloretteparty #bachelorette,False,N/A,eyedialogue sf_shopaholic frankiesperth allison._.joy sierraaaeva kushcenter kendrickkim jennaeffinvaught lagrandelsa wtfgamersonly ,grandgirls grandnightclub grandnightclub GrandSF nightlife nightclub bridalparty bridesmaids bridetobe bacheloretteparty bachelorette ,,true
1752513709152391202,BhSLe7qB9Ai,28,0,2018-04-07 21:18:55,Saturday,Come party with us tonight! For Bottle service call/text 415.636.0029 #grandgirl #bottleservice #birthday #birthdaygirl #grandsf,False,N/A,lilysirenguyen angelicarosalia lvl44sj lina_munozzz pgalindo235 mr7two7 holdmywood cottoncandycoral showtimedjx itsdjacme ,grandgirl bottleservice birthday birthdaygirl grandsf ,,false
1253850333597775816,BFmkjw3mbfI,36,0,2016-05-19 20:43:49,Thursday,This Friday ~  LADIES NIGHT:: Ladies Group 6+ Get Comp Champagne 🍾  #thegrandnightclub #thegrandsf #thegrandgirls #grandgirlslive #vipbottleservice #bottleservice #popbottles #popchampagne #sfnightlife #nightlife #sfnightclub #nightclub #dance #edm #house #top40 #hiphop #dj #livedj #confetti #venue #sfvenue #love #beautiful #latin #nickyjam #romeosantos #bachata #reggaeton #latinpop,True,133,thegrandgirls dking730 cecilienk viva_lettochka _houseofleggings.ru_ sf_shopaholic fineplay_music hoodratmgl lilysirenguyen cottoncandycoral ,thegrandnightclub thegrandsf thegrandgirls grandgirlslive vipbottleservice bottleservice popbottles popchampagne sfnightlife nightlife sfnightclub nightclub dance edm house top40 hiphop dj livedj confetti venue sfvenue love beautiful latin nickyjam romeosantos bachata reggaeton latinpop ,LADIES ,false
1309658278187441958,BIs10Pggx8m,43,0,2016-08-04 20:44:14,Thursday,DVNO Latin Party this Friday @thegrandnightclub 💃🏽 BEST LATIN NIGHT IN SF! Free Guestlist before 11pm (LINK IN BIO) 🍾Bottle Service 📞Call/Text 415.636.0029 . #donomar #furruko #nickyjam #latin #latino #latinnight #sanfrancisco #sfnightlife #sfnightclubs #latinos #latinosbelike #balia #salsa #bachata #romeosantos #merenge #vipbottleservice #vıp #bottleservice,True,269,abmentertainmentworldwide cottoncandycoral humorimperialista djmindmotion a_doshy8 eddieecee_ pugasounds margareeeetaaaa _007jimenezzzz ,donomar furruko nickyjam latin latino latinnight sanfrancisco sfnightlife sfnightclubs latinos latinosbelike balia salsa bachata romeosantos merenge vipbottleservice vıp bottleservice ,thegrandnightclub ,false
