ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
1685046237839973362,BdifKAkj1vy,134,1,2018-01-04 19:13:06,Thursday,Grab your girls  and let's kick off the weekend TONIGHT at Oxford Social Club!,False,N/A,anyaaadoll don_de_anda candido8637 sillykrilly nehalajaan awardboominthepromoter _sweet.dulce.soraya_ diamante_wildside hlockmoney chrisdolcesd ,,and ,true
1569075756888423826,BXGehZrAv2S,230,2,2017-07-28 19:00:27,Friday,#FridayFeels when @WALE is at Oxford Social Club tonight!,False,N/A,joey_m_p nena_oj619 tbagging h3ct0r243 rapidocleaningsd mrdh87 sdxplosion markwbuehler moment4life81 hjharris1 ,FridayFeels ,WALE ,true
1706691391608593834,BevYsc6DB2q,231,5,2018-02-03 15:58:09,Saturday,FEB 9-10 | Save the date ✔️ This babe👆🏼will be joining us next weekend to celebrate #OxfordTurnsOne at @pendrysandiego🎈with @ericdlux &amp; @djfive @saintclairmusic  Sign up for our guest list: TheOxfordSD.com,False,N/A,diz_dez msnichols86 edithproy shvedig anthony_afonsoo omiezus brmartins bednightstories colonelcopin kayliekay22 ,OxfordTurnsOne ,pendrysandiego🎈with ericdlux djfive saintclairmusic Sign ,true
1557831967506975427,BWeh-uzAErD,258,5,2017-07-13 06:41:03,Thursday,It doesn’t matter if the glass is half empty or half full  there’s always room for more! #OxfordNights  Guestlist Link in Bio,False,N/A,fabiofelipe31 shannon_stoves luluonthe_beat jvictoria04 nick_andrews_4 meow_eats yazzi0990 plsar mttmndz bollweezy ,OxfordNights ,there’s Guestlist ,true
1695194090708949332,BeGigtCDFlU,639,29,2018-01-18 19:15:04,Thursday,When life gives you lemons  add tequila! Meet us under #pendrysandiego TONIGHT for sounds by @CraigSmoove at Oxford Social Club!  Click the link in our bio for guest list consideration.,False,N/A,kings10town thaddeusadventurous spincovictoria 4evrmysonangelo gturtle sam_kleiman _ifyouseekay__ ssgoldtravel beautytherapysd jenfalcione ,pendrysandiego ,add CraigSmoove Click ,true
1449727822448251898,BQed8YGB1P6,228,35,2017-02-14 02:57:25,Tuesday,If you don't know  now you know... #oxfordnights,True,2344,elizabeth_louise_interiors cait_teixeira alexfarrarii 4mo44 ali_tokyo____ lindabraido joey_m_p airotciv_yksnimak acostathekid neniche ,oxfordnights ,now ,true
1605429605689232426,BZHobhvAIwq,122,1,2017-09-16 22:49:04,Saturday,Saturday Night Fever.,False,N/A,valerie_victoria alicekulidjian kvng_jay0421 johannapartida v_rodd nikprboutique agentbaz saintclairmusic jbladow elizabethrabena ,,,true
1515042021025494166,BUGgrDrA7SW,133,3,2017-05-15 05:45:04,Monday,Can we rewind &amp; start the weekend over? #oxfordnights,False,N/A,kaylynsenna m0ns cpartida jase.andrewl mrs.renteria2017 paige_flinn katelynmarie73 joannafravel antonysazerac _joshuaa ,oxfordnights ,,true
1747411164046281637,BhADTINh8ul,164,3,2018-03-31 20:21:05,Saturday,Weekend #Mood 🐰,False,N/A,diamante_wildside la_esposa_del_habibi anna_khattar ruccababy bobskibinski easyonthecheeks anthony_afonsoo bdavidge kevinpfulmer beedoll ,Mood ,,true
1504035999154559869,BTfaMXDAdt9,186,0,2017-04-30 01:18:04,Sunday,Dress me up &amp; take me out #oxfordnights,False,N/A,luigi.sd dickey555 karpediem diegolunaaa joebrooksforever baly415 jbladow missmillean christa_mendez3 rob_scandal ,oxfordnights ,,false
