SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
BLrTye9j85P,17863073584058642,mohassanali,2016-10-17 20:03:37,@thestevenlee108,,thestevenlee108 
BLrTye9j85P,17863078036058642,awesome_adri,2016-10-17 21:04:23,Major🔑,,
BLrTye9j85P,17863078858058642,ngfab,2016-10-17 21:35:39,@katieknipp,,katieknipp 
BLrTye9j85P,17863081147058642,rickyyfelipee_,2016-10-17 23:07:53,@armandopina3,,armandopina3 
BLrTye9j85P,17863082869058642,llcrs_,2016-10-18 00:11:58,@riccarbajal it's lit,,riccarbajal 
BLrTye9j85P,17863086823058642,viri_z_roslaes,2016-10-18 02:36:18,@shorte80luv this was the place I was telling you about,,shorte80luv 
BLrTye9j85P,17863087321058642,shorte80luv,2016-10-18 02:52:46,Omg omg omg @viri_z_rosales  let's  go,,viri_z_rosales let's go 
BLrTye9j85P,17863087642058642,viri_z_roslaes,2016-10-18 03:05:02,Let's do it! But Tiesto is going to be there Sunday I love him 😩 @shorte80luv,,shorte80luv 
BLrTye9j85P,17863087960058642,shorte80luv,2016-10-18 03:19:45,@viri_z_rosales  how much ate the tickets,,viri_z_rosales how 
BLrTye9j85P,17863093813058642,viri_z_roslaes,2016-10-18 04:13:38,I believe they are 20?? Not to sure tho I'll find out,,
BLrTye9j85P,17863093831058642,viri_z_roslaes,2016-10-18 04:13:51,@shorte80luv,,shorte80luv 
BLrTye9j85P,17863108477058642,tayo4518,2016-10-18 12:30:11,Damn not even Dj snake? @alejandrerafael,,alejandrerafael 
BLrTye9j85P,17863110388058642,rafa_a742,2016-10-18 13:33:16,Il pass lol,,
BLrTye9j85P,17863118749058642,mohassanali,2016-10-18 17:28:07,@ramxriddlz,,ramxriddlz 
BLrTye9j85P,17863133506058642,__ifinesse__,2016-10-18 23:40:28,Hey check your inbox please.,,
BVkwEMNlbXi,17862882193139802,anisa.dagher,2017-06-20 20:09:20,❤❤,,
BVkwEMNlbXi,17860380649179257,bretbalestri,2017-06-20 20:19:14,@daniellebeeman,,daniellebeeman 
BVkwEMNlbXi,17872150948126628,amandabagby,2017-06-20 22:05:54,😍😍😍,,
BVkwEMNlbXi,17859410392169204,torshaa,2017-06-20 23:49:48,🔥🔥🔥,,
BV8EtJwlDVq,17863743580134440,juliya0514,2017-06-29 21:39:24,@terletska @andrew_garsyk @yaaccchi  we are so going!,,terletska andrew_garsyk yaaccchi we 
BV8EtJwlDVq,17861192116162503,y.a.c.h.ii,2017-06-29 21:52:34,Why on Wednesday????? 😕😕,,
BV8EtJwlDVq,17881421869065351,nur_sovetov,2017-06-29 21:56:05,@prysmnightclub Wednesday? 😂,,prysmnightclub 
BV8EtJwlDVq,17886004777049476,derrickrage,2017-06-29 22:01:57,Sick,,
BV8EtJwlDVq,17886079357012649,little_ak47,2017-06-29 22:26:21,@riileyro wtf wed,,riileyro 
BV8EtJwlDVq,17862293461145288,little_ak47,2017-06-29 22:26:40,@justyy__k,,justyy__k 
BV8EtJwlDVq,17886692251057876,kait_weaver,2017-06-29 22:27:39,@aleisha_mcateer,,aleisha_mcateer 
BV8EtJwlDVq,17886156001057036,grindmygeers,2017-06-29 23:11:12,@admbagwell,,admbagwell 
BV8EtJwlDVq,17861260891183058,justyy__k,2017-06-29 23:30:49,Damn I'll be in Cali @little_ak47,,little_ak47 
BV8EtJwlDVq,17886470260059571,christivn.grey,2017-06-30 00:12:23,@finally_erik @tino.0 ayyyy 👴🏼lol,,finally_erik tino.0 
BV8EtJwlDVq,17860474315168644,tino.0,2017-06-30 00:15:46,@christivn.grey only grandparents go out on a Wednesday lol,,christivn.grey 
BV8EtJwlDVq,17860719886184667,tino.0,2017-06-30 00:15:50,@christivn.grey only grandparents go out on a Wednesday lol,,christivn.grey 
BV8EtJwlDVq,17874621325099799,earora,2017-06-30 01:15:07,@nick_biggs 🤔,,nick_biggs 
BV8EtJwlDVq,17886985621012568,frankkgonzales,2017-06-30 01:42:37,@ozzzysalazar @eligreenspon21,,ozzzysalazar eligreenspon21 
