ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
1372945659443751160,BMNrs2XDyj4,123,0,2016-10-31 04:24:58,Monday,@Cubs win! Come celebrate with @tiesto​ tonight at @PRYSMnightclub​! #FlyTheW #WorldSeries #2moreWins,False,N/A,denisse_anahi_z meeukee1 chrstine730 ryaninthecity sohlees0204 joze_cruz tannerchap13 josh_plattner83 hectorbass imr131487 ,FlyTheW WorldSeries 2moreWins ,Cubs tiesto​ PRYSMnightclub​! ,false
1363270344312344143,BLrTye9j85P,72,16,2016-10-17 20:01:50,Monday,Major 🔑 Alert ! Another ☝️! Our 3rd special guest for our #MasqueradeBall on Saturday  Oct. 29th is @djkhaled! Tickets on sale now! For reservations call 312-546-4141 #DJKahled  #Halloween2016,False,N/A,tinaaa_noel scenteno871 fresca_8 ally0katt corey_zieba nicolepagonis_ lysstolter romldn agnieszka_szkodzinska djsimone ,MasqueradeBall DJKahled Halloween2016 ,Oct. djkhaled! ,true
1590234455842519122,BYRpc_qFHhS,145,0,2017-08-26 23:39:01,Saturday,Come have a fun night with your girls at PRYSM! DM for guest lists 🍾🎉🥂 • • • • #PRYSM #FAMEsaturdays #comeparty #chicagonightlife,False,N/A,meech99 yuliyaurban delaneyfiorito urantob_s oliviapura belizean__butterfly keepitgee_floyd djscene dima_kinash sean_feng88 ,PRYSM FAMEsaturdays comeparty chicagonightlife ,,false
1541568366690809314,BVkwEMNlbXi,57,4,2017-06-20 20:08:11,Tuesday,We're obsessed with @shopakira latest lookbook "Club Night Secrets" that was shot at PRYSM! I'll take one of everything 😍 . . . . . #akira #akirachicago #chicago #prysm #club #fashion,False,N/A,olsonhb3 stelmaszchick j.dairen daver_8749 christenmcgruder te_veo_nyc djsimone ms_yasia anisa.dagher natcarpizo ,akira akirachicago chicago prysm club fashion ,shopakira ,true
1466824597513363024,BRbNTMqlt5Q,30,0,2017-03-09 17:05:39,Thursday,ON SALE NOW! @garethemery at @PRYSMnightclub on May 5th! #garethemery #SavingLightTour #DETOURfridays #chicagonightlife #prysmnightclub,False,N/A,benelliottmusic dj_alon.cain chillinlikeafridge djchava_ 7jimmyt7 mashka88b the_tony_f gtgyk elizabethluiss brandnives ,garethemery SavingLightTour DETOURfridays chicagonightlife prysmnightclub ,garethemery PRYSMnightclub ,false
1548133066949801322,BV8EtJwlDVq,180,20,2017-06-29 21:31:04,Thursday,JUST ANNOUNCED! @Tiesto at @PRYSMnightclub on August 2nd! Ticket link in bio. #tiesto #prysm #prysmnightclub #chicago,False,N/A,flukemasterj mashka88b amp1group hishamgadelrab ryaninthecity glam_marquezy emilyanne133 m_persico7 evandorosheff jaystar_nmg ,tiesto prysm prysmnightclub chicago ,Tiesto PRYSMnightclub ,true
1515361114976027787,BUHpOfElgSL,58,2,2017-05-15 16:19:03,Monday,I swear....🙄🙄 Thanks for spending your weekend at PRYSM! See you again on Friday!! . . . . . #DETOURfridays #FAMEsaturdays #prysm #prysmnightclub #mondays #chicago,False,N/A,jennamariewebster fresca_8 bmate primebriel jasmynnive prettyrikki08 theycallmelipss seldinabahic burn.365 parisdise ,DETOURfridays FAMEsaturdays prysm prysmnightclub mondays chicago ,,true
1537098870563456217,BVU30dklsTZ,75,2,2017-06-14 16:08:06,Wednesday,#WCW to @helenalegend 😍😍 don't miss her at #DETOURfridays July 28th! . . . . . #prysm #helenalegend #friday #july #summer #chicago,False,N/A,come2cracow tumi_786 sherminthebooth majogoa arubio13 undead_lion13 manny__stylez christenmcgruder bbleiman_27 djay_rain ,WCW DETOURfridays prysm helenalegend friday july summer chicago ,helenalegend ,true
1780127266640963211,Bi0SFFHHyaL,70,6,2018-05-15 23:44:00,Tuesday,Here’s a recap of the Chicago super duos throw down at PRYSM last week. @krewella 🎉🤯 . Sorry for your FOMO ahead of time.,True,728,joro45 lariotsofficial rjjsx91 addzenglish 312photochronicles justkarlin gabrielsolerp yourstrulynando yeisalazar janekorolenko ,,krewella ,true
1325659417882892506,BJlsDeID5ja,75,0,2016-08-26 22:35:39,Friday,Elevate your weekend with the @GemsOfPRYSM! For Reservations call 312-546-4141 #PRYSMfridays #ElevateYourNightlife #BottleService #PRYSMnightclub #PRYSMchi,False,N/A,marcelalaciak eia8585 m_persico7 acmalki iamsarahclarkk _briizey gtgyk voynikov88 agnieszka_szkodzinska djmrshaw ,PRYSMfridays ElevateYourNightlife BottleService PRYSMnightclub PRYSMchi ,GemsOfPRYSM! ,false
1340887654749474940,BKbyje5DJB8,40,0,2016-09-16 22:51:26,Friday,@CedricGervais makes his @PRYSMnightclub debut tonight! Come elevate your nightlife experience! #CedricGervais #Chicago #Nightlife #BottleService #PRYSMnightclub,False,N/A,bayati_music frankied905 jsolaye kfelfs_ christenmcgruder iamsarahclarkk lysstolter aaber91 djsimone lord_cam66 ,CedricGervais Chicago Nightlife BottleService PRYSMnightclub ,CedricGervais PRYSMnightclub ,false
1398799833347449295,BNpiQmKjOHP,101,4,2016-12-05 20:32:36,Monday,JUST ANNOUNCED! @madeon at @PRYSMnightclub on Friday  December 30th! Get tickets today! #Madeon #PRYSMnightclub,False,N/A,arpanoverload makeup.by.elvira djsimone free_guestlist_vegas tevers13 priimo_djs iloverxskaudi benelliottmusic dave_lasvegas_promoter3 penguins_70 ,Madeon PRYSMnightclub ,madeon PRYSMnightclub December ,true
