SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
BKQuMU6gEUc,17842302649160004,mitschael,2016-09-12 16:20:40,@sara_snk__ 🎉,,sara_snk__ 
BKQuMU6gEUc,17842303168160004,sara_snk__,2016-09-12 16:47:43,🙈 @mitschael,,mitschael 
BKQuMU6gEUc,17842304854160004,sara_zorlak,2016-09-12 18:13:52,Die in der Mitte wooow tolle Haare nice Face,,
BKQuMU6gEUc,17842307131160004,stevi1da,2016-09-12 20:06:16,Da  könnte man platzieren ❤️,,könnte 
BDBJ_XrndI0,17845669675101235,2hot2pay,2016-03-16 15:01:41,nice profile! follow us for the newest party informations,,
BFGmsqTHdLY,17856032068032701,rudasstudios,2016-05-07 12:57:14,@chiara_stk nächste mal geht auf Haus. Sag bescheid!!! Danke für den Besuch,,chiara_stk 
BFGmsqTHdLY,17856034828032701,chiara_stk,2016-05-07 14:59:45,😊👍🏼🎉🎉,,
BFGmsqTHdLY,17856037969032701,tobiasrtr,2016-05-07 17:24:52,💪🏻😄 @chiara_stk,,chiara_stk 
BFGmsqTHdLY,17856038047032701,rudasstudios,2016-05-07 17:27:15,@tobiasrtr das gilt auch für dich....,,tobiasrtr 
BFGmsqTHdLY,17856060199032701,tobiasrtr,2016-05-08 13:52:08,Top @rudasstudios 💪🏻,,rudasstudios 
BFJmac7HdDm,17856775864059806,koenig_loewenherz,2016-05-16 15:02:52,Vielen vielen Dank für eure zahlreichen #LIKES !!!😍👏🏼 sollte ich demnächst wohl mal bei euch vorbei schauen 😊💃🏼🍾🍸🍹🎊🎉,LIKES ,
BFJmac7HdDm,17856778042059806,rudasstudios,2016-05-16 16:33:02,@koenig_loewenherz Yuppie du bist herzlich willkommen,,koenig_loewenherz 
BH6eYdrAoA6,17858771371046591,thesimplepic,2016-07-18 11:18:26,good job :),,
BDAnA20ndLq,17854706704044216,2hot2pay,2016-03-16 10:18:00,👏,,
BDAnA20ndLq,17854707094044216,_mo_155,2016-03-16 10:24:45,💥💥💥 @ja_shl,,ja_shl 
BDAnA20ndLq,17854709104044216,australian_german_fitcouple,2016-03-16 11:06:30,I inboxed you,,
BLs7XjqAp9m,17843389645192337,mc.mr.biggz,2016-10-18 11:10:32,Happy B-Day to one of the nicest clubs I ever used to make music before 🙏🏻🙌🏻👌🏻 @rudasstudios,,rudasstudios 
BLs7XjqAp9m,17843396839192337,okiniirestaurants,2016-10-18 17:21:22,😍,,
BH28A-WgfTM,17858622862032943,larslucian,2016-07-15 06:41:12,Sexy 👌,,
BH28A-WgfTM,17858798752032943,asos_ger_official,2016-07-20 00:46:01,💪🏽,,
BH28A-WgfTM,17909407411009116,djbens,2017-11-20 19:16:12,☺️☝️,,
BIX9KAeg96v,17853080935069491,asos_ger_official,2016-07-28 02:04:11,🔥🔥🔥,,
BMRhEuXgkox,17864489875048500,erfolgscoach.paul,2016-11-01 16:55:01,✅ das gefällt mir,,
BMRhEuXgkox,17864713921024628,peter.chadwick.9,2016-11-02 16:26:26,😃,,
BMRhEuXgkox,17854847137095615,ankesfotos00,2016-11-22 20:31:36,👍,,
BHyqKu-gRQS,17849273170120489,verit.as,2016-07-13 08:42:40,@andreasbastron 💋👌🏼,,andreasbastron 
