ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
1244849695551771261,BFGmDPeHdJ9,19,0,2016-05-07 10:41:09,Saturday,#LastNight #RudasStudios #Düsseldorf #MedienHafen #Party #NiceEvening Follow @krissi2202 @evaficarra,False,N/A,kunnawat_b thai_cutegirl kiorleone kunstmitdschingis ntinaki_tzima rudasstudios has_44 shadicavalli gasbrozzers ,LastNight RudasStudios Düsseldorf MedienHafen Party NiceEvening ,krissi2202 evaficarra ,false
1337772246558590236,BKQuMU6gEUc,90,5,2016-09-12 15:41:40,Monday,#rudasstudios #rudas #lollipoplovesu #place2be #highclass #models #bestclubintown #düsseldorf #medienhafen #fashion,False,N/A,julkaostrowski herotecx cosimo187 jenny_eatcooksun anabelluisa easiesedgwick r._euler nicky_nvx serj_von_k angelina__t ,rudasstudios rudas lollipoplovesu place2be highclass models bestclubintown düsseldorf medienhafen fashion ,,true
1207290112285463092,BDBJ_XrndI0,21,1,2016-03-16 14:56:58,Wednesday,Follow @cinderelly___ @valeria_ma26 @diamondgirlsgang #rudasstudiosdüsseldorf #rudasstudios #nicegirls #mediahafendüsseldorf,False,N/A,shaunbaptiste fafari7 valeria_ma26 lauraxxy_ marc_maehler diamondgirlsgang iammelinaa diddyyrocktt corinna_str_ 2hot2pay ,rudasstudiosdüsseldorf rudasstudios nicegirls mediahafendüsseldorf ,cinderelly___ valeria_ma26 diamondgirlsgang ,true
1244852541856797400,BFGmsqTHdLY,37,5,2016-05-07 10:46:48,Saturday,#LastNight #RudasStudios #Düsseldorf #MedienHafen #Party #NiceEvening Follow @tobiasrtr @chiara_stk,False,N/A,mtvanwijck lenaaxyz moonlightfag tobiasrtr chiara_stk rudasstudios clubsandwichevent gasbrozzers shadicavalli isthatmirko ,LastNight RudasStudios Düsseldorf MedienHafen Party NiceEvening ,tobiasrtr chiara_stk ,true
1235581968437859105,BElq0D_ndMh,18,0,2016-04-24 15:47:50,Sunday,#LastNight #RudasStudios #Düsseldorf #MedienHafen #Party #NiceEvening,False,N/A,bassambassam22 lauraxxy_ shirinita__ fafari7 rudasstudios diamondgirlsgang shirintabatabai has_44 essen.pics billionaires_nightlife ,LastNight RudasStudios Düsseldorf MedienHafen Party NiceEvening ,,false
1245695715475050726,BFJmac7HdDm,29,2,2016-05-08 14:42:02,Sunday,#LastNight #RudasStudios #Düsseldorf #MedienHafen #Party #NiceEvening #Secret48,False,N/A,lunacosma danitatarsky candybrenkman gasbrozzers shadicavalli federica.fer rudasstudios has_44 ,LastNight RudasStudios Düsseldorf MedienHafen Party NiceEvening Secret48 ,,true
1295481465345310778,BH6eYdrAoA6,107,1,2016-07-16 07:17:26,Saturday,#TuesdayNight #Afterwork #RudasStudios #Düsseldorf #MedienHafen #Party #NiceEvening Follow @jilmariee @leakrooss Today: Sweet Monkeys,False,N/A,elpagna valentinblanchot ecd_exklusive_chauffeur mrt.c58 laur.i07 betty_und_betty dennysachs_tokyomania kanikani_munich shadicavalli ,TuesdayNight Afterwork RudasStudios Düsseldorf MedienHafen Party NiceEvening ,jilmariee leakrooss ,true
1287903078539890811,BHfjQa9gJB7,31,0,2016-07-05 20:20:32,Tuesday,#SaturdayNight #RudasStudios #Düsseldorf #MedienHafen #Party #NiceEvening #Secret48 Follow @majaontherocks,False,N/A,melih_35 lj_caruso _sven__k henloh96 djpreacher vladakuc vivianmiaa gorn_0301 herotecx vikking_7 ,SaturdayNight RudasStudios Düsseldorf MedienHafen Party NiceEvening Secret48 ,majaontherocks ,false
1207136282814042858,BDAnA20ndLq,25,3,2016-03-16 09:51:20,Wednesday,Follow her @ja_shl 👌👌👌#rudasstudios #nicegirl #düsseldorf,False,N/A,asaadschneiderei shewanart rudasstudios _mo_155 g13reta onlyalias its.pere lauraxxy_ 2hot2pay lenawitha ,nicegirl düsseldorf ,ja_shl ,true
1363725890764316518,BLs7XjqAp9m,126,3,2016-10-18 11:06:56,Tuesday,Last Saturday Birthday Celebration! 🍾🍾🍾 #Rudasstudios #rudas #birthdayparty#bestespublikum #medienhafen #düsseldorf #bestclubintown #goodvibes #models #highclass #place2be #cupcakes #moet #domperignon #veuveclicquot #taittinger,False,N/A,judit_le s0mewhere0vertherainb0w shadicavalli lauraxxy_ gina.ginella djmighty steve.dimopoulos gasbrozzers ,Rudasstudios rudas birthdayparty medienhafen düsseldorf bestclubintown goodvibes models highclass place2be cupcakes moet domperignon veuveclicquot taittinger ,,true
