SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
BAvrpgOK0P2,17852860663041701,ramlochan,2016-01-20 06:24:13,Holy shit I spotted myself! 😍😍🤗,,
-4g8KDq0L5,17849243725062141,patriciaivanna,2015-12-04 20:28:42,👏🏼🙌🏼 ayeeeee see you all tonight #lookbackatit,lookbackatit ,
-4g8KDq0L5,17849246032062141,kevin.roller.jr,2015-12-05 00:46:20,@therealdoms,,therealdoms 
-4g8KDq0L5,17854734151062141,nurse.angelaaa_,2016-03-26 22:29:59,@elikalove,,elikalove 
Bc28GfAHSub,17912969965016027,cmfbueno,2017-12-18 21:42:07,@triziarroyo @whatdaphck  @louweeslane @gomezgela,,triziarroyo whatdaphck @louweeslane gomezgela 
Bc28GfAHSub,17853895537223243,joannatroth,2017-12-18 21:42:27,@hales2theyeah @emrycohenour @annemariecamille,,hales2theyeah emrycohenour annemariecamille 
Bc28GfAHSub,17887226230192808,emrycohenour,2017-12-18 21:43:45,@meliagranath @siennaleigh11 @carsontroth,,meliagranath siennaleigh11 carsontroth 
Bc28GfAHSub,17853835573220702,annielle_c,2017-12-18 21:53:14,@aliinereiss @jessfernandess @laurita.be,,aliinereiss jessfernandess laurita.be 
Bc28GfAHSub,17908925860070847,sweetmimi1288,2017-12-18 22:07:31,@frankdurtank @x3ashlee @yourgemini_ ♥️💕,,frankdurtank x3ashlee yourgemini_ 
Bc28GfAHSub,17900738206111721,itzallenyo,2017-12-18 22:13:59,@jetreeey @curtislee87 @therightdericktion,,jetreeey curtislee87 therightdericktion 
Bc28GfAHSub,17901495250113675,little.liane,2017-12-18 22:29:42,@leechiiberrii @phanpy @sweet.topps,,leechiiberrii phanpy sweet.topps 
Bc28GfAHSub,17854358455210444,sweet.topps,2017-12-18 22:30:45,@leechiiberrii @little.liane @genuine__apparel,,leechiiberrii little.liane genuine__apparel 
Bc28GfAHSub,17896454167081824,leechiiberrii,2017-12-18 22:31:54,@little.liane @homosap_ian @sweet.topps,,little.liane homosap_ian sweet.topps 
