SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
BJWF1VdBXX3,17861859430043245,florentalex,2016-08-25 06:05:35,#JEAN #MEMORIES &lt;3,JEAN MEMORIES ,
Bcp5Y72HSQj,17882959702174162,jldellanoce,2017-12-13 12:16:54,@bafi84,,bafi84 
Bcp5Y72HSQj,17899994737118114,ludovicapellegri,2017-12-13 12:27:50,@mdelbue @valepellegri,,mdelbue valepellegri 
Bcp5Y72HSQj,17884721620160249,felixbraunsperger,2017-12-13 12:38:10,@laura_estermann @niklas_est,,laura_estermann niklas_est 
Bcp5Y72HSQj,17888952196141861,valepellegri,2017-12-13 12:53:52,🙌🏼 pronti @ludovicapellegri @mdelbue,,ludovicapellegri mdelbue 
Bcp5Y72HSQj,17899206772112130,luismiaguirre,2017-12-13 12:54:09,Let’s go @kgsiller eastern St Tropez,,kgsiller 
Bcp5Y72HSQj,17853013000223530,luischuks,2017-12-13 12:57:51,ufff @pacogoi83 @ricardoguiz @jmpert1,,pacogoi83 ricardoguiz jmpert1 
Bcp5Y72HSQj,17895840376080366,kgsiller,2017-12-13 13:17:11,@luismiaguirre ame ese lugar!!!! Vamos otra vez,,luismiaguirre 
Bcp5Y72HSQj,17907485749068864,jh_hlgr,2017-12-13 13:17:51,@margotngs,,margotngs 
Bcp5Y72HSQj,17912841664001746,thibault.dll.art,2017-12-13 13:44:18,@tanguydll 😍,,tanguydll 
Bcp5Y72HSQj,17914551748055762,alizemachet,2017-12-13 14:19:51,@christianfernandez1496 @julienmachet,,christianfernandez1496 julienmachet 
Bcp5Y72HSQj,17912496220046049,roberttchenguiz,2017-12-13 14:33:26,Home 🏠,,
Bcp5Y72HSQj,17900054215109375,safihachem,2017-12-13 14:43:59,@raedghraoui haha,,raedghraoui 
Bcp5Y72HSQj,17912311687050383,shinepapers,2017-12-13 15:41:59,💛💛💛,,
Bcp5Y72HSQj,17895716797080705,mymycarda,2017-12-13 15:54:38,@rescypriano,,rescypriano 
Bcp5Y72HSQj,17884910896165744,aydeli_,2017-12-13 17:20:27,@kgsiller no se olviden de la madrina 😡,,kgsiller 
Bcp5Y72HSQj,17913021805010668,kittenleexo,2017-12-13 22:04:02,great post,,
Bcp5Y72HSQj,17912406019049918,fineartzone,2017-12-13 22:39:21,wow!,,
Bcp5Y72HSQj,17888219791131128,laylahal,2017-12-14 00:32:06,@mapiedicaro @mia.2b on bloque,,mapiedicaro mia.2b 
Bcp5Y72HSQj,17899765069112492,amandawienberg,2017-12-14 00:43:24,@carlacavalli299 on reviens juste pour un weekend😎,,carlacavalli299 
Bcp5Y72HSQj,17854554850207613,carlacavalli299,2017-12-14 00:46:55,@amandawienberg ouiiiiii comme never ❤️,,amandawienberg 
Bcp5Y72HSQj,17913596329011352,aliice.godiin,2017-12-14 00:48:31,@marine_grc on adore ces escaliers,,marine_grc 
Bcp5Y72HSQj,17887785895132419,lauraestermann,2017-12-14 02:28:26,@felix.braunsperger want back😩,,felix.braunsperger 
Bcp5Y72HSQj,17913434428037886,psymon.photography,2017-12-14 08:36:55,👍👍,,
Bcp5Y72HSQj,17888473786133197,mdelbue,2017-12-14 10:04:39,Vediamo se finalmente riusciamo a fare un opening insieme @ludovicapellegri @valepellegri 🤩,,ludovicapellegri valepellegri 
Bcp5Y72HSQj,17853718585208928,andi_hagspiel,2017-12-14 10:38:18,nice 😉,,
Bcp5Y72HSQj,17853833833209312,tin0_m3,2017-12-14 12:27:20,Yeah! 💪 🤘🙃,,
Bcp5Y72HSQj,17912140045024005,marcopinelli,2017-12-14 14:31:05,you rock! 😎,,
Bcp5Y72HSQj,17853811459210633,edgarderamon,2017-12-14 20:16:10,Great,,
Bcp5Y72HSQj,17853727606213303,roropics,2017-12-15 03:40:19,@manza9  tu connais cet escalier 😂😂😂,,manza9 tu 
Bcp5Y72HSQj,17883364231175374,thatguyhakan,2017-12-15 10:12:38,Yeah!,,
Bcp5Y72HSQj,17913491296040218,viixent,2017-12-15 13:23:51,Check out our page!,,
Bcp5Y72HSQj,17912978638030137,tdo.wen,2017-12-15 14:37:08,Nice,,
Bcp5Y72HSQj,17890462180143577,vagrantaim,2017-12-15 17:31:12,Great colour theme.  Orange with a hint purple.  Noice!,,Orange Noice! 
Bcp5Y72HSQj,17896149847088131,pp_primepresents,2017-12-16 11:24:41,Exzellent! 🍸... bitte mehr davon,,
Bcp5Y72HSQj,17888467327190139,marcel__werner,2017-12-16 16:33:45,Great 👌,,
Bcp5Y72HSQj,17887306432146061,miss.d.gallery,2017-12-16 23:54:59,🌅,,
Bcp5Y72HSQj,17885184712166693,drunkyoga,2017-12-17 10:37:42,Omg take us there,,
Bcp5Y72HSQj,17885136442162793,pubcrawlerz,2017-12-17 15:14:11,Super like! :),,
Bcp5Y72HSQj,17913497347023155,whats_going_on_world_,2017-12-17 16:15:00,👍,,
Bcp5Y72HSQj,17886821662158853,alexandermetzger_,2017-12-19 11:29:46,Echt cool😊 Liebe Grüße,,
BUNVxV-Bd_U,17869033135113027,sararancati,2017-05-17 14:30:50,@anitadellepiane @chiaraandrei_ @frascarlatti,,anitadellepiane chiaraandrei_ frascarlatti 
BUNVxV-Bd_U,17875510450064653,louismartineau,2017-05-17 14:34:17,@pm_production_off,,pm_production_off 
BUNVxV-Bd_U,17856278236176135,marcolugli1186,2017-05-17 14:36:31,@abba3385 I know you want it 😂😂😂,,abba3385 
BUNVxV-Bd_U,17858884819131440,kleiderschrank_men,2017-05-17 14:52:10,🔥👌🏼,,
BUNVxV-Bd_U,17881003051019153,thibault.dll.art,2017-05-17 15:22:28,@amaury.dll,,amaury.dll 
BUNVxV-Bd_U,17881119640041496,thibault.dll.art,2017-05-17 15:22:59,@tanguydll  @lorenzodiota @baudoindec,,tanguydll @lorenzodiota baudoindec 
BUNVxV-Bd_U,17857253998159984,desiree_gd,2017-05-17 15:50:47,😍😍😍,,
BUNVxV-Bd_U,17879626051028209,marcelo_martins_oliveira,2017-05-17 18:41:47,Gostei!!,,
BUNVxV-Bd_U,17868306334127617,veeeveeeee,2017-05-17 20:19:36,❤️,,
BUNVxV-Bd_U,17868285274122561,skynicholasbonan,2017-05-17 22:51:01,@isabellmayy @blubonan @virginiaportolan  hanno tolto il bar in fondo !!,,isabellmayy blubonan virginiaportolan hanno 
BUNVxV-Bd_U,17880409612006515,yassirhani,2017-05-18 00:11:38,@cavesduroy different colours but the soul always is pure,,cavesduroy 
BUNVxV-Bd_U,17856582406167852,blubonan,2017-05-18 01:52:15,@skynicholasbonan CHE kitsch!,,skynicholasbonan 
BUNVxV-Bd_U,17880124030006664,rslchvll,2017-05-18 03:20:45,@mollyrgn On va être obligées d'y retourner du coup 😏,,mollyrgn 
BUNVxV-Bd_U,17881600921060438,rslchvll,2017-05-18 03:21:15,@mhpelet Comment résister...,,mhpelet 
BUNVxV-Bd_U,17879875540029943,laetitia_boghossian_,2017-05-18 03:29:46,Magnifique ✨,,
BUNVxV-Bd_U,17880369787042595,mollyrgn,2017-05-18 04:16:43,@rslchvll c'est dans mes projets 😏,,rslchvll 
BIdbFeaBdFh,17849973658102004,robertoderosa,2016-07-29 14:36:39,💥 💥 💥 yeah,,
BIdbFeaBdFh,17849978200102004,romain.f83,2016-07-29 16:37:36,@cavesduroy 💛💛💛😍😍😍,,cavesduroy 
BZwKaNoHCsm,17876640601185253,camillagiraudi,2017-10-02 09:38:13,@aliceforesto 😍,,aliceforesto 
BZwKaNoHCsm,17901021868014245,barlen_store,2017-10-02 10:14:20,👏👏👏👏👏,,
BZwKaNoHCsm,17900825581018962,paulinhocamargo_,2017-10-02 13:04:39,@luroese e @monicaroese  preciso ir que saudades hahahha,,luroese monicaroese preciso 
BZwKaNoHCsm,17900596435063917,bouedi,2017-10-02 17:01:38,😎👏🏾😉,,
BZwKaNoHCsm,17901243421008093,camillagiraudi,2017-10-03 01:33:25,@marcobene97,,marcobene97 
BZwKaNoHCsm,17917833001001785,bentleydriversclubmonaco,2018-01-09 14:59:25,That was another AMAZING week end - Thank you ...see you on the last week end of March  we shall bring you some amazing classic cars from Monaco and extraordinary people too. .. Plus it's the Birthday of the president of the club.. (shhtt  don't tell him  ah ah ),,we don't ah 
BQBU_M4Bcfe,17871423397017522,ulyssejosselin,2017-02-02 13:36:28,#sttropezdoitbetter 💖,sttropezdoitbetter ,
BQBU_M4Bcfe,17870340124039345,rodfergui,2017-02-02 16:32:56,#Pro,Pro ,
BRytg9ZBR2K,17875388569028029,lescanebiers,2017-03-19 02:24:40,❤,,
BRytg9ZBR2K,17875153441007804,londontablebooking,2017-03-20 23:57:48,😄😄,,
