SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
BdA3F8rDXdt,17887889998150682,therealhanshodvil,2017-12-22 10:54:17,this just ruined my Friday..I guess I’ll stay sober before New Years 😢 cc: @lamar_prince,,lamar_prince 
BdA3F8rDXdt,17897183986094176,hannie_k,2017-12-22 11:59:43,@therealhanshodvil ur so dramatic. Come to bang and have a punch bowl lol,,therealhanshodvil 
BdA3F8rDXdt,17901891922097828,therealhanshodvil,2017-12-22 12:00:48,@hannie_k CAN I LIVE,,hannie_k 
BdA3F8rDXdt,17914473454046807,hannie_k,2017-12-22 12:52:55,@therealhanshodvil 🤣🤣🤣,,therealhanshodvil 
BdA3F8rDXdt,17842015714241243,madeinam_erika,2017-12-22 13:20:41,@therealhanshodvil @hannie_k im dying 😂,,therealhanshodvil hannie_k 
BdA3F8rDXdt,17883251503144618,therealhanshodvil,2017-12-22 13:36:01,@madeinam_erika I’m about to report @hannie_k #onlinebully,onlinebully ,madeinam_erika hannie_k 
BdA3F8rDXdt,17855976154205203,hannie_k,2017-12-22 13:52:22,@therealhanshodvil 😘 I’m just a sour patch kid lol right @madeinam_erika ?!,,therealhanshodvil madeinam_erika 
BdA3F8rDXdt,17914231228012692,lamar_prince,2017-12-22 13:53:45,@therealhanshodvil we should bring headphones  Stand outside Oxford  and have our own silent disco with lil uzi xo tour life on repeat. #allmyfriendsaredead,allmyfriendsaredead ,therealhanshodvil Stand and 
BVF2g-Rgjy8,17881705387002505,theglobopreneur,2017-06-08 18:15:01,💯💯💯,,
BVF2g-Rgjy8,17861314195136479,azucaapromotions,2017-06-09 02:22:07,😍😍😍😍,,
BVF2g-Rgjy8,17872005676106864,krissysd,2017-06-10 10:26:07,Last night was such bullshit! Your line was so unorganized and the people outside were uninformative and rude AF! Never going back!,,
