SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
BNC74RCjHGi,17855540260107509,sionhernamdez,2016-11-20 12:48:10,Super divertida 😘😘😘😘🎈🎈🎈🎁🎁🎁🎁🎁💽💽💽💽🎥🎥🎥🎥📀📀📀📀📀📼📼📼📼💿💿💿💿,,
35CYp3K0EX,17849996065038768,nakedsushiparty,2015-06-13 18:31:45,😍,,
35CYp3K0EX,17849996095038768,paulo_thebarber,2015-06-13 18:53:07,@klaudddiia doooope,,klaudddiia 
35CYp3K0EX,17849996125038768,ikeilyouz,2015-06-13 19:10:23,Gorgeous place!!!,,
35CYp3K0EX,17849996134038768,___jess_ica___,2015-06-13 19:15:41,@ladydanger18,,ladydanger18 
35CYp3K0EX,17849996371038768,saraaalynnn18,2015-06-14 00:51:25,Is this in Philly,,
35CYp3K0EX,17850047686038768,liri_schmitz,2015-07-16 18:39:11,@jpauster,,jpauster 
35CYp3K0EX,17850064363038768,tonygnomo,2015-07-27 23:06:45,@abennett_09 @jessius_maximus,,abennett_09 jessius_maximus 
35CYp3K0EX,17843852026038768,jjanetttt,2015-09-14 15:27:07,@dmnd_world,,dmnd_world 
BN-554TDM8c,17856843223113962,sionhernamdez,2016-12-13 19:45:25,🗼🗼🗼😃😃😃😃😘😘😘😘🎁🎁🎁🎁🎥🎥🎥🎥💽💽💽💽💽📷📷📷📷📷,,
BN-554TDM8c,17845419289154308,carlosandthecity,2016-12-13 22:00:52,@parisangello  ha!,,parisangello ha! 
BN-554TDM8c,17867297743056936,paris_ezz,2016-12-13 22:04:15,@carlosandthecity 🙆🏻🙅🏻💁🏻,,carlosandthecity 
BN-554TDM8c,17845468219172166,7hillscarwash,2016-12-13 22:47:38,Pretty nice!,,
BN-554TDM8c,17858708791075647,djtajsf,2016-12-14 00:03:20,🔥🔥🔥,,
BN-554TDM8c,17858546077075827,mishkafilm,2016-12-14 07:08:20,@temple_sf I wish I could come out and play.,,temple_sf 
BhYAgvOH6gn,17875831702218554,nickwiththecanon,2018-04-09 20:40:23,#dope visuals,dope ,
BhYAgvOH6gn,17936976535047130,vascorafael9,2018-04-09 20:44:01,😍,,
BhYAgvOH6gn,17936754412055112,princesstealeaf,2018-04-09 20:45:41,@lovefaithloyalty,,lovefaithloyalty 
BhYAgvOH6gn,17904747997170005,gc_glendale,2018-04-10 03:16:40,tripple like this picture. which is 3X more then the average lol 😘,,
BhYAgvOH6gn,17908162708156040,bien.pedro,2018-04-10 22:23:01,@_hildamarquez  este club música electrónica y hiphop tine como 3 pistas aveces,,_hildamarquez este 
BYexm-mnXZy,17873881651136339,startupsshowcase,2017-09-03 09:54:03,Moon shot,,
Bd500chni1d,17919882310028753,jcspartan009,2018-01-13 13:53:09,Awesome,,
Bd500chni1d,17891580799150334,edyta1005,2018-01-13 20:00:43,@jeweler_srq  SF.....😁😁,,jeweler_srq SF.....😁😁 
BBjNHzfK0Ie,17847321265070567,krs2.0,2016-02-08 23:48:33,Love it 🙌🏻👍🏻👍🏻👍🏻👍🏻👌🏻👌🏻👌🏻,,
BVqfKX5F9Ci,17885187184017991,zencompound,2017-06-22 22:28:35,🙌,,
9mMxNeK0LD,17845906729038768,mark_sandstorm,2015-11-09 08:52:41,#chocolatepuma @chocolatepuma,chocolatepuma ,chocolatepuma 
BE1dkAvK0G4,17856667096060882,souptimefahim,2016-04-30 23:27:08,That was awesome last night! @morganpage Thank you for coming to San Francisco! Please come again!,,morganpage 
BW3J7psFkcN,17878323142107914,iamkatnova,2017-07-22 13:32:12,Thank you for having me!!!! I had such a blast! Love you guys 🙏🏻❤️❤️❤️,,
BW3J7psFkcN,17849349496196803,pgmtak,2017-07-22 14:01:31,@kotrys808 @ittaiwong @darrendub @veezymyneezy @fnkycoolmedina,,kotrys808 ittaiwong darrendub veezymyneezy fnkycoolmedina 
BW3J7psFkcN,17888946736012363,startupsshowcase,2017-07-22 15:38:36,Amazing!,,
