SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
rLGaeZAaSw,17850997204020105,petermccallister,2014-08-01 16:06:55,What do you think @jkirkp08 @kmf3986,,jkirkp08 kmf3986 
rLGaeZAaSw,17850997231020105,thisgypsiesoul,2014-08-01 16:25:25,Add me &amp; vote for me Michelle Prado-Galvez,,
rLGaeZAaSw,17850997234020105,jaydkyle,2014-08-01 16:27:22,@peeehkay091,,peeehkay091 
rLGaeZAaSw,17850997345020105,jenchristine5,2014-08-01 17:37:56,@michellemybell__ where is your bikini from??? 😍,,michellemybell__ 
rLGaeZAaSw,17850997378020105,sand.ludovico,2014-08-01 17:52:37,😘 my boo,,
rLGaeZAaSw,17850997447020105,thisgypsiesoul,2014-08-01 18:27:10,@jenchristine5 Tar-jayyy lol,,jenchristine5 
rLGaeZAaSw,17850997462020105,mariovnajera,2014-08-01 18:46:52,@nathanfrankk,,nathanfrankk 
5Xt5FzgaSf,17851480138020105,valorie4,2015-07-20 13:02:22,Yeaahhhhh!!!!,,
5Xt5FzgaSf,17851480171020105,apfil,2015-07-20 13:12:05,@j_nthn 😍😍😍,,j_nthn 
5Xt5FzgaSf,17851480177020105,truewell_music,2015-07-20 13:14:50,😃👍,,
5Xt5FzgaSf,17851480183020105,jennasaraceno,2015-07-20 13:23:38,@marisa_corbett lol,,marisa_corbett 
5Xt5FzgaSf,17851480201020105,oc_jess_,2015-07-20 13:54:04,@cedes__1 @bigsnoop300 @callmemommym_ @skyfall_89 @nickr825 @charllesincharge @jay_boogie82 @stvrmag3d0n @that_grl_mari let's go! !!!!,,cedes__1 bigsnoop300 callmemommym_ skyfall_89 nickr825 charllesincharge jay_boogie82 stvrmag3d0n that_grl_mari 
5Xt5FzgaSf,17851480210020105,kev336_,2015-07-20 13:55:33,@tee011,,tee011 
5Xt5FzgaSf,17851480273020105,fredrikhogemark,2015-07-20 15:16:10,@annieangelica1 @cthorstensson vi skulle åkt några veckor tidigare nästan!,,annieangelica1 cthorstensson 
5Xt5FzgaSf,17851480279020105,cthorstensson,2015-07-20 15:21:04,Ska bli sjukt roligt att se vilka som lirar när vi är där :) @annieangelica1 @fredrikhogemark,,annieangelica1 fredrikhogemark 
5Xt5FzgaSf,17851480285020105,fredrikhogemark,2015-07-20 15:21:59,Kollade nu @stevaoki blir det... Inte fel heller!,,stevaoki 
BTCiG2uDeEu,17854141483167493,drew.longlott,2017-04-18 13:42:03,🎉🎉🎉,,
BTCiG2uDeEu,17856480301142677,alesquivel,2017-04-18 13:54:58,@jesam21 We need to go back !!,,jesam21 
BTCiG2uDeEu,17866532923109880,socialist_562,2017-04-18 14:58:25,😭 I can't wait to see Zedd at edc @lex_maro,,lex_maro 
BTCiG2uDeEu,17866946500104524,ginadeevegas,2017-04-18 14:59:18,❤ he is sooooooo good!!,,
BTCiG2uDeEu,17853847780178677,hi.sav,2017-04-18 16:27:42,I really want to go! I'm going to be in Vegas that day 💕✨🙌🏻 me and my best friend  we'd love to see zedd 👯,,we'd 
BTCiG2uDeEu,17855268991146207,alpha__fit,2017-04-18 18:08:42,I'LL BE THERE THE 27th-30th... WHO'S COMING OUT!!?!?!?,,
BTCiG2uDeEu,17879505235026659,voganknowsbest,2017-04-18 22:27:51,🙌🏼,,
BTCiG2uDeEu,17856528817133078,andrewcafaro,2017-04-18 23:41:54,🍾🍾🍾,,
BTCiG2uDeEu,17877616555010198,ebc_keegs,2017-04-19 03:12:29,🍸🍸🍸,,
BTCiG2uDeEu,17878920028021664,westcoast_kali,2017-04-19 18:18:35,❤️❤️,,
BTCiG2uDeEu,17864630863086332,brie_tardxo,2017-04-19 22:00:13,Count me in!!! 🙌🏼💙💧🍾,,
o-KZFmAac8,17850925783020105,danielacostabrowsandbeauty,2014-06-07 22:29:27,@vinessaoli,,vinessaoli 
o-KZFmAac8,17850925786020105,kristoffersjlin,2014-06-07 22:30:20,Been there done that,,
o-KZFmAac8,17850925789020105,shaneyboyrevel1981,2014-06-07 22:32:25,When can we go back please? @ste_beckett @m4ilm4n @stedoxey,,ste_beckett m4ilm4n stedoxey 
o-KZFmAac8,17850925792020105,mary_real_estate,2014-06-07 22:34:50,@christinariv13,,christinariv13 
o-KZFmAac8,17850925795020105,nikkihack,2014-06-07 22:36:49,😧 @suebyy,,suebyy 
