ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
777743568268797104,rLGaeZAaSw,763,7,2014-08-01 16:04:39,Friday,Maxin and relaxin before today's competition closes out at #WetRepublic! #SPYONHot100 #Vegas @spyonvegas,False,N/A,,WetRepublic SPYONHot100 Vegas ,spyonvegas ,true
1033496474840835231,5Xt5FzgaSf,1111,12,2015-07-20 13:00:02,Monday,@hardwell (Sept. 6) and @steveangello (Sept. 16) bring their talents to #WetRepublic in the month of September!  Buy tickets at WetRepublic.com.,False,N/A,,WetRepublic ,hardwell steveangello Buy ,true
1495908030893383982,BTCiG2uDeEu,601,11,2017-04-18 13:09:15,Tuesday,Get ready for the the return of #Zedd on Sunday  April 23rd &amp; Saturday  May 6th!  Tickets: wet.re/zedd,False,N/A,,Zedd ,April May Tickets: ,true
738073093393721148,o-KZFmAac8,1108,35,2014-06-07 22:26:30,Saturday,Today with @calvinharris!  Safe to say we can't wait for tomorrow with @hardwell! #WetRepublic,False,N/A,,WetRepublic ,calvinharris! Safe hardwell! ,true
1527071536992518119,BUxP3jdDH_n,388,7,2017-05-31 13:05:34,Wednesday,Round 4 of our #EDCWeek continues with #Afrojack on Sunday  June 18th!  Tickets: wet.re/buytickets,False,N/A,,EDCWeek Afrojack ,June Tickets: ,true
903071001082963875,yIWkpygaej,634,41,2015-01-21 13:07:54,Wednesday,Exciting news is coming for #HakkasanGroup in 2015!  Stay tuned for an announcement on an unprecedented partnership!,False,N/A,,HakkasanGroup ,Stay ,true
415901707726333222,XFlGZOgaUm,225,12,2013-03-20 10:09:28,Wednesday,★ ANNOUNCEMENT ★ @DjTommyTrash will kick off this summer's festivities @WetRepublic on Saturday  March 30th!,False,N/A,,,DjTommyTrash WetRepublic March ,true
728327220757636185,obib-ZgaRZ,995,21,2014-05-25 11:43:12,Sunday,Today we #ForgetTheWorld with @afrojack! #MDW2014 #WetRepublic,False,N/A,,ForgetTheWorld MDW2014 WetRepublic ,afrojack! ,true
179776392576214984,J-sa0ygafI,45,2,2012-04-28 15:10:37,Saturday,#Spotted! #theBachelor @Benflajnik &amp; new gf @bugrobertson "Courtney" getting cozy @wetrepublic! #hotstuff,False,N/A,,Spotted theBachelor hotstuff ,Benflajnik bugrobertson wetrepublic! ,true
884197107181921996,xFTJWVAabM,1197,39,2014-12-26 12:08:50,Friday,#FlashbackFriday to one of our favorite moments of 2014: EDC Weekend with @Hardwell!,False,N/A,,FlashbackFriday ,Hardwell! ,true
960297592607057510,1TqZKWAaZm,880,15,2015-04-10 13:06:55,Friday,Did you hear? @tiesto's return to #WetRepublic is just a couple weeks away!  See him with @zaxxofficial on Sunday  April 26!  #BiggerBetterWetter  Tickets: bit.ly/TiestoApril26,False,N/A,,WetRepublic BiggerBetterWetter ,tiesto's See zaxxofficial April Tickets: ,true
1513209165601575610,BT__7gCjBK6,505,1,2017-05-12 10:03:31,Friday,Add a little 🔥 to your Friday. Join us today for our #SPYONHot100 challenge today!  Tickets: wet.re/buytickets,False,N/A,,SPYONHot100 ,Tickets: ,true
1498713157953996938,BTMf604DUiK,1159,11,2017-04-22 10:02:32,Saturday,The moment you have been waiting for has arrived. #Tiësto kicks off his summer residency today at #WetRepublic! #SummerOfTiesto  Tickets: wet.re/buytickets,False,N/A,,Tiësto WetRepublic SummerOfTiesto ,Tickets: ,true
784083150744692342,rhn3iqgaZ2,730,0,2014-08-10 10:00:17,Sunday,Two DJs means it's time to turn things up a notch! Today we welcome @sj_rm to the booth at #WetRepublic!,False,N/A,,WetRepublic ,sj_rm ,false
1719799483862912827,Bfd9ITIjI87,312,11,2018-02-21 10:01:36,Wednesday,Mark your calendars! #Illenium makes his #WetRepublic debut on Sunday  March 25th.  Tickets: wet.re/buytickets,False,N/A,,Illenium WetRepublic ,March Tickets: ,true
1013953654597723405,4SSXoJAaUN,1013,20,2015-06-23 13:51:56,Tuesday,The final selection round for #SPYONHot100 is just a few weeks away.  Don't miss your chance at a $1 MILLION!  Here's how to enter:  1. Send in your application  including four photos here: bit.ly/Hot100Signup  2. Wait patiently for us to contact you.  3. When we do  prepare to potentially win a variety of prizes including cash and bikinis from Bikini.com​!,False,N/A,,SPYONHot100 ,Don't Here's 1. including 2. 3. prepare ,true
794305398906659990,sF8I1JAaSW,887,12,2014-08-24 12:30:04,Sunday,We're spending an evening #InTheDark with Tiësto﻿ at #WetRepublic for the first time ever on Tuesday  9/16. Tickets are going fast: www.wetrepublic.com,False,N/A,,InTheDark WetRepublic ,9/16. ,true
921911309379937683,zLSXOOAaWT,524,50,2015-02-16 13:00:13,Monday,@bingoplayers return for another season poolside at #WetRepublic!  Help us welcome #Hysteria back to our 2015 artist roster!  The pool opens Friday  March 13.  Tickets: wetrepublic.com/tickets,True,0,,WetRepublic Hysteria ,bingoplayers Help The March Tickets: ,true
713897742245668061,noRjbUgaTd,715,32,2014-05-05 13:54:24,Monday,#MDW2014 at #WetRepublic!  5/23-5/26: @steveaoki @nervomusic @tiesto @afrojack @apster  @calvinharris &amp; @ineedr3hab! Tickets: www.wetrepublic.com,False,N/A,,MDW2014 WetRepublic ,5/23-5/26: steveaoki nervomusic tiesto afrojack apster @calvinharris ineedr3hab! ,true
1042830008009205433,544F38gaa5,1075,28,2015-08-02 10:04:06,Sunday,Swerve with @steveaoki at #WetRepublic today!  Doors open at 11 am.,False,N/A,,WetRepublic ,steveaoki Doors ,true
936292257068328943,z-YNjcgafv,1056,48,2015-03-08 10:12:36,Sunday,We may have lost an hour thanks to #DaylightSavingsTime  but that also means we're one-hour closer to pool season at Wet Republic Ultra Pool​! Plan your visit for mid-March today!  Tickets: http://bit.ly/WetSaturday032115,False,N/A,,DaylightSavingsTime ,but Tickets: ,true
1224900785721157079,BD_uMZaAaXX,1063,167,2016-04-09 15:06:14,Saturday,Watch @steveaoki's set LIVE in the rain on our #snapchat! ☔️Follow us at 'WetRepublic'.,True,9348,,snapchat ,steveaoki's ,true
1232013279119909921,BEY_YzEgaQh,1137,48,2016-04-19 10:37:29,Tuesday,#RepublicOfTiesto returns on May 7th  May 14th &amp; May 21st!  Tickets: bit.ly/wet-tiesto,False,N/A,,RepublicOfTiesto ,May Tickets: ,true
270597332343563633,PBWtcPgaVx,125,0,2012-08-31 22:35:37,Friday,Big thanks to The Martinez Brothers for rocking out with us today! Next up The King of Ibiza Luciano tomorrow,False,N/A,,,,false
1030273938506229702,5MRLA-AafG,833,30,2015-07-16 02:17:25,Thursday,#WETatNight is going strong late with @djchuckie!  #dirtydutch,True,0,,WETatNight dirtydutch ,djchuckie! ,true
1263963512993064821,BGKgB5JAad1,1060,14,2016-06-02 12:36:54,Thursday,Poolside...with a view! #BabesInBlue,False,N/A,,BabesInBlue ,,true
786408379475141684,rp4kErAaQ0,616,17,2014-08-13 15:00:05,Wednesday,Are you ready for this weekend at #WetRepublic? #SPYONHot100 @bingoplayers @Tiesto,False,N/A,,WetRepublic SPYONHot100 ,bingoplayers Tiesto ,true
447927383706675099,Y3W5UPAaeb,492,4,2013-05-03 14:38:46,Friday,Making a statement on the Las Vegas strip!! We will see you tomorrow @Tiesto &amp; @Ineedr3hab! #LetsGetWet,False,N/A,,LetsGetWet ,Tiesto Ineedr3hab! ,true
1459624843213064515,BRBoQ-9DMlD,1788,55,2017-02-27 10:41:02,Monday,Grab your girls! #WetRepublic opens for it's tenth season on Friday  March 10th.  Tickets now on sale: wet.re/buytickets,False,N/A,,WetRepublic ,March Tickets ,true
1420467509848703440,BO2g6ybhAHQ,613,26,2017-01-04 10:02:24,Wednesday,Team WET wants you!  Open casting call January 9 - 13 at @HakkasanLV for Model Cocktail Servers  Model Bartenders  Model Barbacks and Model Beverage Runners. All applicants must audition in swimwear attire.  Apply online now for expedited entrance at hkk.sn/careers,False,N/A,,,Open HakkasanLV Model Model Apply ,true
758877981958580159,qIE4D-gae_,1127,19,2014-07-06 15:22:06,Sunday,#RepublicofTiesto has officially started! #LetsGetWet #WetRepublic @tiesto,False,N/A,,RepublicofTiesto LetsGetWet WetRepublic ,tiesto ,true
1006791295135491965,3411lFgad9,2050,452,2015-06-13 16:41:36,Saturday,We told you the pool would be packed today  didn't we?  #BiggerBetterWetter,False,N/A,,BiggerBetterWetter ,didn't ,true
753821228770371269,p2HGnlAabF,911,9,2014-06-29 15:55:14,Sunday,The madness has began! #AokisPlayhouse is officially in full effect! @steveaoki #WetRepublic,False,N/A,,AokisPlayhouse WetRepublic ,steveaoki ,true
661747775289009486,kvABh1AaVO,909,29,2014-02-22 14:01:43,Saturday,Things are about to get #ugly at @wetrepublic Grand Opening Weekend with @dadalife on April 5th!,False,N/A,,ugly ,wetrepublic dadalife ,true
691533281010754920,mY0drtAaVo,1051,49,2014-04-04 17:20:12,Friday,Bringing out the #Champagne for @dadalife tomorrow at #WetRepublic! #GrandOpening,False,N/A,,Champagne WetRepublic GrandOpening ,dadalife ,true
818253181262865758,tbBO7dgaVe,865,15,2014-09-26 13:30:02,Friday,The answer is yes  there will be cake. @steveaoki returns on Saturday  October 4th to #WetRepublic! #AokisPlayhouse,False,N/A,,WetRepublic AokisPlayhouse ,there steveaoki October ,true
1735080912138137461,BgUPuWQje91,637,10,2018-03-14 13:03:04,Wednesday,#iHeartRadio Award winner of Dance Song of the Year  #Zedd  returns for his summer residency on Sunday  April 22nd! Tickets: wet.re/zedd,False,N/A,,iHeartRadio Zedd ,returns April ,true
1574817479615575546,BXa4Cdqj_X6,789,11,2017-08-05 10:08:14,Saturday,The Summer of #Tiësto continues today at #WetRepublic!  Tickets: wet.re/buytickets,False,N/A,,Tiësto WetRepublic ,Tickets: ,true
799519903500576481,sYdx2_Aabh,1007,50,2014-08-31 17:10:21,Sunday,Just another #Sunday in #Vegas! @martingarrix #WetRepublic #Vegas,True,0,,Sunday Vegas WetRepublic Vegas ,martingarrix ,true
1353034797957964298,BLG8frlBuIK,1005,28,2016-10-03 10:05:38,Monday,Coming up this weekend at ‪#WetRepublic‬: - Friday | @DjShift - Saturday | #Chuckie - Sunday | #EndlessSundays w/ #SteveAoki  Tickets ➡️ wet.re/buytickets,False,N/A,,Chuckie EndlessSundays SteveAoki ,DjShift Tickets ,true
747216689434830767,pepZ7AAaev,561,29,2014-06-20 13:13:12,Friday,Thank you to everyone who kicked off day 1 of #EDCLV with us and @aboveandbeyond! Catch their return to #WetRepublic on 7/20,True,0,,EDCLV WetRepublic ,aboveandbeyond! ,true
497240840075323384,bmjejYgaf4,469,6,2013-07-10 15:35:48,Wednesday,A little something to brighten up your Wednesday! We will see you all this Friday for the 2nd round of voting in the @spyonvegas #hot100!,False,N/A,,hot100 ,spyonvegas ,true
984882668980249738,2rAZG-AaSK,1585,94,2015-05-14 11:13:04,Thursday,In less than a week  Wednesday nights are about to get wetter at #WetRepublic!  Visit our blog to find out more details and buy tickets for #WETatNight!,False,N/A,,WetRepublic WETatNight ,Wednesday Visit ,true
1047177513148721022,6IUmZoAad-,874,24,2015-08-08 10:01:49,Saturday,Our staff will have the big bottles ready for when @afrojack headlines #WetRepublic today with @fergiedj! Doors open at 11 am.,False,N/A,,WetRepublic ,afrojack fergiedj! ,true
1290705362928065548,BHpgbBrBNwM,1219,12,2016-07-09 10:08:11,Saturday,Get a taste of #WetRepublic today with our #BabesInBlue and #Showtek!  Tickets➡️ wet.re/buytickets,False,N/A,,WetRepublic BabesInBlue Showtek ,Tickets➡️ ,true
692957046143820814,md4MMUAaQO,1184,100,2014-04-06 16:28:58,Sunday,Ready to #Bounce! @calvinharris #WetRepublic #GrandOpening,True,0,,Bounce WetRepublic GrandOpening ,calvinharris ,true
1748756627555363180,BhE1OMwDCls,1046,169,2018-04-02 09:55:33,Monday,It's almost time! Join us this weekend at #WetRepublic for our Grand Opening Weekend with @Kaskade &amp; @MartinGarrix .  Tickets: wet.re/buytickets,True,13137,,WetRepublic ,Kaskade MartinGarrix Tickets: ,true
1019817206009144866,4nHlh8AaYi,982,23,2015-07-01 16:01:46,Wednesday,#SPYONHot100 brings the heat Friday  July 10 for its final selection round! The top three finishers each win bikinis from Bikini.com.  Ladies  there's still time to enter... Sign up today: bit.ly/Hot100Signup,False,N/A,,SPYONHot100 ,July Ladies there's ,true
803816099903809501,snunvrgafd,1351,9,2014-09-06 15:26:07,Saturday,Things are about to get real with @nervomusic on the decks! #WetRepublic,False,N/A,,WetRepublic ,nervomusic ,true
550122307130074852,eibVLbgabk,743,29,2013-09-21 14:41:51,Saturday,#TheKing @Tiesto is in the building!!! The Party has started!! #WetRepublic,True,0,,TheKing WetRepublic ,Tiesto ,true
1259541939422865337,BF6yrh3Aae5,742,11,2016-05-27 10:12:01,Friday,Get a head start on your #MemorialDayFestivites and join us today for #SteveAoki! #AokisPlayhouse #HKGroupMDW16  Ticket link in bio.,False,N/A,,MemorialDayFestivites SteveAoki AokisPlayhouse HKGroupMDW16 ,Ticket ,true
503828444640028563,b99U0OgaeT,732,18,2013-07-19 17:44:12,Friday,Another great day in the books! Thank you to everyone who joined us today for the 3rd round of voting in the #hot100!,False,N/A,,hot100 ,,true
928496579369871052,zirrg0gabM,1308,159,2015-02-25 15:03:59,Wednesday,We're just weeks away from packing the pool at #WetRepublic!  Prepare to get wet starting Friday  March 13!,False,N/A,,WetRepublic ,Prepare March ,true
932089132967110410,zvciDFgacK,665,98,2015-03-02 14:01:45,Monday,Boxing history will be made in May... Make your own history on #FightWeekend at #WetRepublic! @CalvinHarris headlines Saturday  May 2nd then @djchuckie takes the reigns on Sunday  May 3rd.  Follow the link in our bio for tickets!  Pool season tips off opens Friday  March 13.,False,N/A,,FightWeekend WetRepublic ,CalvinHarris May djchuckie May Follow Pool March ,true
