SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
BInNBO9gU8i,17849993320095062,klaudija.xoxoo,2016-08-02 09:19:56,👌😘🎉🎉,,
BInNBO9gU8i,17850004423095062,asos_ger_official,2016-08-02 14:11:57,🍾🍾,,
BInNBO9gU8i,17850020026095062,pluszahnaerzte,2016-08-02 23:22:43,➕➕➕➕,,
BInNBO9gU8i,17850107785095062,oranguhtan,2016-08-04 15:21:26,Nice 👍,,
BInNBO9gU8i,17850606037095062,lifeofaquezz.e,2016-08-16 01:55:40,Top ! 👍🏾,,
BInNBO9gU8i,17850932836095062,lejan_a_s,2016-08-23 07:37:25,Ich sollte mir echt mal wieder Zeit nehmen .. ☀️👌,,
BGU6yTendHQ,17857557430010906,lesaperitifs,2016-06-06 21:36:20,Very cool. Love  people post nice pictures on their instagram.👍Love to see more.,,people 
BGU6yTendHQ,17857571143010906,diamondgirlsgang,2016-06-07 09:41:17,You're a diamond dear  they cant break you 💎😃,,they 
BGU6yTendHQ,17857599814010906,klara___bella,2016-06-08 09:30:11,@lynnfii nettes outfit 😜,,lynnfii 
BHNSO5CAbfS,17848868059111706,ksxx0400,2016-06-28 11:17:10,#Bizeps @kimrohling,Bizeps ,kimrohling 
BG1XmCcndNs,17858215576026903,chele_fit7,2016-06-19 04:21:16,Oh yes 🎉🔝🎉🔝🎉 @rudasstudios ist eifach 🔝,,rudasstudios 
BG1XmCcndNs,17858216659026903,daniellukoschek,2016-06-19 05:13:43,😀😀😀,,
BG1XmCcndNs,17858217307026903,rudasstudios,2016-06-19 05:43:56,@modelworkout.tv spitze Instragramm,,modelworkout.tv 
BG1XmCcndNs,17858223682026903,daniellukoschek,2016-06-19 09:10:19,@rudasstudios vielen Dank. Rudas ist TOP!!,,rudasstudios 
BFojCZiHdFu,17847584077125029,_ca_,2016-05-20 08:13:31,@_lena_mt 😏😏😏😏🙈,,_lena_mt 
BFojCZiHdFu,17847588814125029,pluszahnaerzte,2016-05-20 12:09:15,➕➕➕➕,,
