SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
BJBUM46BJnT,17850643549121202,sacha_lm,2016-08-12 20:00:47,@benoit_boitard,,benoit_boitard 
BJBUM46BJnT,17850643717121202,benoit_boitard,2016-08-12 20:05:08,@sacha_lm Ne me chauffe pas,,sacha_lm 
BJBUM46BJnT,17850644113121202,whoiskimeriksen,2016-08-12 20:16:11,Awesome profile,,
BVNW8MzHv9J,17858814421165541,marin_bqt,2017-06-11 18:13:21,@titouangodin  go la prendre cet été,,titouangodin go 
BVNW8MzHv9J,17883722272052437,ruggerosartori,2017-06-11 18:15:43,@cavesduroy 🔝👏🏻,,cavesduroy 
BVNW8MzHv9J,17861268226131168,le.blog.de.talie,2017-06-11 18:59:25,Rdv le 24 juin🎶😍,,
BVNW8MzHv9J,17884639405051878,boutique_lp_roma,2017-06-11 20:50:08,Great 👍💚👍💚👍💚👍💚,,
BVNW8MzHv9J,17883700144040587,stripesnchanel,2017-06-14 21:01:16,🔥🌟❤️,,
BWLfmJ9H1-d,17861728612190057,hekuran_rrahmani,2017-07-05 21:21:12,Song please,,
BWLfmJ9H1-d,17861664307188275,cavesduroy,2017-07-05 21:27:28,@hekuran_rrahmani Sebastian Ingrosso &gt; Kidsos,,hekuran_rrahmani 
BWLfmJ9H1-d,17863259518145816,hekuran_rrahmani,2017-07-05 22:05:44,Thanks @cavesduroy,,cavesduroy 
BWLfmJ9H1-d,17864881048143706,capucinesassier,2017-07-06 08:54:46,See U tomorrow😍😍😍 @capucine_dsy,,capucine_dsy 
BWLfmJ9H1-d,17862834880158870,cavesduroy,2017-07-06 13:43:16,@capucine.ssr 🙌😘,,capucine.ssr 
BVvPiAqHogf,17877283897075957,float.luxury,2017-06-24 23:15:42,🎉,,
BVvPiAqHogf,17859809782190990,vanderschelden5060,2017-06-25 01:47:12,💓💓💓,,
BVvPiAqHogf,17885604625013907,amykstanton,2017-06-25 10:29:59,Come back @powellramy,,powellramy 
BVvPiAqHogf,17859779215173484,larsfromgnesta,2017-06-25 11:07:36,Would you come up to my table?,,
BX1HC4Onx8-,17880515977127001,allicceee,2017-08-15 22:50:52,@evelynwyon,,evelynwyon 
BX1HC4Onx8-,17878915729086611,stripesnchanel,2017-08-16 01:28:54,Woohoo you're sooo right!💥🎉💖🌟😎💞,,
BX1HC4Onx8-,17882049595105381,stevestrange252,2017-08-16 03:56:33,Yeah 🎸 live for today... Tomorrow never knows... Anyway. Les Caaaves ruuuules😎,,
BX1HC4Onx8-,17888100415108963,anna_vertola,2017-09-09 12:43:22,Ramenez nous pleaseeeeee @laurafernez @elenalanfranco,,laurafernez elenalanfranco 
BXi_SpynSQs,17877758587083287,galette13,2017-08-08 20:57:24,Oh my godness 😍😘,,
BXi_SpynSQs,17887092646068106,eryl.srx,2017-08-08 21:16:04,Amazing !!!!,,
BXi_SpynSQs,17893642456041785,stevestrange252,2017-08-08 21:42:32,Child of the sun 💋,,
BXi_SpynSQs,17867596072181201,drrafaeltimbo,2017-08-09 02:22:04,@mah_luciani_garcia @oseiasbarbosa @michellescosta,,mah_luciani_garcia oseiasbarbosa michellescosta 
BXi_SpynSQs,17895651163054579,thebestofcotedazur,2017-08-18 19:12:57,Welcome to St Tropez 💙⭐️,,
BXi_SpynSQs,17933037949150447,letale_swimwear,2018-07-13 20:40:03,BOOM,,
BIlCQX4hd1-,17859775783050680,thisissttropez,2016-08-01 20:02:24,@cavesduroy 🙌🎉🎊🍹,,cavesduroy 
BIlCQX4hd1-,17859775954050680,huntsiobhan,2016-08-01 20:04:12,@rosie123p you going??!!,,rosie123p 
BIlCQX4hd1-,17859781540050680,jasekim,2016-08-01 23:01:25,💥,,
BIlCQX4hd1-,17859808864050680,rosie.stang,2016-08-02 10:47:13,@huntsiobhan we stayed in and did HIIT instead 🙈,,huntsiobhan 
BIlCQX4hd1-,17859831085050680,huntsiobhan,2016-08-02 18:37:29,@rosie123p please tell me you are joking!!??,,rosie123p 
BIlCQX4hd1-,17861671267050680,miamimayor,2016-08-28 10:45:57,Nice profile :-) Check out ours ;-),,
BK7-qH6BPGN,17863612897007657,isabru15,2016-09-29 11:00:07,#oohyeah !!!!,oohyeah ,
BK7-qH6BPGN,17863612969007657,thisissttropez,2016-09-29 11:02:38,@cavesduroy 🔥💙🔥,,cavesduroy 
BfWSflIH6WD,17899553599135716,boutique_lp_roma,2018-02-18 18:36:33,🌟🔝🌟🔝🌟🔝,,
BfWSflIH6WD,17897531143154003,arthur_bmp,2018-02-18 18:46:43,@ninacnttr,,ninacnttr 
BfWSflIH6WD,17901001090140520,laercioaraujofeitosa,2018-02-18 19:26:04,Summer is coming.. @davidnapoleao,,davidnapoleao 
BfWSflIH6WD,17865028762219872,davidnapoleao,2018-02-18 19:26:51,Aí sim! @laercioaraujofeitosa,,laercioaraujofeitosa 
BfWSflIH6WD,17912324380108646,tejy__hornec,2018-02-18 19:29:13,😍✨,,
BfWSflIH6WD,17926173418041809,reinesandroses,2018-02-18 19:40:05,❤️,,
BfWSflIH6WD,17898301156178127,stevestrange252,2018-02-19 17:25:19,Stairway to heaven,,
BfWSflIH6WD,17931612202046399,laura_barseghian,2018-03-13 10:52:47,Best Place 😇😍,,
BiKZwKTAE4I,17922527794087155,max_painh,2018-04-29 17:29:24,@hugobdl83,,hugobdl83 
BiKZwKTAE4I,17942607778002963,cenknigdelioglu,2018-04-29 18:06:08,Où est votre mentalité de qualité? Euh désolé tout à propos de l'argent.. @cavesduroy,,cavesduroy 
BiKZwKTAE4I,17869397740228694,porchy_a,2018-04-29 18:50:32,@louis.rgz  on y va ?,,louis.rgz on 
BiKZwKTAE4I,17900499640199634,bentleydriversclubmonaco,2018-04-29 21:48:23,Way to go,,
BiKZwKTAE4I,17923263184087427,lourenagenovez,2018-04-30 01:39:36,I'd love to join You tonight with this Lovely Moon!!! Sorry... I'm in Floripa | Brazil... 💫✨💦💙💦✨💫,,
BYjRWDZnQcO,17870435014192404,finleywhw,2017-09-02 20:01:49,@esthercobbold,,esthercobbold 
BYjRWDZnQcO,17896789459019904,barlen_bra,2017-09-02 20:13:00,🔝🔝🔝,,
BYjRWDZnQcO,17895841216038018,stevestrange252,2017-09-03 00:15:16,Yesss 🇫🇷🎆🍸🎶🚬🎉🚀🔥👱👸👩💏,,
BYjRWDZnQcO,17896001860061868,patsbydj,2017-09-03 04:30:24,Life is a party ! Yes !,,
BYjRWDZnQcO,17883349282122634,a.taylored.life,2017-09-03 09:42:52,@leo650 🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,,leo650 
BYjRWDZnQcO,17896850746028119,ron_panama,2017-09-05 11:26:37,👯‍♂️👯,,
BYjRWDZnQcO,17912780389049783,ambre.v,2017-12-14 22:12:18,@camille.rouet,,camille.rouet 
BYjRWDZnQcO,17913222379025602,cmll.rt,2017-12-14 22:28:27,@ambre.v mdr je ne connais pas cette personne,,ambre.v 
BYjRWDZnQcO,17900167903109724,ambre.v,2017-12-15 12:49:41,Elle me tue cette video haha,,
