SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
Bd0mEsvl_Ls,17900510995089422,thegrandboston,2018-01-11 19:59:59,#tydi #edm #fridaynight #futurehouse #electrohouse #spinninrecords #redefined #danceclub #edmlifestyle #bottleservice #edmlife #deephouse #edm #housemusic #oceans #australia #dancemusic #rave #nightlife #nightclub #electronicmusic #ilovemusic #ravegirls #thegrand #bosfeed #borgeous #edmnation #ravers #edmfamily,tydi edm fridaynight futurehouse electrohouse spinninrecords redefined danceclub edmlifestyle bottleservice edmlife deephouse edm housemusic oceans australia dancemusic rave nightlife nightclub electronicmusic ilovemusic ravegirls thegrand bosfeed borgeous edmnation ravers edmfamily ,
Bd0mEsvl_Ls,17900829337085876,hoffquaman,2018-01-11 20:37:58,😍 👌,,
Bd0mEsvl_Ls,17900695846085802,vegas.official.guestlist,2018-01-11 21:28:07,Super Dope!,,
Bd0mEsvl_Ls,17905265050129409,djeds,2018-01-11 22:21:43,wonderful!! 💕,,
Bd0mEsvl_Ls,17900750365090990,iredrecordings,2018-01-12 08:18:55,Love it!👌🙌,,
Bd0mEsvl_Ls,17917942564013185,badroyale,2018-01-13 08:16:40,👑,,
BfjZNnvFNzJ,17899163626159169,thegrandboston,2018-02-23 20:43:17,#feenixpawl #edm #nightlife #dancemusic #inmymind #housemusic #progressivehouse #edmlifestyle #edmlife #electronicmusic #electrohouse #edmfamily #danceclub #axwell #goodvibes #bottleparade #bottleservice #fridaynight #domperignon #dom #bosfeed #bostonma #bnegnightlife,feenixpawl edm nightlife dancemusic inmymind housemusic progressivehouse edmlifestyle edmlife electronicmusic electrohouse edmfamily danceclub axwell goodvibes bottleparade bottleservice fridaynight domperignon dom bosfeed bostonma bnegnightlife ,
BfjZNnvFNzJ,17854574341225309,meida_boston,2018-02-24 04:03:50,@mazenabadi  فاتك ذَا المكان توهم فاكينه جديد يلعن اختو طحن,,mazenabadi فاتك 
BfjZNnvFNzJ,17897564491164007,mollymaitlin,2018-02-24 19:17:04,@brhershey where the Hershey bars at tho @kourtneykavanagh,,brhershey kourtneykavanagh 
BfjZNnvFNzJ,17926718308008406,j2col,2018-02-25 16:05:14,🙌👌,,
BfjZNnvFNzJ,17887492141199710,ceobakari,2018-02-27 04:11:37,I was there on Friday night @thegrandboston  Had a good time for my first time at your venue and also first time in Boston. VIP and bottle service was fabulous and awesome guests. Very classy venue. Thumbs up 👍🏿💯💯,,thegrandboston Had 
BerPsgsl49b,17922973939062580,thegrandboston,2018-02-02 01:22:39,#boston #r3habmusic #edmgirls #danceclub #r3hab #rickyrozay #cheatcodes #housemusic #dancemusic #ravegirls #progressivehouse #edm #feelsgreat #electrohouse #belaireboys #trapnation #bigroom #nopromises #blackbottleboys #electronicmusic #edmlifestyle #maybachmusic #youngmoney #richforever #thegrand #lullaby #edmgirls #ymcmb,boston r3habmusic edmgirls danceclub r3hab rickyrozay cheatcodes housemusic dancemusic ravegirls progressivehouse edm feelsgreat electrohouse belaireboys trapnation bigroom nopromises blackbottleboys electronicmusic edmlifestyle maybachmusic youngmoney richforever thegrand lullaby edmgirls ymcmb ,
BerPsgsl49b,17849684752226678,saraherahhhhh,2018-02-02 01:50:49,@julie_elizabethc let’s go Monday and blow off steam,,julie_elizabethc 
BerPsgsl49b,17849678983231765,anhiewin,2018-02-02 03:57:04,😍😍😍🔥🔥🔥,,
BerPsgsl49b,17848132483242130,deacon305,2018-02-02 10:27:14,💯 💯 💯,,
BerPsgsl49b,17894781079146751,blackfigvodka,2018-02-02 10:35:26,🏈🏈,,
BerPsgsl49b,17922719908048292,restaurantdynasty,2018-02-02 19:05:02,👍,,
BerPsgsl49b,17898276250136053,shinepapers,2018-02-05 02:15:54,party??,,
BerPsgsl49b,17897327824189716,styleneeds__,2018-02-06 20:49:33,@thegrandboston why don't you hire black girls ???? @thegrandboston,,thegrandboston thegrandboston 
BerPsgsl49b,17923273579004290,styleneeds__,2018-02-06 20:51:24,Vey racist company !!! Be aware @thegrandboston,,thegrandboston 
BimycU0hwic,17943677515038259,thegrandboston,2018-05-10 17:55:40,#r3hab #dubstep #progressive #futurebass #trapmusic #electronic #futurehouse #electrohouse #bigroom #danceclub #edmlifestyle #futurehouse #edmlife #edm #housemusic #progressivehouse #ravers #dancemusic #rave #nightlife #spinninrecords #electronicmusic #bosfeed #igersboston #edmnation #edmfamily #bnegnightlife #bostonma,r3hab dubstep progressive futurebass trapmusic electronic futurehouse electrohouse bigroom danceclub edmlifestyle futurehouse edmlife edm housemusic progressivehouse ravers dancemusic rave nightlife spinninrecords electronicmusic bosfeed igersboston edmnation edmfamily bnegnightlife bostonma ,
BimycU0hwic,17919566044141694,catorimusica,2018-05-10 17:56:39,Follow back? ^_^ 💜,,
BimycU0hwic,17872050184231040,index_music,2018-05-10 18:57:36,🔥🙌🏾,,
BimycU0hwic,17911372006169560,amanda_singerr,2018-05-10 19:50:41,@brittanymosier,,brittanymosier 
BimycU0hwic,17935508008074661,mo_b630,2018-05-10 20:42:05,@peterk25 @matte418 let’s goooo 🙌🏼🍾🍾,,peterk25 matte418 
BimycU0hwic,17870266363242805,jaguarlita,2018-05-10 20:43:08,💗,,
BimycU0hwic,17945117491003648,karl.macias,2018-05-10 22:56:29,Love this coloring! 📸,,
