ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
1166342796608226294,BAvrpgOK0P2,117,1,2016-01-20 03:01:57,Wednesday,#TempleTV: @quintinoo  Get to know Quintino on our Facebook -- and tune in every Tuesday as we introduce to you your favorite world-renowned DJs! #TheNewTemple,True,696,mhm.lxngtn djessence916 holla_babe itsd33.frm510 ineeedmorespace brianclaudio matt_ex bodega_babiee colormeshameless jennlaw02 ,TempleTV TheNewTemple ,quintinoo Get ,true
1132800177739612921,-4g8KDq0L5,138,3,2015-12-04 20:18:46,Friday,Looking back on this work week like... ✌🏼️ Tonight @zenfreeman powers #FutureFactoryFriday  followed by @fergiedj tomorrow!  Click the link in our bio for tickets  tables &amp; info!  #TheNewTemple,False,N/A,ded.af alvinatlight thecaliclausen _dinamedina _stalin jossi_jellies clinkthedrink mandito72 javanmardhamid prissylitttleb ,FutureFactoryFriday TheNewTemple ,zenfreeman followed fergiedj Click tables ,true
1672788640010152859,Bc28GfAHSub,126,38,2017-12-18 21:19:27,Monday,** CONTEST ** Tag 3 friends + follow @temple_sf for a chance to win a pack of 4 tickets to #Quintino this Saturday  12/23! MSG421+ • Good Luck! #TempleSF #Quintino,False,N/A,juan_ton_soup marccmiller _tomgranxofficial_ inov8ent mfcpapaya hydewassa alonso_093 losgatosbarandgrill jaredneidlinger 1k_most_h4ted ,Quintino TempleSF Quintino ,temple_sf 12/23! ,true
1265644188132393557,BGQeK71q0JV,144,0,2016-06-05 03:16:06,Sunday,It's time to put those drinks up! TONIGHT we're going TRIPPE XL 🙌🏼🔊🍾 #TheNewTemple,False,N/A,demetriofonseca looki420 alyssaliane_ matewssousa anavrc_25 festfeed thedjred mscass23 shomar007 richard_from_mars ,TheNewTemple ,,false
1711864533135248782,BfBw7kZHc2O,268,3,2018-02-10 19:16:16,Saturday,Thank you @dondiablo 🔥 #TempleTen #DonDiablo,False,N/A,magicmyyyke fernandesjam huyhhuynh vionacook yaremk0 imakeitraniel bunny_630 kajuss koydek foxtaill ,TempleTen DonDiablo ,dondiablo ,true
1024133809423729107,42dEYJK0HT,89,1,2015-07-07 21:58:05,Tuesday,Wishin they could all be Temple Girls.... #TheNewTemple #Throwback #4thofJulyWeekend 🇺🇸💋🎉,False,N/A,sabrinasigns djweapon darku_j jezzzzusi jackpotgraphics hnmxomarin fatmoneyrecs deadguapzsf myyemelie danikadoll ,TheNewTemple Throwback 4thofJulyWeekend ,,true
1656279262583231669,Bb8STbHHpS1,279,2,2017-11-26 02:38:15,Sunday,3 more hours until we welcome back @robin__schulz for a 🔥🔥 holiday weekend close out! #TempleSF #RobinSchulz,False,N/A,mbp.official keatonm.147 wicked_notch ericaluxe001 houseplanet.radio romeoreyes1 jwalking_85 thejoelross czechmatemusic rickytyky02 ,TempleSF RobinSchulz ,robin__schulz ,true
1515686942182770426,BUIzT5TgIb6,134,2,2017-05-16 03:06:25,Tuesday,Memorial Day Weekend 17' 🔥 Friday May 26: #DVBBS Saturday May 27: #BURNS Sunday May 28: #JaySean,False,N/A,qdahypeman aye.ivy.90 jesusismagnus mirella_marcu supa_latina515 arnelle__ josh_fakhri charlesbellantoni killamall _zoila_m_ ,DVBBS BURNS JaySean ,,true
990925666552332386,3AeaTBq0Bi,100,7,2015-05-23 02:19:26,Saturday,Take a step into the #FutureFactory tonight  music by Future House duo NEON SHAMEN! Tix and info via the link in our bio!!,True,0,doubledutchsf format.component mars_1_ atlasplumbing demetriofonseca chelsea_sfnights origingirls mrjacksonellis dj_soundriderj js_calisthenics ,FutureFactory ,music ,true
1751772352156222778,BhPi6xJn0U6,88,1,2018-04-06 20:45:59,Friday,JUST IN! @itsjulianjordan is headlining our Temple on Friday  April 20! Tickets ➡️ www.templesf.com #TempleTen #TempleSF,False,N/A,kushpops iamdjefx lucasmedeiro temple_sf king_alex_benson19 djque nattekitty aye.ivy.90 joe_jaggedchino831 b_dubb240 ,TempleTen TempleSF ,itsjulianjordan April ,true
