ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
1539300944495126566,BVcsg2vDigm,1148,14,2017-06-17 17:03:13,Saturday,Dance it out poolside today with #Tiësto &amp; our #BabesInBlue!  Tickets: wet.re/buytickets,False,N/A,t.k_767 michelleetch isaiah_auld gaverliaphan bm_the_best imdatgftho realglobgotti h.o.t_ent mauisunny calvin.ye_official ,Tiësto BabesInBlue ,Tickets: ,true
758289588165911938,qF_FzjgaWC,1119,123,2014-07-06 02:53:04,Sunday,A little taste of @calvinharris today at #WetRepublic! Day two of the #4thofJuly celebration was a success!,True,0,isabeljassoa mathiaskorp bruu._.naa laq22 kimberrss bigmateo01 jillianlarson maxgauv dominique_jinnae ,WetRepublic 4thofJuly ,calvinharris ,true
798048374950569253,sTPMTOgaUl,1330,74,2014-08-29 23:26:41,Friday,Welcome to the party @steveaoki! Thank you @nervomusic for an incredible set! #LetsGetWet #LDW2014 #AokisPlayhouse,True,0,limacassandra edxamor _ivan_pq yaka_02 anafontecha steve_freitas nalaniwakita nadiaxoxos zaidanarrasyid ,LetsGetWet LDW2014 AokisPlayhouse ,steveaoki! nervomusic ,true
669678863567136558,lLLWDYgacu,1184,69,2014-03-05 20:39:23,Wednesday,Our #WCW is dedicated to our gorgeous @wetrepublic ladies! Check them out #OpeningWeekend starting March 14th!,False,N/A,daanstellingwerf juxnjo evan_83 parasmkhurana mattnicolaides_ bakyt777 the5olution thetinuss el_neh tedschneider ,WCW OpeningWeekend ,wetrepublic ,true
761735876945486965,qSOr6GAaR1,804,27,2014-07-10 21:00:14,Thursday,Check #AokisPlayhouse off of your bucket list this summer on Sunday  8/3! @steveaoki #WetRepublic,False,N/A,albertsdg jeremyluke10305 naadsonlima carlos20esponda youngwildnpri18 fridacarolinz _biitemeee nalvinsim abrown1010 mmmegk ,AokisPlayhouse WetRepublic ,8/3! steveaoki ,true
1735080912138137461,BgUPuWQje91,637,10,2018-03-14 20:03:04,Wednesday,#iHeartRadio Award winner of Dance Song of the Year  #Zedd  returns for his summer residency on Sunday  April 22nd! Tickets: wet.re/zedd,False,N/A,abhigyan_1 twitch_dj sagar16 zellano topazz3 23artemenko23 manajeteekasingh dharmesh_gamit __unsocial___ stef_tete ,iHeartRadio Zedd ,returns April ,true
415901707726333222,XFlGZOgaUm,225,12,2013-03-20 17:09:28,Wednesday,★ ANNOUNCEMENT ★ @DjTommyTrash will kick off this summer's festivities @WetRepublic on Saturday  March 30th!,False,N/A,longueur joshua.fimbres becca.durkin hmany_ballam 1gio_ rawkcztar afickwazai andrewmystery ,,DjTommyTrash WetRepublic March ,true
1095191461152008079,8y5tTTAaeP,1348,41,2015-10-13 22:56:57,Tuesday,Did somebody call for a special delivery?  Buy tickets for Saturday and Sunday at #WetRepublic by clicking the link in our bio!,False,N/A,anna_ort98 carlos_canizalesc kari_onelove elian_trouble jhonanderson2003diosa le.panch.o bibahmads andreelarriva eduardo5z3 larissa_lomonte ,WetRepublic ,Buy ,true
1685738020521550267,Bdk8cxZjqG7,2627,104,2018-01-05 18:07:33,Friday,It's game time! Auditions for Model Cocktail Servers for the 2018 Pool Season starts tomorrow.  Interviews for @WetRepublic &amp; @LiquidLV will be held at @HakkasanLV located inside the @MGMGrand on Saturday  January 6th and Sunday  January 7th from 11am – 5pm.  All applicants must audition in swimwear attire. Apply online for expedited entry at: hkk.sn/careers,False,N/A,jslegha rickyrave94 amir_javan_ fredvegas666 imdemigodd jahnehh006 nathan__mack gregger25 acm__entertainment billifiscent ,,Interviews WetRepublic LiquidLV HakkasanLV MGMGrand January January All ,true
1445200430522345059,BQOYiJyhqZj,717,60,2017-02-07 21:02:18,Tuesday,#WetRepublic will be opening its doors on Friday  March 10th. Tickets are now on sale from March to Memorial Day Weekend. #WET10  Tickets: hkk.sn/buytickets,False,N/A,anjilajarvis jma_xo haleighrs faith_catalina nounijen kaskade edsonml04 angv26 joachimmoester famammadov ,WetRepublic WET10 ,March Tickets: ,true
1598031486270578209,BYtWSuHDB4h,599,20,2017-09-06 17:50:19,Wednesday,Spotlight on our Babe in Blue  @vlurso_chicago  today for Wet Wednesdays.  Catch her this weekend at #WetRepublic with @SteveAoki​ &amp; @JauzOfficial .  Tickets: wet.re/buytickets,True,10584,prasantr alireza.nour arod23cl gerisatka1 swacqmusic tomahs_5 matejmatko its_me_nast geniesiva ,WetRepublic ,@vlurso_chicago today Catch SteveAoki​ JauzOfficial Tickets: ,true
1342889574522946847,BKi5vP-BAUf,921,22,2016-09-19 17:08:53,Monday,Coming up this weekend at ‪#WetRepublic‬: - Friday | @DjShift - Saturday | #MartinGarrix - Sunday | #EndlessSundays w/ #TheChainsmokers  Tickets ➡️ wet.re/buytickets,False,N/A,michelleetch mojorojo1994 airwyatt10 blackfox1985 saritachula_23 stephenh107 _lorrane1 dmsadi joseimtzd panuwat_ice ,MartinGarrix EndlessSundays TheChainsmokers ,DjShift Tickets ,true
979202205406045619,2W0zfAgaWz,848,15,2015-05-06 22:07:00,Wednesday,In two weeks  our hands will be in the air for #WETAtNight! Join @dadalife​ on Wednesday  May 20.  Purchase Tickets: bit.ly/DadaLife-0520,False,N/A,314ratt joeymagpayo omrisharof dr_rahimov pjotr_0416 dginktattoo jeroennanninga andrewcjduong joshertter ,WETAtNight ,our dadalife​ May Purchase ,true
351503513534178402,TgypVNgaRi,130,12,2012-12-21 20:41:45,Friday,Love your job and you will never work a day in your life.  We are hiring Jan 14-Jan 17 &amp; Jan 23- Jan 25!  Visit www.wetrepublic.com for details on available positions and audition locations!,False,N/A,markod76 rexford_ deineelternliebenmich harleen10 josephjr___ mark_birk michaeljf _iammischa_ d_smith87 adelrayo ,,We Visit ,true
1724250869170216346,BftxQewjJ2a,313,14,2018-02-27 21:26:07,Tuesday,We are happy to announce that #NERVO will be @HakkasanGroup residents through 2018 at #OMNIALasVegas  #HakkasanLV and #WetRepublic! Don't miss @nervomusic's next show at @WetRepublic on April 15. Tickets: wet.re/NervoTixs,True,3200,marcianob3 shubhamuploading tjaaay_ brie_tardxo r_dural inastea zanetavictoriahucikova beingtrinathofficial muzzyedmusic houi_bu ,NERVO OMNIALasVegas HakkasanLV WetRepublic ,HakkasanGroup nervomusic's WetRepublic ,true
835617912399177107,uYthBkgaWT,1166,58,2014-10-20 19:30:39,Monday,Auditions for Wet Republic 2015 pool season are this week!  Interviews will be held at LAX Nightclub inside @luxorlv.  Tuesday  Oct. 21st to Friday  Oct. 24th and Monday  Oct. 27th to Wednesday  Oct. 29th. 12pm - 5pm.  All applicants must audition in swimwear attire.,False,N/A,brashtondaye nicolaides_13 mezoalsulaimani big_deesmirnof angeldiazz veganvicky lm_o101 kolyann ,,Interviews luxorlv. Tuesday Oct. Oct. Oct. Oct. All ,true
531335158876447760,dfroMJgaQQ,967,116,2013-08-26 23:35:08,Monday,This could be you... ** CONTEST**Describe your best memory @WetRepublic in  3 words for a chance to WIN 5 tickets to party with @SteveAoki on Monday  September 2nd!,False,N/A,gnarls22 mohamadbizri jamierumbol tom_kristian_ franjicois kristofferblansch logo_orangepandas adriel.g_73 ,,WetRepublic 3 SteveAoki September ,true
289856162294244605,QFxqTVgaT9,96,8,2012-09-27 19:19:28,Thursday,#TBT 2012 @WetRepublic memories! Describe your fav in 3 words!,False,N/A,johnnieboiii miss.fit.girl.la lynettelobato bellamia2 danny_sinnott ronnie__9 ycab17 trishloc90745 tokyo_zomb13 official.michel.wagner ,TBT ,WetRepublic ,true
1587151358967736246,BYGscB8DOe2,635,89,2017-08-22 17:33:27,Tuesday,The moment is near! Join us #LaborDayWeekend with @Tiesto  @MartinGarrix  @Kaskade &amp; @SteveAoki.  Tickets: wet.re/buytickets,True,8032,dbuitrago.me buntyflan willbwdn nima_b87 theworldsenemy djjankx ahmedwaleedbarakat felixmoese_official carlyannlouise mister_edm ,LaborDayWeekend ,Tiesto @MartinGarrix @Kaskade SteveAoki. Tickets: ,true
675383650723931311,lfcdocgaSv,539,36,2014-03-13 17:33:46,Thursday,Fill in the blank. I can't wait to hear ______ at #WetRepublic this summer! ONE day left until #OpeningDay!,False,N/A,nicksonshere karen_robinson21 andrew_primo88 val._.eria lmnd_dj arteagaproductions fordy_5 shany_aharonov _eduardocg ,WetRepublic OpeningDay ,,true
712482111285732656,njPrSQAaUw,789,12,2014-05-03 22:01:48,Saturday,We're moments away until @afrojack begins his set at #WetRepublic!,False,N/A,marceelocr tinytunalv beej_987s dcjv18 ahaanraizada10 polancovasquez vitalemusic ryantaylor3315 ,WetRepublic ,afrojack ,true
769587683080119670,quH-uZgaV2,748,53,2014-07-21 17:00:22,Monday,Get the August #RepublicofTiesto experience at #WetRepublic! #Vegas @tiesto,False,N/A,sergeiontiveros yazanabuabbas juancaesco peruano88 alfonsopaucarg marinamorii priscilla.x0 maki_armendariz mmbarons staceycausonx ,RepublicofTiesto WetRepublic Vegas ,tiesto ,true
1256656055333660472,BFwigY3Aac4,1012,35,2016-05-23 17:38:17,Monday,Coming up this #MemorialDayWeekend weekend at ‪#WetRepublic‬: - Friday | #SteveAoki - Saturday | #Afrojack - Sunday | #Tiësto - Monday | #Hardwell  Ticket link in bio.  #HKGroupMDW16,False,N/A,denisonhunter mojorojo1994 charith_gowdaa mikepoly geeneou5 shan0292 _mahany_ saichandrabhushan sebastianserpar hayden_appel ,MemorialDayWeekend SteveAoki Afrojack Tiësto Hardwell HKGroupMDW16 ,Ticket ,true
506683050168526844,cIGYyzAaf8,725,26,2013-07-23 23:15:48,Tuesday,Let the countdown to Friday begin…  Who will be joining us for Round 4 of Voting in the @SpyonVegas #Hot100!? #WetRepublic,False,N/A,daryltcw rawkcztar eoinobrien p_hollowed mr_papa_dor imattology bhavik310 iamnipsen ,Hot100 WetRepublic ,SpyonVegas ,true
