SHORTCODE,CLUB,ERROR
BNC74RCjHGi,templeSF,<class 'KeyError'>
Bd7CTC0l2ny,prsymCH,<class 'json.decoder.JSONDecodeError'>
rLGaeZAaSw,wetrepublic,<class 'KeyError'>
35CYp3K0EX,templeSF,<class 'KeyError'>
5Xt5FzgaSf,wetrepublic,<class 'KeyError'>
BTCiG2uDeEu,wetrepublic,<class 'KeyError'>
BNfxypiD2R8,prsymCH,<class 'KeyError'>
BdW8Fg7F3Az,prsymCH,<class 'json.decoder.JSONDecodeError'>
BikoaIGglxx,grandSF,<class 'json.decoder.JSONDecodeError'>
o-KZFmAac8,wetrepublic,<class 'KeyError'>
Bfy7NTYFlAf,prsymCH,<class 'json.decoder.JSONDecodeError'>
BUxP3jdDH_n,wetrepublic,<class 'KeyError'>
BbWIn9Jlw2X,prsymCH,<class 'json.decoder.JSONDecodeError'>
BN-554TDM8c,templeSF,<class 'KeyError'>
BInNBO9gU8i,rudas,<class 'KeyError'>
BJWF1VdBXX3,cavesduroyST,<class 'KeyError'>
yIWkpygaej,wetrepublic,<class 'KeyError'>
BhYAgvOH6gn,templeSF,<class 'KeyError'>
Bcp5Y72HSQj,cavesduroyST,<class 'KeyError'>
XFlGZOgaUm,wetrepublic,<class 'KeyError'>
BYexm-mnXZy,templeSF,<class 'KeyError'>
BGU6yTendHQ,rudas,<class 'KeyError'>
obib-ZgaRZ,wetrepublic,<class 'KeyError'>
J-sa0ygafI,wetrepublic,<class 'KeyError'>
BHNSO5CAbfS,rudas,<class 'KeyError'>
BhNYtRHFFqb,prsymCH,<class 'json.decoder.JSONDecodeError'>
Bd500chni1d,templeSF,<class 'KeyError'>
Bhr5O7yhbdm,grandBoston,<class 'json.decoder.JSONDecodeError'>
BG1XmCcndNs,rudas,<class 'KeyError'>
BhehngpBmbn,grandBoston,<class 'json.decoder.JSONDecodeError'>
BBjNHzfK0Ie,templeSF,<class 'KeyError'>
BbVFoNxlYly,grandBoston,<class 'json.decoder.JSONDecodeError'>
BhMpnCcF5De,prsymCH,<class 'json.decoder.JSONDecodeError'>
BVqfKX5F9Ci,templeSF,<class 'KeyError'>
BElq0D_ndMh,rudas,<class 'KeyError'>
xFTJWVAabM,wetrepublic,<class 'KeyError'>
1TqZKWAaZm,wetrepublic,<class 'KeyError'>
BGQeK71q0JV,templeSF,<class 'KeyError'>
9mMxNeK0LD,templeSF,<class 'KeyError'>
BE1dkAvK0G4,templeSF,<class 'KeyError'>
BT__7gCjBK6,wetrepublic,<class 'KeyError'>
BTMf604DUiK,wetrepublic,<class 'KeyError'>
BW3J7psFkcN,templeSF,<class 'KeyError'>
rhn3iqgaZ2,wetrepublic,<class 'KeyError'>
Bfd9ITIjI87,wetrepublic,<class 'KeyError'>
BDESSv3ndKF,rudas,<class 'KeyError'>
BFojCZiHdFu,rudas,<class 'KeyError'>
4SSXoJAaUN,wetrepublic,<class 'KeyError'>
BRgbureldgc,prsymCH,<class 'KeyError'>
BineYyeltLU,prsymCH,<class 'json.decoder.JSONDecodeError'>
sF8I1JAaSW,wetrepublic,<class 'KeyError'>
BErPsTeK0Cw,templeSF,<class 'KeyError'>
BDedCmyq0NM,templeSF,<class 'KeyError'>
zLSXOOAaWT,wetrepublic,<class 'KeyError'>
BJv-MyaAyQo,templeSF,<class 'KeyError'>
_YG3X3q0OE,templeSF,<class 'KeyError'>
vy4uPDK0Me,templeSF,<class 'KeyError'>
BUNVxV-Bd_U,cavesduroyST,<class 'KeyError'>
noRjbUgaTd,wetrepublic,<class 'KeyError'>
544F38gaa5,wetrepublic,<class 'KeyError'>
z-YNjcgafv,wetrepublic,<class 'KeyError'>
BD_uMZaAaXX,wetrepublic,<class 'KeyError'>
7v8p_7K0Io,templeSF,<class 'KeyError'>
BFPRq_8K0Do,templeSF,<class 'KeyError'>
BFt8Bv5HdJU,rudas,<class 'KeyError'>
Bdm-yeph7pX,rudas,<class 'json.decoder.JSONDecodeError'>
BhSLe7qB9Ai,grandSF,<class 'KeyError'>
BEY_YzEgaQh,wetrepublic,<class 'KeyError'>
PBWtcPgaVx,wetrepublic,<class 'KeyError'>
5MRLA-AafG,wetrepublic,<class 'KeyError'>
BIdbFeaBdFh,cavesduroyST,<class 'KeyError'>
BGKgB5JAad1,wetrepublic,<class 'KeyError'>
yxs1gSK0HX,templeSF,<class 'KeyError'>
rp4kErAaQ0,wetrepublic,<class 'KeyError'>
Y3W5UPAaeb,wetrepublic,<class 'KeyError'>
BgZGnGZHSYj,prsymCH,<class 'json.decoder.JSONDecodeError'>
BRBoQ-9DMlD,wetrepublic,<class 'KeyError'>
BZwKaNoHCsm,cavesduroyST,<class 'KeyError'>
BHiMkWrAWId,templeSF,<class 'KeyError'>
BWGxGOhle_u,prsymCH,<class 'KeyError'>
BO2g6ybhAHQ,wetrepublic,<class 'KeyError'>
qIE4D-gae_,wetrepublic,<class 'KeyError'>
3411lFgad9,wetrepublic,<class 'KeyError'>
BE3P4LrndE4,rudas,<class 'KeyError'>
BWBsAnxlpaG,templeSF,<class 'KeyError'>
BdA3F8rDXdt,oxfordsc_sd,<class 'KeyError'>
BGaq-Bcq0K4,templeSF,<class 'KeyError'>
-uNGcbq0Kn,templeSF,<class 'KeyError'>
87DwyEmbc5,grandSF,<class 'KeyError'>
p2HGnlAabF,wetrepublic,<class 'KeyError'>
kvABh1AaVO,wetrepublic,<class 'json.decoder.JSONDecodeError'>
mY0drtAaVo,wetrepublic,<class 'KeyError'>
tbBO7dgaVe,wetrepublic,<class 'KeyError'>
BgUPuWQje91,wetrepublic,<class 'KeyError'>
BGgS7l8HdHz,rudas,<class 'KeyError'>
BWgJKvjFi4P,prsymCH,<class 'KeyError'>
BXa4Cdqj_X6,wetrepublic,<class 'KeyError'>
sYdx2_Aabh,wetrepublic,<class 'KeyError'>
BLG8frlBuIK,wetrepublic,<class 'KeyError'>
pepZ7AAaev,wetrepublic,<class 'KeyError'>
Bdm-dHoBJzC,rudas,<class 'json.decoder.JSONDecodeError'>
BgoryOSnpdx,templeSF,<class 'KeyError'>
bmjejYgaf4,wetrepublic,<class 'KeyError'>
2rAZG-AaSK,wetrepublic,<class 'KeyError'>
BcQHTVLHwSZ,templeSF,<class 'KeyError'>
BQBU_M4Bcfe,cavesduroyST,<class 'KeyError'>
BTvCAMRjM_v,templeSF,<class 'KeyError'>
BiFJFKYhVuY,grandBoston,<class 'json.decoder.JSONDecodeError'>
BFs8p3MGbXO,grandSF,<class 'KeyError'>
0wGeItq0A7,templeSF,<class 'KeyError'>
BXGuc4zFWU-,templeSF,<class 'KeyError'>
BiibmbABbp0,grandSF,<class 'json.decoder.JSONDecodeError'>
6IUmZoAad-,wetrepublic,<class 'KeyError'>
BHpgbBrBNwM,wetrepublic,<class 'KeyError'>
BDcyuvMHdFC,rudas,<class 'KeyError'>
md4MMUAaQO,wetrepublic,<class 'KeyError'>
BH032izAWEf,templeSF,<class 'KeyError'>
BhE1OMwDCls,wetrepublic,<class 'KeyError'>
4nHlh8AaYi,wetrepublic,<class 'KeyError'>
snunvrgafd,wetrepublic,<class 'KeyError'>
BFkmay1K0Ge,templeSF,<class 'KeyError'>
eibVLbgabk,wetrepublic,<class 'KeyError'>
BVF2g-Rgjy8,oxfordsc_sd,<class 'KeyError'>
BF6yrh3Aae5,wetrepublic,<class 'KeyError'>
b99U0OgaeT,wetrepublic,<class 'KeyError'>
zirrg0gabM,wetrepublic,<class 'KeyError'>
BeUBnd8HFkv,templeSF,<class 'KeyError'>
zvciDFgacK,wetrepublic,<class 'KeyError'>
Bh7IE-3B7U5,grandSF,<class 'json.decoder.JSONDecodeError'>
BC61DFiK0BR,templeSF,<class 'KeyError'>
_DG0_Bq0Cn,templeSF,<class 'KeyError'>
BiXJ8VFBeOc,grandBoston,<class 'json.decoder.JSONDecodeError'>
BRytg9ZBR2K,cavesduroyST,<class 'KeyError'>
