ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
1776328951871244444,BimycU0hwic,268,12,2018-05-10 17:55:34,Thursday,@BNEGnightlife resident @R3HAB returns to #TheGrandBoston on Friday  5/18 🎟 bit.ly/grandmay18,False,,_moek10 msoliman27 ty_cubano bostonempire sarahgeiselman rushforjohn16 madaramvsic jaguarlita mo_b630 bnegnightlife ,TheGrandBoston ,BNEGnightlife R3HAB 5/18 ,True
1775801999288473418,Bik6oJ_BJdK,214,5,2018-05-10 00:28:36,Thursday,Don’t miss our GRANDuation week bash with @weare2cents tomorrow at #TheGrandBoston 🎓 | Tickets: bit.ly/granduationmay10,False,,djalxndr ajajajajajah nicolelambi immannyirocofficial xermane circusbabe dancafferty mind_honeyy michelle_porras17 randygreenstein ,TheGrandBoston ,weare2cents ,True
1774929174608523554,Bih0K4qBLEi,298,13,2018-05-08 19:36:18,Tuesday,Wild night with @loudluxury | Relive it.☝🏽🔥 #iLoveMondays #TheGrandBoston,True,2037.0,giuliano1982 jjpowers4 djnunzio millwarcal theraveutopia noorlindmusic ayacobian nicolasjcarroll djkaoru l30a ,iLoveMondays TheGrandBoston ,loudluxury ,True
1774087499170675652,Bie0y5Uh3vE,398,18,2018-05-07 15:42:12,Monday,Party is on with @loudluxury TONIGHT at #TheGrandBoston #iLoveMondays 🎟 link in bio,False,,whiskeyformayor rickycboston intotheam manwell_cvboy patrickkenney97 ashl3y_ross mylourod tito_pin rmanley7 bignightent ,TheGrandBoston iLoveMondays ,loudluxury ,True
1772773341074430482,BiaJ_YOBhoS,151,5,2018-05-05 20:12:47,Saturday,Incase you forgot what happened last night with @bingoplayers 👆🏻,True,1800.0,aligorin nbousy rayray_all_day omgoshjenn dmendzz alexreissis nandaerael kirashababb dj_hack_it rayastoynova_ ,,bingoplayers ,True
1771163158724218886,BiUb4JDBBAG,245,3,2018-05-03 14:52:03,Thursday,We’re always ready to celebrate at #TheGrandBoston! Friday: @bingoplayers Saturday: @djriznyc Monday: @LoudLuxury Tickets + Tables at TheGrandBoston.com,False,,teddyyrose danicarr27 coldabank afewplacesonearth schumoney bostonapartments101 anthony.manni saraskinner johnnycamm athanthebarber ,TheGrandBoston ,bingoplayers djriznyc LoudLuxury ,True
1770425857014658158,BiR0O_UhnRu,442,23,2018-05-02 14:27:10,Wednesday,Gearing up for the weekend at #TheGrandBoston Friday: @bingoplayers Saturday: @djriznyc Monday: @loudluxury Tickets + tables at TheGrandBoston.com,False,,c.jimenez20 zeus.universe youthwondersmusic rickwonder davepalmacci wcartwright3 thebangerseries pamelavargasb jmaldade afewplacesonearth ,TheGrandBoston ,bingoplayers djriznyc loudluxury ,True
1767573893570500842,BiHrxdYhhjq,156,5,2018-04-28 16:02:13,Saturday,What. A. Night. @cheatcodes 🙌🏻,True,1639.0,josecorrales_10 obster21 mglifestylesolutions arubsss jannifern athenaziogas katherineeeu itsbausten gillieabreuu mr_parkside225 ,,cheatcodes ,True
1766122411486680031,BiChvnWhRPf,455,5,2018-04-26 15:56:59,Thursday,The weekend spot. 📍 #TheGrandBoston Tomorrow: @cheatcodes Saturday: @djikon Monday: @makj Tickets + tables at TheGrandBoston.com,False,,bsgrabs kim_farrington juanpablo.711 alexacarey17 deltacuberecords sancori_ bvrnoutofficial caitiepowers djchampane sydney.raeann ,TheGrandBoston ,cheatcodes djikon makj ,True
1765409765137544807,Bh__tPuB3Zn,218,6,2018-04-25 16:21:05,Wednesday,We can’t wait to party with @cheatcodes this Friday at #TheGrandBoston! 🙌🏽 Don’t miss out  tickets at TheGrandBoston.com,False,,c.jimenez20 tmcvicar16 randygreenstein o_inguica theprojectum rusty.clifford venaccio briannamnelson cvbzmvzic breezysiri17 ,TheGrandBoston ,cheatcodes tickets ,True
