ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
292939058078398434,QQuoVxmbfi,20,1,2012-10-02 01:24:38,Tuesday,Robot!,False,,conniechiwaaaa mayser1 _tinamarie_ mac_deezy_ gamerbabe419 boutiquefawn lilysirenguyen betzylobo jefferz415 ,,,True
347257271804868168,TRtKYbmbZI,18,1,2012-12-16 00:05:14,Sunday,@thegrandnightclub Lighting up the night #hottestnightclubinsf #nightclub #sanfrancisco,False,,ssjennss mayser1 beto_riko wheres_wendayy smalls_bunny matthewdchu rachaelnaomi heyyyykp ,hottestnightclubinsf nightclub sanfrancisco ,thegrandnightclub ,True
347258575805593181,TRtdW4GbZd,26,0,2012-12-16 00:07:49,Sunday,Heyyyy sexy ladyyyy #thegrandsf #thegrandnightclub #thegrandgirls #hottestnightclubinsf #sanfrancisco #nightclub,False,,mayser1 beto_riko hilife_legend wheres_wendayy matthewdchu rachaelnaomi heyyyykp ,thegrandsf thegrandnightclub thegrandgirls hottestnightclubinsf sanfrancisco nightclub ,,False
377164739833869477,U79VUjmbSl,26,1,2013-01-26 06:26:02,Saturday,Who is ready for #champagneshowers tomorrow night? We are! #thegrand #thegrandgirls #thegrandnightclub #champagneboom,False,,1cavsfann ___ericanichole alyssajanelle espino_ monaa_k nikkiblades alygiraffe mama.sami llindaaaaaaaa beto_riko ,champagneshowers thegrand thegrandgirls thegrandnightclub champagneboom ,,True
385923800926631275,VbE6b4mbVr,41,2,2013-02-07 08:28:43,Thursday,#colleenshannon #worldsexiestdj #playboy #playmate #thegrand #thegrandnightclub #sanfrancisco #nightlife,False,,deansnakker a_flo9 marko510 hilife_legend honeylovesorg iambeautyandsoul hugissimo escape ronlaulau j.mariemcc ,colleenshannon worldsexiestdj playboy playmate thegrand thegrandnightclub sanfrancisco nightlife ,,True
443213034775230093,Ymm-gpmbaN,33,0,2013-04-27 09:32:12,Saturday,Mermaids @thegrandnightclub #thegrand #thegrandnightclub #sanfrancisco #nightclub #bacardi,False,,lilysirenguyen anjleoncio msdestinee_ ssjennss youkienow thegrandnightclub rissa_riss kietomuzik redpipestudios gary.febus ,thegrand thegrandnightclub sanfrancisco nightclub bacardi ,thegrandnightclub ,False
445717503580681636,YvgbU_GbWk,34,0,2013-04-30 20:28:08,Tuesday,A #GRAND Presentation ✨For bottle service inquires call 415-814-3008. #grandsf #grandgirls #grandgirlslive #bottleservice #VIP #thegrandlife @destyy22,False,,ronlaulau tarbiedoll lilysirenguyen realblackvelvet rodneydeth djbrians niloofarrr _m3rd ,GRAND grandsf grandgirls grandgirlslive bottleservice VIP thegrandlife ,destyy22 ,False
445782089285613391,YvvHLHGbdP,23,0,2013-04-30 22:36:27,Tuesday,Who's ready to pop bottles with the #grandgirls this weekend? #thegrandlife #sf #grandgirlslive #grandsf,False,,beto_riko lilysirenguyen tarbiedoll joshuatree msdestinee_ ronlaulau rissa_riss painterologist rebeccakayy ,grandgirls thegrandlife sf grandgirlslive grandsf ,,False
447891367530182644,Y3OtNjmbf0,30,0,2013-05-03 20:27:13,Friday,We take #bottlepoppin  to another level! #bigbottlesdontcare #howwedoit #cantcompare #instagood #instadaily #instaballer @_tinamarie_ #grandsf #grandgirls #grandgirlslive #thegrandsf #thegrandnightclub,False,,kunzzz26 joshuatree vn2michele jaberq8 beto_riko the_drop_831 han.christ rodneydeth hilife_legend ,bottlepoppin bigbottlesdontcare howwedoit cantcompare instagood instadaily instaballer grandsf grandgirls grandgirlslive thegrandsf thegrandnightclub ,to _tinamarie_ ,False
450101223599224828,Y_FK2Zmbf8,25,0,2013-05-06 21:37:48,Monday,Come check out @lovemesomeamy this Friday! #instagood #instasexy #instadaily #thegrandsf #thegrandlife #thegrandnightclub,False,,losgatosbarandgrill hugissimo djamyrobbins beto_riko joshuatree tyler_groom hilife_legend savage079 rj600rr 1cavsfann ,instagood instasexy instadaily thegrandsf thegrandlife thegrandnightclub ,lovemesomeamy ,False
450787653778519105,ZBhPuUmbRB,20,2,2013-05-07 20:21:37,Tuesday,Come dance the night away with the beautiful @wendayy_twran 💃#instasexy #instagood #instadaily #sfnightlife #bottleservice #sfvip #sfbottleservice #grandgirls #thegrandsf #thegrandnightclub #grandsf #thegrandgirls #sfparty #sanfrancisco,False,,bcuomo alma.wallace _tinamarie_ dominique425 danikadoll ronlaulau hplifestyle wheres_wendayy mama.sami rodneydeth ,instagood instadaily sfnightlife bottleservice sfvip sfbottleservice grandgirls thegrandsf thegrandnightclub grandsf thegrandgirls sfparty sanfrancisco ,wendayy_twran ,True
452293601047197013,ZG3qJAmbVV,32,2,2013-05-09 22:13:40,Thursday,We got issues!! @christianpresents parties are always cray cray #instadaily #instacrazy #sfvip #sfparty #grandgirls #thegrandsf #thegrandnightclub #wegotissues,False,,davidcunha14 ronlaulau wheres_wendayy queen_breeeee katierandick lddybg shawnnn30 hilife_legend beto_riko ,instadaily instacrazy sfvip sfparty grandgirls thegrandsf thegrandnightclub wegotissues ,christianpresents ,True
453202573161772084,ZKGVbQmbQ0,50,1,2013-05-11 04:19:38,Saturday,Come party with the #GrandGirlsLive tonight ! #Sf #Party #NightLife #BottlePoppin #Vip #BottleLife #Girls #FridayNight #Sexy #instadaily #instagood #tagsforlikes #bottleservice #party #likes,False,,tyler_groom ericvutran realblackvelvet djaudio1 anthonypresents instacaramel ,GrandGirlsLive Sf Party NightLife BottlePoppin Vip BottleLife Girls FridayNight Sexy instadaily instagood tagsforlikes bottleservice party likes ,,True
453932560533796454,ZMsUI-mbZm,58,1,2013-05-12 04:29:59,Sunday,@samilaurena @_tinamarie_ @destyy22 @hannahparkxxo  @almababyyyy Come see us  at The Grand Nightclub tonight! #thegrandsf #thegrandnightclub #thegrandgirls #grandgirls #saturday #sanfrancisco #nightlife #bestclub,False,,joshuatree officiallyangelica niloofarrr anthonypresents maahtob sometypeoflove_ beto_riko djaudio1 mario_ldn ,thegrandsf thegrandnightclub thegrandgirls grandgirls saturday sanfrancisco nightlife bestclub ,samilaurena _tinamarie_ destyy22 hannahparkxxo @almababyyyy at ,True
455949013604742923,ZT2zZPmbcL,39,2,2013-05-14 23:16:19,Tuesday,😘😘 😘😘 #grandgirls #thegrandsf #thegrandnightclub #grandgirlslive #kiss #instagood #instadaily #instasexy @ginamarie323 @almababyyyy @rissa_riss,False,,gggina_marieee ssjennss michiladamami kylie_olivia friscom99 ewang05 hilife_legend alma.wallace katierandick ,grandgirls thegrandsf thegrandnightclub grandgirlslive kiss instagood instadaily instasexy ,ginamarie323 almababyyyy rissa_riss ,True
457404532328609664,ZZBv-sGbeA,28,1,2013-05-16 23:28:11,Thursday,Come check out the #grandgirls and the @sexpantherdjs this #saturday #instasexy #instadaily #thegrandnightclub #thegrandsf #sfvip #bottlepoppin #bottleservice,False,,rachaelnaomi hplifestyle kristine_t0mik0 the_degenerate_beauty_queen jaberq8 beto_riko kunzzz26 dlight__ katierandick tyler_groom ,grandgirls saturday instasexy instadaily thegrandnightclub thegrandsf sfvip bottlepoppin bottleservice ,sexpantherdjs ,True
481304492472120377,at7-LGmbQ5,48,0,2013-06-18 22:53:08,Tuesday,Not going to #EDC2013? No worries let the #grandgirls show you a fun time with our #bottleservice!!! #edm #instasf #champagne #glowsticks #peace #love #unity #respect #bottlepoppin #beautiful #happy #instadaily #hair #photooftheday #blonde #party #all_shots,False,,tycoonprojekt mylifeinmine auto_cargo maorattias lmtdlifestyle mattrage tuxedokitty01 teamnewyou ,EDC2013 grandgirls bottleservice edm instasf champagne glowsticks peace love unity respect bottlepoppin beautiful happy instadaily hair photooftheday blonde party all_shots ,,False
484067907817026781,a3wTKMmbTd,20,0,2013-06-22 18:23:33,Saturday,Come celebrate with us tonight! #partywiththebest #tagyourself #sfvip #sf #sfbottleservice #sfparty #instasf #instasexy #instalove #instafamous #instadaily #grand #grandsf #thegrand #thegrandsf #thegrandnightclub #gogiants #gocray #love,False,,bulletproofhair jwalking_85 rodneydeth dmonies_ tarbiedoll ,partywiththebest tagyourself sfvip sf sfbottleservice sfparty instasf instasexy instalove instafamous instadaily grand grandsf thegrand thegrandsf thegrandnightclub gogiants gocray love ,,False
508142103593334083,cNSI0MGbVD,60,1,2013-07-25 23:34:40,Thursday,It's Friday Eve  time to prepare to #party with the #grandgirlslive!!! #igdaily #meow #bottlepoppin #clublife #cats #wedoitbetter,False,,beto_riko anthonypresents ericadaniella_ friscomotorwerks mr_cipp bethfab charlie_nicnic rae_ruckus ,party grandgirlslive igdaily meow bottlepoppin clublife cats wedoitbetter ,time ,True
524050477983839946,dFzSIYmbbK,79,3,2013-08-16 22:21:46,Friday,Style beyond compare #flashy #allgoldeverythang #pimpmyride #sfclubs #thegrandnightclub #grandsf #sfbottleservice,False,,jeremydekoste _tjbright anjleoncio losgatosbarandgrill j03bruno amandaa_shay erick_hernandez415 kunzzz26 mommaj12 mrphatsf ,flashy allgoldeverythang pimpmyride sfclubs thegrandnightclub grandsf sfbottleservice ,,True
528413521543280609,dVTUxWGbfh,39,0,2013-08-22 22:50:22,Thursday,Thirsty? Check out the @grandnightclub_bottleservice we have bottles big enough to quench thirsty-ness of all magnitude #thirstythursdays #champagne #champagnediet #moet #sf @connieandblyde #sfbottleservice #sfvip #grandsf #thegrand,False,,onlyamansingh tarbiedoll alma.wallace jwalking_85 niloofarrr og_ramp_jack beto_riko ,thirstythursdays champagne champagnediet moet sf sfbottleservice sfvip grandsf thegrand ,grandnightclub_bottleservice connieandblyde ,False
548570689353397362,ec6iKxGbRy,70,4,2013-09-19 18:19:03,Thursday,Come by The Grand and see firsthand why #werockfridays and #wegotissues. The most premier nightclub with the most gorgeous bottle service  ladies in the Bay! Contact us for guest list or@bottle service. #grandgirls #grandgirlslive #edm #nightlife #sfnightlife #nightlifesf #bottleservice #bottleservicegirls #botllepopper #popbottles #turnup #turnt #live #danceparty #club #clublife #sf #sanfrancisco #sanfran #music #livemusic #venue #party,False,,leianasantiago alfimovgerman thbreak oklahome supersolo9 dskchk santanarow_auto bamboobarmsk ,werockfridays wegotissues grandgirls grandgirlslive edm nightlife sfnightlife nightlifesf bottleservice bottleservicegirls botllepopper popbottles turnup turnt live danceparty club clublife sf sanfrancisco sanfran music livemusic venue party ,ladies ,True
583603324332914178,gZYCGkmbYC,60,7,2013-11-07 02:22:39,Thursday,What's your favorite outfit? #grandgirlslive #ootn #pickyourfavorite,False,,ssjennss beto_riko btbandz ninjavinh danikadoll harley_quinn_925 erick_hernandez415 pauleric1 lorrained0ll ,grandgirlslive ootn pickyourfavorite ,,True
595218613218686864,hCpCzUmbeQ,50,1,2013-11-23 03:00:09,Saturday,#ducati #photoshoot @reddapple_ @thegrandnightclub,False,,franextraaa jwalking_85 xtrinaknight inkbypush l0baby iamandrehill beto_riko _m3rd ,ducati photoshoot ,reddapple_ thegrandnightclub ,True
612667317500359763,iAoa3hGbRT,52,1,2013-12-17 04:47:37,Tuesday,Come thru and get a taste of  champagne. This Friday is our Cupcakes and Bubbles event. If it is your birthday in December reserve your complimentary VIP table. #grandgirls #grandgirlslive #edm #nightlife #sfnightlife #nightlifesf #bottleservice #bottleservicegirls #botllepopper #popbottles #turnup #turnt #live #danceparty #club #clublife #sf #sanfrancisco #sanfran #music #livemusic #venue #party,False,,betzylobo ressiecav j03bruno hplifestyle calibear823 reggiesoares itsjackieloko deejayflight nervocanada ascarylovesnachos ,grandgirls grandgirlslive edm nightlife sfnightlife nightlifesf bottleservice bottleservicegirls botllepopper popbottles turnup turnt live danceparty club clublife sf sanfrancisco sanfran music livemusic venue party ,champagne. ,True
639418405280659366,jfq6bdmbem,59,2,2014-01-23 02:37:15,Thursday,Champagne anyone?? #thirstyyet @wendayy_twran @msdesty23 @thegrandgirls @l0baby @hannahparkxxo @redddapple,False,,andrewdhphotos ozzytres lorrained0ll chapin86 foreplaysf mzlaarnimae westcoastcartelbullys ewang05 ,thirstyyet ,wendayy_twran msdesty23 thegrandgirls l0baby hannahparkxxo redddapple ,True
660878929302238306,kr6eJ8mbRi,37,0,2014-02-21 17:15:29,Friday,You may seen The Grand on TV with #realworldsf  but its time to experience us in person. Call/ text us at 415.636.0029 for #bottleservice and a #party you won't forget! #champagne #grandsf #,True,0.0,connieblyde l0baby westcoastcartelbullys mzlaarnimae foreplaysf princesstealeaf wheres_wendayy amiel.paterno fawndle21 ,realworldsf bottleservice party champagne grandsf ,but ,False
703035494004012597,nBrw6UmbY1,61,3,2014-04-20 21:13:03,Sunday,Happy Easter from @thegrandgirls 🐰😘🐰 #Easter #bunnies #420 #peeps #sfclubs #sfnightlife,False,,angelaatong marcdevasconcelos niloofarrr destinysunrise pauleric1 hplifestyle lien1714 sarahmadwell jenn_from_the_blockk samanthalri ,Easter bunnies 420 peeps sfclubs sfnightlife ,thegrandgirls ,True
823448134420640930,ttebcnGbSi,66,3,2014-10-04 00:31:28,Saturday,Tonight we turn up!! #turnup #thegrand #bottleservice #sfnightlife #baes,False,,hplifestyle addieroar mustachetom beto_riko lifebyellebelle anthartz ginogui joshuarene1 miss_lexi91 ssjennss ,turnup thegrand bottleservice sfnightlife baes ,,True
831285832493675558,uJUg9wmbQm,27,0,2014-10-14 20:03:35,Tuesday,@thegrandgirls know how to party! Come kick it with us this Friday as we take it back to the 90's! For a spectacular bottle service presentation  call/text us at 415.636.0029! #fbf #90s #thegrand #bottleservice #champagneshowers #turnup,False,,miss_zulema whiskyjetaime dejaneefennell losgatosbarandgrill aymonwayup katierandick ambitious__minds iamkurtys ,fbf 90s thegrand bottleservice champagneshowers turnup ,thegrandgirls call/text ,False
837197120436549005,ueUlhqmbWN,32,0,2014-10-22 23:48:15,Wednesday,Party like there's no tomorrow #Champagnelife #workhardplayhard #ACE #comepartywithus #party #instagood #fun,False,,samanthalagomarsino angelaatong niloofarrr xtrinaknight erick_hernandez415 ssjennss dj_etunes johnwelch_ virgoprimadonna52 ,Champagnelife workhardplayhard ACE comepartywithus party instagood fun ,,False
877015866675934654,wryUi7mbW-,63,2,2014-12-16 22:21:00,Tuesday,😍Home to the hottest. Come kick it with @thegrandgirls this weekend! For bottle service reservations  text/call us at 415-636-0029! #baearea #sfnightlife #bottleservice #poppinbottles #thegrand,False,,starbright214 angelaatong mamabeaaarrr marivic_tafoya blackmothgtr marshalldodson maidendodo erick_hernandez415 ,baearea sfnightlife bottleservice poppinbottles thegrand ,thegrandgirls text/call ,True
1074265607192032450,7ojuDHGbTC,45,2,2015-09-15 02:01:01,Tuesday,In case you missed out on last Saturday's preview party  we're throwing another preview party this upcoming Saturday for @djnilesf birthday! Reserve your tables now before it's too late! 415.636.0029 #newlyremodeled #theallnewGrandSF #thegrandsf #previewparty #soma #sfnightlife #bottleservice,False,,misterjaypresents kaytheafrikan aaron_in_nyc leianasantiago qtskysdalimit cottoncandycoral gggina_marieee mattsamoto themelissazamora djbizkitsf ,newlyremodeled theallnewGrandSF thegrandsf previewparty soma sfnightlife bottleservice ,we're djnilesf ,True
1076317490941376081,7v2Q4xGbZR,27,5,2015-09-17 21:57:45,Thursday,Here's a sneak peek into our preview party.,True,0.0,ardysingh tia.x0x anthartz djajaxsf mcsheen valiantvisuals jenniferbach sierraaaeva cottoncandycoral jonyfizzles ,,,True
1077698798233958042,70wVjbmbaa,39,1,2015-09-19 19:42:09,Saturday,Let's get the party started and come out to #theallnewgrandsf if you haven't seen our vamped up remodel! We're throwing another #previewparty as well as celebrating @djnilesf birthday! Only 2 tables left on the dancefloor! Hurry and reserve your table now! 415.636.0029 #sf #sfnightlife #bottleservice #newlyremodeled #soma,False,,lovemarimba marcdevasconcelos misterjaypresents kendamamastaz djkblo anthonypresents anthartz djbizkitsf dj_spades _bgatti_ ,theallnewgrandsf previewparty sf sfnightlife bottleservice newlyremodeled soma ,djnilesf ,True
1080762373064210409,7_o6b1Gbfp,44,4,2015-09-24 01:08:56,Thursday,Come celebrate your next party on our VIP platform area on the dancefloor! Reserve now! 415.636.0029 #theallnewgrandsf #thegrandsf #sf #sfnightlife #vip #bottleservice #popular #exclusive #customersfavorite,False,,adamsaaks aymonwayup jonyfizzles kortilla1 dobletcharger kaiali shamastyles elmcplus sierraaaeva gggina_marieee ,theallnewgrandsf thegrandsf sf sfnightlife vip bottleservice popular exclusive customersfavorite ,,True
