,ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
0,1757584191765593565,BhkMYKlB73d,212,2,2018-04-14 21:13:04,Saturday,Own the night. . Click the link in bio for guest list consideration and VIP Reservations.,False,,max_voroninn amiiivv desmo.moto shaylyn1111 eeelex.noble alexsd carlosmickey305 julio_bryan_ j_dubz89 karla_merced ,,,True
1,1756039014131176778,BhetC3xBBVK,73,1,2018-04-12 18:03:05,Thursday,@DJDecon x TONIGHT . . Click the link in our bio for guest list consideration or VIP Reservations.,False,,alexrey89 jetsd.city mamandmardj lexbogan djque ruccababy hlockmoney frederick_blanding arleneibarra alchemehealth ,,DJDecon ,True
2,1751094453600569202,BhNIyC7BMdy,107,4,2018-04-05 22:19:07,Thursday,The weekend callled and she's bringing champagne... . . Join us tonight for The Scooter &amp; Lavelle Show!,False,,lamar_prince arleneibarra marcoarango latinanatalina oh_hexxx_yeeah gringita76 djque angie_r89 blastedpanda cocktailwaitresses ,,,True
3,1750812091302137949,BhMIlIihdBd,52,2,2018-04-05 12:58:07,Thursday,TONIGHT  come party on a school night for The Scooter &amp; Lavelle Show at Oxford Social Club. @ScooterDj @LavelleDupree // Click the link in our bio for guest list!,False,,sagamorependrybaltimore sineadalice djsupajames mikedkot cinemazay dave_rukus rideplaytv reza_raccoon jvictoria04 asha_ish ,,come ScooterDj LavelleDupree ,True
4,1750417988735399460,BhKu-L7BvYk,103,4,2018-04-04 23:55:06,Wednesday,@ScooterDJ &amp; @LavelleDupree are comin' in HOT tomorrow night for the return of the Scooter and Lavelle show at Oxford Social Club!,False,,kaaybiie djsupajames rico1588_toscano alexshawphoto jrios_photography esdans4grams nfluenceconsulting 33jazzygirl marcoarango djque ,,ScooterDJ LavelleDupree ,True
5,1748223538957269142,BhC8AvThjiW,173,2,2018-04-01 23:15:07,Sunday,Be Sophisticated  or don’t.,False,,seant2187 monzerack devinedevaughn latinanatalina soulyraw princecharles858 vmillz25 karenne_ brittany.mai ,,or ,True
6,1747411164046281637,BhADTINh8ul,161,3,2018-03-31 20:21:05,Saturday,Weekend #Mood 🐰,False,,ruccababy bobskibinski easyonthecheeks anthony_afonsoo bdavidge kevinpfulmer beedoll __emz__98 djmistergray sd_latina_anel ,Mood ,,True
7,1746248555523632051,Bg7688phmuz,87,1,2018-03-30 05:51:11,Friday,Black @Bear x Oxford Social Club --- Join us tomorrow Friday  March 30th as singer/songwriter Black Bear joins us for a special performance at Oxford Social Club. --- Click the link in our bio for guest list consideration.,False,,bernadettemedina msdianasimpson helensunjoy izzzheee allouttuesdays esdans4grams alchemehealth djschoenyofficial djque madeinam_erika ,,Bear March ,True
8,1745893365016681649,Bg6qMPth9yx,202,1,2018-03-29 18:05:29,Thursday,We're celebrating the kick off to #BaseballSeason TONIGHT at Oxford Social Club! Click the link in our bio to join our guest list.,False,,djkaossd iannsolus iamjroc jrso671 slave2stylez wallytee endea modfnb theluxegen jerryapotter ,BaseballSeason ,,True
9,1745381792158166280,Bg4134XBa0I,106,3,2018-03-29 01:09:05,Thursday,The dynamic duo return for The Scooter &amp; Lavelle show next Thursday  April 5th. Click the link in our bio for guest list consideration!,False,,djschoenyofficial djmistergray christinaroa rico1588_toscano fergiedj shaneaxe44 fabiofelipe31 madeinam_erika djkerryglass oneminutetrader ,,April ,True
10,1742944230235961790,BgwLor6h_m-,97,3,2018-03-25 16:26:05,Sunday,Black @Bear x Oxford Social Club --- Join us on Friday  March 30th as singer/songwriter Black Bear joins us for a special performance at Oxford Social Club. --- Click the link in our bio for guest list consideration.,False,,certifr1ed djlito619_ theoryhairstudio djmasoud_song pendrysandiego chrisdolcesd brandond_lv msnichols86 33jazzygirl amarcus8432 ,,Bear March ,True
11,1742389597084028253,BguNhtih41d,180,8,2018-03-24 22:04:07,Saturday,Grab your girls and let's kick off the night at Oxford Social Club.,False,,priscillabermingham msnichols86 mas.porfavor helensunjoy sjmanak alan.campos619 randy_mendez1 kevinmansour julzvelez ,,,True
12,1741610445858756161,BgrcXkahVZB,88,3,2018-03-23 20:16:05,Friday,Black @Bear x Oxford Social Club --- Join us on Friday  March 30th as singer/songwriter Black Bear joins us for a special performance at Oxford Social Club. --- Click the link in our bio for guest list consideration.,False,,a.l.e.x_mi alchemehealth kevinmansour rideplaytv djque roadtrippingcat djkaossd colonelcopin chrisdolcesd djmistergray ,,Bear March ,True
13,1740807164367590284,BgoluSOldOM,210,4,2018-03-22 17:40:07,Thursday,There's always a reason to celebrate! Kick off the weekend at Oxford Social Club with @DjDynamiq.,False,,mariahsotoxx iamjroc clearconsole mulkylives craig_smoove krysss_dawn dearlittlelove djbangarang sardubb shvedig ,,DjDynamiq. ,True
14,1738718399004243728,BghKyv5FXcQ,191,12,2018-03-19 20:30:06,Monday,Black @Bear x Oxford Social Club --- Join us on Friday  March 30th as singer/songwriter Black Bear joins us for a special performance at Oxford Social Club. --- Click the link in our bio for guest list consideration.,False,,thecodyallen mrs.renteria2017 flamebroilerpacificbeach lexbogan ericaalexis dave_rukus bone_ified sillykrilly missashleywalker jmoaddab ,,Bear March ,True
15,1737283951272650074,BgcEoyVl-Va,93,2,2018-03-17 21:00:07,Saturday,Shining like a disco ball. #OxfordSocialClub welcomes @JesseMarco TONIGHT!,False,,charlesjourdaniv arichardson022 slave2stylez arleneibarra roorzh obeid.habibi agentbaz djque devbeck ,OxfordSocialClub ,JesseMarco ,True
16,1736550123436246064,BgZdyL6FAQw,195,4,2018-03-16 20:42:08,Friday,A little party never killed nobody✨💋 @DJErock Returns to Oxford Social Club TONIGHT. Click the link in our bio for guest list consideration.,False,,bpm_nightlife bnikki26 d.cousar soulrisetribe tomomimata maggiemariscal randy_mendez1 darasteinrichter priscillabermingham lamar_prince ,,DJErock ,True
17,1735669145523021710,BgWVeRSgWeO,258,5,2018-03-15 15:31:47,Thursday,Kicking off the weekend—TONIGHT at Oxford Social Club with beats by babe @djaylasimone!,False,,jmoaddab codenamekar thekarenstyle hellaclassic breskags k10sd we_came_saw_did rico1588_toscano donymark lacroixmusic ,,djaylasimone! ,True
18,1732873391247000097,BgMZysOAQIh,104,5,2018-03-11 18:57:07,Sunday,Last night’s shenanigans with @ericbellinger! For more photos 📷 check out our Facebook page,False,,collsully saintclairmusic rubep_photography gabematix o_hash caseyfeldser ulzg djque a.l.e.x_mi jbladow ,,ericbellinger! ,True
19,1731476682855968143,BgHcN6KgG2P,274,7,2018-03-09 20:42:06,Friday,Weekends are our favorite! Come kick it off tonight at Oxford Social Club featuring sounds by @DJSchoenyOfficial. Click the link in our bio for guest list consideration.,False,,todostequierenchingar mcneelydc fabriciov22 money_aerial_media sangria_mami _lifethatsshinning_ pistol_pete22 djzee nadeemaladli nazd112 ,,DJSchoenyOfficial. ,True
20,1730876216002882757,BgFTr91BizF,159,1,2018-03-09 00:49:05,Friday,Time to Rendezvous 🎉 . Tonight we welcome back @Craig_Smoove to Oxford Social Club. Click the link in our bio for guest list consideration.,False,,lavelledupree hlockmoney neverlandnomad dave_rukus djmkey760 dreiyya bdavidge david_omni_eg mar.sol.love fabiofelipe31 ,,Craig_Smoove ,True
21,1730735804654835503,BgEzwtkgFcv,225,3,2018-03-08 20:10:07,Thursday,Happy Internation Women's Day to all our Industry babes!💪🏼💋,False,,todd46742 villawolf420 karmamarv madeinam_erika katelynmarie73 bdavidge jorjetavlahova neverlandnomad jessicajohnson521 max_voroninn ,,,True
