,ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
0,1758187846013576549,BhmVofaDGVl,991,13,2018-04-15 17:12:25,Sunday,Close out your weekend with #NERVO today for #EndlessSundays.  Ticket: wet.re/buytickets,False,,bmck989 rasoulbahariofficial loirinha_tiesto_love_ malte_287 misscarleshima gabrielerosadini_rosa_ matthewmichaelchilds madtrouper hanlonjay _dishaa05 ,NERVO EndlessSundays ,Ticket: ,True
1,1757459071986790830,Bhjv7btD3Gu,698,8,2018-04-14 17:04:29,Saturday,See you soon #MartinGarrix! Join him today at #WetRepublic. Doors open at 11am.  Tickets: wet.re/buytickets,False,,engyin_maung rogerioo.barbosa m_shawn_browning thissa_ jhag55 vegas_drew araujo_igoor juan_huertas krissr__ jrob_h ,MartinGarrix WetRepublic ,Tickets: ,True
2,1756733615377229065,BhhK-pljCUJ,1366,20,2018-04-13 17:03:07,Friday,Have a little the fun in the sun today at #WetRepublic! Doors open at 11am.  Tickets: wet.re/buytickets,False,,sidaravegasvip xiushan777 mikey_likesit44 hamid_shiraz_shahrivar ronieokay felipeferraciolii bmurillo84 elizabethbeas glamourpusschampagne wendymacias ,WetRepublic ,Tickets: ,True
3,1756008694380529146,BhemJqTDIX6,1749,42,2018-04-12 17:02:50,Thursday,Our favorite color is #BabesInBlue,False,,mikeyj666 lexanfought mahmoodsajjadi195 megaphysical razorronnie dannyarttape jeremyyanchong b_ee_l presidentsofmayhemsc playhouse_hw ,BabesInBlue ,,True
4,1755376522044919947,BhcWaV7jFCL,753,49,2018-04-11 20:06:49,Wednesday,Who will be named this years sexiest lady in Vegas!? Every Friday starting April 27th  Vegas' finest ladies will compete for their chance to take home up to $100 000 in cash prizes. #SPYONHot100  Sign up now: wet.re/hot100,False,,zanechungyufung thomgsp itsharshbhardwaj _janbakhsh_ austinbushelman nasrun301096 brookeeloren stripsteaklv tanyadianne djluisro ,SPYONHot100 ,Vegas' Sign ,True
5,1754694154292371042,BhZ7QlcDR5i,1642,267,2018-04-10 21:31:05,Tuesday,We are excited to announce #CalvinHarris will extend his residency through 2020 with an exclusive partnership with #HakkasanGroup.  Don’t miss his return to #WetRepublic on Saturday  June 2nd.  Tickets: wet.re/calvinvegas,False,,sthalin88 williamcholko beachbabeshrone mauriciomariap kimphantastic09 sol_dweck apytang 12por2_24 hearourcity kevinjpeguero ,CalvinHarris HakkasanGroup WetRepublic ,Don’t June Tickets: ,True
6,1754566813201286264,BhZeThzjUR4,999,58,2018-04-10 17:18:04,Tuesday,Join us #MemorialDayWeekend with #ArminvanBuuren  #Tiësto  #MartinGarrix &amp; #Zedd.  Tickets: wet.re/mdw18,False,,spicy.rosa alexxriveraa azizahmed93 koritzatorres rayle_arevalo jordano_91 meandmychucks miss_allisonj mixedbarbie3 geo13ma ,MemorialDayWeekend ArminvanBuuren Tiësto MartinGarrix Zedd ,Tickets: ,True
7,1753109585986342602,BhUS-FNDE7K,1081,19,2018-04-08 17:02:49,Sunday,Rise &amp; shine  it's champagne time! 🍾🎉 Join us today for the launch of #EndlessSundays with #MartinGarrix.  Tickets: wet.re/buytickets,False,,byjose.61 jennad0llx the_weekend_explorer uncut_presents anastasia_yakobovich tess_norris shesworld_ geeealcala baner10 _saulo91 ,EndlessSundays MartinGarrix ,it's Tickets: ,True
8,1752387180204760456,BhRutsZDZ2I,800,14,2018-04-07 17:07:32,Saturday,Join us today as we kick off Grand Opening Weekend with #Kaskade!  Tickets: wet.re/buytickets,False,,dj_disson maks_weezey danjacuzzi pitbossin_ cali.maine aure__ln blueprintsound andyg_1292 juliebeansss kundanjain6700 ,Kaskade ,Tickets: ,True
9,1751662591136830290,BhPJ9iPDRNS,3626,60,2018-04-06 17:07:54,Friday,Grab your girls and join us at #WetRepublic today with @DJShift!  Tickets: wet.re/buytickets,False,,bodeaflorin83 vittel7 nttnino cocheche10 sugarsoap2 mtthwlblnc in_johns_world p_lafuse rick__cee harryhaley2 ,WetRepublic ,DJShift! Tickets: ,True
