SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
QQuoVxmbfi,17844949669018645,monaa_k,2012-12-16 00:25:37,We love the robot!,,
TRtKYbmbZI,17847796753018645,xo.jlovee,2013-06-21 20:26:15,@meli__flowers,,meli__flowers 
U79VUjmbSl,17844967972018645,mama.sami,2013-01-26 06:42:32,😍😍😍😍😍😍😍😍,,
VbE6b4mbVr,17844973534018645,hugissimo,2013-02-07 08:32:35,#djcolleenshannon,djcolleenshannon ,
VbE6b4mbVr,17844973549018645,rodneydeth,2013-02-07 10:11:29,@djcolleenshannon,,djcolleenshannon 
wryUi7mbW-,17843911294018645,j_chinn,2015-09-24 02:21:17,@voworld well damn lucky you,,voworld 
wryUi7mbW-,17843977813018645,_bkitty,2015-09-29 02:18:37,Still looking for girls ?,,
7ojuDHGbTC,17843782918018645,leianasantiago,2015-09-15 02:17:00,😍😍😍😍😍,,
7ojuDHGbTC,17843783065018645,niceprez,2015-09-15 02:28:38,I can't wait 👏👏,,
7v2Q4xGbZR,17843820820018645,kaiali,2015-09-17 23:47:22,@djjrocksf dude!!!!!!!,,djjrocksf 
7v2Q4xGbZR,17843824069018645,andrewdhphotos,2015-09-18 06:02:22,🙌🙌🙌🙌,,
7v2Q4xGbZR,17843849752018645,kaiali,2015-09-19 22:03:27,@ff_emt_brian925,,ff_emt_brian925 
7v2Q4xGbZR,17853311422018645,jelena_miami,2016-02-04 02:46:57,@ninna_cooper,,ninna_cooper 
7v2Q4xGbZR,17855349199018645,muneca408,2016-03-25 23:27:44,@mvl408 call!! Lol,,mvl408 
70wVjbmbaa,17856384511018645,psercia,2016-04-28 20:33:11,😃,,
7_o6b1Gbfp,17843930293018645,letylyfe,2015-09-25 18:09:54,@lezbian2dafullzt @xoxo_alexa95 @jess90uribe @gaby.92,,lezbian2dafullzt xoxo_alexa95 jess90uribe gaby.92 
7_o6b1Gbfp,17843930299018645,gaby.92,2015-09-25 18:10:34,@letylyfe Oooh that's pretty!,,letylyfe 
7_o6b1Gbfp,17843931790018645,jess90uribe,2015-09-25 21:02:36,@letylyfe omg I love it yay thanks Prima for all ur help😍😍😎😀,,letylyfe 
7_o6b1Gbfp,17843931799018645,jess90uribe,2015-09-25 21:04:13,@letylyfe I definitely want the 3carat one lol,,letylyfe 
9pTETKmbTO,17844992638055901,cottoncandycoral,2015-11-04 03:31:19,@sfgdynasty101214,,sfgdynasty101214 
9pTETKmbTO,17844999076055901,kkkkammmy,2015-11-04 18:19:25,@kahtiii Lookin tan... Missing the LOK though @justinh_gibbs @23aj23 @kiafariba @tcrivell,,kahtiii justinh_gibbs 23aj23 kiafariba tcrivell 
