SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
Bg6qMPth9yx,17915615665092385,pendrysandiego,2018-03-29 21:08:41,Yes! Hopefully we will be celebrating a victory ⚾️,,
Bg4134XBa0I,17936598487004903,theoxfordsd,2018-03-29 01:09:10,#oxfordsocialclub #oxfordsocialclub #nightlife #visitsandiego #sandiegoclub #sandiego #nightclub #djduo #scooterdj #lavelledupree #oxfordnights #weareclique #cliquehospitality #pendrysandiego #thependry #pendry #sd #gaslampquarter #gaslampdistrict,oxfordsocialclub oxfordsocialclub nightlife visitsandiego sandiegoclub sandiego nightclub djduo scooterdj lavelledupree oxfordnights weareclique cliquehospitality pendrysandiego thependry pendry sd gaslampquarter gaslampdistrict ,
Bg4134XBa0I,17934467947039204,lavelledupree,2018-03-29 01:22:54,The madness continues!! 🤘🌟,,
Bg4134XBa0I,17915405221093391,sillykrilly,2018-03-29 01:42:00,Can’t wait!,,
BgwLor6h_m-,17874610036205290,theoxfordsd,2018-03-25 16:38:45,#Nightlife #Nightclub #SanDiego #OxfordSocialClub #OxfordNights #GaslampQuarter #SanDiego #DowntownSanDiego #VisitSanDiego #AmericasFinestCity #SocialClub #BeSophisticated #LiveMusic #LuxuryLifestyle #CliqueHospitality #SocialLife #Hospitality #VIP #BlackBear #DoReMi #LivePerformance,Nightlife Nightclub SanDiego OxfordSocialClub OxfordNights GaslampQuarter SanDiego DowntownSanDiego VisitSanDiego AmericasFinestCity SocialClub BeSophisticated LiveMusic LuxuryLifestyle CliqueHospitality SocialLife Hospitality VIP BlackBear DoReMi LivePerformance ,
BgwLor6h_m-,17934156463043546,actarus_luxury,2018-03-25 16:47:54,Now that is living!!!🔥🔥😤😤,,
BgwLor6h_m-,17919359344116468,thefixtmovement,2018-03-25 21:58:59,Cool!,,
BguNhtih41d,17860583575226313,theoxfordsd,2018-03-24 22:09:16,#Nightlife #Nightclub #SanDiego #OxfordSocialClub #OxfordNights #GaslampQuarter #SanDiego #DowntownSanDiego #VisitSanDiego #AmericasFinestCity #SocialClub #BeSophisticated #LiveMusic #LuxuryLifestyle #CliqueHospitality #SocialLife #Hospitality #VIP,Nightlife Nightclub SanDiego OxfordSocialClub OxfordNights GaslampQuarter SanDiego DowntownSanDiego VisitSanDiego AmericasFinestCity SocialClub BeSophisticated LiveMusic LuxuryLifestyle CliqueHospitality SocialLife Hospitality VIP ,
BguNhtih41d,17920009288098311,emilyghaderi,2018-03-24 22:36:50,@paigecaleigh @cassmarie___,,paigecaleigh cassmarie___ 
BguNhtih41d,17873287762214681,iamtigertony,2018-03-25 00:26:35,@q.u.a.m,,q.u.a.m 
BguNhtih41d,17872725301214329,pendrysandiego,2018-03-25 01:39:59,💕,,
BguNhtih41d,17932251388034670,cassiefelburg,2018-03-25 03:12:47,Babes 😍,,
BguNhtih41d,17906709769188075,rubep_photography,2018-03-25 10:34:15,💕,,
BguNhtih41d,17924776813072199,faisal.sarb,2018-03-25 17:50:05,@cassmarie___ 👌🏻👌🏻🔥,,cassmarie___ 
BguNhtih41d,17918503966133315,zakidean,2018-05-09 14:58:45,@emilyghaderi xo,,emilyghaderi 
BgrcXkahVZB,17891426782194571,theoxfordsd,2018-03-23 22:50:39,Oxford Hashtags  #Nightlife #Nightclub #SanDiego #OxfordSocialClub #OxfordNights #GaslampQuarter #SanDiego #DowntownSanDiego #VisitSanDiego #AmericasFinestCity #SocialClub #BeSophisticated #LiveMusic #LuxuryLifestyle #CliqueHospitality #SocialLife #Hospitality #VIP,Nightlife Nightclub SanDiego OxfordSocialClub OxfordNights GaslampQuarter SanDiego DowntownSanDiego VisitSanDiego AmericasFinestCity SocialClub BeSophisticated LiveMusic LuxuryLifestyle CliqueHospitality SocialLife Hospitality VIP ,
BgrcXkahVZB,17931725140057386,jo.hann.b,2018-03-24 18:38:14,@hnratner W A L K,,hnratner 
BgrcXkahVZB,17934700048044422,xrismadness,2018-03-25 05:20:24,Is this an 18+ event?,,
BgoluSOldOM,17935817671010066,thekorysmith,2018-03-22 18:00:51,@b_zimmer5,,b_zimmer5 
BgoluSOldOM,17919801904096570,theoxfordsd,2018-03-22 20:32:16,#Nightlife #Nightclub #SanDiego #OxfordSocialClub #OxfordNights #GaslampQuarter #SanDiego #DowntownSanDiego #VisitSanDiego #AmericasFinestCity #SocialClub #BeSophisticated #LiveMusic #LuxuryLifestyle #CliqueHospitality #SocialLife #Hospitality #VIP,Nightlife Nightclub SanDiego OxfordSocialClub OxfordNights GaslampQuarter SanDiego DowntownSanDiego VisitSanDiego AmericasFinestCity SocialClub BeSophisticated LiveMusic LuxuryLifestyle CliqueHospitality SocialLife Hospitality VIP ,
BgoluSOldOM,17919692593102674,_paola_ferrara_,2018-03-22 20:37:46,✔✔✔✔,,
BgoluSOldOM,17918375308113435,gobrovideos,2018-03-22 22:13:40,YasAasssss,,
BfhYBvFDmq3,17921039932065701,mevale78,2018-02-23 02:28:40,Dammm never realized that was painted on there lol,,
BfT-uNAjpUR,17885263606197689,wearerichgroup,2018-02-18 05:27:07,Let's get it @stonerokk @theoxfordsd 💰💰,,stonerokk theoxfordsd 
BfT-uNAjpUR,17912361025100681,stonerokk,2018-02-18 05:53:53,@wearerichgroup which one do you want me to get you?,,wearerichgroup 
BfT-uNAjpUR,17924534872016719,wearerichgroup,2018-02-18 05:54:56,@stonerokk all,,stonerokk 
BfT-uNAjpUR,17925665056055411,stonerokk,2018-02-18 07:55:08,@wearerichgroup hashtag white trophies,,wearerichgroup 
BfT-uNAjpUR,17900200897185128,wearerichgroup,2018-02-18 07:55:45,@stonerokk it's snowing!,,stonerokk 
BfT-uNAjpUR,17853167332228145,thestylistla,2018-02-19 19:15:48,yasss!,,
BfT-uNAjpUR,17931564226023085,beaumaitred,2018-03-21 03:19:26,@drebabyyy,,drebabyyy 
BfFgKJkDPB3,17893181506173904,pendrysandiego,2018-02-12 06:54:26,🥂✨,,
Be-kLWNjK-X,17864126173214663,therealhanshodvil,2018-02-09 15:31:34,That fit doe @iamjroc 🤙🏽,,iamjroc 
Be-kLWNjK-X,17896203967180048,1800hempceo,2018-02-09 19:27:24,#powercouple ✨,powercouple ,
Be-kLWNjK-X,17923675612014728,fvwnzho,2018-02-09 20:47:05,#squuuuuad,squuuuuad ,
Be-kLWNjK-X,17923184317047530,germanimport,2018-02-11 02:58:07,👌,,
Be-kLWNjK-X,17898095272158230,tspxyz,2018-02-20 15:48:44,Cool feed !👏👌,,
Be1kxzYjrhI,17863085896219370,phenomenalari,2018-02-06 02:03:52,😎,,
Be1kxzYjrhI,17924004271006770,theoxfordsd,2018-02-06 02:55:04,#treysongz #oxfordnights #pendry #pendrysandiego #gaslampquarter #sandiego #sdnightlife #mcm #oxfordsocialclub #nightout #visitsandiego,treysongz oxfordnights pendry pendrysandiego gaslampquarter sandiego sdnightlife mcm oxfordsocialclub nightout visitsandiego ,
Be1kxzYjrhI,17914601311073109,keoana619,2018-02-06 04:36:43,@snbecker @justynabkloda @s_arcala,,snbecker justynabkloda s_arcala 
Be1kxzYjrhI,17894395735167243,stephania_dimonico,2018-02-06 05:10:00,@michelle31axo @jess_sweet_charity we were there! 😍,,michelle31axo jess_sweet_charity 
Be1kxzYjrhI,17905247383087984,aley10mar,2018-02-06 06:06:08,Memories 😆 it was a great night!,,
Be1kxzYjrhI,17930347588022305,iamxavierwhite,2018-03-04 06:11:07,💫,,
BeEY7qOjrxT,17890537540163383,limoguy,2018-01-17 23:47:42,😜😜😜👍👍👍💪💪💪😂😂😂,,
BdxWDbejEkx,17892482488130493,33jazzygirl,2018-01-10 16:14:50,Yessssss,,
BdxWDbejEkx,17919844606063845,jazzynic0le,2018-01-11 00:47:19,💜💜💜,,
BdxWDbejEkx,17891775067182702,missali.le,2018-01-11 01:22:47,🚀🚀🚀🚀🚀🚀,,
Bdpmmy5DcUI,17844359794231708,djmikeattack,2018-01-07 17:20:51,😎👌🔥,,
Bdpmmy5DcUI,17892756259190373,danielle_hernandez,2018-01-07 22:16:22,@casiarnold,,casiarnold 
Bdpmmy5DcUI,17912037565069957,defin8fitnessbytrixie,2018-01-13 09:49:53,This is great!,,
BdifKAkj1vy,17843546497234827,realestatelegalsolutions,2018-01-05 23:52:45,👊,,
BdZY6GAjgyy,17891511331184339,rubep_photography,2018-01-01 07:05:41,🌷🌷🌷🌷🌷🌷🌷🌾🌾🌾🌾🌷🌷🏵🌹🥀🌺🌻🌼,,
BdZY6GAjgyy,17894048569141752,louisloother,2018-01-01 11:01:39,Killing it @theoxfordsd 💯💯💯,,theoxfordsd 
BdZY6GAjgyy,17843217730224929,yoncprice,2018-01-01 14:02:58,🙌🏾,,
BdZY6GAjgyy,17858839507201711,crewvent,2018-01-02 01:51:14,Dime Crew,,
BdZY6GAjgyy,17915968744052165,tokenmcsmokes619,2018-01-02 03:28:28,Gorgeous,,
BdZY6GAjgyy,17856536680222560,sandiegoinspiration,2018-01-02 17:38:59,Great flick here! Let me know what you think about mine,,
Bacw2gxArBe,17903951161046891,champagneallyear,2017-10-20 00:22:14,YASSS🍾🥂🍾🥂,,
Bacw2gxArBe,17895273301078797,dailyadviceformen,2017-10-20 19:42:16,👍,,
BaNCdK9gLSL,17898862321065059,roxanab,2017-10-14 19:48:19,@ronela_tirla,,ronela_tirla 
BaKWrmDgz11,17862374779199360,littleitalysandiego,2017-10-13 02:44:17,Place looks amazing. We will have to visit soon!,,
BaKWrmDgz11,17902198936003253,parqrestaurant,2017-10-13 18:45:49,👍,,
BaKWrmDgz11,17895895846096870,pattycorry,2017-11-15 21:49:06,@j_pereira_,,j_pereira_ 
BaKWrmDgz11,17883279886145533,rheashambie,2017-11-26 00:03:44,@mgigi08 😃,,mgigi08 
BaKWrmDgz11,17895411586127536,itstrishakayhey,2017-11-27 03:12:38,🦋🦋💫✨🖤✔️🎀🙏🏼🗝💪🏼,,
BZ7TI3MgRJ0,17901082846000536,j__leigh__g,2017-10-07 00:31:34,@raeallie333 we are going here the night after we finish whole30,,raeallie333 
BZ7TI3MgRJ0,17877101161147217,mrguizar,2017-10-07 02:33:02,@nader_habibi,,nader_habibi 
BZ7TI3MgRJ0,17878820653141464,parqrestaurant,2017-10-07 04:02:56,👍,,
BZ7TI3MgRJ0,17902597222004615,samshinex3,2017-10-12 18:35:07,Any promoters for the oxford? Looking for bottle service quotes for my friends birthday!,,
BZ7TI3MgRJ0,17883204250189597,sandiegobeauties,2017-11-03 17:31:43,Great post here. Loving it,,
BZ7TI3MgRJ0,17909547796184621,aaronscott7,2018-03-29 18:59:43,What is here name 😍,,
BZ2ikyEgmLz,17844867241214503,sdopeclothing,2017-10-19 04:22:02,Nic Pic! Check out mines :)🙌,,
BZo92Figgux,17901302536036741,djmikeattack,2017-09-29 22:45:51,See you tonight!!,,
BZo92Figgux,17861773558194044,kerryperlman,2017-09-29 23:49:19,Except the creeper in the background 🤣,,
BZo92Figgux,17900697775056092,hjharris1,2017-09-30 03:09:44,Looking good babe,,
BZo92Figgux,17885778352085453,tannerbaasch,2017-10-05 19:54:05,@babe.campaign stop you're the cutest,,babe.campaign 
BZo92Figgux,17843154118213017,imoliviarae,2017-10-05 20:08:57,@tannerbaasch 😐,,tannerbaasch 
BZo92Figgux,17875220548169800,619modeling,2017-10-18 23:46:32,Niiice.,,
BYMAhGYAaaW,17896439221045813,vmillz25,2017-08-26 23:36:38,Just what I wanted to see... @realtamtam,,realtamtam 
BYJ0pKLA-q1,17870203741158561,lemonanne,2017-08-24 01:42:55,@theoxfordsd you totally need a disco night omg,,theoxfordsd 
