ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
1745893365016681649,Bg6qMPth9yx,202,1,2018-03-29 18:05:29,Thursday,We're celebrating the kick off to #BaseballSeason TONIGHT at Oxford Social Club! Click the link in our bio to join our guest list.,False,N/A,djkaossd iannsolus iamjroc jrso671 slave2stylez wallytee endea modfnb theluxegen jerryapotter ,BaseballSeason ,,true
1745381792158166280,Bg4134XBa0I,105,3,2018-03-29 01:09:05,Thursday,The dynamic duo return for The Scooter &amp; Lavelle show next Thursday  April 5th. Click the link in our bio for guest list consideration!,False,N/A,djschoenyofficial djmistergray christinaroa rico1588_toscano fergiedj shaneaxe44 fabiofelipe31 madeinam_erika djkerryglass oneminutetrader ,,April ,true
1742944230235961790,BgwLor6h_m-,97,3,2018-03-25 16:26:05,Sunday,Black @Bear x Oxford Social Club --- Join us on Friday  March 30th as singer/songwriter Black Bear joins us for a special performance at Oxford Social Club. --- Click the link in our bio for guest list consideration.,False,N/A,certifr1ed djlito619_ theoryhairstudio djmasoud_song pendrysandiego chrisdolcesd brandond_lv msnichols86 33jazzygirl amarcus8432 ,,Bear March ,true
1742389597084028253,BguNhtih41d,180,8,2018-03-24 22:04:07,Saturday,Grab your girls and let's kick off the night at Oxford Social Club.,False,N/A,priscillabermingham msnichols86 mas.porfavor helensunjoy sjmanak alan.campos619 randy_mendez1 kevinmansour julzvelez ,,,true
1741610445858756161,BgrcXkahVZB,87,3,2018-03-23 20:16:05,Friday,Black @Bear x Oxford Social Club --- Join us on Friday  March 30th as singer/songwriter Black Bear joins us for a special performance at Oxford Social Club. --- Click the link in our bio for guest list consideration.,False,N/A,a.l.e.x_mi alchemehealth kevinmansour rideplaytv djque roadtrippingcat djkaossd colonelcopin chrisdolcesd djmistergray ,,Bear March ,true
1740807164367590284,BgoluSOldOM,210,4,2018-03-22 17:40:07,Thursday,There's always a reason to celebrate! Kick off the weekend at Oxford Social Club with @DjDynamiq.,False,N/A,mariahsotoxx iamjroc clearconsole mulkylives craig_smoove krysss_dawn dearlittlelove djbangarang sardubb shvedig ,,DjDynamiq. ,true
1720762205018679991,BfhYBvFDmq3,235,1,2018-02-23 01:54:21,Friday,Your weekend awaits! Kick it off tonight with @djkaossd at Oxford Social Club @pendrysandiego,False,N/A,nicotuxedo darrenjames15 ms.lizacevedo eddievaldez1977 pattyccaakkee cel_nuncio kimbellabella mikedunn34 marcus8060 alexfarrarii ,,djkaossd pendrysandiego ,true
1716991736905897233,BfT-uNAjpUR,166,7,2018-02-17 21:03:06,Saturday,Saturdays are for the girls! Join us tonight at Oxford Social Club featuring sounds by DJ @Stonerokk.,False,N/A,djsd_ lastcoast_ iamchefsantiago buhoomusic ramone_russell jrso671 stevelivinfit javenrochell diamante_wildside amarroquin1208 ,,Stonerokk. ,true
1714777129268498319,BfMHLa7A0-P,159,0,2018-02-14 19:43:05,Wednesday,Relive Another Decade | Join us this Thursday  February 15 for our Ultimate #ThrowbackThursday party at Oxford Social Club. Click the link in our bio for guest list consideration. #RAD,False,N/A,al3x_at_parq shanarogers p_mastermind buhoomusic dandalanny bryanbroo mas.porfavor sineadalice cannababekatie jessicapelligra ,ThrowbackThursday RAD ,February ,false
1712916668235968631,BfFgKJkDPB3,192,1,2018-02-12 06:06:40,Monday,In honor of @PendrySanDiego’s First Anniversary  we’re recapping our favorite moments from the Grand Opening Party! Swipe for more📸,False,N/A,nicoleantoinette og13_420_luieg modfnb robert0lopez whoiscodyclark ioslosangeles djnosignal scott_wellinger lifted666 ,,PendrySanDiego’s we’re ,true
