ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
1777033442640646364,BipSoA-ldDc,78,2,2018-05-11 17:18:00,Friday,@loudluxury takes on PRYSM TONIGHT!!! 🎉🎶,True,951,dexman23 marcusfr0st dannyjvargas yeisalazar benelliottmusic laylo14 fit_martinez entubasen noelly0515 mooseerin ,,loudluxury ,true
1776522222884016852,BineYyeltLU,92,5,2018-05-11 00:19:33,Friday,We're hyped to announce Mustard is bringing the FIRE to Prysm on May 26th! Come get lit! 🍾🔥 Click  the link in our bio to secure your ticket now.,False,N/A,dj_madashlo djnathanscott j___horn djmrshaw johnpoda corey_zieba mikeysmols chef_jam_ langadang22 dj_ones ,,the ,true
1776437603723602214,BinLJavl2km,83,1,2018-05-10 21:31:26,Thursday,J'adore l'été! THURSDAYS at No.9 start tonight! ✨ DM for Table Reservations/Guest List 🎟 @no.9chicago,False,N/A,djskylermadison djdiox malashjr freakfineman janekorolenko giannaa_marie7 dannyjvargas ben_a_music marcelalaciak sammyyykins_ ,,no.9chicago ,true
1774887464445787817,Bihqr7Clb6p,57,3,2018-05-08 18:13:03,Tuesday,@breathecarolina that was a fun Friday.  Chicago loves you! 🥂 . 🎥 : @alexpetersonmedia,True,606,alexpetersonmedia mvirg16 miguelc219 jnoor25 kandithekreator abraham_rickurquizo ahromic justinnyce mmmiabella djrocmke ,,breathecarolina Chicago alexpetersonmedia ,true
1773596937419097196,BidFQSFlgRs,78,1,2018-05-06 23:56:02,Sunday,Summer is here &amp; our Monday’s are just getting bigger! Join us for our industry Monday tomorrow. 🎉👻,True,1252,ibeezy____ djrocmke megancoan23 anna_chicago ryan_ley charliemurphy112 jamesgeiger proflyerdesign fit_martinez idjlex ,,,true
1730886340718825301,BgFV_TNHw9V,213,1,2018-03-09 01:09:12,Friday,Come see us tonight! 😜 #anythinggoes,False,N/A,yayyesi jennnnnny12 dangerwayne ben_a_music rjjsx91 karolina0227 sky2.16 9roundwickerpark laurenbuckk aishaac ,anythinggoes ,,true
1730101220814606259,BgCjeTUH8-z,79,1,2018-03-07 23:09:19,Wednesday,Tickets are selling fast! 🎟🔥Catch @tydollasign this Thursday for #anythinggoes!!! •Ticket Link in Bio•,False,N/A,jokic_mk hishamgadelrab bcraycray94 thurobredphoto jamesgeiger meech99 carlos_sanchez383 gertiebirdiee chillinlikeafridge djsimone ,anythinggoes ,tydollasign ,true
1728669946601579112,Bf9eChVFKJo,131,4,2018-03-05 23:45:37,Monday,TONIGHT • INDUSTRY MONDAYS • SPECIAL EDITION! MUSIC BY • @missdjmeg @deejaynikkix @avisic ‘𝕎𝕙𝕠 𝕣𝕦𝕟𝕤 𝕥𝕙𝕖 𝕨𝕠𝕣𝕝𝕕? 𝔾𝕚𝕣𝕝𝕤.’,False,N/A,lincolnhaukdj langadang22 maksym555 djbeatbreaker meganemartin_ lambertwong missdjmeg deejaynikkix jennaaanap sohlees0204 ,,missdjmeg deejaynikkix avisic ,true
1728494675286286203,Bf82L_Ml997,172,3,2018-03-05 17:57:23,Monday,What an EPIC weekend Chicago!!! The party continues tonight for a special edition of INDUSTRY MONDAYS!,False,N/A,ethan_chicago kyel__ simply_elisee str8lexin yazziebae_ chicago.miguel djmrshaw haneensharhan eia8585 cmthagod ,,,true
1727118487435138859,Bf39R0YlNcr,177,3,2018-03-03 20:23:09,Saturday,F.A.M.E. Saturday’s • TONIGHT  We have @bobsinclar taking the stage and it’s going to be an insane party! 🇫🇷 🔺CLICK ON LINK IN BIO TO PURCHASE TICKETS!🔻#bobsinclar,False,N/A,brenda_c77 jonjon023 ben_a_music planetgreenz j.r.araujo nicoleashtond fonzerelli86 dj.karma.mx el_mooney lariotsofficial ,,We bobsinclar ,true
1726488626295445666,Bf1uEIfF5ii,164,8,2018-03-02 23:31:44,Friday,🔻ANNOUNCED TODAY! 🔺Thursday  March 8th  @tydollasign takes over PRYSM Nightclub for the official ‘DONT JUDGE ME TOUR’ afterparty!! • • • • #PRYSM #party #champagne #bottles #bottleservice #nightlife #champagneshowers #drinks #chicagoparty #lifestyle #booze #shots #girls #upscale #domperignon #chitown #aceofspades #veuve #chicago #chicagonightlife #nightout #cocktail #pregame #scene #chicagogram #VIP,False,N/A,lariotsofficial jairo13th cbd_supply chrisortizfight itsmeericc stallitsch jamesgeiger liiizg karolina0227 ,PRYSM party champagne bottles bottleservice nightlife champagneshowers drinks chicagoparty lifestyle booze shots girls upscale domperignon chitown aceofspades veuve chicago chicagonightlife nightout cocktail pregame scene chicagogram VIP ,March @tydollasign ,true
1707644499982061915,BeyxaAQFJFb,147,8,2018-02-04 23:32:50,Sunday,About last night. @gianlucavacchi was amazing !!!that’s for sure! #zaddy #FAME #fashion #art #music #entertainment,True,2915,camilarg1108 yoana_91 marianabasalo yeisalazar justinnyce ospinaa_isabella4 artyrmartinez mayor_of_bloomington3123 photoarchwvictor ,zaddy FAME fashion art music entertainment ,gianlucavacchi ,true
1706873092171939822,BewCAivlL_u,106,4,2018-02-03 21:59:10,Saturday,Ace on Ace on Ace.. #AceCase #FAME #fashion #art #music #entertainment,False,N/A,scandeezy31 mirrr_andaa tiggycrisiss chi_cago_fit_and_pizza lip716 shaun.baluyot iconic.chronic alexschenberg freshgoodsmusic callumjcsmith ,AceCase FAME fashion art music entertainment ,,true
1705401310269274375,BeqzXTCFfkH,113,4,2018-02-01 21:19:15,Thursday,Prepare yourselves for the CrAziest Saturday night party in Chicago !!! 🔥We have some INSANE things in store!!! ~• . . . . You guys ain’t ready 😉 #weonanewlevel #FAMEsaturdays . . . 📽: @shaun.baluyot,True,1461,biancagzm darlenedeluna cocktailwaitresses chicago.adrian olsonhb3 mcsdk johnny_romer.jromemusic dymendcut djphoenix9 baenezaaa ,weonanewlevel FAMEsaturdays ,shaun.baluyot ,true
1704816591022548640,BeouagzF2ag,71,3,2018-02-01 01:53:16,Thursday,Add us  snap us  put a filter on it !!👻,False,N/A,djwreck zoppi321 unfilteredunlimited orsonchavez fashen mishelaela mikelala_ audinga paulinkamucha _adam_56 ,,snap put ,true
1704663483692642595,BeoLmgfFHEj,164,16,2018-01-31 21:00:17,Wednesday,Join us to kick off the 2018 F.A.M.E Saturday’s redux with @gianlucavacchi 🕺🏻🔥~• . . . He sure is excited 😜 #famesaturdays,True,3221,tomveal32 clubkillers vaydakasbah givenchy.blanco_ ivonnebombshell mimimontana187 johnpoda mbradley3310 mayor_of_bloomington3123 trizzzyxxgang ,famesaturdays ,gianlucavacchi ,true
1704628232312535158,BeoDliFFzh2,106,5,2018-01-31 19:39:02,Wednesday,When @afrojack wears the custom hat @_antben_ made for him 😍 ~• . -supplied by @artistreplete . . #music x #art x #enterntainment x #fashion #famesaturdays,False,N/A,artistreplete rubenswagger ritor.prod dj_david23 whitneylanphier yeisalazar thurobredphoto arianna_monchy ayy.cee cocktailwaitresses ,music art enterntainment fashion famesaturdays ,afrojack _antben_ artistreplete ,true
1703912932721932424,Belg8jbFbiI,78,15,2018-01-30 20:01:22,Tuesday,⚠️We are excited to announce our resident DJ lineup for 2018 #FAMESaturdays !⚠️~• . . #fashion #art #music #entertainment,True,827,sayitaintsimone chicago_boudoir_ chel_ssiee taireytwotimes mirrr_andaa pearisburggg srishti.bahl orsonchavez chechugrafia ,FAMESaturdays fashion art music entertainment ,,true
1703397051172508919,BejrpfSldT3,129,1,2018-01-30 02:52:54,Tuesday,These guys “asses” are about to be #roasted tonight..,False,N/A,megancoan23 yeisalazar 2dinorah5 ben_a_music brandnives sarahm1222 bryantkeil mateo_carrasco djboom_chi iamjosie___ ,roasted ,,true
1701678248252175305,Bedk1nVFHPJ,242,10,2018-01-27 18:04:02,Saturday,In my mind in my head this is where we all came from ... ~• @steveangello #aboutlastnight 🎉,True,1578,celeste10124 chandlaahh a.little.fitness luka0612 jidati mariakoss13 el_mooney lfragoso10 carol.tchan zoeeeharris ,aboutlastnight ,steveangello ,true
1700942372010396071,Bea9hNLFwmn,291,10,2018-01-26 17:39:43,Friday,Baby  won’t you come my way ? @fettywap1738 🔥,True,2471,helenkarounos ben_a_music alexpetersonmedia toanette.d shaunaxdeee sascoliz hellowitty12 jennaaanap djboom_chi romana_limitededition ,,won’t fettywap1738 ,true
1700395284218359235,BeZBIB9la3D,1111,3,2018-01-25 23:28:55,Thursday,⭐️TOMORROW ⭐️ . . . THE legend  @steveangello   takes the stage. • •Tickets : https://fanlink.to/angello,False,N/A,hastingijuled henrjheadq schmidxhudl p_earsoycrain inmafkristak w_inslolcharbonnied abrahatcamq ,,@steveangello takes ,true
1699541949001042900,BeV_GXnFQvU,50,3,2018-01-24 19:19:59,Wednesday,🔥 1.26.18🔥 . . . Tickets flying faaassstt —&gt; Https://fanlink.to/angello,True,555,churros0711 lariotsofficial mooseerin sayitaintsimone thatasereno tomveal32 thurobredphoto mrboogieshoes orsonchavez fractalfamily ,,,true
1698457937608239189,BeSIn7VFOhV,84,3,2018-01-23 07:21:57,Tuesday,On a Monday? Going wayyyyy up to kick off the week properly. #industrynight,True,1332,jusliz928 lariotsofficial alex_chicov djfreshdirect shahin_shojafar chicago.adrian ryannalexandra johnny_romer.jromemusic stvnleon orsonchavez ,industrynight ,,true
1698145723156461381,BeRBom9lvdF,81,2,2018-01-22 20:59:26,Monday,If anyone asks ... you’ve got plans tonight. Tied down @prysmnightclub 🍒 #industrymondays,False,N/A,jameljudeh thurobredphoto mayor_of_bloomington3123 cardic__ dianakrouford gertiebirdiee sarahm1222 annalisecorso abigailirenee madelinewood12 ,industrymondays ,prysmnightclub ,true
1681795772608639027,BdW8Fg7F3Az,212,4,2017-12-31 07:35:00,Sunday,I tell all my hoes  rake it up Break it down  back it up •~ • • •  Last Saturday of the year is already LITTTTTT 🔥 • • @yogottikom 👌🏻,False,N/A,meech99 windycityluxury dj_hatchet cierra___w maria_butnaru_13 k_bolisay donmarchi luckypaulie derrick_firstdata neregidelim ,,rake back Last yogottikom ,true
1681528565244736996,BdV_VIrFbXk,50,1,2017-12-30 22:44:26,Saturday,💨Forecast for tonight : • • IT’s GONNA BE LIT for the last F.A.M E Saturday of the year 💥 • •📍: @prysmnightclub • ‼️: @yogottikom • 🔊 : @dante @agentforte @djmrshaw •📽 : @djmrshaw,True,938,mmmiabella theeroberts willyynillyy vinnyvibe jocii_navarrete ben_a_music justinnyce meech99 madskoz cousinjaytee ,,prysmnightclub yogottikom dante agentforte djmrshaw djmrshaw ,true
1681435693069864693,BdVqNquF471,112,0,2017-12-30 19:39:36,Saturday,It’s the last Saturday of the year   let’s have some fun !!!!! •~ 💋 • • •  @gemsofprysm,False,N/A,cocktailwaitresses wearerichgroup axermusic hypexbeast_panda chitowntravels81 jordanmarie63 chelsey.crippen fredrikbjorkenor ben_a_music pj.slickback ,,let’s @gemsofprysm ,false
1680675912625413489,BdS9daCl91x,343,6,2017-12-29 18:30:03,Friday,Last Thursday of the year was  quiiteeee a LITuation 🔥 💃🏻🍾 ~ • • • Big thanks to everyone that came out! ❤️#anythinggoes 😏 • • • #readyfor2018 #tagyourself,False,N/A,sedoy_alexey megan.walterr hi1_yhy ari_bellaaa jonathan199442 kaacurvelo richbottles trishachicago_ riothospitalitygroup elsiemichellee ,readyfor2018 tagyourself ,quiiteeee ,true
1679985776518356536,BdQgimtFd44,106,3,2017-12-28 19:38:52,Thursday,Grab your lady friends &amp; let’s go ! ~ 💋• • • Tag your BFF to win tickets for tomorrow’s show  @wandwmusic ! 👌🏻🎫 #DETOURfridays,False,N/A,madskoz ben_a_music freakfineman djguskaras trizzzyxxgang mjrottmann unfilteredunlimited isaacherrr mmmiabella ms_yasia ,DETOURfridays ,@wandwmusic ,true
1679439497010855219,BdOkVMRF70z,116,0,2017-12-28 01:33:31,Thursday,“ I only drink champagne on two occasions; When I’m in love  and when I’m not.” - Coco Chanel •~ 💋🍾 • • #mood,False,N/A,lilgiltrill jackieejacksonn rafaba_ thelegz schoolermma orvillekline e.spin_ madskoz eia8585 lianaysll ,mood ,and ,false
1670844119193710194,BcwB9-3l25y,227,3,2017-12-16 04:56:02,Saturday,Our teams all here for @erickmorillo tonight  where are you? #detourfridays,False,N/A,ryan11waterman justindwaunredding notfromnyczz laurenbuckk jalenrollins_ jake_hadden evandorosheff luckypaulie brucepicanso maksym555 ,detourfridays ,erickmorillo where ,true
1670441843404807347,BcumgGWF5yz,61,1,2017-12-15 15:36:47,Friday,Missed #anythinggoes last night? Don’t sleep next week with @leftyoutthere and his live art installation...in VR! #fashion #music #art,False,N/A,contra_dan312 justinnyce cmthagod a.little.fitness alaynarickard alalvarezmusic thenewgentlemanx mmmiabella lukyofficial fantusic ,anythinggoes fashion music art ,leftyoutthere ,true
1669789831524775425,BcsSQE9l_YB,140,9,2017-12-14 18:01:21,Thursday,He’s baaaaaaaaackkkk! • 🎧JUST ANNOUNCED🎧 @laidbackluke returns to PRYSM Nightclub Friday  1/19 for #DETOURfridays 🎉 tickets https://fanlink.to/laidbackluke • • • • #PRYSM #party #champagne #bottles #bottleservice #nightlife #champagneshowers #TheDEN #party #chicagonightlife #lifestyle #booze #shots #girls #upscale #domperignon #chitown #aceofspades #veuve #chicago #chicagonightlife #nightout #cocktail #birthdayparty #birthday #chicagobirthday #chicagogram #VIP,False,N/A,djwreck madskoz theeroberts djnathanscott muddlingmemories blueparallel benelliottmusic pooks13daddy rjjsx91 noah_kloevekorn ,DETOURfridays PRYSM party champagne bottles bottleservice nightlife champagneshowers TheDEN party chicagonightlife lifestyle booze shots girls upscale domperignon chitown aceofspades veuve chicago chicagonightlife nightout cocktail birthdayparty birthday chicagobirthday chicagogram VIP ,laidbackluke 1/19 ,true
