SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
BIp3rH_B-UL,17859539953009693,sergiofeltrini,2016-08-03 10:10:16,@brunodallari,,brunodallari 
BIp3rH_B-UL,17859539974009693,rams1983,2016-08-03 10:10:50,The 1 in Leopard she got my vote!!,,
BIp3rH_B-UL,17859540133009693,mpappalardii,2016-08-03 10:15:44,@gvarvaraaa,,gvarvaraaa 
BIp3rH_B-UL,17859540184009693,fcurlyy,2016-08-03 10:17:16,@jscervantes27 @tonyespinozaig,,jscervantes27 tonyespinozaig 
BIp3rH_B-UL,17859540358009693,treyvon___,2016-08-03 10:21:26,@dab_n_out_710  dude,,dab_n_out_710 dude 
BIp3rH_B-UL,17859541669009693,nessagirlv,2016-08-03 10:57:30,PLEASE CHECK YOUR DM,,
BIp3rH_B-UL,17859542029009693,jamielynnvaccaro,2016-08-03 11:10:08,oh hey look its us! @angelakathryn15 @gab_reals @allisonnrosee @k.reals,,angelakathryn15 gab_reals allisonnrosee k.reals 
BIp3rH_B-UL,17859548473009693,bamoore17,2016-08-03 15:25:03,@fabarrin @kemplife @cmgoodni,,fabarrin kemplife cmgoodni 
BIp3rH_B-UL,17859548887009693,brunodallari,2016-08-03 15:39:26,Não gosto  prefiro os cajus @sergiofeltrini,,prefiro sergiofeltrini 
BIp3rH_B-UL,17859731569009693,vegas_host_u,2016-08-04 11:09:17,!,,
BIp3rH_B-UL,17859897157009693,brie_tardxo,2016-08-05 16:00:09,Babes babes and more babes!!! 🔥💯🙌🏼,,
BIp3rH_B-UL,17860590553009693,joshmartin94,2016-08-17 11:53:17,@sebavery TMB,,sebavery 
BIp3rH_B-UL,17860782187009693,kaits92,2016-08-20 15:14:25,@_amberhl still workin on that bod for next year 😏💁🏻,,_amberhl 
BIvClGchakB,17850330694113044,zack_and_family,2016-08-05 11:15:44,Winner,,
BIvClGchakB,17850342520113044,brie_tardxo,2016-08-05 15:56:23,🔥💯🙌🏼,,
BIvClGchakB,17851155781113044,013kavish_,2016-08-21 02:14:05,😍👌,,
BIvClGchakB,17851450735113044,abbibeaumont,2016-08-25 22:16:44,@brie_tardxo 😘,,brie_tardxo 
BIsxuwohF2K,17850082489081546,cully_117,2016-08-04 13:11:52,Hardwell looks like an autistic monkey,,
BIsxuwohF2K,17850083233081546,bobbybatz,2016-08-04 13:20:49,@rbj20 @rcassella22 @vicsucks @mike.gregory.__ @domcirilli @pdonnelly28 we in there !,,rbj20 rcassella22 vicsucks mike.gregory.__ domcirilli pdonnelly28 
BIsxuwohF2K,17850083245081546,dannyboi929,2016-08-04 13:20:56,@jcesar718 @dlsmooth @aidan_1023 @p_devs @saucedestef @mr.wafen,,jcesar718 dlsmooth aidan_1023 p_devs saucedestef mr.wafen 
BIsxuwohF2K,17850101902081546,dannboyle,2016-08-04 20:23:55,@gavlar_87 @samcampbell12 @rhysswilliamss fancy this,,gavlar_87 samcampbell12 rhysswilliamss 
BIsxuwohF2K,17850105637081546,berkulucayy,2016-08-04 21:17:52,@mrsblacknurse,,mrsblacknurse 
BIsxuwohF2K,17850121678081546,rhysswilliamss,2016-08-05 08:10:49,@dannboyle round 2 lets go,,dannboyle 
BIsxuwohF2K,17850136867081546,brie_tardxo,2016-08-05 15:57:03,H. A. R. D. W. E. L. L ❤️❤️,,
BIsxuwohF2K,17850147094081546,luishuete,2016-08-05 21:39:17,@jadeyhuete,,jadeyhuete 
BIsxuwohF2K,17850328378081546,katejohnston54,2016-08-10 05:46:24,@jossweir @kayldeiter YAY 🎉,,jossweir kayldeiter 
BIsmQT7BbPj,17860083517058533,federiconyc,2016-08-04 11:28:53,Love,,
BIsmQT7BbPj,17860083526058533,federiconyc,2016-08-04 11:29:07,XeS,,
BIsmQT7BbPj,17860083586058533,_steve_nap_,2016-08-04 11:30:52,@mr__irrelevant6,,mr__irrelevant6 
BIsmQT7BbPj,17860083601058533,nickd107,2016-08-04 11:31:07,@dj_martone,,dj_martone 
BIsmQT7BbPj,17860083685058533,djolesiabond,2016-08-04 11:33:23,😜😱,,
BIsmQT7BbPj,17860083715058533,thethunderfromjalandhar,2016-08-04 11:34:19,Wow,,
BIsmQT7BbPj,17860083757058533,taylordreww,2016-08-04 11:35:31,@rachiexoxobay looks like ours,,rachiexoxobay 
BIsmQT7BbPj,17860083796058533,diegopereirabh,2016-08-04 11:37:11,Chegamos!!! Auuuuuu @marcelohlsoares @nakataojima @ditobadke,,marcelohlsoares nakataojima ditobadke 
BIsmQT7BbPj,17860083904058533,tomglover91,2016-08-04 11:41:04,@claire_pownall you've got some competition when we hit those Vegas pool parties,,claire_pownall 
BIsmQT7BbPj,17860083934058533,guisadan,2016-08-04 11:42:02,@haroldoporto @fernandoporto55 @renato2f @viniciusnmachado bora denovo?,,haroldoporto fernandoporto55 renato2f viniciusnmachado 
BIsmQT7BbPj,17860084210058533,panarobread,2016-08-04 11:51:58,@steviesharon look at this account,,steviesharon 
BIsmQT7BbPj,17860084459058533,janesita_,2016-08-04 11:59:43,@taniia316 @la_chekka @aidi_realtor,,taniia316 la_chekka aidi_realtor 
BIsmQT7BbPj,17860084468058533,oscarpedrozaaa,2016-08-04 12:00:11,Who are they,,
BIsmQT7BbPj,17860084612058533,iyem28,2016-08-04 12:04:56,Sexy on blue,,
BIsmQT7BbPj,17860085377058533,ravenraeann,2016-08-04 12:27:56,@micahmoore23 this needs to be us,,micahmoore23 
BIsmQT7BbPj,17860085776058533,taniia316,2016-08-04 12:41:21,@janesita_ @la_chekka @aidi_realtor exactly what i want with the Heart Hat,,janesita_ la_chekka aidi_realtor 
BIsmQT7BbPj,17860087354058533,w4lsta,2016-08-04 13:17:26,Right all day long!,,
BIsmQT7BbPj,17860087687058533,msaudino116,2016-08-04 13:26:33,@ruckinleo team Vegas trip,,ruckinleo 
BIsmQT7BbPj,17860122706058533,claire_pownall,2016-08-04 16:45:55,@tomglover91 let's be honest.. My ass whips all over theirs 😏😊,,tomglover91 
BIsmQT7BbPj,17860149979058533,fernandoporto55,2016-08-04 19:05:44,@guisadan @haroldoporto @renato2f @viniciusnmachado  Meu nome é pronto !! 😋😋😋,,guisadan haroldoporto renato2f viniciusnmachado Meu 
BIsmQT7BbPj,17860155043058533,swayloooo,2016-08-04 20:42:00,@gypsellie is this you boo?! 😘,,gypsellie 
BIsmQT7BbPj,17860157038058533,elliek.ferguson,2016-08-04 20:54:39,@swayloooo oh you flatter me ☺️😘 I work with the most beautiful ladies ❤️,,swayloooo 
BIsmQT7BbPj,17860207438058533,luievenegas,2016-08-05 09:50:45,YAS,,
BIsmQT7BbPj,17860223590058533,brie_tardxo,2016-08-05 15:57:36,🔥🔥🔥🔥 #babesinblue!!,babesinblue ,
BIsmQT7BbPj,17860908010058533,joshmartin94,2016-08-17 11:39:59,@alexfearnley1 nice good,,alexfearnley1 
BIsmQT7BbPj,17864024443058533,amandacjensen,2016-10-15 00:20:48,@cmmorgan2010 this place looks like somewhere we need to stop whenever we go to Vegas.,,cmmorgan2010 
