ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
1742962856796375749,BgwP3vQDErF,640,11,2018-03-25 17:03:05,Sunday,Hands up for #Illenium as he brings the beat to #WetRepublic for his debut show today! Tickets: wet.re/buytickets,False,N/A,suffocatingconfusion smdahlke14 allanmoraaes fabioruvieiro franklinasc97 yashpatravali danimaiatr denisfirst piranavan_sangar felipe__y2j ,Illenium WetRepublic ,,true
1742277882099466443,Bgt0IC2jwDL,474,16,2018-03-24 18:22:50,Saturday,#SaturdaysAreForTheBoys! Join us today as #BarstoolSports takes over #WetRepublic with @cashcash . Tickets: wet.re/buytickets​,True,8857,joepitt_ karlwoods cooke13o8 geniesiva derektheman jarred.ruiz swagner7785 brad.goffinet lucas.w.thompson fergiedj ,SaturdaysAreForTheBoys BarstoolSports WetRepublic ,cashcash ,true
1740884411988031687,Bgo3SYrj7jH,1838,80,2018-03-22 20:13:35,Thursday,Come party with #BarstoolSports at #WetRepublic this Saturday  March 24th and see why #SaturdaysAreForTheBoys Tickets: wet.re/buytickets,False,N/A,kalob_wheeler flyingemsandjewelry mmart630 maceeefacee joachimmoester wilwinters andrewcoxman sianeadoc khaledgowely gregmichaels ,BarstoolSports WetRepublic SaturdaysAreForTheBoys ,March ,true
1740793884361767771,BgoitCQjjtb,1344,41,2018-03-22 17:13:43,Thursday,Enter a State of Trance with #ArminVanBuuren as he makes his return to #WetRepublic on Monday  May 21st and Friday  May 25th. Tickets:,False,N/A,dj_ade9 ogulcanbuyukbas mellysworld87 sergioo_93 chirislash maceeefacee linus_st peace_luv_disco t0mmc2 kyriacosworldland ,ArminVanBuuren WetRepublic ,May May ,true
1740156374438886591,BgmRwC4D7y_,792,22,2018-03-21 20:07:06,Wednesday,Sink into the sounds of #CashCash Saturday  March 24th. Tickets: wet.re/buytickets,False,N/A,mobsideofficial djvinnyvice jeb_scaria julios90 bigbadwolfe21 chrisjohnbatty djpaisa_edc2019 michellita_ag georgeagnel24 sergi_cuberodj ,CashCash ,March ,true
1740064088677936904,Bgl8xHED-8I,846,107,2018-03-21 17:04:01,Wednesday,Dive into #WetRepublic Grand Opening Weekend and create some ‘Sweet Memories’ with @Kaskade on Saturday  April 7th. Tickets: wet.re/buytickets,True,8389,jabarraza koolya dina.e34 nurynumyra mr__davidd p.dhanda giftedweirdo alasky35 abhinavmistry timlutimlu ,WetRepublic ,Kaskade April ,true
1732124909604018326,BgJvm2XjZiW,2717,150,2018-03-10 18:10:01,Saturday,Kick off the first Saturday of the #WetRepublic pool season today with Fergie DJ! Tickets: wet.re/buytickets,False,N/A,chelseyyraeh bradippothomas craiglife8 edubbzz79 chris_zaldi sabs_09 matthewktm12 luisfesc dj_ravella richardwijaya2610 ,WetRepublic ,,true
1731490904575761790,BgHfc3LDt1-,2882,119,2018-03-09 21:10:22,Friday,Say hello to the #BabesInBlue...Swipe ⬅️,False,N/A,amadere laurenxyz johnbuyar alexsprme _jay_s0n_ arnav__gautam alps_spla pepper611 chicyogi04 devotion18 ,BabesInBlue ,,true
1731371952453297671,BgHEZ4YDaYH,1912,158,2018-03-09 17:15:26,Friday,Introducing the #BabesInBlue of the 2018 pool season.  @WetRepublic is now open! Come party with the lovely ladies of #WetRepublic all season long. #Wet18,True,33284,viva_uk invictus117 manuelurbano_ ii21ii222 dl4_13blessed freddylove619 _wolfofallstreets_ jaggjaysin sky__queen_34 hunk_37 ,BabesInBlue WetRepublic Wet18 ,@WetRepublic ,true
1730675692167632792,BgEmF9dDheY,715,39,2018-03-08 18:10:41,Thursday,Are you ready!? Tomorrow  #WetRepublic open for the 2018 pool season.  Tickets are now on sale from March until June. Tickets: wet.re/buytickets,False,N/A,sammcclain34 lairnightclub daviddm santos.falcon rosario_r87 pascal.rdl candm1231 whina_cherie fabrizio_av_ crangy13 ,WetRepublic ,Tickets ,true
1730043826292946999,BgCWbGgDHg3,954,31,2018-03-07 21:15:17,Wednesday,Come welcome #Zedd back to #WetRepublic on Sunday  April 22nd and Monday  May 28th! Tickets: wet.re/buytickets,False,N/A,littlehanusch chino7297 vogrins_palace silvio_jazexhiu akshaymore9 marcelino_soka 74chaddy 7stevenc dj_moscow joet_swagg ,Zedd WetRepublic ,April May ,true
1729970431534563846,BgCFvETjAIG,612,21,2018-03-07 18:49:27,Wednesday,✌ more days!  Tickets are now on sale from March until June. Tickets: wet.re/buytickets,False,N/A,juangudecoud djspace_official la_reinadel_sur rtizzle23 haraldrudolf kobylyanskiy777 rockstar826 lux.global louie_iii camposgrappling ,,Tickets ,true
1729217098179941992,Bf_acn8jBZo,726,35,2018-03-06 17:52:43,Tuesday,3 days and counting! #WetRepublic opens its doors on Friday  March 9th.  Tickets are now on sale from March until June. Tickets: wet.re/buytickets,False,N/A,djrubyphoenix madtrouper djnaik cristianmarchi rowdy_inc triobeendjs phat_matt7 nickstar__86 aoife_loughnane bigj0e68 ,WetRepublic ,March Tickets ,true
1728548969946890941,Bf9CiFCjUK9,725,22,2018-03-05 19:45:16,Monday,#PartyFavor will return to takeover #WetRepublic on Saturday March 17th and 31st! Tickets: wet.re/buytickets,False,N/A,djthung martin_seguel ethanbenj jigar_lalwani rickyrave94 deswin______dav peterpapadakis_ madurohedwiges yehezkiel_rc dj_shin_music ,PartyFavor WetRepublic ,,true
1724151854403431316,BftavoEjCuU,1354,75,2018-02-27 18:08:59,Tuesday,10 Days until #WetRepublic opens its doors on Friday  March 9th!  Tickets are now on sale from March until Memorial Day Weekend. Tickets: wet.re/buytickets,False,N/A,fpink.lv hovig_ourfalian insta_ro29 smashleybee11 rochelle_d88 lucy_melia95 grbicnikola flo_frenchie grardomurillo qattabm ,WetRepublic ,March Tickets ,true
