SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
8OpYM4hNLU,17844091627057308,marion_lacaze,2015-09-29 21:02:33,@julietsorrente,,julietsorrente 
8OpYM4hNLU,17844091765057308,thisissttropez,2015-09-29 21:18:30,@cavesduroy 🙏😃🔝🎵💙,,cavesduroy 
8OpYM4hNLU,17844096145057308,yoanneynard,2015-09-30 06:32:19,👌👌👌,,
BQ8iVEHhG-H,17852399503134452,rodfergui,2017-02-25 20:51:00,@cavesduroy #Pro,Pro ,cavesduroy 
BQ_T5gMBY8U,17860693273082982,rodfergui,2017-02-26 21:26:13,#Pro,Pro ,
BQ_T5gMBY8U,17850192616163136,bouedi,2017-02-26 23:44:13,🔥👏🏾,,
BQ_T5gMBY8U,17873625445017561,upsider1,2017-02-27 16:50:02,@barraccadimamma ⭐️,,barraccadimamma 
BW5iKHfny43,17878447111118725,drrafaeltimbo,2017-07-23 18:25:02,👏👏👏,,
BW5iKHfny43,17883491542069953,ralph_chatelle,2017-07-23 19:31:17,👍🏻🎉🍾 @cavesduroy,,cavesduroy 
BW5iKHfny43,17878565341101037,stevestrange252,2017-07-23 22:25:01,Extasy wow bleu mood,,
BW5iKHfny43,17863942297173395,ninaapril13,2017-07-23 22:57:53,💫 💫 💫 💫,,
BW5iKHfny43,17865191623188255,ucinvestmentgroup,2017-07-24 01:36:50,Amazing 💥,,
BW3GZGwHzf6,17865354547177472,stevestrange252,2017-07-22 20:07:48,Sry. It's painful... Till SEP ⚓,,
BZHLCDMHhtw,17898960313016050,jamescstorer,2017-09-16 18:33:52,@hamishglass 🥂see you there one last time for we hit the slopes ?,,hamishglass 
BZHLCDMHhtw,17890293811076124,patsbydj,2017-09-17 14:20:14,Très belle photo. Bravo @cerisesurle752,,cerisesurle752 
BIgPgH0haVT,17853242749066811,i_am_the_baba,2016-07-31 00:15:02,Nice!,,
Bgb345vg2N4,17932766284005409,broker1920,2018-03-23 21:15:22,J‘ aime les filles de ....,,
BZojYvknqoG,17900810050038955,stevestrange252,2017-09-29 18:07:57,Next year sry to many dates 😉🎸🇫🇷🚀🎆🎶💗,,
BZojYvknqoG,17874435421161274,stevestrange252,2017-09-29 18:08:54,Greetings to John   Andre and the whole caves Team🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹,,Andre 
