SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
BeTGuX1lWVf,17907205540107142,thegrandboston,2018-01-23 16:23:11,#steveangello #bostonma #igersboston #bosfeed #swedishhousemafia #housemusic #edm #bigroom #dancemusic #electronicmusic #edmfamily #tropicalhouse #bottleservice #nightlife #edmlifestyle #nightclub #rave #ravegirls #edmgirls #edmnation #tomorrowland #progressivehouse #futurebass #electronicdancemusic #eletronicmusic #edmlife #electro #trapmusic,steveangello bostonma igersboston bosfeed swedishhousemafia housemusic edm bigroom dancemusic electronicmusic edmfamily tropicalhouse bottleservice nightlife edmlifestyle nightclub rave ravegirls edmgirls edmnation tomorrowland progressivehouse futurebass electronicdancemusic eletronicmusic edmlife electro trapmusic ,
BeTGuX1lWVf,17903594179095957,alyssafiliatreau,2018-01-23 16:42:06,@petervasaturo09,,petervasaturo09 
BeTGuX1lWVf,17921677594018039,halestorm64,2018-01-23 16:43:17,@creeny5 @connor_c26,,creeny5 connor_c26 
BeTGuX1lWVf,17902798951080194,cayla_conigliaro,2018-01-23 16:47:12,😍😍👏🏼,,
BeTGuX1lWVf,17862406021205744,creeny5,2018-01-23 16:51:27,@halestorm64 @connor_c26 long live Swedish house mafia,,halestorm64 connor_c26 
BeTGuX1lWVf,17889646627170319,halestorm64,2018-01-23 16:56:27,@creeny5 we need this in our lives,,creeny5 
BeTGuX1lWVf,17889613195174510,creeny5,2018-01-23 17:00:37,@halestorm64 yesterday,,halestorm64 
BeTGuX1lWVf,17902713319095700,mariazoto,2018-01-23 18:02:32,@isabelalalaa my hair movement is on another level,,isabelalalaa 
BeTGuX1lWVf,17892780052153169,arubsss,2018-01-23 18:50:25,@lheldel you can see me,,lheldel 
BeTGuX1lWVf,17903382913081466,bertdaconqueror,2018-01-23 21:48:53,@andreduque00,,andreduque00 
BeTGuX1lWVf,17922206269037119,andreduque00,2018-01-23 21:52:35,@bertdaconqueror 😒,,bertdaconqueror 
BeTGuX1lWVf,17920473013057305,djscene,2018-01-23 22:03:54,🚨🚨🚨,,
BeTGuX1lWVf,17902779361090014,derek_masionis,2018-01-23 22:58:18,@nolieroth15,,nolieroth15 
BeTGuX1lWVf,17846475436236976,megamann2,2018-01-23 23:51:13,@alysonxkelsey,,alysonxkelsey 
BeTGuX1lWVf,17907302560098842,jimmy_conway512,2018-01-24 01:34:29,Best club in the city !,,
BeTGuX1lWVf,17861767798206351,matttfielding,2018-01-24 03:13:25,⚡️🎥⚡️,,
BeTGuX1lWVf,17907303613100023,aa.alvaro,2018-01-24 04:39:42,@dcam.9512,,dcam.9512 
BeTGuX1lWVf,17907570034096207,nolieroth15,2018-01-24 05:06:06,@louisdumo,,louisdumo 
BeTGuX1lWVf,17906723176113898,djfxny,2018-01-24 15:52:22,😎😎😎,,
BeTGuX1lWVf,17880983650194647,dcam.9512,2018-01-25 19:30:41,@alejlopher alla fui a bailar el lunes,,alejlopher 
BeTGuX1lWVf,17912532526075960,nicholas.minaj,2018-01-26 01:58:16,👏👏👏,,
BeTGuX1lWVf,17920994161048632,hrdymusic,2018-01-26 06:51:19,🆒🆒!!,,
BeTGuX1lWVf,17921230723013744,jbodoni_,2018-01-29 06:00:27,plz peep this @rashida_sesay,,rashida_sesay 
BeTGuX1lWVf,17861302735223611,rashida_sesay,2018-01-29 06:02:24,@jbodoni_ im dead,,jbodoni_ 
BeTGuX1lWVf,17909525932114005,dcam.9512,2018-01-29 18:34:05,@alejlopher aqui estuve,,alejlopher 
BeTGuX1lWVf,17921380000048141,dcam.9512,2018-01-29 19:48:24,@camila_linares23,,camila_linares23 
BeTGuX1lWVf,17890916077171855,aa.alvaro,2018-01-30 04:29:08,@dcam.9512 SIIIII aquí estuvo y ahora también jajajaj ya no sale de allí JAJAJ @alejlopher,,dcam.9512 alejlopher 
BeTGuX1lWVf,17908801180102236,kackadooo,2018-01-30 22:47:08,@ellamentalsuicide this is the grand. Im obsessed,,ellamentalsuicide 
BeTGuX1lWVf,17921694595043614,ambbb44,2018-01-31 02:18:01,@kev_tressel,,kev_tressel 
BeTGuX1lWVf,17863874620215151,dibiasio75,2018-02-09 14:25:17,@ajd111,,ajd111 
BeTGuX1lWVf,17941246276041439,mariazoto,2018-05-01 05:30:19,@r0bwils0n,,r0bwils0n 
BeTGuX1lWVf,17844220657265625,djdecro,2018-05-06 21:31:32,keep it up! 👍,,
