SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
BCZTxqtK0A2,17844756580100200,xo_annet_xo,2016-03-01 03:42:28,@rosi___91 😩😩 🙌🏼🙌🏼 can it be Saturday !!,,rosi___91 
BCZTxqtK0A2,17844757072100200,jake_tate_,2016-03-01 04:04:58,@djiiiz,,djiiiz 
BCZTxqtK0A2,17844757435100200,sj49er,2016-03-01 04:27:00,@dgomez35 @luiis.ceja yall niggas ready!!!!,,dgomez35 luiis.ceja 
BCZTxqtK0A2,17844757471100200,rosi___91,2016-03-01 04:28:55,@brrrii__  let's go,,brrrii__ let's 
BCZTxqtK0A2,17844757636100200,rosi___91,2016-03-01 04:39:42,@theboss3000  we out,,theboss3000 we 
BCZTxqtK0A2,17844758077100200,daviddm,2016-03-01 05:02:53,@andyculture_,,andyculture_ 
BCZTxqtK0A2,17844760210100200,tyvd,2016-03-01 07:11:43,Who can I contact for tables ? The girl who emails doesn't do a great job confirming,,
BCZTxqtK0A2,17844770572100200,jconseeded1,2016-03-01 16:46:55,Lets do it on a weekend @shavonne.marie__ 😊😆 you'll love it,,shavonne.marie__ 
BCZTxqtK0A2,17844785158100200,spiderhernandez,2016-03-02 03:23:58,@_anndrreaaa_ @pacokeepstheekidsdancing,,_anndrreaaa_ pacokeepstheekidsdancing 
BCZTxqtK0A2,17844913717100200,nicklaprade,2016-03-06 01:45:53,NCG @stefanoapostolatos,,stefanoapostolatos 
BeEv8hlHNgu,17860435564221677,crewvent,2018-01-25 08:31:54,Dime Crew,,
BeEv8hlHNgu,17919617173067368,crewvent,2018-02-15 05:17:34,Nuff said there... str8 DIMES,,
3-RcQfK0Ll,17849999665038768,londonbridgemusic,2015-06-16 02:44:35,Oy who do we talk to for booking? We want to bring the @spaceyacht crew to SF :),,spaceyacht 
3-RcQfK0Ll,17849999680038768,mosescarrillo1,2015-06-16 02:59:03,&amp; @djdynamiq 🙌🎉,,djdynamiq 
Ba5U03lnDV-,17847500758219252,jon_rojas,2017-11-08 02:39:09,@partymanpedro,,partymanpedro 
Ba5U03lnDV-,17890824730090684,wearewaves,2017-11-11 08:26:46,🌊,,
BTUpXrYg_Ag,17867502736112246,moradj,2017-04-26 06:53:43,🙌 🙌,,
BTUpXrYg_Ag,17878743670002552,officialwilld,2017-04-26 09:57:04,Nice!,,
BTUpXrYg_Ag,17865112570085308,sayanboca,2017-04-27 10:46:57,Damm,,
BTUpXrYg_Ag,17885649358087566,chrisxworthy,2017-10-02 22:30:56,Hey check the link out in my bio if you got a minute. It's a short clip of me spinning 😎,,
Bgb9_GGBhra,17932083487004053,startupsshowcase,2018-03-17 21:19:21,Amazing R_S,,
Bgb9_GGBhra,17903533543180058,untzsf,2018-03-18 18:22:39,💙🎵💛,,
BZIFvDInGpK,17874158590147426,district_solaris,2017-09-17 04:07:04,So Stoked for tonight.! 💙,,
BfjK3QbnqVY,17908653205095710,crewvent,2018-02-23 18:48:42,@temple_sf offers great packages for Crews having birthdays or nights out. Best VIP packages in the Bay Area. Awesome!,,temple_sf 
BfjK3QbnqVY,17854448785230135,laughtersghost,2018-02-23 22:17:01,@temple_sf who is that beautiful woman on the left? Think I’m in love !,,temple_sf 
BfjK3QbnqVY,17895493417174628,lucasmedeiro,2018-02-24 00:02:54,I love the ad!,,
BfjK3QbnqVY,17866347436217439,startupsshowcase,2018-02-24 00:18:50,Let's do this,,
BfjK3QbnqVY,17908584466092526,colemanyee,2018-02-24 20:43:03,MSM‼️,,
BfjK3QbnqVY,17910791365086272,kmission510,2018-03-07 02:53:59,#yes,yes ,
BDYgIqAq0Cs,17846162989093139,nightlifeking,2016-03-25 19:58:26,@djstellar shotssssssss!!!!!,,djstellar 
BDYgIqAq0Cs,17846240128093139,ragee_,2016-03-27 01:55:04,@toma_adwar We out,,toma_adwar 
7qXuhVK0BM,17843864320038768,ded.af,2015-09-15 18:57:31,Guys we Gota hit temple sometime! We should hit this @landle165 @lancemfbera @nico_freeko,,landle165 lancemfbera nico_freeko 
7qXuhVK0BM,17843865103038768,adventcaitlin,2015-09-15 19:56:17,@prusela and idea?,,prusela 
7qXuhVK0BM,17843865364038768,ramlochan,2015-09-15 20:17:16,@typical_liv,,typical_liv 
7qXuhVK0BM,17843870362038768,pdom_,2015-09-16 04:46:29,@sunslicious NYE at Temple SF...,,sunslicious 
7qXuhVK0BM,17843870596038768,username_non_existing,2015-09-16 05:38:32,@pdom_ I can't believe it's time already...I've heard about it but never been there  I'm down I think,,pdom_ I'm 
BSFnWGYgwW0,17876299495002618,linaluxe,2017-03-26 11:22:57,My favorite club when I'm in SF! 💃🏻,,
BSFnWGYgwW0,17906579407046581,chrisxworthy,2017-11-05 17:13:20,Hey can you check the link out in my bio if you got a minute. It's a short clip of me spinning 😎,,
BOLIBESDHR0,17845684528178954,cooldjlboogie,2016-12-18 21:51:35,👌👌🔥🔥,,
BOLIBESDHR0,17845675123178658,charles3902,2016-12-18 22:26:19,Now your work is just amazing thank you so much,,
BOLIBESDHR0,17855985601093233,norcalafterdark,2016-12-18 23:23:37,🔥#Lit,,
BOLIBESDHR0,17855996734095911,umiaqmusic,2016-12-19 16:26:16,Great stuff!,,
BJlZ5DUAs4n,17852732023072415,melody_ahn,2016-08-27 01:17:56,Call/text 415.312.3668 for VIP Table Reservations,,
BgpfoDuHqWp,17927814739071722,djamen3000,2018-03-23 02:09:01,🍾🍾🍾🍾🍾🍾,,
BgpfoDuHqWp,17932626700025454,monicaaahoanggg,2018-03-23 04:31:09,@nessathebrat,,nessathebrat 
BgpfoDuHqWp,17932438612030859,ceci_barros,2018-03-23 06:53:41,😏🥂,,
BgpfoDuHqWp,17903333794163643,mohammadmusictv,2018-03-23 13:12:30,👋,,
BgpfoDuHqWp,17934495478019419,gc_glendale,2018-03-23 13:59:47,Great!💕,,
wzZGmBq0KB,17847568738038768,damienlw,2014-12-19 21:19:52,@andrewvancliffton,,andrewvancliffton 
wzZGmBq0KB,17847568741038768,djmikesincere,2014-12-19 21:21:56,Gorgeous venue,,
wzZGmBq0KB,17847568813038768,mateodude,2014-12-19 23:05:33,🙌🙌,,
BIsdMdpgP0u,17864302261039119,picturepierson,2016-08-04 17:43:28,🙌🏻🙌🏻🙌🏻,,
BIsdMdpgP0u,17864308909039119,djdiox,2016-08-04 20:11:31,💯🙌,,
BIsdMdpgP0u,17864341273039119,sionhernamdez,2016-08-04 22:54:29,😘😘😘🎉🎉🎉💿💿💿💿💿💿💰💰💰💵💵💴💴💸💸📛📛📛🎈🎈🎈🎈💽💽💽💽📀📀📀🚀🚀🚀🚀,,
BUChE-bAwUK,17874056602071187,startupsshowcase,2017-05-13 17:57:40,www.livesharkstank.co coming to Temple on the 19 of May.,,
BUChE-bAwUK,17883305956144354,chrisxworthy,2017-11-20 04:37:03,Hey can you check the link out in my bio if you got a minute. It's a short clip of me spinning 😎,,
-xjEfCq0CX,17843401858095301,krazykason,2015-12-02 03:37:20,💖🌟,,
-xjEfCq0CX,17843402719095301,charlesbellantoni,2015-12-02 03:59:36,🙌🏼🙌🏼,,
Bhj_OYRHbfk,17910125938149703,staffordbrothers,2018-04-14 19:22:58,Letsssss gooooooo,,
Bhj_OYRHbfk,17912767198143900,lucasmedeiro,2018-04-14 20:18:08,Thank you Temple Fam! It was a special night,,
Bhj_OYRHbfk,17911517926157210,startupsshowcase,2018-04-14 20:25:41,Winner winner,,
Bhj_OYRHbfk,17865681133226687,the_schmidt_,2018-04-14 20:56:30,Lucas is the man!!,,
Bhj_OYRHbfk,17919394120081209,aubree.gaston,2018-04-15 00:56:01,@seanadderleyjr,,seanadderleyjr 
Bhj_OYRHbfk,17912129602183228,lorentzo_dj,2018-04-15 01:58:43,👊🔥,,
Bhj_OYRHbfk,17906018758175562,untzsf,2018-04-15 18:26:41,🎶⭐👯,,
Bhj_OYRHbfk,17938675261059987,bastiandm7,2018-04-15 19:53:08,👌,,
0MBV2gK0Kt,17849677318038768,temple_sf,2015-03-14 00:23:19,#SF #Good #Life #SanFrancisco #Nightlife #Dance #Clubs #DJs  #Nightclub #EDM #House #DeepHouse #instagood #FutureHouse #instamood #igers #instadaily #instagramers #love #champagne #bottles,SF Good Life SanFrancisco Nightlife Dance Clubs DJs Nightclub EDM House DeepHouse instagood FutureHouse instamood igers instadaily instagramers love champagne bottles ,
0MBV2gK0Kt,17849677366038768,jensue89,2015-03-14 00:49:59,@lauraroe,,lauraroe 
0MBV2gK0Kt,17849677528038768,rustyron,2015-03-14 03:53:10,Ohhh that song though,,
40EfrCK0NX,17850032224038768,jess_cofresh,2015-07-07 00:09:35,#StruggleBus 🚍,StruggleBus ,
40EfrCK0NX,17850032743038768,verdugobrothers,2015-07-07 09:06:59,🙌,,
6lSRB9q0Oa,17850108214038768,romeoreyes1,2015-08-20 03:07:37,Yesssss,,
BRFFAEkjv4L,17852336254137290,electrixity,2017-03-01 03:34:57,✌️❤️🙏✊,,
BRFFAEkjv4L,17862479383114296,parqsd,2017-03-01 09:17:17,🙌,,
