SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
BimycU0hwic,17943677515038259,thegrandboston,2018-05-10 17:55:40,#r3hab #dubstep #progressive #futurebass #trapmusic #electronic #futurehouse #electrohouse #bigroom #danceclub #edmlifestyle #futurehouse #edmlife #edm #housemusic #progressivehouse #ravers #dancemusic #rave #nightlife #spinninrecords #electronicmusic #bosfeed #igersboston #edmnation #edmfamily #bnegnightlife #bostonma,r3hab dubstep progressive futurebass trapmusic electronic futurehouse electrohouse bigroom danceclub edmlifestyle futurehouse edmlife edm housemusic progressivehouse ravers dancemusic rave nightlife spinninrecords electronicmusic bosfeed igersboston edmnation edmfamily bnegnightlife bostonma ,
BimycU0hwic,17919566044141694,catorimusica,2018-05-10 17:56:39,Follow back? ^_^ 💜,,
BimycU0hwic,17872050184231040,index_music,2018-05-10 18:57:36,🔥🙌🏾,,
BimycU0hwic,17911372006169560,amanda_singerr,2018-05-10 19:50:41,@brittanymosier,,brittanymosier 
BimycU0hwic,17935508008074661,mo_b630,2018-05-10 20:42:05,@peterk25 @matte418 let’s goooo 🙌🏼🍾🍾,,peterk25 matte418 
BimycU0hwic,17870266363242805,jaguarlita,2018-05-10 20:43:08,💗,,
BimycU0hwic,17945117491003648,karl.macias,2018-05-10 22:56:29,Love this coloring! 📸,,
BimycU0hwic,17944211539052397,jjsalta,2018-05-11 05:44:24,Shhh don't tell @natalie_hammoud,,natalie_hammoud 
BimycU0hwic,17903911483198170,sherleysoraya,2018-05-11 12:12:43,@devinleroys93 @joshua.harsono @ceinlie @iambryanka,,devinleroys93 joshua.harsono ceinlie iambryanka 
BimycU0hwic,17913860374166401,peacefulpinder,2018-05-11 12:27:41,Killin it 💪 😊,,
BimycU0hwic,17904077044196772,weareflightschool,2018-05-12 03:38:47,Good stuff!,,
BimycU0hwic,17928333220090583,sponsoredbyluchi,2018-05-26 23:05:16,Let's party!!🙃,,
Bik6oJ_BJdK,17917627708178099,thegrandboston,2018-05-10 00:28:44,#2cents #freestyle #edmgirls #dancemusic #craze #edm #dubstep #nightclub #electronicmusic #electrohouse #electronic #edmfamily #edmmusic #edmlifestyle #edmnation #bostonma #electro #housemusic #electronicdancemusic #thre3style #futurebass #trapmusic #fourcolorzack #ravers #trapnation #electrohouse #bostonnightlife #bosfeed #2centsmix,2cents freestyle edmgirls dancemusic craze edm dubstep nightclub electronicmusic electrohouse electronic edmfamily edmmusic edmlifestyle edmnation bostonma electro housemusic electronicdancemusic thre3style futurebass trapmusic fourcolorzack ravers trapnation electrohouse bostonnightlife bosfeed 2centsmix ,
Bik6oJ_BJdK,17913597751167925,official.macari,2018-05-10 00:59:44,Very nice! 😃,,
Bik6oJ_BJdK,17935884943079142,sl33pl3ssofficial,2018-05-10 06:56:59,Bird up,,
Bik6oJ_BJdK,17939717305067432,topdailydimes,2018-05-12 20:18:09,Sweeeeeet post :),,
Bik6oJ_BJdK,17913052240171709,sponsoredbyluchi,2018-05-19 07:18:05,Hmu,,
Bih0K4qBLEi,17930651986102464,thegrandboston,2018-05-08 19:36:27,#loudluxury #dubstep #progressive #futurebass #trapmusic #electronic #futurehouse #electrohouse #body #musicfestivals #danceclub #edmlifestyle #bottleservice #edmlife #edm #housemusic #progressivehouse #ravers #dancemusic #rave #nightlife #nightclub #electronicmusic #bosfeed #igersboston #edmnation #edmfamily,loudluxury dubstep progressive futurebass trapmusic electronic futurehouse electrohouse body musicfestivals danceclub edmlifestyle bottleservice edmlife edm housemusic progressivehouse ravers dancemusic rave nightlife nightclub electronicmusic bosfeed igersboston edmnation edmfamily ,
Bih0K4qBLEi,17913553297162091,jessejessdj,2018-05-08 19:41:43,Damn @smileitzkyle  back at it again! 🔥,,smileitzkyle back 
Bih0K4qBLEi,17901740041197928,loudluxury,2018-05-08 19:49:00,holyyyy,,
Bih0K4qBLEi,17871293038231396,raysta,2018-05-08 19:51:53,This was awesome,,
Bih0K4qBLEi,17943872992051988,tempoofficial,2018-05-08 20:09:52,@loudluxury 🔥🔥🔥,,loudluxury 
Bih0K4qBLEi,17927660713127895,freshyops,2018-05-08 22:00:46,This is awesome,,
Bih0K4qBLEi,17935002511074940,lateboomersclub,2018-05-08 22:36:05,@loudluxury all innocence hath been løst⚠️,,loudluxury 
Bih0K4qBLEi,17917958248189982,karl.macias,2018-05-08 23:19:52,This recap tho! 🎞📽💯,,
Bih0K4qBLEi,17947200643032704,theraveutopia,2018-05-09 01:22:27,Lit🔥,,
Bih0K4qBLEi,17945218531047529,electricusamazing,2018-05-09 21:53:53,edm,,
Bih0K4qBLEi,17930397943098005,phil_anthony9,2018-05-10 05:54:04,@nicolette_de,,nicolette_de 
Bih0K4qBLEi,17940666976069297,pro97,2018-05-19 19:01:03,🔥hot,,
Bie0y5Uh3vE,17915639347151363,thegrandboston,2018-05-07 15:42:18,#loudluxury #dubstep #progressive #futurebass #trapmusic #electronic #futurehouse #electrohouse #body #musicfestivals #danceclub #edmlifestyle #bottleservice #edmlife #edm #housemusic #progressivehouse #ravers #dancemusic #rave #nightlife #nightclub #electronicmusic #bosfeed #igersboston #edmnation #edmfamily #bottleparades,loudluxury dubstep progressive futurebass trapmusic electronic futurehouse electrohouse body musicfestivals danceclub edmlifestyle bottleservice edmlife edm housemusic progressivehouse ravers dancemusic rave nightlife nightclub electronicmusic bosfeed igersboston edmnation edmfamily bottleparades ,
Bie0y5Uh3vE,17942537530005928,adriansimonto,2018-05-07 15:43:11,Can't wait for tonight 🔥🔥🔥,,
Bie0y5Uh3vE,17938424803070292,coenleenheer,2018-05-07 15:43:46,Awesome 😻,,
Bie0y5Uh3vE,17927873935122761,loudluxury,2018-05-07 15:43:57,See everyone tonight 😈,,
Bie0y5Uh3vE,17929800892113310,deepmoves,2018-05-07 15:44:10,congrats guys   full support ❤,,full 
Bie0y5Uh3vE,17870517766233766,pocky.kham,2018-05-07 15:47:41,@davehave45,,davehave45 
Bie0y5Uh3vE,17870638846231427,thegrandboston,2018-05-07 15:49:05,@loudluxury can’t wait! 🙌🏽🎉,,loudluxury 
Bie0y5Uh3vE,17910829408170732,jessejessdj,2018-05-07 15:51:09,@thegrandboston ayoooooo,,thegrandboston 
Bie0y5Uh3vE,17942793211061503,davehave45,2018-05-07 15:53:59,@pocky.kham you going??,,pocky.kham 
Bie0y5Uh3vE,17943448909061393,frank_vatrano,2018-05-07 16:56:28,@_steviez_ @dommerb19,,_steviez_ dommerb19 
Bie0y5Uh3vE,17883835225208160,kayviriya,2018-05-07 18:12:31,@lifeaccordingtojecker how many more of these promo pics can we make it into over the next year?,,lifeaccordingtojecker 
Bie0y5Uh3vE,17943378256010863,lifeaccordingtojecker,2018-05-07 18:21:06,@kayviriya Why are my eyes closed tho 😞,,kayviriya 
Bie0y5Uh3vE,17929912168114764,djjenil,2018-05-07 18:42:05,Nice shot! @thegrandboston,,thegrandboston 
Bie0y5Uh3vE,17919369631136025,roller99,2018-05-09 03:57:14,@loudluxury loved seeing you guys again!  Killed it,,loudluxury Killed 
Bie0y5Uh3vE,17940329800064431,set4lyfeapparel,2018-05-13 00:04:56,✨,,
Bie0y5Uh3vE,17952656278005971,_stephmelo,2018-06-13 22:00:42,@topazpomerantz,,topazpomerantz 
Bie0y5Uh3vE,17862646450255524,csteps37,2018-06-14 00:12:26,@ndaigneault24 @stepiennn how did we misss thisssss,,ndaigneault24 stepiennn 
BiaJ_YOBhoS,17916540916184270,bosschicks2018,2018-05-05 20:15:15,You really look like someone I want to collab with! Have you heard of FOREX? Reach out through DM and lets talk!👍🏼,,
BiaJ_YOBhoS,17944446238051851,erickfeleciano,2018-05-05 20:58:17,@aleah_rose,,aleah_rose 
BiaJ_YOBhoS,17918017093138084,4lex4well,2018-05-06 00:45:22,W0W the video is very nice😎👌🏻👌🏻👌🏻 @bingoplayers @thegrandboston,,bingoplayers thegrandboston 
BiaJ_YOBhoS,17917302583186640,bclough123,2018-05-06 14:42:53,@acomerci 🤪,,acomerci 
BiaJ_YOBhoS,17938272019068733,omgitzchr1s,2018-05-07 18:44:33,@tuan_supreme aye ayeeee,,tuan_supreme 
BiUb4JDBBAG,17914854850146814,thegrandboston,2018-05-03 14:52:21,#bingoplayers #edmgirls #danceclub #ravers #loudluxury #bosfeed #housemusic #dancemusic #ravegirls #progressivehouse #edm #belaireluxe #igersboston #trapnation #bigroom #top40 #trapmusic #electronicmusic #electronicdancemusic #electrohouse #futurebass #bostonseaport #edmlifestyle #bottleservice #belaire #ilovemondays #edmgirls #bnegnightlife,bingoplayers edmgirls danceclub ravers loudluxury bosfeed housemusic dancemusic ravegirls progressivehouse edm belaireluxe igersboston trapnation bigroom top40 trapmusic electronicmusic electronicdancemusic electrohouse futurebass bostonseaport edmlifestyle bottleservice belaire ilovemondays edmgirls bnegnightlife ,
BiUb4JDBBAG,17928216328118878,patmaclellan,2018-05-03 15:03:56,@chuckf12 👀,,chuckf12 
BiUb4JDBBAG,17883706870207415,solussun,2018-05-03 15:41:36,☀️❤️🙏,,
