ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
292939058078398434,QQuoVxmbfi,20,1,2012-10-02 01:24:38,Tuesday,Robot!,False,N/A,conniechiwaaaa mayser1 _tinamarie_ mac_deezy_ gamerbabe419 boutiquefawn lilysirenguyen betzylobo jefferz415 ,,,true
347257271804868168,TRtKYbmbZI,18,1,2012-12-16 00:05:14,Sunday,@thegrandnightclub Lighting up the night #hottestnightclubinsf #nightclub #sanfrancisco,False,N/A,ssjennss mayser1 beto_riko wheres_wendayy smalls_bunny matthewdchu rachaelnaomi heyyyykp ,hottestnightclubinsf nightclub sanfrancisco ,thegrandnightclub ,true
347258575805593181,TRtdW4GbZd,26,0,2012-12-16 00:07:49,Sunday,Heyyyy sexy ladyyyy #thegrandsf #thegrandnightclub #thegrandgirls #hottestnightclubinsf #sanfrancisco #nightclub,False,N/A,mayser1 beto_riko hilife_legend wheres_wendayy matthewdchu rachaelnaomi heyyyykp ,thegrandsf thegrandnightclub thegrandgirls hottestnightclubinsf sanfrancisco nightclub ,,false
377164739833869477,U79VUjmbSl,26,1,2013-01-26 06:26:02,Saturday,Who is ready for #champagneshowers tomorrow night? We are! #thegrand #thegrandgirls #thegrandnightclub #champagneboom,False,N/A,1cavsfann ___ericanichole alyssajanelle espino_ monaa_k nikkiblades alygiraffe mama.sami llindaaaaaaaa beto_riko ,champagneshowers thegrand thegrandgirls thegrandnightclub champagneboom ,,true
385923800926631275,VbE6b4mbVr,41,2,2013-02-07 08:28:43,Thursday,#colleenshannon #worldsexiestdj #playboy #playmate #thegrand #thegrandnightclub #sanfrancisco #nightlife,False,N/A,deansnakker a_flo9 marko510 hilife_legend honeylovesorg iambeautyandsoul hugissimo escape ronlaulau j.mariemcc ,colleenshannon worldsexiestdj playboy playmate thegrand thegrandnightclub sanfrancisco nightlife ,,true
443213034775230093,Ymm-gpmbaN,33,0,2013-04-27 09:32:12,Saturday,Mermaids @thegrandnightclub #thegrand #thegrandnightclub #sanfrancisco #nightclub #bacardi,False,N/A,lilysirenguyen anjleoncio msdestinee_ ssjennss youkienow thegrandnightclub rissa_riss kietomuzik redpipestudios gary.febus ,thegrand thegrandnightclub sanfrancisco nightclub bacardi ,thegrandnightclub ,false
445717503580681636,YvgbU_GbWk,34,0,2013-04-30 20:28:08,Tuesday,A #GRAND Presentation ✨For bottle service inquires call 415-814-3008. #grandsf #grandgirls #grandgirlslive #bottleservice #VIP #thegrandlife @destyy22,False,N/A,ronlaulau tarbiedoll lilysirenguyen realblackvelvet rodneydeth djbrians niloofarrr _m3rd ,GRAND grandsf grandgirls grandgirlslive bottleservice VIP thegrandlife ,destyy22 ,false
445782089285613391,YvvHLHGbdP,23,0,2013-04-30 22:36:27,Tuesday,Who's ready to pop bottles with the #grandgirls this weekend? #thegrandlife #sf #grandgirlslive #grandsf,False,N/A,beto_riko lilysirenguyen tarbiedoll joshuatree msdestinee_ ronlaulau rissa_riss painterologist rebeccakayy ,grandgirls thegrandlife sf grandgirlslive grandsf ,,false
837197120436549005,ueUlhqmbWN,32,0,2014-10-22 23:48:15,Wednesday,Party like there's no tomorrow #Champagnelife #workhardplayhard #ACE #comepartywithus #party #instagood #fun,False,N/A,samanthalagomarsino angelaatong niloofarrr xtrinaknight erick_hernandez415 ssjennss dj_etunes johnwelch_ virgoprimadonna52 ,Champagnelife workhardplayhard ACE comepartywithus party instagood fun ,,false
877015866675934654,wryUi7mbW-,63,2,2014-12-16 22:21:00,Tuesday,😍Home to the hottest. Come kick it with @thegrandgirls this weekend! For bottle service reservations  text/call us at 415-636-0029! #baearea #sfnightlife #bottleservice #poppinbottles #thegrand,False,N/A,starbright214 angelaatong mamabeaaarrr marivic_tafoya blackmothgtr marshalldodson maidendodo erick_hernandez415 ,baearea sfnightlife bottleservice poppinbottles thegrand ,thegrandgirls text/call ,true
1074265607192032450,7ojuDHGbTC,45,2,2015-09-15 02:01:01,Tuesday,In case you missed out on last Saturday's preview party  we're throwing another preview party this upcoming Saturday for @djnilesf birthday! Reserve your tables now before it's too late! 415.636.0029 #newlyremodeled #theallnewGrandSF #thegrandsf #previewparty #soma #sfnightlife #bottleservice,False,N/A,misterjaypresents kaytheafrikan aaron_in_nyc leianasantiago qtskysdalimit cottoncandycoral gggina_marieee mattsamoto themelissazamora djbizkitsf ,newlyremodeled theallnewGrandSF thegrandsf previewparty soma sfnightlife bottleservice ,we're djnilesf ,true
1076317490941376081,7v2Q4xGbZR,27,5,2015-09-17 21:57:45,Thursday,Here's a sneak peek into our preview party.,True,0,ardysingh tia.x0x anthartz djajaxsf mcsheen valiantvisuals jenniferbach sierraaaeva cottoncandycoral jonyfizzles ,,,true
1077698798233958042,70wVjbmbaa,39,1,2015-09-19 19:42:09,Saturday,Let's get the party started and come out to #theallnewgrandsf if you haven't seen our vamped up remodel! We're throwing another #previewparty as well as celebrating @djnilesf birthday! Only 2 tables left on the dancefloor! Hurry and reserve your table now! 415.636.0029 #sf #sfnightlife #bottleservice #newlyremodeled #soma,False,N/A,lovemarimba marcdevasconcelos misterjaypresents kendamamastaz djkblo anthonypresents anthartz djbizkitsf dj_spades _bgatti_ ,theallnewgrandsf previewparty sf sfnightlife bottleservice newlyremodeled soma ,djnilesf ,true
1080762373064210409,7_o6b1Gbfp,44,4,2015-09-24 01:08:56,Thursday,Come celebrate your next party on our VIP platform area on the dancefloor! Reserve now! 415.636.0029 #theallnewgrandsf #thegrandsf #sf #sfnightlife #vip #bottleservice #popular #exclusive #customersfavorite,False,N/A,adamsaaks aymonwayup jonyfizzles kortilla1 dobletcharger kaiali shamastyles elmcplus sierraaaeva gggina_marieee ,theallnewgrandsf thegrandsf sf sfnightlife vip bottleservice popular exclusive customersfavorite ,,true
