SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
BipSoA-ldDc,17930381548106365,jimmydonuts22,2018-05-11 21:18:35,@chicago_donut_king let’s go bro...,,chicago_donut_king 
BipSoA-ldDc,17944656562062564,announcebymarquee,2018-05-12 20:44:37,💜 💜 💜,,
BineYyeltLU,17916266689153189,sammy_mcqueen,2018-05-11 03:30:04,@nayacrittenden we’re going,,nayacrittenden 
BineYyeltLU,17938630231069235,twizzite,2018-05-11 03:31:34,dijoooooon,,
BineYyeltLU,17944727500054825,leomhujr,2018-05-11 14:44:24,@paulfoertsch  too bad we’ll be at @edc_lasvegas!!! 💃🏼💃🏼💃🏼,,paulfoertsch too edc_lasvegas!!! 
BineYyeltLU,17884029190222848,josueaguilera_,2018-05-16 18:52:30,@prysmnightclub will there be any meet &amp; greet?,,prysmnightclub 
BineYyeltLU,17945150410041336,josueaguilera_,2018-05-16 19:26:08,@prysmnightclub will there be any meet &amp; greet?,,prysmnightclub 
BinLJavl2km,17926820275084522,rachellungren123,2018-05-11 00:17:00,Yeeessss,,
Bihqr7Clb6p,17913990145164825,williamkloss1123,2018-05-08 18:18:59,@jackbossong @natsobon @mattrd18 @mcallen20 @mvirg16,,jackbossong natsobon mattrd18 mcallen20 mvirg16 
Bihqr7Clb6p,17871550618226683,mvirg16,2018-05-08 18:42:35,@williamkloss1123 so glad everyone was able to stay and see the show,,williamkloss1123 
Bihqr7Clb6p,17916403492193326,eventnoirehq,2018-05-08 21:25:06,🎬🎬🎬,,
BidFQSFlgRs,17944126495038595,logan__marie_,2018-05-10 07:17:13,@dennileeg have to check this outttt,,dennileeg 
BgFV_TNHw9V,17916019747116964,davidjimenezrandazzo,2018-03-12 10:32:40,✅.....,,
BgCjeTUH8-z,17891138410198875,cmthagod,2018-03-08 23:46:40,Littyyy🔥🔥🔥,,
Bf9eChVFKJo,17856068857225235,mimi.dussit,2018-03-06 01:30:35,March 10 is my birthday i would like to throw a birthday party,,
Bf9eChVFKJo,17913619750122169,crespothedj,2018-03-06 03:01:00,See you guys on Saturday🚀🚀🔥,,
Bf9eChVFKJo,17901407077147773,joseph_yourlocalbartender,2018-03-06 03:41:27,How did you get that font for the runs the world? That is so epic to me! Great post !,,
Bf9eChVFKJo,17929840180034823,juliarosedavidson,2018-03-07 21:16:22,@crespothedj  you have to meet my brother! @mikecharming,,crespothedj you mikecharming 
Bf82L_Ml997,17917184794111612,dannyjvargas,2018-03-05 18:16:30,So dope,,
Bf82L_Ml997,17928961738001357,mentesita,2018-03-06 01:43:07,epic was like they left more than 50 people outside with their entrance in the hand  and they only pass to the people they feel like. leaving them outside  going through inclement cold. how inhuman ... @bobsinclar,,and going bobsinclar 
Bf82L_Ml997,17910181078187242,ashley_addison_aerial,2018-04-12 05:46:28,Hey❣️ That’s meeeee 🤗,,
