SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
BhJRE1PhUdf,17939168446037786,imcocoany,2018-04-04 10:58:35,@cristinika.x @teodornastas ausrasten ?,,cristinika.x teodornastas 
BhJRE1PhUdf,17923285195101391,teodornastas,2018-04-04 11:08:40,@_anyzja ich diesmal nicht. Geht ihr mal eskalieren,,_anyzja 
BhJRE1PhUdf,17916863152086163,imcocoany,2018-04-04 11:10:32,@teodornastas 🙄,,teodornastas 
BhJRE1PhUdf,17916964930084066,teodornastas,2018-04-04 11:15:22,@_anyzja wir rasten ein ander mal aus 😅 dann wird overtrieben,,_anyzja 
BhJRE1PhUdf,17921856958129977,king.cristinika,2018-04-04 11:34:49,@_anyzja Opfer ❤️💎,,_anyzja 
BhJRE1PhUdf,17845403479250961,teodornastas,2018-04-04 11:38:37,@cristinika.x da hat Maria Geburtstag,,cristinika.x 
BhJRE1PhUdf,17922291064099150,energy_party,2018-04-04 14:38:38,⭐️,,
BhJRE1PhUdf,17875066489221435,__di.anaa__,2018-04-04 19:27:26,@mimytn da hätte ich so Bock drauf,,mimytn 
BhJRE1PhUdf,17936430772011729,legend_lashes_jb,2018-04-04 20:47:57,@m.ihri.ban @_____pocahontasss_____ @tubis_eslem,,m.ihri.ban _____pocahontasss_____ tubis_eslem 
BhJRE1PhUdf,17934459517060073,mimytn,2018-04-04 21:45:14,@__di.anaa__ da bin ich nur ja leider nicht da :/ hätte auch Lust,,__di.anaa__ 
BhJRE1PhUdf,17911064809188973,bramike_bigpimpin,2018-04-05 14:07:10,Yeah finest black music 🎉,,
BhJRE1PhUdf,17920325497123095,so_glatt_dusseldorf,2018-04-06 13:02:52,Super wir freuen uns,,
BhJRE1PhUdf,17865907648231815,lollipop_event,2018-04-15 17:39:44,😉👌,,
BaxkbUGhkr3,17880840106144903,mr.giacomo_,2017-10-28 03:05:01,Uhh wer ist das ? 😍,,
BaswsnXhNpa,17888258617082920,eurostyle_photography,2017-10-26 06:03:11,👌👌,,
BaswsnXhNpa,17845741207218539,yanaruzhanska,2017-10-26 06:47:49,🙈👸🙏💄♥️,,
BaswsnXhNpa,17845801213208069,yanaruzhanska,2017-10-26 06:51:58,@nicii804 😜,,nicii804 
BaswsnXhNpa,17888584105084238,privatsachen,2017-10-26 06:55:16,🐝🐝🐝autiful feed indeed #privatsachen,privatsachen ,
BaswsnXhNpa,17888244181085581,nicii804,2017-10-26 07:07:18,💗💄👭💋,,
BaswsnXhNpa,17853628297246419,yanaruzhanska,2018-03-18 21:05:33,@valeriyariaa 😍❤️🌸🔥,,valeriyariaa 
BaqUJ5QBgcJ,17888466385086699,morrieskurtenbach,2017-10-26 15:06:00,Be careful of this guy @_morriessingh he's a very dangerous kid he's coming into the club with a group of girls and there up to no good his pic is in the profile you should definitely bar him from coming to the club no that I warned you @rudasstudios,,_morriessingh rudasstudios 
BahAKKFhkTE,17930881894062497,hulk_89_,2018-03-09 21:40:22,Wer kennt das linke Mädchen mit den bunten Kleid dunkel Harrige,,
Bag2EDjhtWQ,17882266105185725,mahdiphotography.de,2017-10-21 22:03:07,Wow,,
BZsn7dnBbIh,17885134096087855,sammy_mo_,2017-10-01 07:44:11,@sam_sob  jetzt Promi oder waaaaas 🍾😂🤙🏼,,sam_sob jetzt 
BZsn7dnBbIh,17842615459215817,rudasstudios,2017-10-01 07:45:06,@sammy_mo_ 🎉🎉🎉🎉,,sammy_mo_ 
BZsn7dnBbIh,17887293373126140,rudasstudios,2017-10-01 07:45:16,@sammy_mo_ 🎉🎉🎉🎉,,sammy_mo_ 
BZsn7dnBbIh,17875766200146389,sam_sob,2017-10-01 08:42:13,@rudasstudios war wie immer super 😈,,rudasstudios 
BZsn7dnBbIh,17843163982202265,rudasstudios,2017-10-01 08:52:56,@sam_sob Danke,,sam_sob 
BZsn7dnBbIh,17875145380160971,thisisilias,2017-10-01 09:58:37,✌🏽💪🏽,,
BZsn7dnBbIh,17888688907104754,onuro6,2017-10-01 12:28:50,🙌🙌🙌🙌🙌,,
BZsn7dnBbIh,17901151195048611,nk_ballin,2017-10-02 22:21:13,@larsmfriedel @mr_princeluke 🤔🤔🤔,,larsmfriedel mr_princeluke 
BZsn7dnBbIh,17900587459050017,con_j_kon,2017-10-03 09:20:56,@rgheckendorf 🙈🔥🔥🔥🔥,,rgheckendorf 
BZsn7dnBbIh,17876524765148043,major.fashion,2017-10-04 19:09:49,😊,,
BZsn7dnBbIh,17902379305008582,_______monique,2017-10-06 23:23:20,#top,top ,
BZsn7dnBbIh,17897616268065185,schastinn,2017-10-07 23:30:15,Lied ?,,
BZsn7dnBbIh,17904099436037815,gzmabl,2017-10-22 18:33:41,@lisa_klr @annika_131199 🍾🥂,,lisa_klr annika_131199 
BZWuXHYjbWv,17874500641158929,lennypojarov,2017-09-27 17:02:22,🎉🎉🎉,,
BZWuXHYjbWv,17889025339116961,_______monique,2017-10-06 23:28:47,#nice,nice ,
BZO2jEEBWuX,17899867264015753,nachtschicht_stuttgart,2017-09-19 19:54:04,Super!,,
BY7-WI4j99t,17889824710073490,_rss_ella_,2017-09-12 22:17:44,@isalovescake ja 😍,,isalovescake 
BY7-WI4j99t,17893240522064664,jasonthurelldj,2017-09-13 02:07:25,💥🔥,,
BY7-WI4j99t,17858570050199851,consuellaconsy,2017-09-17 11:20:11,Yasss!,,
BY7-WI4j99t,17875516798130049,rudasstudios,2017-09-17 11:21:11,@consuellaconsy 👍🎉🎉🎉,,consuellaconsy 
BU35WRhDLn9,17881988836021739,mrs.fcichon,2017-06-03 11:26:23,See you tonight !! @rudasstudios,,rudasstudios 
BU35WRhDLn9,17872675765106882,___nii_,2017-06-16 00:18:07,👍🆒,,
BU35WRhDLn9,17883776335040966,bjrlebouquet,2017-06-20 16:53:18,Muss den Patron Eisi auch mal wieder besuchen. 🤙🏼🤙🏼🤙🏼,,
BU35WRhDLn9,17861567902163476,simone_maier_,2017-07-02 18:06:04,Gefällt mir 😍,,
BUjkOjsjfj2,17881980772029871,kiloalexander,2017-05-26 14:27:31,Nicee!!,,
BUcItrrhS4I,17884481911011821,pskdn,2017-05-23 15:20:43,🏎💨💨💨💨,,
BP5obMWApwQ,17858688811087943,schickeschuhe,2017-01-31 09:31:05,DMC!!!!!,,
BP5obMWApwQ,17874977794019211,silverscreen_vixen,2017-03-22 04:28:09,Lmaooo that face thooo,,
BP5obMWApwQ,17899264699070337,djbens,2017-10-27 02:10:29,☺️☝️,,
BPqMTNBgSKt,17870143669029643,fabian.nckl,2017-01-28 06:08:39,🙌🏻,,
BPqMTNBgSKt,17849397559173180,nikkymatthes,2017-02-17 10:46:14,Ihr seid die besten ❤❤❤❤,,
BPqMTNBgSKt,17891366917125953,djbens,2017-10-31 07:22:21,☺️☝️,,
BPqMRs5g40x,17871374914041195,bpb92,2017-01-24 20:22:52,👌🏼👌🏼,,
BPqMRs5g40x,17859012166125608,dc_2404,2017-01-24 20:34:24,Nice!,,
BPqMRs5g40x,17879403583148862,djbens,2017-10-28 02:16:24,☺️☝️,,
BPqMQQvgEJw,17848488025172280,zd1309,2017-02-05 02:51:11,👀,,
BPqMQQvgEJw,17905099846037230,djbens,2017-10-28 07:15:11,☺️☝️,,
BPXzK8wAKRz,17864027944070171,gordon_staystrong,2017-01-18 15:09:17,@prince_el_maluqi whos bad for you?,,prince_el_maluqi 
BPXzK8wAKRz,17870144398011182,gordon_staystrong,2017-01-18 17:01:02,Miami Vice in the middle! 😏👌 @prince_el_maluqi,,prince_el_maluqi 
BPXzK8wAKRz,17857941241090225,fabian.nckl,2017-01-21 00:20:09,👌🏻,,
BPXzK8wAKRz,17901957136065359,djbens,2017-10-29 04:37:26,☺️☝️,,
BPXzIJQg8_g,17904874726046469,djbens,2017-10-29 05:09:14,☺️☝️,,
BN4pyqWgLlR,17856785047111272,geejayeff,2016-12-11 17:34:10,#vibe,vibe ,
BN4pyqWgLlR,17845343806159674,thisisilias,2016-12-11 17:35:15,#LIT,LIT ,
BN4pyqWgLlR,17866781149050383,cel.im,2016-12-11 17:35:54,Brilliant! Best one so far!,,
BN4pyqWgLlR,17867453200050925,zanajamur,2016-12-11 17:36:17,Wieso kommen bei euch Personen rein die nicht da rein passen und Personen die wirklich seriös sind nicht 😁,,
BN4pyqWgLlR,17855617984093941,apolletta,2016-12-11 18:02:13,@polaa63 ❤,,polaa63 
BN4pyqWgLlR,17856695536099814,jada1930,2016-12-11 18:14:35,👌🏼,,
BN4pyqWgLlR,17845985275137916,d95_clothing,2016-12-11 18:32:25,Best💥Club🌟,,
BN4pyqWgLlR,17856929584099242,rudasstudios,2016-12-11 18:37:19,@sagjazudeinerstadt thx!!🙌🙏,,sagjazudeinerstadt 
BN4pyqWgLlR,17856854071108066,mc.mr.biggz,2016-12-11 18:48:51,Best @rudasstudios 👌🏻😉,,rudasstudios 
BN4pyqWgLlR,17866830529041504,alex_schoenekker,2016-12-11 20:41:12,👍🏼🎉,,
BN4pyqWgLlR,17845393981148858,sarahenzenbach,2016-12-12 16:58:29,@maria_schatorje 🎉🙌,,maria_schatorje 
BN4pyqWgLlR,17867911915035113,katjusha.k,2016-12-12 19:02:20,@kurdt_cocaine,,kurdt_cocaine 
BN4pyqWgLlR,17858473897075843,djameloo,2016-12-13 00:43:48,@bavl_s,,bavl_s 
BN4pyqWgLlR,17856780607115914,wegscheiderfit,2016-12-13 07:18:34,👏,,
BN4pyqWgLlR,17856824638115327,laloelectrix,2016-12-13 14:40:32,🔝‼️😎🔊🔊🔊,,
BN4pyqWgLlR,17845441948156682,alexdzitko,2016-12-14 06:46:47,War ne mega Stimmung 🎉🍾,,
BN4pyqWgLlR,17855692912092918,itziamromeo809,2016-12-14 18:18:43,@rudasstudios it was LIT AF 🔥🔥👌🏾🔝,,rudasstudios 
BN4pyqWgLlR,17857032253096024,gordon_staystrong,2016-12-14 19:26:36,Freitag Weihnachtsfeier im Rudas. 😎👌,,
BN4pyqWgLlR,17855861113088503,gordon_staystrong,2016-12-18 19:09:04,@flodavid174 😎👌🔥,,flodavid174 
BNuXPR3AD9L,17856614833109434,x_mrs_sunshine_x,2016-12-07 19:03:05,❤️,,
BNuXPR3AD9L,17860643221068406,lodewyckberghuys,2016-12-07 20:08:09,😍,,
BNuXPR3AD9L,17866379593011868,ginasvitlica,2016-12-08 02:15:47,❤️,,
BNuXPR3AD9L,17846825707135027,yas.juju,2016-12-12 18:44:55,@ginasvitlica baaaaaaaby 😍❤️,,ginasvitlica 
BNuXPR3AD9L,17894356456111009,djbens,2017-11-06 03:37:12,☺️☝️,,
BNuXNn_A4Dv,17845178095168762,bu_ma90,2016-12-07 21:55:39,Läuft bei euch @monaa_krr @alinaisa__,,monaa_krr alinaisa__ 
BNuXNn_A4Dv,17845208470154126,alinaisa_,2016-12-08 10:32:09,Haha 😂 @bu_ma90,,bu_ma90 
BNfCyWWgBzu,17846167003133903,goodlife_drinks,2016-12-01 19:55:59,👍,,
BNfCyWWgBzu,17867620027044230,kaifenergydrink,2016-12-05 10:47:11,Wonderful :),,
BNfCv_NgF0l,17865719080043418,giulio_federici,2016-12-02 14:15:13,Brilliant! Like it!,,
BNfCv_NgF0l,17858168446079452,vleventsuk,2016-12-08 11:30:43,:-),,
BNcgnHugtQF,17844709561188536,dc_2404,2016-11-30 19:27:15,Langsam bekommt man Lust auf den Club :D,,
BNcgnHugtQF,17846075548133253,kellyiosifovna,2016-11-30 19:35:29,😋😋😋😋,,
BNcgnHugtQF,17844908665166750,missgoodvibesonly,2016-11-30 19:38:47,🔥,,
BNcgnHugtQF,17868034588007506,rudasstudios,2016-11-30 19:57:18,@dominikcremer haha!! Das ist unser Ziel!! 😂Komm rum 😉👍,,dominikcremer 
BNcgnHugtQF,17855098357086357,dc_2404,2016-11-30 20:01:27,@rudasstudios Definitiv!,,rudasstudios 
BNcgnHugtQF,17855190205080461,detailsformen,2016-12-03 02:00:49,Very nice!,,
BNcgnHugtQF,17845043047150240,a_pcity,2016-12-03 21:30:43,Demnächst 100% gönnen,,
BNcgnHugtQF,17845977544137879,gordon_staystrong,2016-12-11 02:54:20,@prince_el_maluqi,,prince_el_maluqi 
BNcgnHugtQF,17858509165075478,gordon_staystrong,2016-12-11 09:22:15,Die zweite von links. @prince_el_maluqi,,prince_el_maluqi 
BNcgnHugtQF,17866540051034200,gordon_staystrong,2016-12-11 09:32:04,Haha wusstest du  ich werde bei ihr sagen  dass sie böse ist? @prince_el_maluqi,,ich dass prince_el_maluqi 
BNcgnHugtQF,17893862353110059,djbens,2017-11-06 10:21:45,☺️☝️,,
BNcgjk2Aicp,17844996337146372,detailsformen,2016-12-03 02:09:12,Awesome,,
BNIHBuog0bs,17855643667126873,dapper_dumont,2016-11-24 02:46:13,👍,,
BNIHBuog0bs,17906677240027623,djbens,2017-11-08 09:32:12,☺️☝️,,
BNCmXWSgg_i,17844652441160110,danica_style,2016-11-20 17:48:24,👌🏻🎶👯🔥,,
BNCmXWSgg_i,17859720820064731,bpb92,2016-11-20 17:49:20,👌👌👌,,
BNCmXWSgg_i,17859866626065207,nina.mitro,2016-11-20 18:22:25,Awesome  like everytime👍,,like 
BNCmXWSgg_i,17857146868078275,carlotto93,2016-11-20 19:55:18,@steffi_p_89 😔🤒😭😤,,steffi_p_89 
