SHORTCODE,CLUB,ERROR
BV0gm5ulsgs,prsymCH,<class 'KeyError'>
BGkGcLyK0Mv,templeSF,<class 'KeyError'>
2obCKygaZG,wetrepublic,<class 'KeyError'>
BXJa45NFeUu,prsymCH,<class 'KeyError'>
BUpIp5jFh5q,prsymCH,<class 'KeyError'>
I5KElJgaeG,wetrepublic,<class 'KeyError'>
60zgQ_q0OJ,templeSF,<class 'KeyError'>
BPf-IgOBj9U,wetrepublic,<class 'KeyError'>
11Nzmngae6,wetrepublic,<class 'KeyError'>
wkZHlwq0JC,templeSF,<class 'KeyError'>
BFshAoeK0DK,templeSF,<class 'KeyError'>
BZg8pN5lOJQ,prsymCH,<class 'KeyError'>
BIYp8PjghvM,grandSF,<class 'KeyError'>
BODVCk5j2W2,prsymCH,<class 'KeyError'>
BRi35qyjxQc,wetrepublic,<class 'KeyError'>
BRg5c1tj_P5,templeSF,<class 'KeyError'>
BUkNaaplBld,prsymCH,<class 'KeyError'>
BPGK-4zjp7b,templeSF,<class 'KeyError'>
BeTGuX1lWVf,grandBoston,<class 'KeyError'>
YGq45QAaWC,wetrepublic,<class 'KeyError'>
BFFrR41K0Bw,templeSF,<class 'KeyError'>
BWxqqs4FVFM,templeSF,<class 'KeyError'>
BeRyRNlHitf,templeSF,<class 'KeyError'>
BTUlQN_B5H7,cavesduroyST,<class 'KeyError'>
mJFmX0Aafj,wetrepublic,<class 'KeyError'>
Zd9U_cgaU0,wetrepublic,<class 'KeyError'>
BT7OzJTF8Hr,cavesduroyST,<class 'KeyError'>
8T3o21K0D9,templeSF,<class 'KeyError'>
9H-0NjmbVL,grandSF,<class 'KeyError'>
BGh8g8rAaUy,wetrepublic,<class 'KeyError'>
BdyFRYjh7qz,grandSF,<class 'KeyError'>
be56CQgaX1,wetrepublic,<class 'KeyError'>
BVX3CfJAcsl,grandSF,<class 'KeyError'>
BfMdp7eFTB7,grandBoston,<class 'KeyError'>
BCZTxqtK0A2,templeSF,<class 'KeyError'>
5QABZlgacS,wetrepublic,<class 'KeyError'>
BUAtpEWl5OZ,prsymCH,<class 'KeyError'>
r98oNOgaRk,wetrepublic,<class 'KeyError'>
BP1yA1wjEC-,prsymCH,<class 'KeyError'>
3zgDB7AaXg,wetrepublic,<class 'KeyError'>
BDtovfNK0Ix,templeSF,<class 'KeyError'>
BVFhXYUFiIv,prsymCH,<class 'KeyError'>
BG0chcaHdB-,rudas,<class 'KeyError'>
BafR-6lDcti,oxfordsc_sd,<class 'KeyError'>
Be3WAoPDlOE,wetrepublic,<class 'KeyError'>
BJdYOU6BM1O,wetrepublic,<class 'KeyError'>
BeEv8hlHNgu,templeSF,<class 'KeyError'>
ocEhoigaTv,wetrepublic,<class 'KeyError'>
BUaReNTgHci,oxfordsc_sd,<class 'KeyError'>
BE0urikndNK,rudas,<class 'KeyError'>
BRwWcmHFdio,prsymCH,<class 'KeyError'>
BHAbrblHdDN,rudas,<class 'KeyError'>
BVwWL-sFhZH,prsymCH,<class 'KeyError'>
Ba0Kn9Qnx9l,templeSF,<class 'KeyError'>
3-RcQfK0Ll,templeSF,<class 'KeyError'>
BScpZnWgN72,templeSF,<class 'KeyError'>
BXD-wnxAJyL,grandSF,<class 'KeyError'>
BIs8G2wj4AO,prsymCH,<class 'KeyError'>
BC61DFiK0BR,templeSF,<class 'KeyError'>
BKQuMU6gEUc,rudas,<class 'KeyError'>
v1eLlFq0Hc,templeSF,<class 'KeyError'>
BfCUEonFxac,prsymCH,<class 'KeyError'>
BKyWN8tDvL3,templeSF,<class 'KeyError'>
BHNQzjLgdxn,rudas,<class 'KeyError'>
ZeHQjzAaVi,wetrepublic,<class 'KeyError'>
BQV1lNhD3_U,templeSF,<class 'KeyError'>
BFkmay1K0Ge,templeSF,<class 'KeyError'>
Ba5U03lnDV-,templeSF,<class 'KeyError'>
BTUpXrYg_Ag,templeSF,<class 'KeyError'>
mlqfSrAab3,wetrepublic,<class 'KeyError'>
BKkL4evgmDi,rudas,<class 'KeyError'>
BF9D_BgndJK,rudas,<class 'KeyError'>
Bft14fwl2e5,prsymCH,<class 'KeyError'>
