ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
1084986543250395860,8OpYM4hNLU,94,3,2015-09-29 21:01:36,Tuesday,Save the date ! SPECIAL CLOSING PARTY ! Saturday 3rd OCTOBER !!!... #lescavesduroy #sttropez #party #djjacke #igers #picoftheday #instagood photo: @tillyfleming99,False,N/A,sergiofracchia alexpomeroy kakoperroy oceanelourot juliettesorrente byblossttropez camguillec marion_lacaze cavesduroy ,lescavesduroy sttropez party djjacke igers picoftheday instagood ,tillyfleming99 ,true
1458191360472674183,BQ8iVEHhG-H,143,1,2017-02-25 19:12:57,Saturday,PURPLE HAZE.  #lescavesduroy #sainttropez #club #frenchtouch #purple #love Photo: @moutty,False,N/A,la.guepe.mobile vivocars stellapastirik thomaneck nicolosr luciacamposfaria laita_paris mattdecb jpmcir f_s_member ,lescavesduroy sainttropez club frenchtouch purple love ,moutty ,true
1458972318746644244,BQ_T5gMBY8U,169,3,2017-02-26 21:04:35,Sunday,Blinded by the light... #cavesduroy #party #club #sainttropez #love #igers #photo : @geoffroybrs,False,N/A,bruneddr manon_salce tiphanie_vcrs nicolodega saintjeronimo excellence.saint_tropez borisway allikcarter lesimperatrices etiennevignal ,cavesduroy party club sainttropez love igers photo ,geoffroybrs ,true
1565432574310821431,BW5iKHfny43,213,5,2017-07-23 18:22:06,Sunday,Weekend is not over yet ! "Sunday Funday Party" See you later... . #lescavesduroy #sunday #club #sainttropez #nightlife #video : @ralph_chatelle,True,1210,fabricedoyen thomaneck maxlonner champagnetanguy christopher_b_v_p vallberg gillesiacones boutique_lp_roma thibaultpepino fernandobau ,lescavesduroy sunday club sainttropez nightlife video ,ralph_chatelle ,true
1564747509050324986,BW3GZGwHzf6,211,1,2017-07-22 19:41:00,Saturday,SaTuRdAy360 ! See you at Midnight... . #lescavesduroy #club #goodlife #sainttropez #frenchriviera #video: @natashilva,True,1156,renan_brun abdallahchatila djeebee94 lucasmrt1 janeaudedeville adolph_j.a alexandre201200 verseus micha1micha lorena_finck ,lescavesduroy club goodlife sainttropez frenchriviera video ,natashilva ,true
1605300311555971952,BZHLCDMHhtw,245,2,2017-09-16 18:32:11,Saturday,Summer is not over ! Saturday Party Tonight ! . #midnight #sainttropez #cavesduroy50 #party #frenchriviera . Photo: @cerisesurle752,False,N/A,elena_di_borbone juste_lea19 _marcld_ bardote paulinfornieles stevestrange252 caronig luiscedillo anneruizlamaud alice_briet ,midnight sainttropez cavesduroy50 party frenchriviera ,cerisesurle752 ,true
1306112070055732563,BIgPgH0haVT,109,1,2016-07-30 23:18:33,Saturday,The night started... #sainttropez #lescavesduroy #party #frenchriviera #club #summer2016,False,N/A,tiagoescher1 lourxusselot jonas_2684__bennett klowai rickybossi elodieromby julehannoi raoul_ed justinsillaman cavesduroy ,sainttropez lescavesduroy party frenchriviera club summer2016 ,,true
1737227884130689912,Bgb345vg2N4,333,1,2018-03-17 19:08:43,Saturday,the best things happen when you're dancing #lescavesgirls #soon,False,N/A,jaspermventer galette13 juli.barth bentleydriversclubmonaco juliette_als83 nickguider yohan_pilar benoit_tintane bloomsartfrance margotdft ,lescavesgirls soon ,,true
1614696098387896838,BZojYvknqoG,211,4,2017-09-29 17:39:56,Friday,Till the music is gone  let's party on...! Tonight + Saturday at Midnight... Join us ! . #cavesduroy50 #party #club #sainttropez #frenchriviera,False,N/A,thierrykremper maxilopez28 meierequestrian nastyaraakova camille.vgx eevd_8 theo_brthlt thomaneck sebastienmoulet julia_516 ,cavesduroy50 party club sainttropez frenchriviera ,let's ,true
1430638210123682089,BPapd9MhdEp,149,0,2017-01-18 18:49:46,Wednesday,Blinded by the blue light 💙🔵🔷🔹 #cavesduroy50 #sainttropez #club #party #france #igers Photo: @jaredschuyler,False,N/A,maeva.laligant migbra brooklynsjc alice_briet lareservestjeandeluz arthurjehanno alexfrancia arthur_mrc qsblraww hugoteillet ,cavesduroy50 sainttropez club party france igers ,jaredschuyler ,false
1316903946132315721,BJGlSloht5J,94,2,2016-08-14 20:40:05,Sunday,Awesome season at Les Caves du Roy ! Party time tonight !  #sainttropez #lescavesduroy #party #frenchriviera #club #summer Video: @fabrizio_coscione,True,466,timotheegvn bennibensen85 joaoscatamburlo winecabj lareservestjeandeluz cassialorenateixeira baguur cavesduroy carsinsttropez ,sainttropez lescavesduroy party frenchriviera club summer ,fabrizio_coscione ,true
1453068712562522801,BQqVkuehfqx,181,3,2017-02-18 17:35:10,Saturday,LES CAVES GIRLS... #cavesduroy50 #sainttropez #frenchriviera #girl #party #club Photo: @riahisarah,False,N/A,jeanne_crm celian.fauveau bennibensen85 nickchampagne alessio_cursi jeremydebrez chicco_bergamini rees_reisen vladimir_htblr palo_rps ,cavesduroy50 sainttropez frenchriviera girl party club ,riahisarah ,true
1738680241439824655,BghCHe5AtsP,339,21,2018-03-19 19:15:15,Monday,SAVE THE DATE! 🔜 #EasterWeekend,True,1584,emilyminchella marin_le_roux agneslapeche yassirhani alexis_4730 math_pol jamymutter_dibenedetto laghina peggytessjin 77doubled ,EasterWeekend ,,true
1440184688542348955,BP8kFgDhfab,141,6,2017-01-31 22:56:55,Tuesday,LES CAVES GIRLS !  #lescavesduroy #sainttropez #party #club #girl #love Photo: @fl.prn,False,N/A,bardaukevin ivanvoria villeferraduracorale manuelafarruggia architettosamuelearrighi matvey_bilunov loicpompee jesson_cht yoannboghossian hayron.michelet ,lescavesduroy sainttropez party club girl love ,fl.prn ,true
1311102256904809278,BIx-I5fBis-,118,0,2016-08-06 20:33:10,Saturday,Big party tonight at Les Caves du Roy ! Are you ready ?! #sainttropez #lescavesduroy #party #frenchriviera #club #summer2016,False,N/A,katianamtk bennibensen85 louiseennequin tom__cas lucasmrt1 kirstythefitnesschick nicolasjurczyk romain.f83 leoinnocenti cavesduroy ,sainttropez lescavesduroy party frenchriviera club summer2016 ,,false
