ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
1698731059418850655,BeTGuX1lWVf,493,32,2018-01-23 16:23:05,Tuesday,Thank you for an epic night @steveangello!🔥🔥🔥 #TheGrandBoston #iLoveMondays,True,3956,mrlecontewillseeyounow crystalbouchard94 mariemjasmine craigpenalope genell.gorman brianax3 blazekdavid djjoemoore casey__patricia josephfarrix ,TheGrandBoston iLoveMondays ,steveangello!🔥🔥🔥 ,true
1714875982824157307,BfMdp7eFTB7,290,32,2018-02-14 23:00:35,Wednesday,We are excited to announce the #BNEGnightlife 2018 Artist Residency Line-Up: @steveaoki @breathecarolina @brklynmusic @brookeevers @cedricgervais @cheatcodesmusic @dzeko @loudluxury @nervomusic @princefox @r3hab @richforever @staffordbrothers @djvice @yellowclaw @kirillwashere,True,2294,adheeshlilaramani _j_pereira pumpkin_jl felnemr nick_sadler jannet_trasga kevink2307 zankyofficial tablesonly christinafrancoisofficial ,BNEGnightlife ,steveaoki breathecarolina brklynmusic brookeevers cedricgervais cheatcodesmusic dzeko loudluxury nervomusic princefox r3hab richforever staffordbrothers djvice yellowclaw kirillwashere ,true
1648061327221259856,BbfFwuZFP5Q,530,29,2017-11-14 18:31:26,Tuesday,@Tiesto x #iLoveMondays 💥 #TheGrandBoston,True,5364,calinovas tayhiggins_ revelartpro dfleming95 robcalabrese kylestorey3 djzackcola vaporize_thai sophanvick scorpionboston ,iLoveMondays TheGrandBoston ,Tiesto ,true
1696720218863437756,BeL9gyolAe8,338,9,2018-01-20 21:47:13,Saturday,We’re getting ready to party with @djvice tonight at #TheGrandBoston! 💥 General admission available at the door starting at 10pm,False,N/A,kelsey__liz wingnut9944 inakiuribe burna_8six sm8928 4lex4well djserafin filipeesantoss niccolc sarahgeiselman ,TheGrandBoston ,djvice ,true
1650178621393225333,BbmnLaQFkZ1,465,10,2017-11-17 16:37:22,Friday,✨ A Grand entrance into the weekend... ✨ #TheGrandBoston | Tonight: @djvice | Tomorrow: @mightymi | Monday: @nervomusic Tickets + VIP reservations at www.TheGrandBoston.com,False,N/A,cindy__valencia m.tambone alishacusano damnphoreal elisabethbraese stuart_litt carlitacj_jj b_o_o_r_a twanumbz jasonms316 ,TheGrandBoston ,djvice mightymi nervomusic ,true
1752342996063640729,BhRkqutBFyZ,669,32,2018-04-07 15:40:03,Saturday,💥 @marshmellomusic + @loudluxury 💥 #TheGrandBoston,True,5381,melissa2904lara slushii_mage iamthoreau chloegalll bobo_nop codydale_ lais_wolf mrsbird33 fabrejay stefanaronsen ,TheGrandBoston ,marshmellomusic loudluxury ,true
1694614419584581432,BeEetYOl_84,241,4,2018-01-18 00:03:22,Thursday,We can’t wait to party with @djvice this Saturday at #TheGrandBoston!  General admission available at the door starting at 10pm | VIP tickets + tables at TheGrandBoston.com,False,N/A,samalwaysam meganphu theoddsin freddiealva abigailkulewicz djsisko bgears22 maria1mk jenniebeaton ekkomusicofficial ,TheGrandBoston ,djvice General ,true
1687307520841244189,BdqhUAell4d,298,15,2018-01-07 22:05:52,Sunday,We can’t wait to party with @laidbackluke tomorrow at #TheGrandBoston #iLoveMondays 🙌🏽🎉 Ticket link in bio,False,N/A,wbop kpapugaaa llewknows ckk_13 corydurks alancferreira dmlavache19 ayeoo_romero senadabosschick_ willyamccallme ,TheGrandBoston iLoveMondays ,laidbackluke ,true
1685787050853755290,BdlHmQdF2ma,221,5,2018-01-05 19:44:58,Friday,Gearing up for the first party of 2018 with @loudluxury TONIGHT at #TheGrandBoston 🙌🏽🔥 Tickets + VIP tables at TheGrandBoston.com,False,N/A,pbohenko23 scorpionboston dj_zeoh b_pettis brittany_irwin fvckdivmonds thebedfordavenue cameron_massie juliamarie92 iamexstrax ,TheGrandBoston ,loudluxury ,true
1651848872811920590,Bbsi8xGlXzO,435,8,2017-11-19 23:55:52,Sunday,We can’t wait to party with @NervoMusic tomorrow at #TheGrandBoston #iLoveMondays 🙌🏽🥂 Tickets &amp; VIP reservations at TheGrandBoston.com,False,N/A,fcruz83 _dovi cstrouss olivia_mary__ jonchenmusic buddhafit mrsouthshore barnzyny thetommyward hven12 ,TheGrandBoston iLoveMondays ,NervoMusic ,true
1739342267037969197,BgjYpORnust,205,7,2018-03-20 17:10:00,Tuesday,@dzeko x #iLoveMondays 🔥 #TheGrandBoston,True,1399,rushforjohn16 btownusa1 officialhybridcode noorlindmusic falco137155 bananasplitcomedyandburlesque bostonspaulg djpatfarrell dj_jazz_mangwani punkyj1987 ,iLoveMondays TheGrandBoston ,dzeko ,true
1650877117712702197,BbpF_3pFhr1,244,11,2017-11-18 15:45:40,Saturday,Taco Time with @DJvice last night... 🙌🏽🌮 #TheGrandBoston,True,2954,tempoofficial cayla_conigliaro ms_klala ember.flynne rouvalisflowers wingnut9944 bee.phan tigerastronaut picturethisish toriajoyce ,TheGrandBoston ,DJvice ,true
1716913997729844692,BfTtC8wlU3U,285,18,2018-02-17 18:30:44,Saturday,@twofriendsmusic brought the 🔥 last night...🙌🏽 #TheGrandBoston,True,2284,bellafitness_model kamcwade filinholiveira charbie_matta olivia_mary__ amyrdono 617promotions fpires5 hazelso alishacusano ,TheGrandBoston ,twofriendsmusic ,true
1697343484452081547,BeOLOf8lw-L,264,10,2018-01-21 18:26:22,Sunday,💥 @djvice x #TheGrandBoston 💥,True,2161,andrewpachecolv mark_shooter rayray_all_day heatherdoyle eddymerc britt_bod alexandertechnique bawston_bri tiagohenrique7548 gustavomunizlima ,TheGrandBoston ,djvice ,true
1720690120938940300,BfhHoxjFueM,302,4,2018-02-22 23:31:08,Thursday,The calm before a Grand weekend... ✨  Tomorrow: @feenixpawl Saturday: @londonondatrack Monday: @sj_rm Tickets + VIP tables at TheGrandBoston.com,False,N/A,marz.ellll afewplacesonearth ymfchino victor_joelc powersbrennan tablelist kanicejelley tweedle_deee toastedflats newenglandseason ,,Tomorrow: feenixpawl londonondatrack sj_rm ,true
