SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
BIJQ0GSAsnj,17849526250126804,mattsamoto,2016-07-22 01:50:51,@dreamstateconcepts your boys coming to sf. Time to stop by,,dreamstateconcepts 
BJyd4-nAOw-,17852031952083454,thegrandgirls,2016-09-08 21:46:26,🍾👯🔥,,
BcabnUEBPkf,17855249275207687,pannnnnnaaaaaa,2017-12-07 19:47:24,@fito_305 look my nigga,,fito_305 
BcabnUEBPkf,17910650566035990,julianontheradio,2017-12-07 20:47:21,🙃🙃🙃,,
BdT2xTaBj2O,17915846968028994,mustachetom,2017-12-30 03:17:30,@kortilla1 lol I recall my convo before this photo “I don’t know what to do with my hands” lol,,kortilla1 
BdT2xTaBj2O,17842761847227079,kortilla1,2017-12-30 03:38:24,@mustachetom lol!! Well this was take 2?3? Then u were like ah forget it. Awkward hand photo 😂,,mustachetom 
BSmnGAZAWDB,17876836108011196,_briea_jade_,2017-04-08 00:39:44,great page,,
BSmnGAZAWDB,17852970673173693,louisparqpelliccia,2017-04-08 01:26:08,✨ 💥,,
BR_gFYyAE8U,17852422486155081,meet0011,2017-03-23 19:47:57,Good Vibes,,
BR8zVJWAtfC,17862480937091457,sheikhmende,2017-03-23 08:22:59,💭 interesting!,,
BR8zVJWAtfC,17882096227023006,yteam_,2017-03-30 01:18:35,Love it!,,
BCmgffxmbfZ,17844963397086534,mattsamoto,2016-03-06 07:10:39,Yes please....,,
BCmgffxmbfZ,17844964363086534,dulong82,2016-03-06 07:47:44,I love this video from the depths of my soul🙌🏽🙌🏽🙌🏽,,
BCmgffxmbfZ,17844964372086534,thegrandnightclub,2016-03-06 07:48:04,@dulong82 so do I lol,,dulong82 
BCmgffxmbfZ,17844996805086534,champagne_gun,2016-03-07 01:09:09,You should check out our exclusive champagne weapon for the champagne showers !! The one and only champagne gun !!! 🍾🍾,,
BCmgffxmbfZ,17845386601086534,untzsf,2016-03-12 23:30:23,😍,,
BYMhmvIA9CS,17895884047044746,stevieboymuziq,2017-08-25 09:35:37,#Mijo,Mijo ,
BSMsLbFgdyw,17854610038142789,aboveaveragehh,2017-03-28 22:43:49,💯,,
BSMsLbFgdyw,17852271382193559,enterprize_entertainment,2017-03-29 01:57:50,this is fire. u should checl out @Gfisher_Music,,Gfisher_Music 
BSMsLbFgdyw,17877337834057924,djmancat,2017-03-29 12:07:50,😸,,
BGRA2dyGbe5,17856315652032521,cottoncandycoral,2016-06-05 10:52:51,#spidermonkey,spidermonkey ,
BJtkZCsAwpo,17851778287119658,leafysocial,2016-08-30 00:03:27,yoo  crazy picture!! I check here every week... Keep it up :p,,crazy 
BW1MeEpg_xb,17875370803082936,caitlynshaostyle,2017-07-22 03:19:45,😄😄👍,,
BZ7FICHh4dk,17890177009110870,jayygwuapo209,2017-10-07 01:15:32,@ernestoothoo,,ernestoothoo 
