SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
BdVW0MpjAf-,17916103942063768,theoxfordsd,2017-12-30 16:50:11,#OxfordNights #NYE #SanDiegoNYE #PendrySanDiego #PendryNYE,OxfordNights NYE SanDiegoNYE PendrySanDiego PendryNYE ,
BdVW0MpjAf-,17907732016074466,thejennwheezy,2017-12-30 18:43:20,@cait_teixeira 💃🏽💃🏽💃🏽,,cait_teixeira 
BVlAMGugOyb,17862564142138989,thebohemianmama,2017-06-21 19:00:00,We ❤ it!,,
BVlAMGugOyb,17879370874068257,theluxlash,2017-06-23 17:12:24,Love! ❤,,
BZZYuDmgJO1,17843091118210167,champagneallyear,2017-10-05 09:10:55,❤️the oxford and champagne 🥂 😊😊,,
BdA3F8rDXdt,17887889998150682,therealhanshodvil,2017-12-22 18:54:17,this just ruined my Friday..I guess I’ll stay sober before New Years 😢 cc: @lamar_prince,,lamar_prince 
BdA3F8rDXdt,17897183986094176,hannie_k,2017-12-22 19:59:43,@therealhanshodvil ur so dramatic. Come to bang and have a punch bowl lol,,therealhanshodvil 
BdA3F8rDXdt,17901891922097828,therealhanshodvil,2017-12-22 20:00:48,@hannie_k CAN I LIVE,,hannie_k 
BdA3F8rDXdt,17914473454046807,hannie_k,2017-12-22 20:52:55,@therealhanshodvil 🤣🤣🤣,,therealhanshodvil 
BdA3F8rDXdt,17842015714241243,madeinam_erika,2017-12-22 21:20:41,@therealhanshodvil @hannie_k im dying 😂,,therealhanshodvil hannie_k 
BdA3F8rDXdt,17883251503144618,therealhanshodvil,2017-12-22 21:36:01,@madeinam_erika I’m about to report @hannie_k #onlinebully,onlinebully ,madeinam_erika hannie_k 
BdA3F8rDXdt,17855976154205203,hannie_k,2017-12-22 21:52:22,@therealhanshodvil 😘 I’m just a sour patch kid lol right @madeinam_erika ?!,,therealhanshodvil madeinam_erika 
BdA3F8rDXdt,17914231228012692,lamar_prince,2017-12-22 21:53:45,@therealhanshodvil we should bring headphones  Stand outside Oxford  and have our own silent disco with lil uzi xo tour life on repeat. #allmyfriendsaredead,allmyfriendsaredead ,therealhanshodvil Stand and 
BVYMyq3Aih7,17885313382010670,christian_vipaf,2017-06-24 03:32:17,@tara_c77,,tara_c77 
BQG6E8EAUOL,17850413245134690,theoxfordsd,2017-02-04 23:22:04,. . . . #pendrysandiego #eatsandiego #youstayhungrysd #sdfooddiaries #sdfoodie #sandiegoeats #dsdeat #foodie #foodporn #foodgasm #foodcoma #igfoodie #instafood #sandiego #locallovesd #food #nom #foodpic #foodpics #foodies #foodphotography #yummy #sandiegofood #sdeats #gaslampsd #yelpsandiego,pendrysandiego eatsandiego youstayhungrysd sdfooddiaries sdfoodie sandiegoeats dsdeat foodie foodporn foodgasm foodcoma igfoodie instafood sandiego locallovesd food nom foodpic foodpics foodies foodphotography yummy sandiegofood sdeats gaslampsd yelpsandiego ,
BQG6E8EAUOL,17871228193013544,schmearsthedeal,2017-02-04 23:56:54,Pretty nice :),,
BQG6E8EAUOL,17870713348016985,carreracafe,2017-02-05 00:27:20,💘 love this one,,
BQG6E8EAUOL,17848920100147605,tridentcoffee,2017-02-05 01:25:42,😄,,
BQG6E8EAUOL,17860927717105018,luxury_voyager,2017-02-07 04:18:14,We love your posts!,,
