ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
1681350379910727678,BdVW0MpjAf-,142,2,2017-12-30 16:50:05,Saturday,Experience New Year's Eve at Oxford Social Club featuring sounds by @DJCobra and a special performance by the Stoli Elit Ballerinas.  For tickets &amp; VIP Reservations  click the link in our bio.,False,N/A,randy_mendez1 arleneibarra mjaydonk _sweet.dulce.soraya_ libbeylazarus cannababekatie mcmichel92 goldensolisairbrushtanning dave_rukus sarah_renee94 ,,DJCobra For click ,true
1541639279300635803,BVlAMGugOyb,146,2,2017-06-20 22:29:04,Tuesday,Be So·phis·ti·cat·ed  or don't... Thursday: Ayla Simone Friday: @djspider Saturday: @djwellman,False,N/A,enriquept2003 sonz.h lord_duarte jbladow brandond_lv nickkbarb bme745 mikababee619 caffecalabria jase.andrewl ,,or djspider djwellman ,true
1610427059841045429,BZZYuDmgJO1,97,1,2017-09-23 20:18:07,Saturday,#Chamapagne is always the answer! Party the night away at Oxford Social Club tonight with sounds by @DJCobra.  For guest list consideration  click the link in our bio.,False,N/A,alan_alire djque erik_6_lima louisloother cocob_music roberto_wallace18 jessicajohnson521 rubep_photography jpereira90 greystonesteak ,Chamapagne ,DJCobra. For click ,true
1675581362684131181,BdA3F8rDXdt,129,8,2017-12-22 17:48:05,Friday,We will be CLOSED for the holiday weekend. The party returns to Oxford Social Club on Decemeber 28th for NYE Weekend! Until then  #StaySophisticated San Diego.,False,N/A,tatianna_almaz _bribrixoxoxo_ jasononsax daniel_guang hellaclassic c.h.r.i.s.t.yy cinemazay bpip115 samantha_ssmithh crohncannabis ,StaySophisticated ,,true
1538035531299039355,BVYMyq3Aih7,160,1,2017-06-15 23:09:04,Thursday,Big dreams  good music and expensive taste. #oxfordnights  Meet us under the chandelier for @djdecon tonight!,False,N/A,reza_raccoon therealhanshodvil dan_bolthouse ryancornelius1904 devinedevaughn zoesflower jesusjmendez cristian_mingle tbagging kaymarfitz ,oxfordnights ,good Meet djdecon ,true
1443096156686074763,BQG6E8EAUOL,205,6,2017-02-04 23:21:29,Saturday,From classy to naughty  the devil asked me to party. Get ready for #oxfordnights.,False,N/A,portlandvariety fullmoonsushisd myomedia aplaneticketandreservations djfishfonics foodiesofsd barracudamoonjewelry minalounge sandiego_fitness colonelcopin ,oxfordnights ,the ,true
1722245873620961696,BfmpX9JD0mg,190,10,2018-02-25 03:02:08,Sunday,Tonight  we're dancing like no one's watching with @DJSpider on deck! Click the link in our bio for guest list consideration.,False,N/A,b.james.bon ivanduran16 randy_mendez1 xokarensita colonelcopin liltine420 robbyhobbs lets_do_brunch_ devinedevaughn alikitten ,,we're DJSpider ,true
1735669145523021710,BgWVeRSgWeO,258,5,2018-03-15 15:31:47,Thursday,Kicking off the weekend—TONIGHT at Oxford Social Club with beats by babe @djaylasimone!,False,N/A,jmoaddab codenamekar thekarenstyle hellaclassic breskags k10sd we_came_saw_did rico1588_toscano donymark lacroixmusic ,,djaylasimone! ,true
1602521947089091258,BY9TThpAzq6,151,4,2017-09-12 22:32:04,Tuesday,We know looks aren’t everything  but we have them just in case. #OxfordSocialClub,False,N/A,cindytong22 blushofadrenaline scott_wellinger mike__agg evelyn.prza teresatripp constancemtm anyaaadoll sarah_renee94 anthonydamico3 ,OxfordSocialClub ,but ,true
1757584191765593565,BhkMYKlB73d,212,2,2018-04-14 21:13:04,Saturday,Own the night. . Click the link in bio for guest list consideration and VIP Reservations.,False,N/A,max_voroninn amiiivv desmo.moto shaylyn1111 eeelex.noble alexsd carlosmickey305 julio_bryan_ j_dubz89 karla_merced ,,,true
