ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
1505362788046080594,BTkH3rflApS,83,1,2017-05-01 21:14:10,Monday,May is here and Memorial Day Weekend is right around the corner! Grab tickets now! Link in bio. . . . . #mdw2017 #chicagonightlife #nightlife #prysmnightclub #summertimechi #cedricgervais #feddelegrand #r3hab,False,N/A,m_persico7 roberto1517 gotmoney2784 naspistul djphoenix9 arrowdj k_georgee jusliz928 djsimone ,mdw2017 chicagonightlife nightlife prysmnightclub summertimechi cedricgervais feddelegrand r3hab ,,true
1497271025217626887,BTHYBCGlOMH,43,5,2017-04-20 17:17:16,Thursday,Always reppin... let's go blackhawks!! F.A.M.E Saturdays are heating up!! This Saturday @crespothedj stops home for the night along with entertainment by @perrydontae and @ava_grey RSVP at link in bio with code PRYSMCRESPO422 for FREE entry! Start time 10pm! #FAMEsaturdays #Chicago #blackhawks,True,292,3rgmiami justiinmitchell ava_grey lynnie2017 vivianmerza 2waymusic daleplaylive muggsnmanor wearerichgroup djphoenix9 ,FAMEsaturdays Chicago blackhawks ,crespothedj perrydontae ava_grey ,true
1506073680757075244,BTmpgh7Fy0s,47,1,2017-05-02 20:46:35,Tuesday,JUST ANNOUNCED! @martinsolveig at @PRYSMnightclub on June 16th with @djnathanscott! . . . #DETOURfridays @MartinSolveig #NathanScott @PRYSMnightclub #Chicago #nightlife #Fridays,False,N/A,312photochronicles vict.r_jr justinnyce crespothedj djphoenix9 stevesmooth blvcksh33p29 hezzaheather djromeodeangelo oscababy ,DETOURfridays NathanScott Chicago nightlife Fridays ,martinsolveig PRYSMnightclub djnathanscott! MartinSolveig PRYSMnightclub ,true
1325659417882892506,BJlsDeID5ja,74,0,2016-08-26 22:35:39,Friday,Elevate your weekend with the @GemsOfPRYSM! For Reservations call 312-546-4141 #PRYSMfridays #ElevateYourNightlife #BottleService #PRYSMnightclub #PRYSMchi,False,N/A,marcelalaciak eia8585 m_persico7 acmalki iamsarahclarkk _briizey gtgyk voynikov88 agnieszka_szkodzinska djmrshaw ,PRYSMfridays ElevateYourNightlife BottleService PRYSMnightclub PRYSMchi ,GemsOfPRYSM! ,false
1451030993246735740,BQjGQAejc18,83,0,2017-02-15 22:06:35,Wednesday,ON SALE NOW! Official @Audien After Party at @PRYSMnightclub this Saturday! Get tickets today! . . . #Audien #nightlife #chicagonightlife #vip #bottles #tables #chicago #saturday #music #concerts #experience #elevateyournightlife,False,N/A,sal.vador illumeapp eslamaestra originald.c djfrankiefrench x_k0ukla aye_em5 aquilo.co djgodfatherdetroit latinadollx0 ,Audien nightlife chicagonightlife vip bottles tables chicago saturday music concerts experience elevateyournightlife ,Audien PRYSMnightclub ,false
1447452384946900144,BQWYkZyDUyw,79,1,2017-02-10 23:36:32,Friday,Last chance to grab your tickets for @iamtjr tonight! #PRYSMfridays in full effect!! . . . . #elevate #nightlife #chicagonightlife #vip #tables #bottles #theweekend #letsgo #bounce #tjr #edm #experience #exclusive #party #tgif,False,N/A,_kendobriggs_ sakatos ioannakekatos driveinfilmfest w_lopez0210 bmate mimimontana187 tawnyjordan d_meech_ effykizito21 ,PRYSMfridays elevate nightlife chicagonightlife vip tables bottles theweekend letsgo bounce tjr edm experience exclusive party tgif ,iamtjr ,true
1627090624431052701,BaUlk1elNed,109,4,2017-10-16 20:05:39,Monday,Are you ready? 🎃 #CarnEvil #Halloween2017 • • • • • • #PRYSM #party #champagne #bottles #bottleservice #nightlife #champagneshowers #TheDEN #drinks #chicagoparty #lifestyle #booze #shots #girls #upscale #domperignon #chitown #aceofspades #veuve #chicago #chicagonightlife #nightout #cocktail #pregame #scene #chicagogram #VIP,False,N/A,cherrypopmusic djwreck alex.battaglia97 goykphoto ron_marcomb djnathanscott cubbybreezy pete7g mjrottmann emire.life ,CarnEvil Halloween2017 PRYSM party champagne bottles bottleservice nightlife champagneshowers TheDEN drinks chicagoparty lifestyle booze shots girls upscale domperignon chitown aceofspades veuve chicago chicagonightlife nightout cocktail pregame scene chicagogram VIP ,,true
1537098870563456217,BVU30dklsTZ,75,2,2017-06-14 16:08:06,Wednesday,#WCW to @helenalegend 😍😍 don't miss her at #DETOURfridays July 28th! . . . . . #prysm #helenalegend #friday #july #summer #chicago,False,N/A,come2cracow tumi_786 sherminthebooth majogoa arubio13 undead_lion13 manny__stylez christenmcgruder bbleiman_27 djay_rain ,WCW DETOURfridays prysm helenalegend friday july summer chicago ,helenalegend ,true
1656450963261938245,Bb85V_1FNpF,132,3,2017-11-26 08:19:24,Sunday,Thank you @crespothedj for a crazy night 🔥🔥 • • • • • #PRYSM #party #champagne #bottles #bottleservice #nightlife #champagneshowers #TheDEN #drinks #chicagoparty #lifestyle #booze #shots #girls #upscale #domperignon #chitown #aceofspades #veuve #chicago #chicagonightlife #nightout #cocktail #pregame #birthday #chicagobirthday #chicagogram #VIP,False,N/A,rubenswagger bibleofdrinks djdearo _thismustbetheplace_ agababee givenchy.blanco_ hangnever mynextdrink puro.baile kayleenvasil ,PRYSM party champagne bottles bottleservice nightlife champagneshowers TheDEN drinks chicagoparty lifestyle booze shots girls upscale domperignon chitown aceofspades veuve chicago chicagonightlife nightout cocktail pregame birthday chicagobirthday chicagogram VIP ,crespothedj ,true
1521869494154672435,BUexD3hl7kz,45,0,2017-05-24 15:50:02,Wednesday,ON SALE NOW! Official @SpringAwakeFest Afters at @PRYSMnightclub! If you missed the presale make sure to sign up to our email lists for future festival announcements. Link in bio. . . . #springawakening #springawakeningmusicfestival #samf #samf2017 #chicago #Afrojack #AxwellIngrosso #MartinGarrix #PRYSMnightclub,False,N/A,djangeli artisticraw christenmcgruder stephhanie_callahan linaserevan ma1zoua laceyxnelson_ bmate evelynruby11 natalka2felker ,springawakening springawakeningmusicfestival samf samf2017 chicago Afrojack AxwellIngrosso MartinGarrix PRYSMnightclub ,SpringAwakeFest PRYSMnightclub! ,false
