ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
160203556979320710,I5KElJgaeG,35,2,2012-04-01 22:02:53,Sunday,#HoldOn!! Look who we have here @bobsinclar in the building!! If you're. It here  get here.. #lovegeneration! &lt;3,False,N/A,ronreeser shar_baby b_vo authenticangela gianmarcopollacchi djpayhomage gomesamira ,HoldOn lovegeneration ,bobsinclar get ,true
1432136469761638228,BPf-IgOBj9U,724,66,2017-01-20 20:26:32,Friday,We are excited to welcome back @MartinGarrix to the #HakkasanGroup family for his 2017 residency at @OMNIANightclub &amp; @WetRepublic . Kick off his residency at #OMNIALasVegas on February 10th!  Tickets: wet.re/garrix  Wet Republic tickets on sale Tuesday  February 7th.,True,5663,chonly.pp mashitup_83 awanyan cilesio_jr _ever26 evelien.vc strike2610 maalfymusic bhushan_gandhi49 bittoragirre ,HakkasanGroup OMNIALasVegas ,MartinGarrix OMNIANightclub WetRepublic Tickets: Wet February ,true
969742015531165626,11Nzmngae6,788,32,2015-04-23 20:51:18,Thursday,Tomorrow  #WetRepublic launches #SPYONHot100 with a little help from @irie​! Ladies  sign-ups are still on-going... Enter now and you might have a chance $1 MILLION along with additional prizes like bikinis from @bikinidotcom​! Here's how to sign up:  1. Send in your application  including four photos here: bit.ly/Hot100Signup  2. Wait patiently for us to contact you.  3. When we do  prepare to potentially win a variety of prizes! ‪  #BikiniBattleRoyale‬,False,N/A,gusmo_99 dvajewelry ecky19 angelica.pickles92 saransh_61 jeronimoneto_ miladgolkar67 kpatalina ellysonpatrick ,WetRepublic SPYONHot100 BikiniBattleRoyale ,irie​! sign-ups bikinidotcom​! 1. including 2. 3. prepare ,true
1468982283989881884,BRi35qyjxQc,1382,37,2017-03-12 16:32:36,Sunday,Soak up some sun today with our #BabesInBlue! Sounds by @MarkEteson .  Tickets: hkk.sn/buytickets,False,N/A,mamma_ty simonesproull tales_cmg jguzman_draislv joeyteresi paul_iskandar ghettiarachchi miecio.b jamesjordan7611 vsflx ,BabesInBlue ,MarkEteson Tickets: ,true
434223041803822466,YGq45QAaWC,271,10,2013-04-14 23:50:42,Sunday,Jagger anyone?! @Djtommytrash @NERVOmusic! #letsgetwet,False,N/A,mramazin48 ashweeeee_ alemponciano alyyrosee sheila731 marcokroker britbin _nikki__ ,letsgetwet ,Djtommytrash NERVOmusic! ,true
687105045291968483,mJFmX0Aafj,968,50,2014-03-29 21:42:06,Saturday,Packed house for @sj_rm,False,N/A,danski_303 jaimeferreira96 tinytunalv azwanaqis momora82 erika_reynada qaisar1982 rafaflores1 amayaeduardo jordanmcwood ,,sj_rm ,true
458792460412364084,Zd9U_cgaU0,415,7,2013-05-18 21:25:44,Saturday,We're on a serious champagne campaign today! Ready for you @steveaoki! #aofikysplashvegas,False,N/A,dave_1_ unik_gui nicole_ray2277 alyssaluna madame__emma karrera_kulley tamayo1991 stefaniemichele birdsanbees ,aofikysplashvegas ,steveaoki! ,true
1270562716855149874,BGh8g8rAaUy,1280,130,2016-06-11 22:08:20,Saturday,Put your 🙌🏻 up for @tiesto!!!,True,8868,adriansial instanterick official_hardwellgirl maiconramoss juliecoko tan1099 leija_thebarber tiagoadj shmalins jesuspalacio ,,tiesto!!! ,true
495087685862532597,be56CQgaX1,1095,31,2013-07-07 23:17:53,Sunday,@deadmau5 has arrived @wetrepublic for the finale of our #4thofJuly weekend! #wetrepublic #lasvegas,True,0,jakechvatal dphotography88 heitormellolucas instadoreen laura_051997 kevinbc93 anhtoan_win ,4thofJuly wetrepublic lasvegas ,deadmau5 wetrepublic ,true
1031324410860119826,5QABZlgacS,1028,35,2015-07-17 20:04:32,Friday,@hardwell returns for a #BiggerBetterWetter pool party at #WetRepublic on August 1 and September 6!  Purchase tickets through the link in our bio.,False,N/A,bart.van.a saadalmethen62 kareem.elgibaly karan_jain42 bradley.hemi travisharwood1 t_moroz rodolfomb21 mr.alex6braun angelabc17.ad ,BiggerBetterWetter WetRepublic ,hardwell Purchase ,true
792055755258831972,r98oNOgaRk,1041,41,2014-08-21 17:00:25,Thursday,It is your LAST day to vote for this year's #SPYONHot100 Grand Finalist! Vote now at: www.facebook.com/hot100,False,N/A,ghost___1997 drainenergy andremssilva street_race_destroy_mag pete9499 jairpina jukeloyce_ ieditboxing numero_veinticinco _gabriel.rubio_ ,SPYONHot100 ,,true
1005288087544243680,3zgDB7AaXg,727,16,2015-06-11 21:55:00,Thursday,Only two more selection rounds to go before online voting begins in this year's #SPYONhot100... The top three winners from each round win bikinis from @bikinidotcom​! Ladies  enter today before your time runs out!  Here's how.  1. Send in your application  including four photos here: bit.ly/Hot100Signup 2. Wait patiently for us to contact you. 3. When we do  prepare to potentially win a variety of prizes including the chance at $1 MILLION!,False,N/A,zeekhawaja_ notablenofun nikkistar128 a_damnbomb makarandkarekar ed_poonjy gulllabbas _rushabhgandhi the_gourmet_tribe mmjayy14 ,SPYONhot100 ,bikinidotcom​! enter Here's 1. including prepare ,true
1708931383835906948,Be3WAoPDlOE,3523,250,2018-02-06 18:08:37,Tuesday,We're excited to announce Champagne Season pops Friday  March 9th at #WetRepublic!  Tickets are now on sale from March until Memorial Day Weekend. #ChampagneSeason  Tickets: wet.re/buytickets,False,N/A,daveedram lakshaye stephbeckerr _ettennad mashsnuff edm_dropz sarahamorin reallysunny pa1_kalyan_4_u djjosuedias ,WetRepublic ChampagneSeason ,March Tickets Tickets: ,true
761735876945486965,qSOr6GAaR1,804,27,2014-07-10 21:00:14,Thursday,Check #AokisPlayhouse off of your bucket list this summer on Sunday  8/3! @steveaoki #WetRepublic,False,N/A,albertsdg jeremyluke10305 naadsonlima carlos20esponda youngwildnpri18 fridacarolinz _biitemeee nalvinsim abrown1010 mmmegk ,AokisPlayhouse WetRepublic ,8/3! steveaoki ,true
1016103663610995851,4Z7OYEgaSL,1032,37,2015-06-26 20:03:37,Friday,The scene the last time @djchuckie took over #WetRepublic.  Catch his #DirtyDutch sound return for #WETatNight on Wednesday  July 15!  Tickets available by following the link in our bio!,False,N/A,alejandrorosa25 hrantmisak matheuss_soares mojorojo1994 _makonta eddyy98 zheel_chicleteiro alex_koell arudra_karthik aliciaschloth ,WetRepublic DirtyDutch WETatNight ,djchuckie Catch July Tickets ,true
683481223678502587,l8No08Aaa7,903,20,2014-03-24 21:42:12,Monday,It’s almost time to bring out the #Cake! @Sunneryjames #BirthdayBash is this Saturday during the DEBUT of @sj_rm at #WetRepublic!,False,N/A,jnouri_ craig_friel ahjaxx jjr14puckpuckpass alhafirizan_ jaypi1337 jes.x.x miked21212 golightlybree ,Cake BirthdayBash WetRepublic ,Sunneryjames sj_rm ,true
483400066917311852,a1Ycy5AaVs,698,10,2013-06-21 20:16:40,Friday,Looking forward to day filled with THIS today @WetRepublic!! You guys ready? #EDCatWet,False,N/A,nancy_macias jus_gus kainesway robert_p007 lenincastellanos djcueworldwide lin_dynasty rockanlover96 eoinobrien ,EDCatWet ,WetRepublic!! ,true
1056088644017825063,6n-wa-AaUn,1016,19,2015-08-21 00:06:38,Friday,Squad Goals reached at #WETatNight! · @dadalife | August 26 · @tiesto | September 2 · @thechainsmokers | September 9 · @steveangello | September 16 Get your tickets at WetRepublic.com!,False,N/A,walteeeee leospain1987 jrtompsonn sanchess1979 nixonmole fissnik.nuhiu arudra_karthik ,WETatNight ,dadalife tiesto thechainsmokers steveangello ,true
1242884522601719203,BE_nONigaWj,1061,212,2016-05-04 17:36:42,Wednesday,Relive our Grand Opening Weekend with @tiesto and @steveaoki! Don't miss their return on:  #Tiesto: May 7th  14th  21st &amp; 29th  #SteveAoki: May 27th &amp; June 20th  Ticket link in bio.,True,8891,rubysgw85 s_bueme carrdude kelseymyers_x thisismtk angesaur ntm1225 dooofficial johnrigas ,Tiesto SteveAoki ,tiesto steveaoki! 14th 21st Ticket ,true
168099616896689715,JVNbYAAaYz,88,6,2012-04-12 19:30:57,Thursday,Wouldn't you agree!? #ThePartyWeAllAgreeOn,False,N/A,ferrignotwins kelsroxanne redsandhu marlon__a carla_margarita kristina_q dirtsheetdawson ,ThePartyWeAllAgreeOn ,,true
800835927248315478,sdJAhnAaRW,2301,67,2014-09-02 19:45:03,Tuesday,Round up your ladies and head to #Vegas this September to catch: @tiesto @sj_rm @calvinharris @nervomusic @fergiedj &amp; more! www.wetrepublic.com,False,N/A,g_martorano96 yanlucas_santos ryankhoo10 tektonik.jaxa pouria_fs lonng2013 moonelfff jkbcsaba karimbaissa ,Vegas ,tiesto sj_rm calvinharris nervomusic fergiedj ,true
542068196702790975,eF0CckgaU_,649,8,2013-09-10 18:59:46,Tuesday,Calling all @Tiesto fans! #TheKing returns to @WetRepublic this Saturday 9/14! #WetRepublic #Vegas,False,N/A,jwest.4 dax_daxer gabeeg505 _stephy89_ pedroptak atos_gunar cccgq drumaticofficial laidbacklarry sharredw ,TheKing WetRepublic Vegas ,Tiesto WetRepublic ,true
1591488749081898225,BYWGpXRDqzx,924,51,2017-08-28 17:11:04,Monday,Join us this weekend at ‪#WetRepublic with #Tiësto  #MartinGarrix  #Kaskade &amp; #SteveAoki.  Tickets: wet.re/buytickets,False,N/A,fit_with_sarahmc omohamde joachimmoester eliteface ruffianboyz funkypurse5 sergi_cuberodj 7lukman betolodi antonio_tarallo ,Tiësto MartinGarrix Kaskade SteveAoki ,Tickets: ,true
821794014872315590,tnmU1vAabG,1135,32,2014-10-01 17:45:02,Wednesday,Peace  love &amp; #WetRepublic! Join us by the pool this #October with @steveaoki  @dannyavila  @calvinharris &amp; @sj_rm on the decks! #LetsGetWet,False,N/A,anthonyhvz kabawi91 hotlyjay clxric alexscutia juansinuhe jaydeepdurve12 studlin.78 kayoscouto belize2vegas ,WetRepublic October LetsGetWet ,love steveaoki @dannyavila @calvinharris sj_rm ,true
728516919212221601,ocNkc2gaSh,885,83,2014-05-26 01:00:06,Monday,We closed out day three of #MDW2014 with a bang! Thank you @afrojack for an incredible set! #WetRepublic #Vegas,True,0,johannes_moller takaya1986 daniellekayll cameroncraik nachoizkierdo rossmcskimming vickim1983 fj_ortiz84 tomer_mizrachi nileshtalreja92 ,MDW2014 WetRepublic Vegas ,afrojack ,true
429120837468136807,X0iyDLAaVn,392,17,2013-04-07 22:53:31,Sunday,"Let's Go" @Neyo has joined the party!,False,N/A,_handsome_jack_ ivannamunozz deefresh chrisvegas49 pietro.spagnulo ericaa_joness markie05 time_raft brandona8181 sheila731 ,,Neyo ,true
1041599014572762251,50gMj-AaSL,1749,153,2015-08-01 00:18:20,Saturday,A #BiggerBetterWetter start to the month is in store this weekend at #WetRepublic! Party with @hardwell tomorrow and @steveaoki Sunday! Tickets available by clicking the link in our bio.,False,N/A,lyssa_janell jesus_avs evn1243 alenalenalenalen ronaldbk tommy_dalziel djkamil gg_710 amontoya8314 julianhammerath ,BiggerBetterWetter WetRepublic ,hardwell steveaoki ,true
1243051000995096196,BFANEyoAaaE,955,15,2016-05-04 23:07:28,Wednesday,Join our ‪#BabesInBlue poolside wih #BORGEOUS this weekend for ‪#EndlessSundays!  Ticket link in bio.,False,N/A,dorian.ch12 jvr03 almedinbajrami jriv57 mr.sidler anfaarhan marini68.pm.pm berlinboy97 enolin_99 acabouesseinta ,BORGEOUS ,Ticket ,true
1224900785721157079,BD_uMZaAaXX,1063,167,2016-04-09 22:06:14,Saturday,Watch @steveaoki's set LIVE in the rain on our #snapchat! ☔️Follow us at 'WetRepublic'.,True,9346,senoritaleti vegas_events marcospoow_ arielooooooo janelleliane z_lowry7 brendanpettit ma_fried walter.white0 ,snapchat ,steveaoki's ,true
708672289939498310,nVtbFoAaVG,1317,78,2014-04-28 15:52:21,Monday,Today is a great day to be working by the pool! #WetRepublic #Vegas #Bikinis,False,N/A,vjuniorafonso melamaziing m_adame7 alborz.shirr reyaokarian tashacorinne724 yoel_hyman_music healthyinternational carlyanne_m gocats1322 ,WetRepublic Vegas Bikinis ,,true
730669209373222263,oj28ZRAaV3,997,28,2014-05-29 00:16:19,Thursday,Guess what's #back? This Friday  the @spyonvegas #Hot100 competition continues! Sign up now to compete or get on the guest list: www.spyonvegas.com/hot100/,False,N/A,joncatt2189 manumanitas97 valmaseda atamaus jfc125433 ihuss7 joseemorillo20 jak3carl1ng rafo_ou thelectricpirate ,back Hot100 ,the spyonvegas ,true
