SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
BWladyKnXyj,17889775927052480,thisissttropez,2017-07-15 22:59:24,@cavesduroy 🔥🔥🔥,,cavesduroy 
7xyKP0hNMl,17843942998057308,thisissttropez,2015-09-18 16:35:45,@cavesduroy 🔝🔝🔝💙💙💙,,cavesduroy 
7xyKP0hNMl,17843945101057308,officialgrandson,2015-09-18 19:42:13,💥🎶🎉 @cavesduroy 📀✌,,cavesduroy 
7xyKP0hNMl,17844023293057308,emiremiremiremir,2015-09-24 15:47:25,Dear caves duroy team   will you be so kind and give me the contact details of the person for reservations for this Friday evening ?,,will 
BK7-qH6BPGN,17863612897007657,isabru15,2016-09-29 11:00:07,#oohyeah !!!!,oohyeah ,
BK7-qH6BPGN,17863612969007657,thisissttropez,2016-09-29 11:02:38,@cavesduroy 🔥💙🔥,,cavesduroy 
BeWDwWZH1gV,17911847008074816,camillagiraudi,2018-01-24 19:58:43,@aliceforesto #30marzo,30marzo ,aliceforesto 
BeWDwWZH1gV,17860980814211340,aliceforesto,2018-01-24 19:59:58,@camillagiraudi 💥💥💥,,camillagiraudi 
BeWDwWZH1gV,17922798169063626,rodfergui,2018-01-24 22:42:58,@cavesduroy #Pro,Pro ,cavesduroy 
BQBU_M4Bcfe,17871423397017522,ulyssejosselin,2017-02-02 21:36:28,#sttropezdoitbetter 💖,sttropezdoitbetter ,
BQBU_M4Bcfe,17870340124039345,rodfergui,2017-02-03 00:32:56,#Pro,Pro ,
Be1KvhQnxWu,17898227647187711,jamescstorer,2018-02-05 22:12:09,@hamishglass,,hamishglass 
Be1KvhQnxWu,17922380881046499,maxherbers,2018-02-05 22:41:27,@sjoerdvgastel je nummertje,,sjoerdvgastel 
Be1KvhQnxWu,17922206047007040,iamgautierg,2018-02-05 23:20:06,@mariefchd @thib_becquet @andrealbc 😍😘,,mariefchd thib_becquet andrealbc 
Be1KvhQnxWu,17849084953239324,sjoerdvgastel,2018-02-06 00:37:43,@maxherbers toen ik de eerste keer dit nummer hoorde dachte ik woow   hij blijft goed he,,maxherbers hij 
Be1KvhQnxWu,17909814055114066,julienfenton,2018-02-06 02:13:06,@ddeluca a few more months! 😉,,ddeluca 
Be1KvhQnxWu,17845628113245750,ddeluca,2018-02-06 02:31:05,@julienfenton yassssss!!!!! 😍✨❤️✨,,julienfenton 
Be1KvhQnxWu,17895254503153599,ismaelvelueta,2018-02-06 02:48:52,@dralamilla @valenzini  creo que el doc se pierde este verano,,dralamilla valenzini creo 
Be1KvhQnxWu,17899225984143326,valenzini,2018-02-06 03:31:45,Jajaja eso seguro @ismaelvelueta @dralamilla,,ismaelvelueta dralamilla 
Be1KvhQnxWu,17905210189088988,sarah.harasjjk,2018-02-06 05:54:04,❤️❤️🥂,,
Be1KvhQnxWu,17898611938133866,__fredrik,2018-02-06 07:12:47,Eric prytz!,,
Be1KvhQnxWu,17896382152182344,les_perruches,2018-02-06 08:29:17,Soon 🥂🖤👌best world club👍,,
Be1KvhQnxWu,17923862512038078,nicolaslall,2018-02-06 09:04:56,Cool @sarah.harasjjk,,sarah.harasjjk 
Be1KvhQnxWu,17909736889113128,nicolaslall,2018-02-06 09:04:58,Nice,,
Be1KvhQnxWu,17862742078216042,bouedi,2018-02-06 09:29:51,🔥😎,,
Be1KvhQnxWu,17923467265020761,mariefchd,2018-02-06 12:42:07,@gautier3 ahah nostalgique gotgot?,,gautier3 
Be1KvhQnxWu,17894298859166836,cami_robert_,2018-02-07 15:16:02,@antoine.nch  @clementmanfredonia,,antoine.nch @clementmanfredonia 
Be1KvhQnxWu,17896007635154573,clementmanfredonia,2018-02-07 15:47:40,@cami_robert_ en Avril on se casse la bas,,cami_robert_ 
Be1KvhQnxWu,17850121651237750,fredrikhecht,2018-02-08 20:12:41,@karl_vilhelm @bernhard155,,karl_vilhelm bernhard155 
Be1KvhQnxWu,17870962609204275,laura_barseghian,2018-03-13 00:32:21,Best Place 😇😍,,
BKegMuEh58J,17852721148097890,ambersummerltd,2016-09-18 01:29:20,Fab!,,
BHaaKCVhrvH,17849099767094525,tibone,2016-07-03 20:47:34,@eskiliboy @tiagorezamor damnnnn,,eskiliboy tiagorezamor 
BV-0zJSHKho,17885912008039172,drrafaeltimbo,2017-06-30 23:37:54,@oseiasbarbosa,,oseiasbarbosa 
BV-0zJSHKho,17874769648103070,drrafaeltimbo,2017-06-30 23:38:00,@michellescosta,,michellescosta 
BV-0zJSHKho,17860443796169452,stevestrange252,2017-07-01 07:11:26,John I m only just dancing. Best place. Thx,,
BV-0zJSHKho,17846167999196415,vanderschelden5060,2017-07-01 19:14:37,DEMAIN SOIR 😉,,
BV-0zJSHKho,17862039430155437,cavesduroy,2017-07-01 19:15:23,@vanderschelden5060 🤘,,vanderschelden5060 
BV-0zJSHKho,17861362687161426,vanderschelden5060,2017-07-01 19:22:39,🤔,,
BV-0zJSHKho,17885978125029046,vanderschelden5060,2017-07-01 19:22:43,A "rock on" hand gesture raising the pinky and index fingers on one hand  which a variety of other meanings.  Sign of the Horns was approved as part of Unicode 8.0 in 2015 and added to Emoji 1.0 in 2015.,,which Sign 
BV-0zJSHKho,17861019661184575,vanderschelden5060,2017-07-01 19:24:18,On pourra parler sérieusement 😉 Most commonly known as a ✌️ Peace Sign  but traditionally called as a Victory Hand. Two fingers held up on one hand making a V sign.✅,,but 
BV-0zJSHKho,17862796489150501,vanderschelden5060,2017-07-02 06:07:36,JE ME PRÉPARES pour CE SOIR ... 1: Bouillabaise... 2: Maison Bianca 3: La Réserve 😎😴😴😴,,
BV-0zJSHKho,17864870650141094,strawberrycolada77,2017-07-04 13:39:27,legendary!!! 😎,,
BOprTGbh4cl,17846257657180742,premium_drinks,2016-12-30 20:35:22,😍,,
BFMcpJNBNHz,17856354553005262,lou_leclair,2016-05-09 17:27:51,@kim08312 @chanele_l @blumjena @sachadufrene @paillon.sam @poupettes_h @vanessa_dufrene @lolitaalzamora @ellablumy boula je peux savoir où t'étais lol,,kim08312 chanele_l blumjena sachadufrene paillon.sam poupettes_h vanessa_dufrene lolitaalzamora ellablumy 
BFMcpJNBNHz,17856354571005262,ellablumy,2016-05-09 17:28:38,@lou_leclair derriere Michael mais on me voit pas mais jetais la :),,lou_leclair 
BFMcpJNBNHz,17856354985005262,lbcdl,2016-05-09 17:43:06,@bfdjian Your Lea Is So Famous 🍾✨,,bfdjian 
