ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
1559769241893043363,BWladyKnXyj,406,1,2017-07-15 22:50:04,Saturday,The night is yours / The night is mine . #lescavesduroy #club #sainttropez #summer #frenchriviera,False,N/A,birce_unique annaboniz cleo_molina irouven chiara.ckr margheritaoriolo deleeuwwalter philippcaesar lea_gallois pierresable ,lescavesduroy club sainttropez summer frenchriviera ,,true
1076862392425829157,7xyKP0hNMl,98,4,2015-09-18 16:00:22,Friday,Keep it colored!! Waiting for you Tonight! #cavesduroy #beautifulpeople #sttropez #thisissttropez #clubbing #yolo #byblos #bestplace #love #keepitcolored #Repost @stef.renault WELCOME TO ST-TROPEZ,False,N/A,elisa_palieri personenisainttropez 78_alex angiimartin oceanelourot camguillec feelingsndquotes florianauv corrylyndsay ,cavesduroy beautifulpeople sttropez thisissttropez clubbing yolo byblos bestplace love keepitcolored Repost ,stef.renault ,true
1349948086918902157,BK7-qH6BPGN,107,2,2016-09-29 10:52:54,Thursday,SEE YOU TONIGHT !!! #lescavesduroy #party #club #sainttropez #sttropez #video: @isabru15,True,738,lorenzong18 isabru15 monsieur_s82 tmz_tz benoit_boitard m.dr90 fernandobau liefette ameliecdx jessica_dc206 ,lescavesduroy party club sainttropez sttropez video ,isabru15 ,true
1326315148524497863,BJoBJm4BavH,95,0,2016-08-27 20:18:28,Saturday,TONIGHT ! "Summer Closing Night" at Les Caves du Roy ! Let' go party !  #sainttropez #lescavesduroy #party #frenchriviera #club Photo: @margauxchauvet,False,N/A,perretsarah jessica_dc206 ssk016 veronikpli camille.vgx rgcoimbra emmagateau fredespinos klowai ,sainttropez lescavesduroy party frenchriviera club ,margauxchauvet ,false
1699562426097162261,BeWDwWZH1gV,368,3,2018-01-24 19:54:11,Wednesday,Your Next Summer Photocall 📸 #lescavesduroy,False,N/A,sttropez83 via_magazines pascalmialet a.taylored.life fabricedoyen lebrismartin coconuts83310 jenniii_filipponi panzy83 francinegssns ,lescavesduroy ,,true
1441525659817330654,BQBU_M4Bcfe,191,2,2017-02-02 19:21:11,Thursday,What are your best summer memories so far ?! #lescavesduroy #sainttropez #party #france #love Photo: @ulyssejosselin,False,N/A,rapha_1973 michelepivetta86 camille.vgx iamnatashha f_s_member ilededjerba baptiste_lsl lutzau9 igarrahan benjy_brj ,lescavesduroy sainttropez party france love ,ulyssejosselin ,true
1708318879649830318,Be1KvhQnxWu,307,19,2018-02-05 21:57:17,Monday,If God is the DJ  then Life is the dancefloor  Love is the rythm &amp; You are the music ! . By @sarah.harasjjk,True,2272,dodo83420 nicolaslall marco.reboli byblossttropez axelle.mrd gildafigueiredoferraz combylou lebrismartin andreality2 les_perruches ,,then Love sarah.harasjjk ,true
1341651350593183497,BKegMuEh58J,92,1,2016-09-18 00:08:46,Sunday,Get on the Dancefloor !  #sainttropez #lescavesduroy #party #frenchriviera #club #happy #video: @nicolasduhain,True,883,jazzyshirt m.dr90 renan_brun djweskim styleinbelgradee marcelo_martins_oliveira olivierdasilvagram sparklingchuvi 69_angelic cavesduroy ,sainttropez lescavesduroy party frenchriviera club happy video ,nicolasduhain ,true
1286455682480389063,BHaaKCVhrvH,115,1,2016-07-03 20:24:49,Sunday,Welcome back to Saint-Tropez... "Sunday party" tonight... Join us !  #sainttropez #party #club #lescavesduroy #frenchriviera #summer2016 Photo: @giorgia_giuggiolini,False,N/A,papillonfromriviera fernandobau michelepivetta86 jpgalindo84 jesson_cht cdamia byblossttropez giorgiagiuggiolini chocolateking_chokladkungen cavesduroy ,sainttropez party club lescavesduroy frenchriviera summer2016 ,giorgia_giuggiolini ,true
1548907534941464680,BV-0zJSHKho,293,10,2017-06-30 23:09:48,Friday,LIFE IS A PARTY! Mix by DJ Jack.E... See U there! . . #lescavesduroy #sainttropez #club #party #goodlife,False,N/A,laurehvx romain_ilbert aciastanden dfeing etienne.bchmp guillaume_laborie juli.barth marionhuuet ivanshkurovich abdallahchatila ,lescavesduroy sainttropez club party goodlife ,,true
