SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
BfZEzx7l-nn,17925352744024811,thegrandboston,2018-02-19 20:32:36,#dimitrivegas #tomorrowland #likemike #edm #dimitrivegasandlikemike #rave #edc #festival #trance #edmlifestyle #dubstep #tomorrowworld #spinninrecords #techno #reallikemike #tomorrowland2018 #trancefamily #bostonma #edmfamily #electro #revealedrecordings #edmlife #plur #plurvibes #deephouse #dimitrivegaslikemike #bnegnightlife,dimitrivegas tomorrowland likemike edm dimitrivegasandlikemike rave edc festival trance edmlifestyle dubstep tomorrowworld spinninrecords techno reallikemike tomorrowland2018 trancefamily bostonma edmfamily electro revealedrecordings edmlife plur plurvibes deephouse dimitrivegaslikemike bnegnightlife ,
BfZEzx7l-nn,17898646681182540,merrlindy,2018-02-19 20:34:20,No free tickets for tonight's show tho??? I got the post notifications on 😏,,
BfZEzx7l-nn,17926719049010216,bostonapartments101,2018-02-19 21:15:22,🔥🔥🔥🔥,,
BfZEzx7l-nn,17848176028243744,bostonapartments101,2018-02-19 21:15:29,@merrlindy facts 🙌🏽,,merrlindy 
BfZEzx7l-nn,17926737448058417,sarapaigee,2018-02-19 23:44:50,@rkadoura,,rkadoura 
BfZEzx7l-nn,17867061970209678,amandaizabel80,2018-02-24 23:16:11,@cevin_kastro,,cevin_kastro 
BfZEzx7l-nn,17896329379169521,askaboutitdp,2018-03-01 15:48:52,@michaelcodank,,michaelcodank 
Bgb5b1QH2xH,17930367085056542,thegrandboston,2018-03-17 19:23:17,#staffordbros #edm #nightlife #bottleservice #housemusic #electronicmusic #dancemusic #rave #edmlife #ravers #edmfamily #springbreak #edmlifestyle #latenightsnack #trapmusic #electrohouse #trapnation #bostonnightlife #edmgirls #openformat #staffordbrothers #foodnetwork #bottleparades #electronicmusic #ravegirls #bostonma #thegrand #igersboston #cooking,staffordbros edm nightlife bottleservice housemusic electronicmusic dancemusic rave edmlife ravers edmfamily springbreak edmlifestyle latenightsnack trapmusic electrohouse trapnation bostonnightlife edmgirls openformat staffordbrothers foodnetwork bottleparades electronicmusic ravegirls bostonma thegrand igersboston cooking ,
Bgb5b1QH2xH,17931696988007428,randygreenstein,2018-03-17 19:26:40,😂😂😂,,
Bgb5b1QH2xH,17904052612147325,christinamnajm,2018-03-17 19:29:27,@djcosta can we get an official taste tester rating? Scale of 1-10?,,djcosta 
Bgb5b1QH2xH,17903082301152217,smileitzkyle,2018-03-17 19:30:22,#burnttoast episodes coming soon,burnttoast ,
Bgb5b1QH2xH,17870432755222652,djcosta,2018-03-17 19:31:29,@christinamnajm on the Brazilian cheese bread? 0!!! @staffordbrothers,,christinamnajm staffordbrothers 
Bgb5b1QH2xH,17917749058105777,staffordbrothers,2018-03-17 19:32:46,@smileitzkyle hahahaha hour long episode that one!,,smileitzkyle 
Bgb5b1QH2xH,17905867873188374,staffordbrothers,2018-03-17 19:33:02,@djcosta hahaha.,,djcosta 
Bgb5b1QH2xH,17930780773004343,smileitzkyle,2018-03-17 19:33:11,@staffordbrothers lmaoooo,,staffordbrothers 
Bgb5b1QH2xH,17915773492121689,jessejessdj,2018-03-17 21:01:48,Gordon Ramsay would’ve had a field day with this one,,
Bgb5b1QH2xH,17905983295189065,juanpatronn,2018-03-17 22:19:40,you def have one of the best page  on Instagram much respect &amp; can't wait till the day we collaborate dm please. :),,on 
Bgb5b1QH2xH,17918605411101660,andreh_ds,2018-03-17 23:44:14,Vou nessa hj @eduardadebem,,eduardadebem 
Bgb5b1QH2xH,17930870317028738,mdimmy,2018-03-18 01:12:29,Hahahah 🤣🤣🤣 @djcosta  mmmm 🤢🤢,,djcosta mmmm 
Bgb5b1QH2xH,17913566476086767,eduardadebem,2018-03-18 01:45:00,@andreh_ds arrasa por mim... vou para beco 🤣🤣🤣,,andreh_ds 
Bgb5b1QH2xH,17871415765209006,tommarkhamphoto,2018-03-18 16:53:58,Can't wait until next Monday night with @oliverHeldens on the 26th.,,oliverHeldens 
Bgb5b1QH2xH,17916021091125459,wenddynotwendy,2018-03-19 03:10:15,@salazar_laura  this club,,salazar_laura this 
Bgb5b1QH2xH,17952711229028971,upgrade_music,2018-06-09 14:39:54,&lt;3,,
BgRGCzynQkW,17916193375117536,anthonyyyy508,2018-03-13 18:56:08,@randygreenstein and @djcosta putting it that sweat equity. 👏🏼👏🏼👏🏼,,randygreenstein djcosta 
BgRGCzynQkW,17930674606061170,jessejessdj,2018-03-13 19:03:08,I feel bad for everyone who missed out last night and are stuck inside this snowstorm and watching all the videos getting massive FOMO,,
BgRGCzynQkW,17872033429205109,anhiewin,2018-03-13 19:08:46,Hahahaha the ending LOL,,
BgRGCzynQkW,17889167791194207,smileitzkyle,2018-03-13 19:21:42,@jessejessdj great to see you in the comments jesse! Check out my page!,,jessejessdj 
BgRGCzynQkW,17898803167172363,617promotions,2018-03-13 19:34:12,🙌🏽🙌🏽🙌🏽,,
BgRGCzynQkW,17904780850186567,heathernicolephotography,2018-03-13 19:49:08,so.much.fun!!,,
BgRGCzynQkW,17911804504088585,torrrusso9,2018-03-13 19:53:02,@susanbaghough wtf me too and wait i legit spotted us!!!!!!!,,susanbaghough 
BgRGCzynQkW,17930633947016871,bryman165,2018-03-13 20:13:32,@katelaboss,,katelaboss 
