ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
1235137701416121587,BEkFzIFmbTz,38,1,2016-04-24 01:05:09,Sunday,What's your favorite bubbly? @domperignonofficial  #champagneshowers #champagne #dom #domp #thegrandnightclub #thegrandsf #thegrandgirls #grandgirlslive #vipbottleservice #bottleservice #popbottles #popchampagne #sfnightlife #nightlife #sfnightclub #nightclub #dance #edm #house #top40 #hiphop #dj #livedj #confetti #venue #sfvenue #love #beautiful,False,N/A,amandav_xo ritxy.co champagne_xs leianasantiago swagg_jones82 cottoncandycoral norcal2slocal dj_hrod dj_mythicus ,champagneshowers champagne dom domp thegrandnightclub thegrandsf thegrandgirls grandgirlslive vipbottleservice bottleservice popbottles popchampagne sfnightlife nightlife sfnightclub nightclub dance edm house top40 hiphop dj livedj confetti venue sfvenue love beautiful ,domperignonofficial ,true
1347325104438301990,BKyqQtHAtUm,56,2,2016-09-25 20:01:30,Sunday,After the concert in San Jose @champagnepapi is hosting an after party here at The Grand! No guest list event. Better get your tickets now! (LINK IN BIO) VIP BOTTLE SERVICE IS HIGHLY RECOMMENDED 🍾🎉 #summersixteen #drake #drakeconcert #drakeandrihanna #drakeafterparty #thegrandnightclub #thegrandsf #thegrandgirls #grandgirlslive #vipbottleservice #bottleservice #popbottles #popchampagne #sfnightlife #nightlife #sfnightclub #nightclub #top40 #hiphop #dj #livedj #confetti #venue #sfvenue #love #beautiful #champagnepapi #sanjose,True,1226,aaronwesterkamp ladiesoflejardin thegrandgirls cottoncandycoral 510oscar510 janetvere_ crystlekelli yayarea_650 a_doshy8 paigem812 ,summersixteen drake drakeconcert drakeandrihanna drakeafterparty thegrandnightclub thegrandsf thegrandgirls grandgirlslive vipbottleservice bottleservice popbottles popchampagne sfnightlife nightlife sfnightclub nightclub top40 hiphop dj livedj confetti venue sfvenue love beautiful champagnepapi sanjose ,champagnepapi ,true
1332489067929209721,BJ9879ZAwt5,57,4,2016-09-05 08:44:56,Monday,Where the party at?? Always here at the Grand Nightclub😎 #repost @bluedevvo #thegrand #grandnightclub #grandsf #sanfrancisco #hyphynight #LDW2016,True,507,christinaaporto piiris.con.swing mdotbrando newmoonfest its.dope ayjayloz marymac707 _sammie.j bluedevvo ,repost thegrand grandnightclub grandsf sanfrancisco hyphynight LDW2016 ,bluedevvo ,true
1496797700568519272,BTFsZQLAhJo,94,2,2017-04-20 01:36:52,Thursday,Follow @thegrandgirls on IG and party with them this weekend at @thegrandnightclub 💋💋 #thegrandnightclub #thegrandsf #thegrandgirls #grandgirlslive #vipbottleservice #bottleservice #popbottles #popchampagne #sfnightlife #nightlife #sfnightclub #nightclub #dance #edm #house #top40 #hiphop #dj #livedj #confetti #venue #sfvenue #love #beautiful,False,N/A,freeworldstudio frizzbae ayjayloz iammayradayann xvsocial_official bettyluribe rublirubli15 cheechbundy fernando_aznar jnco0417 ,thegrandnightclub thegrandsf thegrandgirls grandgirlslive vipbottleservice bottleservice popbottles popchampagne sfnightlife nightlife sfnightclub nightclub dance edm house top40 hiphop dj livedj confetti venue sfvenue love beautiful ,thegrandgirls thegrandnightclub ,true
1458298771388700153,BQ86wGVAxX5,45,0,2017-02-25 22:46:22,Saturday,Tonight come party with @djdsharp &amp; @djxgio for our MARDI GRAS CELEBRATION 🎉🃏🎭VIP BOTTLE SERVICE call/text (415)636-0029 #mardigras #grandsf #grandnightclub  #top40 #sanfrancisco #nightclub #nightlife #dance #february #bottleservice #bottleservicegirls,True,555,rav_emusic yuleapp nelsen415 chrismetcalfemusic photogenixsf frankiealexmusic sierraaaeva partyonmobile_app rpencore sessionwombtokyo ,mardigras grandsf grandnightclub top40 sanfrancisco nightclub nightlife dance february bottleservice bottleservicegirls ,djdsharp djxgio ,false
1585163077458906560,BX_oWufAM3A,38,0,2017-08-19 23:43:06,Saturday,Book your tables now...Tables selling fast!! 🍾🍾Come party with us and @chuygomez TONIGHT ♥️‼️ THIS IS A TICKETED EVENT 🔥 Purchase tickets on www.grandnightclub.com 🔥FOR VIP BOTTLE SERVICE call/text (415)636-0029 📞☎️#GrandSF #theGrandNightClub #latinnights #nightclubs #SanFrancisco #top40 #sfvenue #confetti www.grandnightclub.com,False,N/A,melanie_m1979 fat_phuck _5_letras_ patchesandpinsexpo nessaah92 theconfettiparty ssjennss chuygomez _oliveoyl olivertattoos ,theGrandNightClub latinnights nightclubs SanFrancisco top40 sfvenue confetti ,chuygomez ,false
1222753370592883927,BD4F7ZOGbTX,48,1,2016-04-06 22:59:42,Wednesday,Girlfriends for days 😂😍😘 when are you planning the next GNO?!? #girlfriends #gno #thegrandnightclub #thegrandsf #thegrandgirls #grandgirlslive #vipbottleservice #bottleservice #popbottles #popchampagne #sfnightlife #nightlife #sfnightclub #nightclub #dance #edm #house #top40 #hiphop #dj #livedj #confetti #venue #sfvenue #love #beautiful,False,N/A,brikvenue mexipinoniggah hempheadglobal stealth_dj ssjennss erick_hernandez415 _smkf jenna_d_simon enriquecamin petermcfray ,girlfriends gno thegrandnightclub thegrandsf thegrandgirls grandgirlslive vipbottleservice bottleservice popbottles popchampagne sfnightlife nightlife sfnightclub nightclub dance edm house top40 hiphop dj livedj confetti venue sfvenue love beautiful ,,true
1663443936435575086,BcVvXJnBRku,59,3,2017-12-05 23:53:11,Tuesday,Team #latinofridays at @thegrandnightclub with @chuygomez @itsdjacme @ktr8  #thegrandnightclub #thegrandsf #thegrandgirls #grandgirlslive #vipbottleservice #bottleservice #popbottles #popchampagne #sfnightlife #nightlife #sfnightclub #nightclub #dj #livedj #confetti #venue #sfvenue #love #beautiful,False,N/A,nessaah92 monicasilacci __local__vibes realmenhavecats87 cottoncandycoral lapanchita650 510oscar510 chuygomez dj_kyou sierraaaeva ,latinofridays thegrandnightclub thegrandsf thegrandgirls grandgirlslive vipbottleservice bottleservice popbottles popchampagne sfnightlife nightlife sfnightclub nightclub dj livedj confetti venue sfvenue love beautiful ,thegrandnightclub chuygomez itsdjacme ktr8 ,true
1568453206261067947,BXEQ-GOA3Cr,30,1,2017-07-27 22:23:34,Thursday,The face you make when you hear @muzikjunkies is coming to the Grand TOMORROW ((FRIDAY)) . 🔥FREE BEFORE 11PM! Sign up at www.grandnightclub.com 🔥FOR VIP BOTTLE SERVICE call/text (415)636-0029 . 🇲🇽🇭🇳🇸🇻🇬🇹🇳🇮🇵🇦🇨🇷🇨🇴🇧🇷🇧🇴🇦🇷🇪🇨🇵🇷 . #GrandSF #theGrandNightClub #latinnights #nightclubs #SanFrancisco #top40 #sfvenue #confetti #LatinoFridays #Latinos #latinosbelike #rakas #bayarea #salsa #timba #bachata #merengue #reggaeton #cumbia #hiphop #perreo #punta www.grandnightclub.com,False,N/A,dirtystayout muzikjunkies almalatinamagazine izzyd2b ssjennss huahine_tattoo studiov_beauty the415guy bayareababes.co bachata_almazova ,GrandSF theGrandNightClub latinnights nightclubs SanFrancisco top40 sfvenue confetti LatinoFridays Latinos latinosbelike rakas bayarea salsa timba bachata merengue reggaeton cumbia hiphop perreo punta ,muzikjunkies ,true
1534484609339962210,BVLlZ9FAzNi,31,1,2017-06-11 01:34:01,Sunday,Celebrating a birthday?!! Come party with the #DMP crew and @djmidnightsf TONIGHT! 🎉🎉🎉Bottle service/birthday packages call/text 415-636-0029 🎉🎉🎉#GrandSF #grandnightclub #sanfrancisco #nightclub,False,N/A,mr7two7 darlingjezebel td_285 415_diddy ssjennss mama.sami djmidnight sf_shopaholic kjlettko ,DMP grandnightclub sanfrancisco nightclub ,djmidnightsf ,true
