SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
BNFZgtpjITW,17865663721037685,djhapaboy,2016-11-21 20:18:07,Dope. Chi Town huh,,
BNFZgtpjITW,17855307214126566,barbaninini,2016-11-21 20:44:45,很棒耶👍🏻👍🏻,,
BNFZgtpjITW,17855480044129867,richeml,2016-11-22 06:02:08,Keep up the great posts!,,
BNFZgtpjITW,17866078759021303,djfrankie_chicago,2016-11-22 13:03:52,i have to visit this club,,
BVwWL-sFhZH,17872511575122551,nick.sony,2017-06-25 09:20:40,Couldn't make it in due to capacity  but I'm For Certain that @zedd Threw down in there! 🔥🔥🙏🏼,,but zedd 
BVwWL-sFhZH,17873835427106059,flourishtheparty,2017-06-25 12:00:03,🔥,,
BVwWL-sFhZH,17886807073018251,alannammaza,2017-06-25 16:14:27,@shaun.baluyot look at you!!,,shaun.baluyot 
BVwWL-sFhZH,17870965249092672,shaun.baluyot,2017-06-25 16:18:22,@alannammaza 💕,,alannammaza 
BVwWL-sFhZH,17872658110125807,laceyxnelson_,2017-06-25 16:35:32,@stephhanie_callahan literally jason derulo,,stephhanie_callahan 
BXJa45NFeUu,17879568085115686,norcalafterdark,2017-07-30 00:46:06,❤,,
BXuLU27lY7W,17878430101084475,grindmygeers,2017-08-14 01:31:15,@joshfalzone,,joshfalzone 
BJTk0usjmVb,17852187472072942,mjrottmann,2016-08-19 21:46:39,😍😍,,
BJTk0usjmVb,17852188042072942,dapper_dumont,2016-08-19 22:03:05,👌,,
BJTk0usjmVb,17852188234072942,kinz_fit,2016-08-19 22:07:47,Anyone big in store for Halloween?! 😈@prysmnightclub,,
BJTk0usjmVb,17852287903072942,prysmnightclub,2016-08-21 19:45:38,@kinz_fit ....maaaaaybe 😉😈,,kinz_fit 
BJTk0usjmVb,17852289424072942,kinz_fit,2016-08-21 20:15:05,@prysmnightclub Halloween is my biirffdayyyyy,,prysmnightclub 
BJTk0usjmVb,17846610013169811,gordonevents,2017-01-06 11:44:15,Nice!,,
BXdxGoyFtqE,17887344394070775,ms_yasia,2017-08-06 23:51:53,'Twas fun,,
BTpeR2iltjm,17892654280050349,synfonic,2017-05-03 23:16:39,#TranceFamily,TranceFamily ,
BKjEAaAjEgc,17863631938051903,kmelbaby,2016-09-22 01:55:57,@mtvlysscait guess why I wanna go 👀,,mtvlysscait 
BKjEAaAjEgc,17864356300051903,dirtydraws,2016-10-03 11:24:29,@dresworld_,,dresworld_ 
BKjEAaAjEgc,17845113652165730,gordonevents,2016-12-06 13:56:13,Cool!,,
