SHORTCODE,COMMENT_ID,COMMENT_USER,COMMENT_TIME,COMMENT_TEXT,COMMENT_TAGS,COMMENT_MENTIONS
BDQkwlKndEQ,17855669725014102,2hot2pay,2016-03-22 15:10:27,👌,,
BJfXZOggyKa,17861080417016268,trinity_johnson15,2016-08-25 03:21:13,You gotta check out www·lnstaFoIIowersGrams·com to get thousands of followers everyday!!!!! 😃 192,,
BHT6wlIAIwY,17858563540024297,eji.fashion,2016-07-01 08:36:16,Очень красиво!,,
BHT6wlIAIwY,17858569651024297,thepowerlist,2016-07-01 13:22:59,😉👍🏼,,
BHT6wlIAIwY,17858578228024297,blackcitybeats,2016-07-01 19:03:50,Black Music Festival Germany. Am 28. November im PortSeven Düsseldorf. Nicht verpassen ;),,
BHT6wlIAIwY,17858746633024297,weareaddiction,2016-07-06 17:04:20,Dope Gallery. Keep it up 💯🔥🙌🏼,,
BDnQQ6sndOS,17854668055047758,sogol_r,2016-03-31 10:12:15,😘❤️ @nadjasonntag,,nadjasonntag 
BDnQQ6sndOS,17854668064047758,rudasstudios,2016-03-31 10:13:14,Seid ihr Freitag bei Diamond am Start!,,
BDnQQ6sndOS,17854668169047758,sogol_r,2016-03-31 10:22:48,Yes☺️,,
BDnQQ6sndOS,17854668616047758,nadjasonntag,2016-03-31 11:00:24,Baby ❤️👯 @sogol_r,,sogol_r 
BDQg7NdndLa,17845893559090967,verosparadise,2016-03-22 14:43:19,Vielen Dank ihr Lieben! ♥,,
BDQg7NdndLa,17908785670036818,djbens,2017-11-23 23:32:06,☺️☝️,,
BFt8ltundLR,17848400626072537,jostar1403,2016-05-23 17:53:57,In rudas there is @freshmusiclive,,freshmusiclive 
BIVdxKDAZ4J,17860546183009535,asos_ger_official,2016-07-28 01:17:08,😎,,
BHNTY-SAUfU,17857952689013571,fafari7,2016-06-29 00:30:14,😂😂😂😂😂,,
BPGE1qagwZG,17846876539165560,sanders.official,2017-01-11 05:39:01,nice band 🙌🏼💪🏻,,
BPGE1qagwZG,17858752630099240,vanessaworth.me,2017-01-13 15:15:44,love this! 💞,,
BPGE1qagwZG,17859261469096076,mister.mario,2017-01-14 08:59:47,Sehr cooles Bild 🙌,,
BPGE1qagwZG,17882382091138364,djbens,2017-10-31 09:07:27,☺️☝️,,
BFQ-21-ndMe,17847427459121058,ah94_9,2016-05-14 20:09:18,😘,,
BDAdkfSHdAI,17855370373057076,2hot2pay,2016-03-16 09:29:35,👌,,
BDAdkfSHdAI,17855373535057076,felixfassbender,2016-03-16 10:38:07,😊👍🏻🎉🍾 @rudasstudios @hussaya_de @2hot2pay,,rudasstudios hussaya_de 2hot2pay 
