ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
1211629967878508816,BDQkwlKndEQ,22,1,2016-03-22 14:39:29,Tuesday,Follow @elizaannefox #rudasstudios #mediahafendüsseldorf #düsseldorf #cutegirl #nicegirl #party,False,N/A,alinaschka_ _yaboydaniel jg.evolution maja.vic22 lauraxxy_ milan1311 acejax 2hot2pay ann.kristinm rudasstudios ,rudasstudios mediahafendüsseldorf düsseldorf cutegirl nicegirl party ,elizaannefox ,true
1323879704104739482,BJfXZOggyKa,79,2,2016-08-24 11:39:40,Wednesday,#rudasstudios #rudas #afterwork #tuesdaynight #medienhafen #party,False,N/A,dynamaik75_official jessicaehghol superomid herotecx anastasios_ emiracle_man dc_2404 oe.sngl stefo.kessaris sara.elenaa ,rudasstudios rudas afterwork tuesdaynight medienhafen party ,,true
1284628743825951768,BHT6wlIAIwY,95,4,2016-07-01 07:55:01,Friday,#Tuesday #RudasStudios #Düsseldorf #MedienHafen #Party #NiceEvening #rudas Follow @nicole_23_12 @mvriivmmm,False,N/A,saraaberndt dd_0211 _dominik777_ diddyyrocktt gorn_0301 shadicavalli miss.lipstick_ jseok_hwang deinwunschmotiv iam_davep ,Tuesday RudasStudios Düsseldorf MedienHafen Party NiceEvening rudas ,nicole_23_12 mvriivmmm ,true
1239821099632284490,BE0urikndNK,18,0,2016-04-30 12:10:14,Saturday,#LastNight #RudasStudios #Düsseldorf #MedienHafen #Party #NiceEvening Follow @vaso_create,False,N/A,bassambassam22 bpb92 vaso_create shewanart lauraxxy_ shadicavalli rudasstudios queentertainmentnj gasbrozzers ,LastNight RudasStudios Düsseldorf MedienHafen Party NiceEvening ,vaso_create ,false
1282756732896108854,BHNRHPFg2E2,28,0,2016-06-28 17:55:40,Tuesday,#rudasstudios #medienhafen #curtainclub #party #düsseldorf #niceevening #rudas,False,N/A,rayco9713 ekaterinaleonidovna herotecx nayefqa lj_caruso hakanalemdar79 djpreacher sirikonusob farbenderklangwelt fitness_freak_1993 ,rudasstudios medienhafen curtainclub party düsseldorf niceevening rudas ,,false
1218013755508380562,BDnQQ6sndOS,24,4,2016-03-31 10:02:56,Thursday,Follow her @sogol_r @nadjasonntag #partynight #rudasstudios #medienhafen #nicegirls Thank for your visit!!!,False,N/A,lauralalomia diamondgirlsgang shirintabatabai lauraxxy_ clarushka afradiam sogol_r rudasstudios felixfassbender ,partynight rudasstudios medienhafen nicegirls ,sogol_r nadjasonntag ,true
1279144025980260557,BHAbrblHdDN,45,1,2016-06-23 18:17:52,Thursday,#Tuesday #RudasStudios #Düsseldorf #MedienHafen #Party #NiceEvening Follow @dlkp @kathikroth,False,N/A,verenasmt mein.armband emiracle_man f_i_g_h_t_e_r_ fit_zem shadicavalli shadesandechoes jankrueckfotografie herotecx boho_love_t ,Tuesday RudasStudios Düsseldorf MedienHafen Party NiceEvening ,dlkp kathikroth ,true
1211613106155672282,BDQg7NdndLa,21,2,2016-03-22 14:05:59,Tuesday,Follow this cutegirl @ferrero_vero #rudasstudios #medienhafen #rudas #düsseldorf #befancy #bestclubintown #highclass #place2be,False,N/A,alinaschka_ _yaboydaniel jg.evolution rudasstudios verosparadise iam_davyjones lauraxxy_ dennismehl 2hot2pay frittenwerk ,rudasstudios medienhafen rudas düsseldorf befancy bestclubintown highclass place2be ,ferrero_vero ,true
1239826209259245586,BE0v15SHdAS,26,0,2016-04-30 12:20:23,Saturday,#LastNight #RudasStudios #Düsseldorf #MedienHafen #Party #NiceEvening Belated Happy Birthday @annahiltrop,False,N/A,sk.drawings shewanart djpaz_ lauraxxy_ diddyyrocktt milan1311 shadicavalli rudasstudios annahiltrop gasbrozzers ,LastNight RudasStudios Düsseldorf MedienHafen Party NiceEvening ,annahiltrop ,false
1255926345618019025,BFt8ltundLR,71,1,2016-05-22 17:28:29,Sunday,#LastNight #RudasStudios #Düsseldorf #MedienHafen #Party #NiceEvening #rudas,False,N/A,dku35 lauraxxy_ jacksontwice_24 gorn_0301 gasbrozzers jasminepour nclwlck samantha_bk95 shadicavalli ,LastNight RudasStudios Düsseldorf MedienHafen Party NiceEvening rudas ,,true
1284622194135206477,BHT5RRQAwpN,44,0,2016-07-01 07:42:00,Friday,#Tuesday #RudasStudios #Düsseldorf #MedienHafen #Party #NiceEvening #rudas @caterlea,False,N/A,shadicavalli deinwunschmotiv stefan.straeter miss.lipstick_ mein.armband mr.trippylife sinavolquardsen oe.sngl tomyturnschuh mr.ukk ,Tuesday RudasStudios Düsseldorf MedienHafen Party NiceEvening rudas ,caterlea ,false
1303078588584664585,BIVdxKDAZ4J,63,1,2016-07-26 18:51:34,Tuesday,#FridayNight #DZZD Aftershowparty #RudasStudios #Düsseldorf #MedienHafen #Party #NiceEvening Follow @nicihzn @bonniescarlett Afterwork,False,N/A,bonniescarlett zd1309 gasbrozzers herotecx miss.lipstick_ rudasstudios tayfun1988 shadicavalli makeloswatches fit_zem ,FridayNight DZZD RudasStudios Düsseldorf MedienHafen Party NiceEvening ,nicihzn bonniescarlett ,true
1282766747895678932,BHNTY-SAUfU,56,1,2016-06-28 18:15:34,Tuesday,#rudasstudios #düsseldorf #party #curtainclub #niceevening #medienhafen #rudas,False,N/A,mein.armband nclwlck salva_kathi_losenno boho_love_t oe.sngl rayco9713 classickanakk idontlikeyou.u herotecx nayefqa ,rudasstudios düsseldorf party curtainclub niceevening medienhafen rudas ,,true
1234764010287387076,BEiw1NGndHE,15,0,2016-04-23 12:42:42,Saturday,#LastNight #RudasStudios #Düsseldorf #MedienHafen #Party #NiceEvening,False,N/A,s.pannenbecker madhouseparty vugar_bdulaw alinaschka_ liliana.lynx janine_vom_schemm gabrielle_stone daze_malone diamondgirlsgang diddyyrocktt ,LastNight RudasStudios Düsseldorf MedienHafen Party NiceEvening ,,false
1227497314023493751,BEI8k21HdB3,13,0,2016-04-13 12:05:04,Wednesday,#LastNight #RudasStudios #Düsseldorf #MedienHafen #Party #NiceEvening,False,N/A,moneychaserclothing excited_goch lazzeman ja_zar_nav rudasstudios lauraxxy_ marc_maehler isthatmirko frau_schl shadicavalli ,LastNight RudasStudios Düsseldorf MedienHafen Party NiceEvening ,,false
