ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
779219649802905336,rQWCScgab4,909,49,2014-08-03 23:57:22,Sunday,Getting #Boneless with @steveaoki today at #WetRepublic!,True,0,famousferreira minniemeggiemacreiner nicolaides_13 m.bush89 sawsantaher berkayozcanbo nickyshields1 ,Boneless WetRepublic ,steveaoki ,true
1584237253764291347,BX8V2N-j5sT,1255,9,2017-08-18 17:03:39,Friday,Join us today for our last #SPYONHot100 voting round before the Grand Finale! Doors open at 11 am.  Vote now: wet.re/voting Buy tickets: wet.re/buytickets,False,N/A,ramosadrianaaa bmk8508 missqapp halwaganz oshan_v tinytunalv alisja_ib matty.ice35 autumnkikel ,SPYONHot100 ,Vote ,true
1648876065773322205,Bbh_AuzD__d,598,25,2017-11-15 21:29:26,Wednesday,On Tuesday  November 7th  the Las Vegas community came together to raise funds for the victims and those affected by the October 1st tragedy.  Thank you to our artists  partners  customers  friends  staff and most of all the city of Las Vegas for the amazing support. Together we raised over $1m. #VegasStrong #Tiesto #Zedd #Kaskade #SteveAoki #LilJon #PartyFavor #CashCash #NGHTMRE #CelineDion #BruceBuffer,True,4631,itsdjhectik sidaravegasvip carlhandley mayormovement itsomarxv dr_rahimov attitude2achieve skero7 john.3483 tjk1987 ,VegasStrong Tiesto Zedd Kaskade SteveAoki LilJon PartyFavor CashCash NGHTMRE CelineDion BruceBuffer ,November the Thank partners customers friends staff ,true
703196211838035294,nCQTqeAaVe,976,60,2014-04-21 02:32:22,Monday,#PressPlay  Great day today with @tiesto,True,0,albevelez1 lukeypatey tarikihsanhassan rodrigodiv usaamahtahir kaylaannwallace andremssilva vflopez lukecowan2589 drizzy_drei ,PressPlay ,Great tiesto ,true
1563218514600246367,BWxqvTtD7xf,1243,22,2017-07-20 17:03:10,Thursday,Spice up your summer with #Tiësto for the #SummerOfTiesto on: - Sat. Jul 29 - Sat. Aug 05 - Sun. Aug 13 - #LDW | Fri. Sep 01  Tickets: wet.re/buytickets,False,N/A,titou_andret giubre bridaltruckers alisha.pandey sushantpathak3 berkaysktasli seymur.yagubov azure_brooke dzstrutt shahil___x ,Tiësto SummerOfTiesto LDW ,Tickets: ,true
967690409964840566,1t7U0CgaZ2,1298,43,2015-04-21 00:55:07,Tuesday,Party all summer long with @tiesto at #WetRepublic!  Follow the link above to see all of his dates from now through August.,False,N/A,vicente_iborra sole_fallatah joshertter ms_sarahfit bunnylovv xxibevngln migueelhidalgo stollmichael tyfnlife hamiltonbrett23 ,WetRepublic ,tiesto Follow ,true
871844748959262680,wZai4RAafY,436,141,2014-12-09 19:06:54,Tuesday,#NowHiring: Become an essential part of the #HakkasanGroup establishment. www.hakkasangroup.com,False,N/A,korexican12 luoana_17 tannersworld mariannagrace seany230 saetbyulz mcwilo ed_poonjy juancaesco showtime25555 ,NowHiring HakkasanGroup ,,true
555971753432688166,e3NV00gaYm,747,1,2013-09-29 23:23:39,Sunday,Triple threat @nervomusic @bambiofficial,False,N/A,johnyemersson rawkcztar luigitopdiiasio jfausto7 vincentpratt91 abdul_o mickychrd63 robert_p007 maximillionenholm corrupt172 ,,nervomusic bambiofficial ,true
692793516430042524,mdTAhZgaWc,805,26,2014-04-06 18:04:04,Sunday,Loving #GrandOpening Weekend at #WetRepublic! Day 2 begins now  the girls of #Wet are ready!,False,N/A,parismargielaa.don dylanmutton b.rye__ hanafiah7 haaaren sam.and.eggs jaietoohey time_raft john052479 erensaracsf ,GrandOpening WetRepublic Wet ,the ,true
1222755950054712654,BD4Gg7iAaVO,1123,41,2016-04-06 23:04:49,Wednesday,Come and play with #TheChainsmokers on Sunday  April 10th &amp; Sunday  May1st!  Tickets: bit.ly/wet-chainsmokers,False,N/A,sunset__editions jesuxyudep kylemcnew99 luisdelpozoo geo.mix mgnicksoldies sunkissedgarrix ahmedaggag kaimoonen guiilhermesantos97 ,TheChainsmokers ,April May1st! Tickets: ,true
717648485226227283,n1mX67gaZT,864,8,2014-05-11 01:06:27,Sunday,Today was unforgettable. Thank you @steveaoki! #AokisPlayhouse,False,N/A,tom_scarratt nedanacar jimmychunga hskslxllxbdhdjsjjsns nicokits zapproof _cesswagger fabiscirocco mamal_gh 24_7max ,AokisPlayhouse ,steveaoki! ,true
755225380037698943,p7GXtWgaV_,1006,49,2014-07-01 21:25:02,Tuesday,Catch the World Cup Finale at @WetRepublic with @Michael_Woods on the decks next Sunday  July 13th! http://wetrepublic.com/,False,N/A,petersarlas.my era_shufflers u23yohei384 nicolaides_13 ayo_dron denalireese christiantyra katescotty_ paradocmusic kabilen007 ,,WetRepublic Michael_Woods July ,true
256505013352900392,OPSfNcAaco,305,6,2012-08-12 18:56:42,Sunday,The #LovelyLadies of @WetRepublic are ready for #ProjectWet @NeshTayXO,False,N/A,christellejackson bookofjonah waihowe 1gio_ rubenjames_ coyote12go djjl_ matthew_50 _noni3_ zapito79 ,LovelyLadies ProjectWet ,WetRepublic NeshTayXO ,true
739864696915601387,pEhwWZgafr,634,12,2014-06-10 16:46:06,Tuesday,This Saturday  #DontBlameTheParty! The @bingoplayers return to #WetRepublic in #Vegas! Tickets are available: www.wetrepublic.com,False,N/A,john_black191 birdsanbees juan_fernando254 meritbrito vitalemusic scuba_steveee beej_987s jcwallace414 aadhish.nagpal talharel20 ,DontBlameTheParty WetRepublic Vegas ,bingoplayers ,true
286290939142579946,P5HBeiAabq,147,1,2012-09-22 21:16:01,Saturday,Everything is going to be OK today at @WetRepublic because @BobSinclar is going to #RockThisParty - @AMGNIghtlife @iHeartRadio,False,N/A,themayor1904 tracyshimazu snmpineda hair.by.jovan.nicole evo_ftw t_cannon_ lindwalter gouapeur ,RockThisParty ,WetRepublic BobSinclar AMGNIghtlife iHeartRadio ,true
747302148034896950,pe81ghgaQ2,758,31,2014-06-20 23:02:59,Friday,How about an #AokiJump to celebrate? #StanleyCup @LAKings #EDCLV #WetRepublic,True,0,julito_loko oscararrigo andreapizzirusso99 foolyfury danialhonar viktorkrsman maarielu ed_poonjy khalidhousemusic nickolasmaxwell ,AokiJump StanleyCup EDCLV WetRepublic ,LAKings ,true
695148585804736247,mlqfSrAab3,792,66,2014-04-10 00:03:10,Thursday,@Hardwell makes his 2014 #WetRepublic debut on Sunday  May 4th!,False,N/A,l_cott 56alshehab z1andrew laurenkristiee mattficken bronsonbecker lukeypatey fgalindo7 raykolovos worth_wellness ,WetRepublic ,Hardwell May ,true
486953592381613509,bCAbZYAaXF,596,23,2013-06-26 17:56:53,Wednesday,Thank God it's ALMOST Friday!  You don't want to miss this week's installment of the @SpyonVegas- #Hot100 @WetRepublic!,False,N/A,kristinaforland jesusleyjaguerrero francofrancofranco laurarpatterson dflee13 howdyninja ,Hot100 ,You SpyonVegas- WetRepublic! ,true
1556696978728900293,BWaf6eID1bF,549,36,2017-07-11 17:06:02,Tuesday,Celebrate #LaborDayWeekend with #MartinGarrix at #WetRepublic on  Saturday  September 2nd.  Tickets: wet.re/buytickets,False,N/A,iammirkoroethig anjilajarvis ericagalvin royslasvegas jacksonnusser classic_collins sumithanda vegasaccomplice g_society_lv deevonnee ,LaborDayWeekend MartinGarrix WetRepublic ,Saturday September Tickets: ,true
1575543132425966520,BXddCGgjlO4,1058,8,2017-08-06 17:09:59,Sunday,Suns out  guns out! Join our #BabesInBlue today for #EndlessSundays with #Zedd.  Tickets: wet.re/buytickets,False,N/A,thornsofgold_ cribalbino juansiliezar stjohn733 elliebellie20 andreyryzhenkov163 mattygus13 schoie87 gabrielerosadini_rosa_ olookitsjay ,BabesInBlue EndlessSundays Zedd ,guns Tickets: ,true
705301958377973645,nJvGTwgaeN,630,15,2014-04-24 00:16:07,Thursday,How about this for an #AokiJump? Check out #AokisPlayhouse in May: 5/10  5/17 &amp;  5/23!,False,N/A,potter9395 theburgsmusic pjotr_0416 kishanjani777 tomer_mizrachi momora82 alanacostaf djsalle ,AokiJump AokisPlayhouse ,5/17 5/23! ,true
562627859236104130,fO2w6agafC,1033,22,2013-10-09 03:48:09,Wednesday,All good things must come to an end.  Join us this Sunday for the "Industry Closing Party" with @CalvinHarris,False,N/A,coco36_f pedrosandino lastagram laceyleanos itz_just_jenny brian1152 baselriyad ,,Join CalvinHarris ,true
692339914875970619,mbr3wCAaQ7,871,12,2014-04-06 03:02:51,Sunday,Get ready for day two of #GrandOpening Weekend with @calvinharris leading the party!,False,N/A,larsapers berej15 maxruperti renatavix konstantinosbar craig_friel thecarolekim rafamantovani bradders2209 homiieess_ ,GrandOpening ,calvinharris ,true
