SHORTCODE,CLUB,ERROR
Bhr5O7yhbdm,grandBoston,<class 'json.decoder.JSONDecodeError'>
BgZGnGZHSYj,prsymCH,<class 'json.decoder.JSONDecodeError'>
BiFJFKYhVuY,grandBoston,<class 'json.decoder.JSONDecodeError'>
Bh7IE-3B7U5,grandSF,<class 'json.decoder.JSONDecodeError'>
BiibmbABbp0,grandSF,<class 'json.decoder.JSONDecodeError'>
Bdm-dHoBJzC,rudas,<class 'json.decoder.JSONDecodeError'>
BLOwF-HhnbZ,cavesduroyST,<class 'requests.exceptions.SSLError'>
BiXJ8VFBeOc,grandBoston,<class 'json.decoder.JSONDecodeError'>
BhMpnCcF5De,prsymCH,<class 'json.decoder.JSONDecodeError'>
Bdm-yeph7pX,rudas,<class 'json.decoder.JSONDecodeError'>
BhNYtRHFFqb,prsymCH,<class 'json.decoder.JSONDecodeError'>
BikoaIGglxx,grandSF,<class 'json.decoder.JSONDecodeError'>
BhehngpBmbn,grandBoston,<class 'json.decoder.JSONDecodeError'>
kvABh1AaVO,wetrepublic,<class 'json.decoder.JSONDecodeError'>
Bfy7NTYFlAf,prsymCH,<class 'json.decoder.JSONDecodeError'>
BH-su24hflL,cavesduroyST,<class 'requests.exceptions.SSLError'>
