ID, SHORTCODE, LIKES, NUM_COMMENTS, DATE, CAPTION, IS_VIDEO, VIDEO_VIEW_COUNT, TAGS, MENTIONS, HAS_COMMENTS
1776328951871244444, BimycU0hwic, 266, 12, 2018-05-10 10:55:34, @BNEGnightlife resident @R3HAB returns to #TheGrandBoston on Friday  5/18 🎟 bit.ly/grandmay18, False, N/A, TheGrandBoston , BNEGnightlife R3HAB 5/18 , true
1775801999288473418, Bik6oJ_BJdK, 210, 5, 2018-05-09 17:28:36, Don’t miss our GRANDuation week bash with @weare2cents tomorrow at #TheGrandBoston 🎓 | Tickets: bit.ly/granduationmay10, False, N/A, TheGrandBoston , weare2cents , true
1774929174608523554, Bih0K4qBLEi, 296, 13, 2018-05-08 12:36:18, Wild night with @loudluxury | Relive it.☝🏽🔥 #iLoveMondays #TheGrandBoston, True, 1901, iLoveMondays TheGrandBoston , loudluxury , true
1774087499170675652, Bie0y5Uh3vE, 396, 16, 2018-05-07 08:42:12, Party is on with @loudluxury TONIGHT at #TheGrandBoston #iLoveMondays 🎟 link in bio, False, N/A, TheGrandBoston iLoveMondays , loudluxury , true
1772773341074430482, BiaJ_YOBhoS, 149, 5, 2018-05-05 13:12:47, Incase you forgot what happened last night with @bingoplayers 👆🏻, True, 1697, , bingoplayers , true
1771928706613633948, BiXJ8VFBeOc, 196, 5, 2018-05-04 09:13:03, We’re ready for @bingoplayers tonight! 🙌🏼🙌🏼 limited tix &amp; tables at TheGrandBoston.com! #thegrandboston, False, N/A, thegrandboston , bingoplayers , true
1771163158724218886, BiUb4JDBBAG, 241, 3, 2018-05-03 07:52:03, We’re always ready to celebrate at #TheGrandBoston! Friday: @bingoplayers Saturday: @djriznyc Monday: @LoudLuxury Tickets + Tables at TheGrandBoston.com, False, N/A, TheGrandBoston , bingoplayers djriznyc LoudLuxury , true
1770425857014658158, BiR0O_UhnRu, 435, 24, 2018-05-02 07:27:10, Gearing up for the weekend at #TheGrandBoston Friday: @bingoplayers Saturday: @djriznyc Monday: @loudluxury Tickets + tables at TheGrandBoston.com, False, N/A, TheGrandBoston , bingoplayers djriznyc loudluxury , true
1767573893570500842, BiHrxdYhhjq, 153, 5, 2018-04-28 09:02:13, What. A. Night. @cheatcodes 🙌🏻, True, 1558, , cheatcodes , true
1766122411486680031, BiChvnWhRPf, 449, 4, 2018-04-26 08:56:59, The weekend spot. 📍 #TheGrandBoston Tomorrow: @cheatcodes Saturday: @djikon Monday: @makj Tickets + tables at TheGrandBoston.com, False, N/A, TheGrandBoston , cheatcodes djikon makj , true
1765409765137544807, Bh__tPuB3Zn, 214, 6, 2018-04-25 09:21:05, We can’t wait to party with @cheatcodes this Friday at #TheGrandBoston! 🙌🏽 Don’t miss out  tickets at TheGrandBoston.com, False, N/A, TheGrandBoston , cheatcodes tickets , true
1764793631275158321, Bh9znUWBwsx, 178, 7, 2018-04-24 12:57:35, #iLoveMondays x @thehimofficial ⚡️ #TheGrandBoston, True, 1513, iLoveMondays TheGrandBoston , thehimofficial , true
1763981416829779413, Bh668Csh33V, 267, 12, 2018-04-23 10:03:13, I 💛 Mondays with @thehimofficial tonight at #TheGrandBoston! Tickets + tables at TheGrandBoston.com, False, N/A, TheGrandBoston , thehimofficial , true
1763373509851240194, Bh4wt1NBFcC, 165, 5, 2018-04-22 13:55:43, @djvice knows how to party...🔥 #BNEGnightlife #TheGrandBoston, True, 1470, BNEGnightlife TheGrandBoston , djvice , true
1762485035619073443, Bh1ms1GBD2j, 223, 9, 2018-04-21 08:30:10, It’s always an epic night when @djvice takes over #TheGrandBoston! Don’t miss him TONIGHT! 💥 Doors open at 9:30pm, False, N/A, TheGrandBoston , djvice , true
