SHORTCODE, COMMENT_ID, COMMENT_USER, COMMENT_TIME, COMMENT_TEXT, COMMENT_TAGS, COMMENT_MENTIONS
QQuoVxmbfi, 17844949669018645, monaa_k, 2012-12-15 16:25:37, We love the robot!, , 
TRtKYbmbZI, 17847796753018645, xo.jlovee, 2013-06-21 13:26:15, @meli__flowers, , meli__flowers 
U79VUjmbSl, 17844967972018645, mama.sami, 2013-01-25 22:42:32, 😍😍😍😍😍😍😍😍, , 
VbE6b4mbVr, 17844973534018645, hugissimo, 2013-02-07 00:32:35, #djcolleenshannon, djcolleenshannon , 
VbE6b4mbVr, 17844973549018645, rodneydeth, 2013-02-07 02:11:29, @djcolleenshannon, , djcolleenshannon 
ZBhPuUmbRB, 17847767302018645, mama.sami, 2013-05-07 13:32:26, 😍, , 
ZBhPuUmbRB, 17847767335018645, alma.wallace, 2013-05-07 14:35:56, So cute Wendy!, , 
ZG3qJAmbVV, 17847768628018645, katierandick, 2013-05-09 15:23:39, Is it we got issues this weekend!?!, , 
ZKGVbQmbQ0, 17847769474018645, anthonypresents, 2013-05-10 21:23:02, 😮, , 
ZMsUI-mbZm, 17847770311018645, anthonypresents, 2013-05-11 21:41:28, Good luck girls. 👊, , 
ZT2zZPmbcL, 17847772177018645, alma.wallace, 2013-05-14 16:21:48, 💗 it!, , 
ZT2zZPmbcL, 17847772189018645, thegrandnightclub, 2013-05-14 16:55:00, @oksichka, , oksichka 
ZZBv-sGbeA, 17847773392018645, thegrandnightclub, 2013-05-16 16:54:28, @mayser1 @lovemarimba @wendayy_twran 😘, , mayser1 lovemarimba wendayy_twran 
cNSI0MGbVD, 17847820978018645, miss_smokes_alot, 2013-07-25 20:34:51, Eyes on you @almababyyyy, , almababyyyy 
dFzSIYmbbK, 17847837667018645, hplifestyle, 2013-08-16 16:21:55, Thomas ! Lol, , 
dFzSIYmbbK, 17847858181018645, thegrandnightclub, 2013-09-12 22:34:18, #grandgirls #grandgirlslive #edm #nightlife #sfnightlife #nightlifesf #bottleservice #bottleservicegirls #botllepopper #popbottles #turnup #turnt #live #danceparty #club #clublife #sf #sanfrancisco #sanfran #music #livemusic #venue #party, grandgirls grandgirlslive edm nightlife sfnightlife nightlifesf bottleservice bottleservicegirls botllepopper popbottles turnup turnt live danceparty club clublife sf sanfrancisco sanfran music livemusic venue party , 
dFzSIYmbbK, 17867112457018850, harrypotterburlesque, 2016-12-03 07:14:12, Aww nice, , 
ec6iKxGbRy, 17847863170018645, hplifestyle, 2013-09-19 11:27:18, Work is hard 😅, , 
ec6iKxGbRy, 17847878155018645, itsjla, 2013-10-09 19:14:11, What would be the requirements to work for you guys because I would love to join the team! 😊@thegrandnightclub_sf, , 
ec6iKxGbRy, 17847879424018645, thegrandnightclub, 2013-10-11 18:06:15, @itsjla email me: Jenn@grandnightclub.com send me a resume 😊, , itsjla 
gZYCGkmbYC, 17847900016018645, harley_quinn_925, 2013-11-06 18:30:58, The cat outfit, , 
gZYCGkmbYC, 17847900019018645, thegrandnightclub, 2013-11-06 18:31:25, @punkybrusterndoughboy 👍, , punkybrusterndoughboy 
gZYCGkmbYC, 17847900028018645, harley_quinn_925, 2013-11-06 18:33:01, I also liked the ones that are like a barging suit and has like a paint look or universe look or something, , 
gZYCGkmbYC, 17847900049018645, _m3rd, 2013-11-06 19:17:41, @sbigdaddyf let's go!, , sbigdaddyf 
gZYCGkmbYC, 17848015051018645, kylalaaa, 2014-02-17 14:43:43, TOP LEFT!. Please tell me where I can find this! :), , 
gZYCGkmbYC, 17848024144018645, lolomani, 2014-02-28 23:31:27, @ojm2, , ojm2 
gZYCGkmbYC, 17848095661018645, shitbitchontitsbitch, 2014-05-20 10:14:29, DEF top right....BunnyBitch👍, , 
hCpCzUmbeQ, 17847945547018645, thegrandnightclub, 2013-11-22 19:01:07, #grandgirlslive, grandgirlslive , 
iAoa3hGbRT, 17847965809018645, ozzytacos, 2013-12-16 20:59:54, 💪, , 
jfq6bdmbem, 17847994585018645, goldenrayeofsunshine, 2014-01-22 19:15:00, My girls are the cutest ❤️, , 
jfq6bdmbem, 17847994594018645, ssjennss, 2014-01-22 19:19:00, @goldenrayeofsunshine they sure are!! Thank you for always taking lovely pictures of them 😘, , goldenrayeofsunshine 
nBrw6UmbY1, 17848084018018645, carloastuti, 2014-05-05 19:01:58, @thegrandnightclub we need to have another crazy night again!!, , thegrandnightclub 
nBrw6UmbY1, 17848084594018645, thegrandnightclub, 2014-05-06 11:59:26, @carloastuti we're ready! See you soon, , carloastuti 
nBrw6UmbY1, 17848084600018645, carloastuti, 2014-05-06 12:02:23, @thegrandnightclub check PM, , thegrandnightclub 
ttebcnGbSi, 17849446543018645, jacksonlipps, 2014-10-03 17:33:58, 👌, , 
ttebcnGbSi, 17849446555018645, hplifestyle, 2014-10-03 17:37:19, OMG soooo cute, , 
ttebcnGbSi, 17849446618018645, goldenrayeofsunshine, 2014-10-03 18:40:22, Miss you babes 💋❤️, , 
wryUi7mbW-, 17843911294018645, j_chinn, 2015-09-23 19:21:17, @voworld well damn lucky you, , voworld 
wryUi7mbW-, 17843977813018645, _bkitty, 2015-09-28 19:18:37, Still looking for girls ?, , 
7ojuDHGbTC, 17843782918018645, leianasantiago, 2015-09-14 19:17:00, 😍😍😍😍😍, , 
7ojuDHGbTC, 17843783065018645, niceprez, 2015-09-14 19:28:38, I can't wait 👏👏, , 
7v2Q4xGbZR, 17843820820018645, kaiali, 2015-09-17 16:47:22, @djjrocksf dude!!!!!!!, , djjrocksf 
7v2Q4xGbZR, 17843824069018645, andrewdhphotos, 2015-09-17 23:02:22, 🙌🙌🙌🙌, , 
7v2Q4xGbZR, 17843849752018645, kaiali, 2015-09-19 15:03:27, @ff_emt_brian925, , ff_emt_brian925 
