ID, SHORTCODE, LIKES, NUM_COMMENTS, DATE, CAPTION, IS_VIDEO, VIDEO_VIEW_COUNT, TAGS, MENTIONS, HAS_COMMENTS
1757584191765593565, BhkMYKlB73d, 210, 1, 2018-04-14 14:13:04, Own the night. . Click the link in bio for guest list consideration and VIP Reservations., False, N/A, , , true
1756039014131176778, BhetC3xBBVK, 72, 1, 2018-04-12 11:03:05, @DJDecon x TONIGHT . . Click the link in our bio for guest list consideration or VIP Reservations., False, N/A, , DJDecon , true
1751094453600569202, BhNIyC7BMdy, 105, 4, 2018-04-05 15:19:07, The weekend callled and she's bringing champagne... . . Join us tonight for The Scooter &amp; Lavelle Show!, False, N/A, , , true
1750812091302137949, BhMIlIihdBd, 52, 2, 2018-04-05 05:58:07, TONIGHT  come party on a school night for The Scooter &amp; Lavelle Show at Oxford Social Club. @ScooterDj @LavelleDupree // Click the link in our bio for guest list!, False, N/A, , come ScooterDj LavelleDupree , true
1750417988735399460, BhKu-L7BvYk, 102, 4, 2018-04-04 16:55:06, @ScooterDJ &amp; @LavelleDupree are comin' in HOT tomorrow night for the return of the Scooter and Lavelle show at Oxford Social Club!, False, N/A, , ScooterDJ LavelleDupree , true
1748223538957269142, BhC8AvThjiW, 170, 2, 2018-04-01 16:15:07, Be Sophisticated  or don’t., False, N/A, , or , true
1747411164046281637, BhADTINh8ul, 159, 3, 2018-03-31 13:21:05, Weekend #Mood 🐰, False, N/A, Mood , , true
1746248555523632051, Bg7688phmuz, 87, 1, 2018-03-29 22:51:11, Black @Bear x Oxford Social Club --- Join us tomorrow Friday  March 30th as singer/songwriter Black Bear joins us for a special performance at Oxford Social Club. --- Click the link in our bio for guest list consideration., False, N/A, , Bear March , true
1745893365016681649, Bg6qMPth9yx, 201, 1, 2018-03-29 11:05:29, We're celebrating the kick off to #BaseballSeason TONIGHT at Oxford Social Club! Click the link in our bio to join our guest list., False, N/A, BaseballSeason , , true
1745381792158166280, Bg4134XBa0I, 104, 3, 2018-03-28 18:09:05, The dynamic duo return for The Scooter &amp; Lavelle show next Thursday  April 5th. Click the link in our bio for guest list consideration!, False, N/A, , April , true
1742944230235961790, BgwLor6h_m-, 97, 3, 2018-03-25 09:26:05, Black @Bear x Oxford Social Club --- Join us on Friday  March 30th as singer/songwriter Black Bear joins us for a special performance at Oxford Social Club. --- Click the link in our bio for guest list consideration., False, N/A, , Bear March , true
1742389597084028253, BguNhtih41d, 180, 8, 2018-03-24 15:04:07, Grab your girls and let's kick off the night at Oxford Social Club., False, N/A, , , true
1741610445858756161, BgrcXkahVZB, 86, 3, 2018-03-23 13:16:05, Black @Bear x Oxford Social Club --- Join us on Friday  March 30th as singer/songwriter Black Bear joins us for a special performance at Oxford Social Club. --- Click the link in our bio for guest list consideration., False, N/A, , Bear March , true
1740807164367590284, BgoluSOldOM, 210, 4, 2018-03-22 10:40:07, There's always a reason to celebrate! Kick off the weekend at Oxford Social Club with @DjDynamiq., False, N/A, , DjDynamiq. , true
1738718399004243728, BghKyv5FXcQ, 191, 12, 2018-03-19 13:30:06, Black @Bear x Oxford Social Club --- Join us on Friday  March 30th as singer/songwriter Black Bear joins us for a special performance at Oxford Social Club. --- Click the link in our bio for guest list consideration., False, N/A, , Bear March , true
1737283951272650074, BgcEoyVl-Va, 93, 2, 2018-03-17 14:00:07, Shining like a disco ball. #OxfordSocialClub welcomes @JesseMarco TONIGHT!, False, N/A, OxfordSocialClub , JesseMarco , true
1736550123436246064, BgZdyL6FAQw, 194, 4, 2018-03-16 13:42:08, A little party never killed nobody✨💋 @DJErock Returns to Oxford Social Club TONIGHT. Click the link in our bio for guest list consideration., False, N/A, , DJErock , true
1735669145523021710, BgWVeRSgWeO, 256, 5, 2018-03-15 08:31:47, Kicking off the weekend—TONIGHT at Oxford Social Club with beats by babe @djaylasimone!, False, N/A, , djaylasimone! , true
1732873391247000097, BgMZysOAQIh, 105, 5, 2018-03-11 11:57:07, Last night’s shenanigans with @ericbellinger! For more photos 📷 check out our Facebook page, False, N/A, , ericbellinger! , true
1731476682855968143, BgHcN6KgG2P, 272, 7, 2018-03-09 12:42:06, Weekends are our favorite! Come kick it off tonight at Oxford Social Club featuring sounds by @DJSchoenyOfficial. Click the link in our bio for guest list consideration., False, N/A, , DJSchoenyOfficial. , true
1730876216002882757, BgFTr91BizF, 158, 1, 2018-03-08 16:49:05, Time to Rendezvous 🎉 . Tonight we welcome back @Craig_Smoove to Oxford Social Club. Click the link in our bio for guest list consideration., False, N/A, , Craig_Smoove , true
1730735804654835503, BgEzwtkgFcv, 225, 3, 2018-03-08 12:10:07, Happy Internation Women's Day to all our Industry babes!💪🏼💋, False, N/A, , , true
1730005086618301025, BgCNnXXgLJh, 150, 6, 2018-03-07 11:58:19, Eric Bellinger ✖️ Oxford Social Club Join us this weekend on Saturday  March 10th for a special live performance by @ericbellinger at Oxford Social Club. Click the link in our bio for guest list consideration!, False, N/A, , March ericbellinger , true
1727234207812207334, Bf4XlxYjMLm, 85, 2, 2018-03-03 16:13:04, All dressed up  and ready to go! Meet us at Oxford Social Club tonight featuring sounds by Jerzy. Click the link in our bio for guest list consideration., False, N/A, , and , true
1726460130000607007, Bf1nldPj5cf, 126, 5, 2018-03-02 14:35:07, We're all smiles on #Fridays!, False, N/A, Fridays , , true
1722245873620961696, BfmpX9JD0mg, 190, 10, 2018-02-24 19:02:08, Tonight  we're dancing like no one's watching with @DJSpider on deck! Click the link in our bio for guest list consideration., False, N/A, , we're DJSpider , true
1721382671596927252, BfjlGtnDDkU, 123, 3, 2018-02-23 14:27:07, Friyay and we're ready to party! Join us for champagne &amp; chandeliers tonight at @TheOxfordSD with sounds by @DJEROCK!  Click the link in our bio for guest list consideration., False, N/A, , TheOxfordSD DJEROCK! Click , true
1720762205018679991, BfhYBvFDmq3, 235, 1, 2018-02-22 17:54:21, Your weekend awaits! Kick it off tonight with @djkaossd at Oxford Social Club @pendrysandiego, False, N/A, , djkaossd pendrysandiego , true
1716991736905897233, BfT-uNAjpUR, 165, 7, 2018-02-17 13:03:06, Saturdays are for the girls! Join us tonight at Oxford Social Club featuring sounds by DJ @Stonerokk., False, N/A, , Stonerokk. , true
1714777129268498319, BfMHLa7A0-P, 158, 0, 2018-02-14 11:43:05, Relive Another Decade | Join us this Thursday  February 15 for our Ultimate #ThrowbackThursday party at Oxford Social Club. Click the link in our bio for guest list consideration. #RAD, False, N/A, ThrowbackThursday RAD , February , false
1712916668235968631, BfFgKJkDPB3, 192, 1, 2018-02-11 22:06:40, In honor of @PendrySanDiego’s First Anniversary  we’re recapping our favorite moments from the Grand Opening Party! Swipe for more📸, False, N/A, , PendrySanDiego’s we’re , true
1712159230427718452, BfCz7-ojOM0, 291, 0, 2018-02-10 21:01:47, Birthday Antics Round✌🏼🎈S/O to our friends  family and guests who have traveled near and far to help us celebrate this weekend. 💘 #OxfordTurnsOne #Leggo 📸:@litasop, False, N/A, OxfordTurnsOne Leggo , family , false
1710964017885654935, Be-kLWNjK-X, 366, 5, 2018-02-09 05:27:06, "Dressing well is a form of good manners"- Tom Ford #flashbackfriday to our Grand Opening Party!, False, N/A, flashbackfriday , , true
1708433385758570568, Be1kxzYjrhI, 184, 6, 2018-02-05 17:39:11, A look back at last Summer with the one and only @TreySongz at Oxford Social Club! #OxfordTurnsOne, False, N/A, OxfordTurnsOne , TreySongz , true
1706691391608593834, BevYsc6DB2q, 231, 5, 2018-02-03 07:58:09, FEB 9-10 | Save the date ✔️ This babe👆🏼will be joining us next weekend to celebrate #OxfordTurnsOne at @pendrysandiego🎈with @ericdlux &amp; @djfive @saintclairmusic  Sign up for our guest list: TheOxfordSD.com, False, N/A, OxfordTurnsOne , pendrysandiego🎈with ericdlux djfive saintclairmusic Sign , true
1706157137229375810, BetfOBvjelC, 129, 0, 2018-02-02 14:16:41, #FlashbackFriday to when @PostMalone partied with us at Oxford Social Club! #OxfordTurnsOne, False, N/A, FlashbackFriday OxfordTurnsOne , PostMalone , false
1705467602325566713, BerCb-UjXT5, 98, 1, 2018-02-01 15:27:10, We’re kicking off our 1st Birthday Party 🎉 next weekend starting with @ericdlux on Friday (2/09) and @djfive on Saturday (2/10). Click the link in our bio for guest list and VIP Reservations!, True, 776, , ericdlux djfive , true
1705364131656044047, Beqq6RwDQ4P, 156, 2, 2018-02-01 12:01:08, En route to a wild weekend at Oxford Social Club. It all kicks off TONIGHT! THU: @deejayal FRI: @djmrbest SAT: @devinlucien, False, N/A, , deejayal djmrbest devinlucien , true
1701216791772243450, Beb76ifg6X6, 141, 3, 2018-01-26 18:41:06, Join us tonight for champagne &amp; chandeliers with sounds by @DJERock! Click the link in our bio for guest list consideration., False, N/A, , DJERock! , true
1700436155529262924, BeZKayVjXdM, 219, 7, 2018-01-25 16:50:07, Grab your gals  and let’s kick off the weekend with @DJShadowman at Oxford Social Club. Click the link in our bio for guest list consideration., False, N/A, , and DJShadowman , true
1698956384089818818, BeT59RyjkbC, 143, 3, 2018-01-23 15:50:05, Weekend Lineup at Oxford Social Club: THU: @djshadowman FRI: @djerock SAT: @djcobra  Click the link in our bio for guest list consideration., False, N/A, , djshadowman djerock djcobra Click , true
1695194090708949332, BeGigtCDFlU, 638, 29, 2018-01-18 11:15:04, When life gives you lemons  add tequila! Meet us under #pendrysandiego TONIGHT for sounds by @CraigSmoove at Oxford Social Club!  Click the link in our bio for guest list consideration., False, N/A, pendrysandiego , add CraigSmoove Click , true
1694589012704934995, BeEY7qOjrxT, 213, 1, 2018-01-17 15:12:54, We can't promise it will all be good clean fun. #OxfordNights kicks off this weekend with @craig_smoove., False, N/A, OxfordNights , craig_smoove. , true
1689228327925860657, BdxWDbejEkx, 120, 4, 2018-01-10 05:42:10, This Friday  January 12 we welcome @6lack to Oxford Social Club for a special live performance! Click the link in our bio for guest list., False, N/A, , January 6lack , true
1687049327178794248, Bdpmmy5DcUI, 100, 3, 2018-01-07 05:33:11, We’re excited to welcome @ApexSocialClub &amp; @CamdenCocktailLounge to @Palms Casino Resort Las Vegas! #camdencocktails #theviewhaschanged, True, 868, camdencocktails theviewhaschanged , ApexSocialClub CamdenCocktailLounge Palms , true
1685046237839973362, BdifKAkj1vy, 134, 1, 2018-01-04 11:13:06, Grab your girls  and let's kick off the weekend TONIGHT at Oxford Social Club!, False, N/A, , and , true
1682485481097268402, BdZY6GAjgyy, 365, 6, 2017-12-31 22:25:20, Wishing you all the happiest New Year’s Eve! See you next year ♥️ - The ladies of @theoxfordsd, False, N/A, , theoxfordsd , true
1682031363778008892, BdXxp0TDdc8, 88, 0, 2017-12-31 07:23:05, Happy New Year’s Eve!, False, N/A, , , false
1681549185441036978, BdWEBMuj3qy, 157, 1, 2017-12-30 15:25:05, "She was trouble  chaos really. But her smile  her smile dared me to fall in love with her." - Atticus . . . Join us tonight at Oxford Social Club with @DJMrBest and visit our website for guest list consideration TheOxfordSD.com, False, N/A, , chaos her DJMrBest , true
1681350379910727678, BdVW0MpjAf-, 142, 2, 2017-12-30 08:50:05, Experience New Year's Eve at Oxford Social Club featuring sounds by @DJCobra and a special performance by the Stoli Elit Ballerinas.  For tickets &amp; VIP Reservations  click the link in our bio., False, N/A, , DJCobra For click , true
1679176048170656918, BdNobgajmSW, 148, 3, 2017-12-27 08:50:05, If looks could kill  darling... The party returns to Oxford Social Club tomorrow night with @djkaossd in the house!  Click the link in our bio for guest list consideration., False, N/A, , darling... djkaossd Click , true
1678697971745432241, BdL7ulDDiKx, 104, 0, 2017-12-26 17:00:14, "You can never be overdressed or overeducated." - Oscar Wilde  We re-open Thursday for New Year's Eve weekend at Oxford Social Club. Click the link in our bio for more information and NYE Reservations! #PendryNYE, False, N/A, PendryNYE , We , false
