ID, SHORTCODE, LIKES, NUM_COMMENTS, DATE, CAPTION, IS_VIDEO, VIDEO_VIEW_COUNT, USERS_LIKED, TAGS, MENTIONS, HAS_COMMENTS
1757584191765593565, BhkMYKlB73d, 211, 2, 2018-04-14 14:13:04, Own the night. . Click the link in bio for guest list consideration and VIP Reservations., False, N/A, amiiivv desmo.moto shaylyn1111 eeelex.noble alexsd carlosmickey305 julio_bryan_ j_dubz89 karla_merced deejaytadaah , , , true
1756039014131176778, BhetC3xBBVK, 72, 1, 2018-04-12 11:03:05, @DJDecon x TONIGHT . . Click the link in our bio for guest list consideration or VIP Reservations., False, N/A, alexrey89 jetsd.city mamandmardj lexbogan djque ruccababy hlockmoney frederick_blanding arleneibarra alchemehealth , , DJDecon , true
1751094453600569202, BhNIyC7BMdy, 105, 4, 2018-04-05 15:19:07, The weekend callled and she's bringing champagne... . . Join us tonight for The Scooter &amp; Lavelle Show!, False, N/A, lamar_prince arleneibarra marcoarango latinanatalina oh_hexxx_yeeah gringita76 djque angie_r89 blastedpanda cocktailwaitresses , , , true
1750812091302137949, BhMIlIihdBd, 52, 2, 2018-04-05 05:58:07, TONIGHT  come party on a school night for The Scooter &amp; Lavelle Show at Oxford Social Club. @ScooterDj @LavelleDupree // Click the link in our bio for guest list!, False, N/A, sagamorependrybaltimore sineadalice djsupajames mikedkot cinemazay dave_rukus rideplaytv reza_raccoon jvictoria04 asha_ish , , come ScooterDj LavelleDupree , true
1750417988735399460, BhKu-L7BvYk, 102, 4, 2018-04-04 16:55:06, @ScooterDJ &amp; @LavelleDupree are comin' in HOT tomorrow night for the return of the Scooter and Lavelle show at Oxford Social Club!, False, N/A, kaaybiie djsupajames rico1588_toscano alexshawphoto jrios_photography esdans4grams nfluenceconsulting 33jazzygirl marcoarango djque , , ScooterDJ LavelleDupree , true
1748223538957269142, BhC8AvThjiW, 170, 2, 2018-04-01 16:15:07, Be Sophisticated  or don’t., False, N/A, latinanatalina soulyraw princecharles858 vmillz25 karenne_ brittany.mai helensunjoy nadeemaladli priscillabermingham , , or , true
1747411164046281637, BhADTINh8ul, 159, 3, 2018-03-31 13:21:05, Weekend #Mood 🐰, False, N/A, easyonthecheeks anthony_afonsoo bdavidge kevinpfulmer beedoll __emz__98 djmistergray sd_latina_anel worldhappyday flamebroilerpacificbeach , Mood , , true
1746248555523632051, Bg7688phmuz, 87, 1, 2018-03-29 22:51:11, Black @Bear x Oxford Social Club --- Join us tomorrow Friday  March 30th as singer/songwriter Black Bear joins us for a special performance at Oxford Social Club. --- Click the link in our bio for guest list consideration., False, N/A, bernadettemedina idofunshit helensunjoy izzzheee allouttuesdays esdans4grams alchemehealth djschoenyofficial djque madeinam_erika , , Bear March , true
1745893365016681649, Bg6qMPth9yx, 201, 1, 2018-03-29 11:05:29, We're celebrating the kick off to #BaseballSeason TONIGHT at Oxford Social Club! Click the link in our bio to join our guest list., False, N/A, iannsolus iamjroc jrso671 slave2stylez wallytee endea modfnb theluxegen jerryapotter therealzabie , BaseballSeason , , true
1745381792158166280, Bg4134XBa0I, 104, 3, 2018-03-28 18:09:05, The dynamic duo return for The Scooter &amp; Lavelle show next Thursday  April 5th. Click the link in our bio for guest list consideration!, False, N/A, djschoenyofficial djmistergray christinaroa rico1588_toscano fergiedj shaneaxe44 fabiofelipe31 madeinam_erika djkerryglass oneminutetrader , , April , true
1742944230235961790, BgwLor6h_m-, 97, 3, 2018-03-25 09:26:05, Black @Bear x Oxford Social Club --- Join us on Friday  March 30th as singer/songwriter Black Bear joins us for a special performance at Oxford Social Club. --- Click the link in our bio for guest list consideration., False, N/A, certifr1ed djlito619_ theoryhairstudio djmasoud_song pendrysandiego chrisdolcesd brandond_lv msnichols86 33jazzygirl amarcus8432 , , Bear March , true
1742389597084028253, BguNhtih41d, 180, 8, 2018-03-24 15:04:07, Grab your girls and let's kick off the night at Oxford Social Club., False, N/A, priscillabermingham msnichols86 mas.porfavor helensunjoy sjmanak ek4bigal randy_mendez1 kevinmansour julzvelez , , , true
1741610445858756161, BgrcXkahVZB, 87, 3, 2018-03-23 13:16:05, Black @Bear x Oxford Social Club --- Join us on Friday  March 30th as singer/songwriter Black Bear joins us for a special performance at Oxford Social Club. --- Click the link in our bio for guest list consideration., False, N/A, a.l.e.x_mi alchemehealth kevinmansour rideplaytv djque roadtrippingcat djkaossd colonelcopin chrisdolcesd djmistergray , , Bear March , true
1740807164367590284, BgoluSOldOM, 210, 4, 2018-03-22 10:40:07, There's always a reason to celebrate! Kick off the weekend at Oxford Social Club with @DjDynamiq., False, N/A, mariahsotoxx iamjroc clearconsole mulkylives craig_smoove krysss_dawn dearlittlelove djbangarang shvedig , , DjDynamiq. , true
1738718399004243728, BghKyv5FXcQ, 191, 12, 2018-03-19 13:30:06, Black @Bear x Oxford Social Club --- Join us on Friday  March 30th as singer/songwriter Black Bear joins us for a special performance at Oxford Social Club. --- Click the link in our bio for guest list consideration., False, N/A, thecodyallen mrs.renteria2017 flamebroilerpacificbeach lexbogan ericaalexis dave_rukus bone_ified sillykrilly missashleywalker jmoaddab , , Bear March , true
1737283951272650074, BgcEoyVl-Va, 93, 2, 2018-03-17 14:00:07, Shining like a disco ball. #OxfordSocialClub welcomes @JesseMarco TONIGHT!, False, N/A, charlesjourdaniv arichardson022 slave2stylez arleneibarra roorzh obeid.habibi agentbaz djchuck27 djque devbeck , OxfordSocialClub , JesseMarco , true
1736550123436246064, BgZdyL6FAQw, 194, 4, 2018-03-16 13:42:08, A little party never killed nobody✨💋 @DJErock Returns to Oxford Social Club TONIGHT. Click the link in our bio for guest list consideration., False, N/A, bnikki26 d.cousar un1tytribe tomomimata maggiemariscal randy_mendez1 darasteinrichter priscillabermingham lamar_prince d.merch , , DJErock , true
1735669145523021710, BgWVeRSgWeO, 258, 5, 2018-03-15 08:31:47, Kicking off the weekend—TONIGHT at Oxford Social Club with beats by babe @djaylasimone!, False, N/A, jmoaddab codenamekar thekarenstyle hellaclassic breskags k10sd we_came_saw_did rico1588_toscano donymark lacroixmusic , , djaylasimone! , true
1732873391247000097, BgMZysOAQIh, 105, 5, 2018-03-11 11:57:07, Last night’s shenanigans with @ericbellinger! For more photos 📷 check out our Facebook page, False, N/A, collsully saintclairmusic rubep_photography gabematix o_hash caseyfeldser ulzg djque a.l.e.x_mi jbladow , , ericbellinger! , true
1731476682855968143, BgHcN6KgG2P, 272, 7, 2018-03-09 12:42:06, Weekends are our favorite! Come kick it off tonight at Oxford Social Club featuring sounds by @DJSchoenyOfficial. Click the link in our bio for guest list consideration., False, N/A, fabriciov22 money_aerial_media sangria_mami _lifethatsshinning_ pistol_pete22 djzee nadeemaladli nazd112 rr_realestate_team ng_media_ , , DJSchoenyOfficial. , true
