SHORTCODE, CLUB, ERROR
Bdm-yeph7pX,rudas, <class 'json.decoder.JSONDecodeError'>
Bdm-dHoBJzC,rudas, <class 'json.decoder.JSONDecodeError'>
kvABh1AaVO,wetrepublic, <class 'json.decoder.JSONDecodeError'>
BiFJFKYhVuY,grandBoston, <class 'json.decoder.JSONDecodeError'>
Bhr5O7yhbdm,grandBoston, <class 'json.decoder.JSONDecodeError'>
BhehngpBmbn,grandBoston, <class 'json.decoder.JSONDecodeError'>
Bh7IE-3B7U5,grandSF, <class 'json.decoder.JSONDecodeError'>
BiibmbABbp0,grandSF, <class 'json.decoder.JSONDecodeError'>
BikoaIGglxx,grandSF, <class 'json.decoder.JSONDecodeError'>
BhNYtRHFFqb,prysmCH, <class 'json.decoder.JSONDecodeError'>
BhMpnCcF5De,prysmCH, <class 'json.decoder.JSONDecodeError'>
BgZGnGZHSYj,prysmCH, <class 'json.decoder.JSONDecodeError'>
Bfy7NTYFlAf,prysmCH, <class 'json.decoder.JSONDecodeError'>
