SHORTCODE, COMMENT_ID, COMMENT_USER, COMMENT_TIME, COMMENT_TEXT, COMMENT_TAGS, COMMENT_MENTIONS
BhkMYKlB73d, 17909345800160563, fharbear, 2018-04-15 03:25:52, @makeupbykandice, , makeupbykandice 
BhkMYKlB73d, 17861566135300068, jessicawildthing, 2018-06-16 16:37:30, @crzydimp this place, , crzydimp 
BhetC3xBBVK, 17937045343027549, archerybrowstudio, 2018-04-12 11:58:43, See our DM and have a wonderful day 😘, , 
BhNIyC7BMdy, 17935732570019399, lamar_prince, 2018-04-05 15:27:01, Can you tell her to call me back when she has tequila? Cc: @therealhanshodvil, , therealhanshodvil 
BhNIyC7BMdy, 17940012688040270, sd_gypsea, 2018-04-05 20:54:24, @abearx, , abearx 
BhNIyC7BMdy, 17908116331155614, thedapperjuan, 2018-04-06 10:10:19, Nice!!! Next time I'm in SD definitely need to check you guys out!, , 
BhNIyC7BMdy, 17913509584193018, justhomemgz, 2018-04-20 16:03:32, ⬅ Follow us! We are your inspiring guide and source for Trusted Home Improvement Specialist #Justhome, Justhome , 
BhMIlIihdBd, 17912038990143730, lavelledupree, 2018-04-05 11:40:12, 🤘🌟, , 
BhMIlIihdBd, 17946866899067441, kamiilaaa_moniikaaa, 2018-05-31 12:01:55, @nikki_kray, , nikki_kray 
BhKu-L7BvYk, 17862520672239043, lavelledupree, 2018-04-04 17:02:36, 🤘🌟, , 
BhKu-L7BvYk, 17936289976016454, theoxfordsd, 2018-04-04 20:08:42, #Nightlife #Nightclub #SanDiego #OxfordSocialClub #OxfordNights #GaslampQuarter #SanDiego #DowntownSanDiego #VisitSanDiego #AmericasFinestCity #SocialClub #BeSophisticated #LiveMusic #LuxuryLifestyle #CliqueHospitality #SocialLife #Hospitality #VIP, Nightlife Nightclub SanDiego OxfordSocialClub OxfordNights GaslampQuarter SanDiego DowntownSanDiego VisitSanDiego AmericasFinestCity SocialClub BeSophisticated LiveMusic LuxuryLifestyle CliqueHospitality SocialLife Hospitality VIP , 
BhKu-L7BvYk, 17865094948225982, italia_mx, 2018-04-04 21:43:30, 😍, , 
BhKu-L7BvYk, 17845585651300063, roberto_deejay_dellosso, 2018-04-05 00:36:42, 👌👌, , 
BhC8AvThjiW, 17876131606202054, theoxfordsd, 2018-04-01 16:15:13, #PendrySanDiego #OxfordNights #BeSophisticated #WeekendTribe #PartyTime #OxfordSocialClub #Nightlife #WeAreClique, PendrySanDiego OxfordNights BeSophisticated WeekendTribe PartyTime OxfordSocialClub Nightlife WeAreClique , 
BhC8AvThjiW, 17930427205068102, tommys_world_travels, 2018-04-01 17:07:43, Is smoking considered sophisticated now?, , 
BhADTINh8ul, 17937619081024736, greystonelounge, 2018-03-31 16:16:11, Love this 😍, , 
BhADTINh8ul, 17906786245151542, frannnnygirl, 2018-03-31 23:21:48, 😍, , 
Bg7688phmuz, 17913524182184120, timessquare69, 2018-04-19 07:49:37, :), , 
Bg6qMPth9yx, 17915615665092385, pendrysandiego, 2018-03-29 14:08:41, Yes! Hopefully we will be celebrating a victory ⚾️, , 
Bg4134XBa0I, 17936598487004903, theoxfordsd, 2018-03-28 18:09:10, #oxfordsocialclub #oxfordsocialclub #nightlife #visitsandiego #sandiegoclub #sandiego #nightclub #djduo #scooterdj #lavelledupree #oxfordnights #weareclique #cliquehospitality #pendrysandiego #thependry #pendry #sd #gaslampquarter #gaslampdistrict, oxfordsocialclub oxfordsocialclub nightlife visitsandiego sandiegoclub sandiego nightclub djduo scooterdj lavelledupree oxfordnights weareclique cliquehospitality pendrysandiego thependry pendry sd gaslampquarter gaslampdistrict , 
Bg4134XBa0I, 17934467947039204, lavelledupree, 2018-03-28 18:22:54, The madness continues!! 🤘🌟, , 
Bg4134XBa0I, 17915405221093391, sillykrilly, 2018-03-28 18:42:00, Can’t wait!, , 
BgwLor6h_m-, 17874610036205290, theoxfordsd, 2018-03-25 09:38:45, #Nightlife #Nightclub #SanDiego #OxfordSocialClub #OxfordNights #GaslampQuarter #SanDiego #DowntownSanDiego #VisitSanDiego #AmericasFinestCity #SocialClub #BeSophisticated #LiveMusic #LuxuryLifestyle #CliqueHospitality #SocialLife #Hospitality #VIP #BlackBear #DoReMi #LivePerformance, Nightlife Nightclub SanDiego OxfordSocialClub OxfordNights GaslampQuarter SanDiego DowntownSanDiego VisitSanDiego AmericasFinestCity SocialClub BeSophisticated LiveMusic LuxuryLifestyle CliqueHospitality SocialLife Hospitality VIP BlackBear DoReMi LivePerformance , 
BgwLor6h_m-, 17934156463043546, actarus_luxury, 2018-03-25 09:47:54, Now that is living!!!🔥🔥😤😤, , 
BgwLor6h_m-, 17919359344116468, thefixtmovement, 2018-03-25 14:58:59, Cool!, , 
BguNhtih41d, 17860583575226313, theoxfordsd, 2018-03-24 15:09:16, #Nightlife #Nightclub #SanDiego #OxfordSocialClub #OxfordNights #GaslampQuarter #SanDiego #DowntownSanDiego #VisitSanDiego #AmericasFinestCity #SocialClub #BeSophisticated #LiveMusic #LuxuryLifestyle #CliqueHospitality #SocialLife #Hospitality #VIP, Nightlife Nightclub SanDiego OxfordSocialClub OxfordNights GaslampQuarter SanDiego DowntownSanDiego VisitSanDiego AmericasFinestCity SocialClub BeSophisticated LiveMusic LuxuryLifestyle CliqueHospitality SocialLife Hospitality VIP , 
BguNhtih41d, 17920009288098311, emilyghaderi, 2018-03-24 15:36:50, @paigecaleigh @cassmarie___, , paigecaleigh cassmarie___ 
BguNhtih41d, 17873287762214681, iamtigertony, 2018-03-24 17:26:35, @q.u.a.m, , q.u.a.m 
BguNhtih41d, 17872725301214329, pendrysandiego, 2018-03-24 18:39:59, 💕, , 
BguNhtih41d, 17932251388034670, cassiefelburg, 2018-03-24 20:12:47, Babes 😍, , 
BguNhtih41d, 17906709769188075, rubep_photography, 2018-03-25 03:34:15, 💕, , 
BguNhtih41d, 17924776813072199, faisal.sarb, 2018-03-25 10:50:05, @cassmarie___ 👌🏻👌🏻🔥, , cassmarie___ 
BguNhtih41d, 17918503966133315, zakidean, 2018-05-09 07:58:45, @emilyghaderi xo, , emilyghaderi 
BgrcXkahVZB, 17891426782194571, theoxfordsd, 2018-03-23 15:50:39, Oxford Hashtags  #Nightlife #Nightclub #SanDiego #OxfordSocialClub #OxfordNights #GaslampQuarter #SanDiego #DowntownSanDiego #VisitSanDiego #AmericasFinestCity #SocialClub #BeSophisticated #LiveMusic #LuxuryLifestyle #CliqueHospitality #SocialLife #Hospitality #VIP, Nightlife Nightclub SanDiego OxfordSocialClub OxfordNights GaslampQuarter SanDiego DowntownSanDiego VisitSanDiego AmericasFinestCity SocialClub BeSophisticated LiveMusic LuxuryLifestyle CliqueHospitality SocialLife Hospitality VIP , 
BgrcXkahVZB, 17931725140057386, jo.hann.b, 2018-03-24 11:38:14, @hnratner W A L K, , hnratner 
BgrcXkahVZB, 17934700048044422, xrismadness, 2018-03-24 22:20:24, Is this an 18+ event?, , 
