SHORTCODE, COMMENT_ID, COMMENT_USER, COMMENT_TIME, COMMENT_TEXT, COMMENT_TAGS, COMMENT_MENTIONS
BhJRE1PhUdf, 17923285195101391, teodornastas, 2018-04-04 04:08:40, @_anyzja ich diesmal nicht. Geht ihr mal eskalieren, , _anyzja 
BhJRE1PhUdf, 17916964930084066, teodornastas, 2018-04-04 04:15:22, @_anyzja wir rasten ein ander mal aus 😅 dann wird overtrieben, , _anyzja 
BhJRE1PhUdf, 17921856958129977, cristinika.x, 2018-04-04 04:34:49, @_anyzja Opfer ❤️💎, , _anyzja 
BhJRE1PhUdf, 17845403479250961, teodornastas, 2018-04-04 04:38:37, @cristinika.x da hat Maria Geburtstag, , cristinika.x 
BhJRE1PhUdf, 17922291064099150, energy_party, 2018-04-04 07:38:38, ⭐️, , 
BhJRE1PhUdf, 17875066489221435, __di.anaa__, 2018-04-04 12:27:26, @mimytn da hätte ich so Bock drauf, , mimytn 
BhJRE1PhUdf, 17936430772011729, legend_lashes_jb, 2018-04-04 13:47:57, @m.ihri.ban @_____pocahontasss_____ @tubis_eslem, , m.ihri.ban _____pocahontasss_____ tubis_eslem 
BhJRE1PhUdf, 17934459517060073, mimytn, 2018-04-04 14:45:14, @__di.anaa__ da bin ich nur ja leider nicht da :/ hätte auch Lust, , __di.anaa__ 
BhJRE1PhUdf, 17911064809188973, bramike_bigpimpin, 2018-04-05 07:07:10, Yeah finest black music 🎉, , 
BhJRE1PhUdf, 17920325497123095, so_glatt_dusseldorf, 2018-04-06 06:02:52, Super wir freuen uns, , 
BhJRE1PhUdf, 17865907648231815, lollipop_event, 2018-04-15 10:39:44, 😉👌, , 
BfnwmP2hY4d, 17852414719242992, energy_party, 2018-02-25 08:52:23, ⭐️, , 
BfnwmP2hY4d, 17913730522110170, locken_bobby, 2018-02-25 09:35:57, 👌🏽👌🏽🤗, , 
BfnwmP2hY4d, 17928948403000704, kedoesmusic, 2018-02-28 18:40:29, 💯💯🚀🚀♨️♨️!!!, , 
BfnwmP2hY4d, 17933569282005368, lisaptk, 2018-03-27 15:18:56, @brii_.camargo_krebs @miriam_ws  @chrissi_hrt @ninaa.piya @emii_peters der Club sieht auch gut aus :), , brii_.camargo_krebs miriam_ws @chrissi_hrt ninaa.piya emii_peters 
BfnwmP2hY4d, 17915303761144540, 25gulay, 2018-05-06 13:05:55, 👍, , 
BeD0vn7h-7E, 17945483005019357, heili_powerfitness, 2018-05-12 22:02:53, Nice, , 
Bd-xJ_uhkk8, 17906320219110886, champagnemagazine, 2018-01-15 14:21:19, #champagnelicious :🍾), champagnelicious , 
Bd-wzgqhVdS, 17901224452083384, rath_jennifer, 2018-01-15 10:48:45, 😏😏😏💕, , 
Bd-wzgqhVdS, 17913109972064925, rudasstudios, 2018-01-15 10:55:14, @rath_jennifer 😍😍😍, , rath_jennifer 
Bd-wzgqhVdS, 17946385861039668, o_nu_r_1, 2018-01-16 13:28:36, @denizz__91, , denizz__91 
Bd-wzgqhVdS, 17891199262165076, _euermarketinghandbuch_, 2018-01-17 06:57:41, Sieht gut aus..., , 
Bds8eh4hitz, 17921334148014799, stevi1da, 2018-01-09 04:11:49, da hattet ihr aber schon schönere Mädchen 😉, , 
BdpumcqBRVa, 17843794192239817, o_nu_r_1, 2018-01-07 06:45:45, @denizz__91, , denizz__91 
BdpumcqBRVa, 17904475702117258, energy_party, 2018-01-12 10:11:00, ⭐️, , 
