SHORTCODE, COMMENT_ID, COMMENT_USER, COMMENT_TIME, COMMENT_TEXT, COMMENT_TAGS, COMMENT_MENTIONS
Bi0SFFHHyaL, 17940293119065946, s2kdreamin, 2018-05-15 17:14:51, @legendss14, , legendss14 
Bi0SFFHHyaL, 17883591889221333, legendss14, 2018-05-15 17:20:07, @s2kdreamin 😮😮😮😮, , s2kdreamin 
Bi0SFFHHyaL, 17917172659182007, legendss14, 2018-05-15 17:21:57, Legit the best night of my life haha, , 
Bi0SFFHHyaL, 17920554619190827, shaun.baluyot, 2018-05-15 19:19:09, Esskettitttt @alexpetersonmedia, , alexpetersonmedia 
Bi0SFFHHyaL, 17917004491153139, alexpetersonmedia, 2018-05-15 19:49:40, @shaun.baluyot YEWWW, , shaun.baluyot 
Bi0SFFHHyaL, 17945241559016228, a___y___a___n, 2018-05-15 23:37:38, @riteshdhadke, , riteshdhadke 
Bi0A-5TlNSc, 17946872197001682, vmandrade, 2018-05-15 17:56:48, @sydneykurtzz 🍾🍾🍾🙋🏾‍♀️, , sydneykurtzz 
Bi0A-5TlNSc, 17932771567105772, reddysetgo12, 2018-05-16 18:33:07, @carley_fries_ @nwmcbride OMG OMG OMG OMG 🙀🙀🙀🙀🙀😻😻😻, , carley_fries_ nwmcbride 
Bi0A-5TlNSc, 17940904828068444, carley_fries_, 2018-05-16 18:38:13, @reddysetgo12 💩 I’ll be back in WA, , reddysetgo12 
Bixa3bYlalU, 17918466142180935, heatherleigh83, 2018-05-14 15:41:27, @jenniferhoelzer, , jenniferhoelzer 
